chainName,fig1,fig2,corr,p_values
cosmos,Binance #02 (Deposit),Coinbase #01,0.5675495599631122,1.3430268347869974e-208
cosmos,Binance #02 (Deposit),Coinbase #03,0.5207064274105869,4.419709536986319e-170
cosmos,Binance #02 (Deposit),DokiaCapital #01 (Validator),0.5698639846143438,1.1518562141158738e-210
cosmos,Binance #03 (Withdraw),Digfinex #01 (Deposit),0.54467190541785,5.031066980156033e-189
cosmos,Binance #03 (Withdraw),DokiaCapital #01 (Validator),0.5742624242473775,1.2249823061521347e-214
cosmos,Binance #03 (Withdraw),Upbit #10 (Validator),0.6085686707527332,8.270933266432141e-248
cosmos,Binance #04 (Staking),Bithumb #02 (Withdraw),0.6314684722851738,2.572758747341533e-272
cosmos,Binance #04 (Staking),Bithumb #03,0.7903374478392085,0.0
cosmos,Binance #04 (Staking),Coinbase #06,0.5574696067492017,8.71828059826619e-200
cosmos,Binance #04 (Staking),Coinbase #08,0.8075222467790988,0.0
cosmos,Binance #04 (Staking),Digfinex #01 (Deposit),0.6631612840731782,7.5419542801834e-310
cosmos,Binance #04 (Staking),HitBTC #02,0.7423168138759606,0.0
cosmos,Binance #04 (Staking),MEXC #01 (Deposit),0.7024491698016055,0.0
cosmos,Binance #04 (Staking),OKK #01,0.8134203308294959,0.0
cosmos,Binance #04 (Staking),bonded_tokens_pool,0.8094633434097889,0.0
cosmos,Binance #04 (Staking),distribution,0.7603442876286683,0.0
cosmos,Bitforex #01 (Deposit),Coinbase #03,0.604264131007914,2.0083789466480396e-243
cosmos,Bitforex #01 (Deposit),Coinbase #05,0.5348195073889505,4.728191038299994e-181
cosmos,Bitforex #01 (Deposit),Coinone #01(Deposit),0.518957881463797,9.308272770558872e-169
cosmos,Bitforex #01 (Deposit),DokiaCapital #02 (Validator),0.8466594949075308,0.0
cosmos,Bitforex #01 (Deposit),Ignite,0.8356142978204983,0.0
cosmos,Bitforex #01 (Deposit),Interchain Foundation #01,0.8238360781229076,0.0
cosmos,Bitforex #01 (Deposit),Interchain Foundation #02,0.837763132645317,0.0
cosmos,Bitforex #01 (Deposit),Kraken #01,0.8493938940881318,0.0
cosmos,Bitforex #01 (Deposit),Upbit #01 (Deposit),0.5583686573333458,1.467932825813003e-200
cosmos,Bitforex #01 (Deposit),Upbit #10 (Validator),0.745659943912401,0.0
cosmos,Bitforex #01 (Deposit),Upbit #11 (Staking),0.8462347947725846,0.0
cosmos,Bitforex #01 (Deposit),Upbit #12 (Staking),0.8618899282463055,0.0
cosmos,Bitforex #01 (Deposit),Upbit #13 (Staking),0.8892427374187566,0.0
cosmos,Bitforex #01 (Deposit),Upbit #14 (Staking),0.8685400719209133,0.0
cosmos,Bitforex #01 (Deposit),Upbit #15 (Staking),0.8754588049234353,0.0
cosmos,Bitforex #01 (Deposit),Upbit #16 (Staking),0.8990464226789823,0.0
cosmos,Bitforex #01 (Deposit),Upbit #17 (Staking),0.8615099256756603,0.0
cosmos,Bitforex #01 (Deposit),Upbit #18 (Staking),0.8811782668235992,0.0
cosmos,Bitforex #01 (Deposit),Upbit #19 (Staking),0.8872062401129088,0.0
cosmos,Bitforex #01 (Deposit),Upbit #20 (Staking),0.9038239371693618,0.0
cosmos,Bithumb #02 (Withdraw),Bithumb #03,0.7173191875665879,0.0
cosmos,Bithumb #02 (Withdraw),Coinbase #01,0.5084701482901263,5.583674061407891e-161
cosmos,Bithumb #02 (Withdraw),Coinbase #08,0.660813061161442,6.547888622811694e-307
cosmos,Bithumb #02 (Withdraw),Digfinex #01 (Deposit),0.586279047326788,8.31463604042746e-226
cosmos,Bithumb #02 (Withdraw),DokiaCapital #01 (Validator),0.7302294174300316,0.0
cosmos,Bithumb #02 (Withdraw),MEXC #01 (Deposit),0.6869008899187874,0.0
