chainName,fig1,fig2,corr,p_values
cosmos,Binance #02 (Deposit),Coinbase #01,0.5675495599631122,1.3430268347869974e-208
cosmos,Binance #02 (Deposit),Coinbase #03,0.5207064274105869,4.419709536986319e-170
cosmos,Binance #02 (Deposit),DokiaCapital #01 (Validator),0.5698639846143438,1.1518562141158738e-210
cosmos,Binance #03 (Withdraw),Digfinex #01 (Deposit),0.54467190541785,5.031066980156033e-189
cosmos,Binance #03 (Withdraw),DokiaCapital #01 (Validator),0.5742624242473775,1.2249823061521347e-214
cosmos,Binance #03 (Withdraw),Upbit #10 (Validator),0.6085686707527332,8.270933266432141e-248
cosmos,Binance #04 (Staking),Bithumb #02 (Withdraw),0.6314684722851738,2.572758747341533e-272
cosmos,Binance #04 (Staking),Bithumb #03,0.7903374478392085,0.0
cosmos,Binance #04 (Staking),Coinbase #06,0.5574696067492017,8.71828059826619e-200
cosmos,Binance #04 (Staking),Coinbase #08,0.8075222467790988,0.0
cosmos,Binance #04 (Staking),Digfinex #01 (Deposit),0.6631612840731782,7.5419542801834e-310
cosmos,Binance #04 (Staking),HitBTC #02,0.7423168138759606,0.0
cosmos,Binance #04 (Staking),MEXC #01 (Deposit),0.7024491698016055,0.0
cosmos,Binance #04 (Staking),OKK #01,0.8134203308294959,0.0
cosmos,Binance #04 (Staking),bonded_tokens_pool,0.8094633434097889,0.0
cosmos,Binance #04 (Staking),distribution,0.7603442876286683,0.0
cosmos,Bitforex #01 (Deposit),Coinbase #03,0.604264131007914,2.0083789466480396e-243
cosmos,Bitforex #01 (Deposit),Coinbase #05,0.5348195073889505,4.728191038299994e-181
cosmos,Bitforex #01 (Deposit),Coinone #01(Deposit),0.518957881463797,9.308272770558872e-169
cosmos,Bitforex #01 (Deposit),DokiaCapital #02 (Validator),0.8466594949075308,0.0
cosmos,Bitforex #01 (Deposit),Ignite,0.8356142978204983,0.0
cosmos,Bitforex #01 (Deposit),Interchain Foundation #01,0.8238360781229076,0.0
cosmos,Bitforex #01 (Deposit),Interchain Foundation #02,0.837763132645317,0.0
cosmos,Bitforex #01 (Deposit),Kraken #01,0.8493938940881318,0.0
cosmos,Bitforex #01 (Deposit),Upbit #01 (Deposit),0.5583686573333458,1.467932825813003e-200
cosmos,Bitforex #01 (Deposit),Upbit #10 (Validator),0.745659943912401,0.0
cosmos,Bitforex #01 (Deposit),Upbit #16 (Staking),0.8990464226789823,0.0
cosmos,Bithumb #02 (Withdraw),Bithumb #03,0.7173191875665879,0.0
cosmos,Bithumb #02 (Withdraw),Coinbase #01,0.5084701482901263,5.583674061407891e-161
cosmos,Bithumb #02 (Withdraw),Coinbase #08,0.660813061161442,6.547888622811694e-307
cosmos,Bithumb #02 (Withdraw),Digfinex #01 (Deposit),0.586279047326788,8.31463604042746e-226
cosmos,Bithumb #02 (Withdraw),DokiaCapital #01 (Validator),0.7302294174300316,0.0
cosmos,Bithumb #02 (Withdraw),MEXC #01 (Deposit),0.6869008899187874,0.0
cosmos,Bithumb #02 (Withdraw),distribution,0.5386796911421123,3.822553564166766e-184
cosmos,Bithumb #03,Coinbase #08,0.8197432124482744,0.0
cosmos,Bithumb #03,Digfinex #01 (Deposit),0.5905316191343137,7.149304924757616e-230
cosmos,Bithumb #03,DokiaCapital #01 (Validator),0.5830487335595156,9.2906321044628e-223
cosmos,Bithumb #03,HitBTC #02,0.5750943214727107,2.1372175144901629e-215
cosmos,Bithumb #03,MEXC #01 (Deposit),0.6679092950906387,7.13390714e-316
cosmos,Bithumb #03,OKK #01,0.6250337011135008,3.1915109180762524e-265
cosmos,Bithumb #03,Upbit #02 (Withdraw),0.5270026870281348,6.532929279668148e-175
cosmos,Bithumb #03,bonded_tokens_pool,0.6853224985586948,0.0
cosmos,Bithumb #03,distribution,0.7031904054119991,0.0
