time(KST),price(USD),market_cap(USD),total_volume(USD),dominance(%),rate_of_change_in_price(%)
2019-03-16T00:00:00+09:00,6.233417073,1472326624,5635309.572,0.125431188,-2.855502176
2019-03-17T00:00:00+09:00,5.464144129,1290271156,3032152.398,0.109921427,-12.34111139
2019-03-18T00:00:00+09:00,3.872634124,914757270,2208926.541,0.07793046,-29.12642798
2019-03-19T00:00:00+09:00,4.306728601,1017317602,2435551.413,0.086667831,11.20928191
2019-03-20T00:00:00+09:00,4.285857984,1012176445,3499648.517,0.086229843,-0.484604869
2019-03-21T00:00:00+09:00,4.223250249,997527313,3928709.515,0.084981847,-1.460798167
2019-03-22T00:00:00+09:00,3.567426264,842664088,3753075.126,0.071788661,-15.52889236
2019-03-23T00:00:00+09:00,3.442091471,813018422.6,4100044.828,0.069263073,-3.513311391
2019-03-24T00:00:00+09:00,3.340026273,794504714.8,3601266.22,0.067685844,-2.965208748
2019-03-25T00:00:00+09:00,3.119899307,736923160,2518819.044,0.062780327,-6.590575894
2019-03-26T00:00:00+09:00,3.640200463,859970351.5,4686154.967,0.073263025,16.67685733
2019-03-27T00:00:00+09:00,3.639734504,859728697.6,6735062.704,0.073242438,-0.012800374
2019-03-28T00:00:00+09:00,3.655400563,866975802.8,7250493.637,0.073859837,0.430417621
2019-03-29T00:00:00+09:00,3.422499943,808383237.5,6061670.146,0.06886819,-6.371411718
2019-03-30T00:00:00+09:00,3.443497092,813316151.3,4312592.349,0.069288437,0.613503269
2019-03-31T00:00:00+09:00,3.401414525,803410570.3,3616979.151,0.068444556,-1.222088063
2019-04-01T00:00:00+09:00,3.574441451,846799100.1,4247323.606,0.071991672,5.086910899
2019-04-02T00:00:00+09:00,3.527284143,838417735.2,3919114.472,0.07127912,-1.31929166
2019-04-03T00:00:00+09:00,3.724247055,880049098.7,5604353.98,0.074818462,5.583982005
2019-04-04T00:00:00+09:00,3.663364267,872476480.4,5193406.069,0.074174667,-1.634767702
2019-04-05T00:00:00+09:00,3.725940798,880467013.8,5535656.915,0.074853992,1.708171145
2019-04-06T00:00:00+09:00,3.537351394,833427685.7,4297699.109,0.070854885,-5.061524448
2019-04-07T00:00:00+09:00,4.563790002,1078639795,5266494.961,0.091701896,29.01715135
2019-04-08T00:00:00+09:00,4.689565134,1105109184,4503594.22,0.093952223,2.755936017
2019-04-09T00:00:00+09:00,3.228305427,761786557,1643079.155,0.064764226,-31.1598126
2019-04-10T00:00:00+09:00,5.37181977,1279388391,1460936.18,0.108768786,66.39750768
2019-04-11T00:00:00+09:00,3.765090518,889920237,4847500.923,0.075657669,-29.91033432
2019-04-12T00:00:00+09:00,3.559131313,841100220.7,5596573.869,0.071507175,-5.470232506
2019-04-13T00:00:00+09:00,4.372678317,1032891345,509322375.7,0.087812535,22.85802161
2019-04-14T00:00:00+09:00,4.28500091,1011839745,4438586.412,0.086022807,-2.005119078
2019-04-15T00:00:00+09:00,4.44213242,1044309576,4542591.728,0.08878327,3.667012292
2019-04-16T00:00:00+09:00,4.270722843,1010619546,4432822.308,0.08591907,-3.858722803
2019-04-17T00:00:00+09:00,4.401791538,1049353169,6704484.131,0.089212057,3.069004937
2019-04-18T00:00:00+09:00,4.335618154,1024196085,5004567.918,0.087073296,-1.503328441
2019-04-19T00:00:00+09:00,4.35691448,1028783185,3948980.021,0.087463274,0.491194678
2019-04-20T00:00:00+09:00,4.87875491,1152069147,6148391.599,0.097944583,11.97729339
2019-04-21T00:00:00+09:00,5.41086829,1277917337,4303794.684,0.108643722,10.90674546
2019-04-22T00:00:00+09:00,5.220161981,1232996826,4503286.925,0.10482475,-3.524504728
2019-04-23T00:00:00+09:00,4.314962753,1025570863,14843442.72,0.087190175,-17.3404433
2019-04-24T00:00:00+09:00,4.085294113,966067577.8,54375744.68,0.082020603,-5.322610023
