timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,102,301148.972033,9
2023-04-13 12:00:00,59,642347.334612,9
2023-04-13 00:00:00,59,642347.005282,9
2023-04-12 12:00:00,60,641846.865653,9
2023-04-12 00:00:00,60,641674.078858,9
2023-04-11 12:00:00,60,641673.738977,9
2023-04-11 08:00:00,60,641672.82852,9
2023-04-11 07:00:00,60,641672.82852,9
2023-04-11 06:00:00,60,641672.82852,9
2023-04-11 05:00:00,60,641672.678858,9
2023-04-11 04:00:00,60,641672.678858,9
2023-04-11 03:00:00,60,641672.678858,9
2023-04-11 02:00:00,60,641672.678858,9
2023-04-11 01:00:00,60,641954.038075,9
2023-04-11 00:00:00,60,642074.610877,9
2023-04-10 23:00:00,60,642074.610877,9
2023-04-10 22:00:00,60,642074.610877,9
2023-04-10 21:00:00,60,642074.599324,9
2023-04-10 20:00:00,60,642074.324263,9
2023-04-10 19:00:00,60,642074.324263,9
2023-04-10 18:00:00,60,642074.324263,9
2023-04-10 17:00:00,60,642074.097857,9
2023-04-10 16:00:00,60,642074.097802,9
2023-04-10 15:00:00,60,642074.097256,9
2023-04-10 14:00:00,60,642074.097256,9
2023-04-10 13:00:00,60,642304.889007,9
2023-04-10 12:00:00,60,642304.889007,9
2023-04-10 11:00:00,60,642304.889007,9
2023-04-10 10:00:00,60,642304.889007,9
2023-04-10 09:00:00,60,642263.842203,9
2023-04-10 08:00:00,60,642263.839453,9
2023-04-10 07:00:00,60,642263.836996,9
2023-04-10 06:00:00,60,642263.836996,9
2023-04-10 05:00:00,60,642263.836996,9
2023-04-10 04:00:00,60,642263.836996,9
2023-04-10 03:00:00,60,642263.83133,9
2023-04-10 02:00:00,60,642263.83133,9
2023-04-10 01:00:00,60,642263.83133,9
2023-04-10 00:00:00,60,642263.83133,9
2023-04-09 23:00:00,60,642263.83133,9
2023-04-09 22:00:00,60,642263.817577,9
2023-04-09 21:00:00,60,642263.024272,9
2023-04-09 20:00:00,60,642263.024272,9
2023-04-09 19:00:00,60,642263.013004,9
2023-04-09 18:00:00,60,642262.996501,9
2023-04-09 17:00:00,60,642262.810676,9
2023-04-09 16:00:00,60,642262.810676,9
2023-04-09 15:00:00,60,642262.810566,9
2023-04-09 14:00:00,60,642262.810561,9
2023-04-09 13:00:00,60,642262.810561,9
2023-04-09 12:00:00,60,642262.810561,9
2023-04-09 11:00:00,60,642262.786215,9
2023-04-09 10:00:00,60,642262.451053,9
2023-04-09 09:00:00,60,642262.448872,9
2023-04-09 08:00:00,60,642262.448872,9
2023-04-09 07:00:00,60,642262.445094,9
2023-04-09 06:00:00,60,642262.445094,9
2023-04-09 05:00:00,60,642262.432781,9
2023-04-09 04:00:00,60,642262.377478,9
2023-04-09 03:00:00,60,642262.377478,9
2023-04-09 02:00:00,60,642262.366418,9
2023-04-09 01:00:00,60,642262.366418,9
2023-04-09 00:00:00,60,642262.366418,9
2023-04-08 23:00:00,60,642262.363653,9
2023-04-08 22:00:00,60,642262.363653,9
2023-04-08 21:00:00,60,642262.354231,9
2023-04-08 20:00:00,60,642262.354231,9
2023-04-08 19:00:00,60,642262.321004,9
2023-04-08 18:00:00,60,642262.320661,9
2023-04-08 17:00:00,60,642262.092689,9
2023-04-08 16:00:00,60,642262.02018,9
2023-04-08 15:00:00,60,642261.638619,9
2023-04-08 14:00:00,60,642261.638619,9
2023-04-08 13:00:00,60,642260.809242,9
2023-04-08 12:00:00,60,642260.803713,9
2023-04-08 11:00:00,60,642260.787126,9
2023-04-08 10:00:00,60,642260.78302,9
2023-04-08 09:00:00,60,642260.78302,9
2023-04-08 08:00:00,60,642260.63377,9
2023-04-08 07:00:00,60,642260.276362,9
2023-04-08 06:00:00,60,642260.25418,9
2023-04-08 05:00:00,60,642260.214951,9
2023-04-08 04:00:00,60,642260.214951,9
2023-04-08 03:00:00,60,642260.214951,9
2023-04-08 02:00:00,60,642260.214951,9
2023-04-08 01:00:00,60,642260.214951,9
2023-04-08 00:00:00,60,642260.214951,9
2023-04-07 23:00:00,60,642260.214951,9
2023-04-07 22:00:00,60,642260.045126,9
2023-04-07 21:00:00,60,642260.045126,9
2023-04-07 20:00:00,60,642260.045126,9
2023-04-07 19:00:00,60,642260.045126,9
2023-04-07 18:00:00,60,642260.045126,9
2023-04-07 17:00:00,60,642260.045126,9
