timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,104,300744.603565,1
2023-04-13 12:00:00,103,301975.504541,1
2023-04-13 00:00:00,104,300621.131707,1
2023-04-12 12:00:00,103,301362.081085,1
2023-04-12 00:00:00,103,301268.249138,1
2023-04-11 12:00:00,103,301167.377744,1
2023-04-11 08:00:00,103,301121.698159,1
2023-04-11 07:00:00,103,301121.698159,1
2023-04-11 06:00:00,103,301120.026161,1
2023-04-11 05:00:00,103,301118.632805,1
2023-04-11 04:00:00,103,301115.664271,1
2023-04-11 03:00:00,103,301115.152764,1
2023-04-11 02:00:00,103,301106.606759,1
2023-04-11 01:00:00,103,301076.165311,1
2023-04-11 00:00:00,103,301075.742458,1
2023-04-10 23:00:00,103,301073.108647,1
2023-04-10 22:00:00,103,301072.672257,1
2023-04-10 21:00:00,103,301071.792073,1
2023-04-10 20:00:00,103,301071.046781,1
2023-04-10 19:00:00,103,300972.582309,1
2023-04-10 18:00:00,103,300970.817274,1
2023-04-10 17:00:00,103,300969.821568,1
2023-04-10 16:00:00,103,300962.431062,1
2023-04-10 15:00:00,103,300953.299462,1
2023-04-10 14:00:00,103,300953.299462,1
2023-04-10 13:00:00,103,302953.102128,1
2023-04-10 12:00:00,103,302937.188148,1
2023-04-10 11:00:00,103,302950.273888,1
2023-04-10 10:00:00,103,302950.273888,1
2023-04-10 09:00:00,103,302948.536094,1
2023-04-10 08:00:00,103,302947.482773,1
2023-04-10 07:00:00,103,302946.74897,1
2023-04-10 06:00:00,103,302946.74897,1
2023-04-10 05:00:00,103,302945.840562,1
2023-04-10 04:00:00,103,302945.434496,1
2023-04-10 03:00:00,103,302944.97284,1
2023-04-10 02:00:00,103,302944.54149,1
2023-04-10 01:00:00,103,302942.27059,1
2023-04-10 00:00:00,103,302941.897126,1
2023-04-09 23:00:00,103,302941.381165,1
2023-04-09 22:00:00,103,302935.531939,1
2023-04-09 21:00:00,103,302930.681362,1
2023-04-09 20:00:00,103,302917.100738,1
2023-04-09 19:00:00,103,302915.961375,1
2023-04-09 18:00:00,103,302917.59151,1
2023-04-09 17:00:00,103,302916.728225,1
2023-04-09 16:00:00,103,302966.978582,1
2023-04-09 15:00:00,103,302966.522507,1
2023-04-09 14:00:00,103,302965.088231,1
2023-04-09 13:00:00,103,302964.656349,1
2023-04-09 12:00:00,103,302943.875487,1
2023-04-09 11:00:00,103,302943.407585,1
2023-04-09 10:00:00,103,302942.887326,1
2023-04-09 09:00:00,103,303085.428338,1
2023-04-09 08:00:00,103,303084.449533,1
2023-04-09 07:00:00,103,303082.569661,1
2023-04-09 06:00:00,103,303082.157427,1
2023-04-09 05:00:00,103,303081.284633,1
2023-04-09 04:00:00,103,303067.743073,1
2023-04-09 03:00:00,103,303063.421917,1
2023-04-09 02:00:00,103,303087.149961,1
2023-04-09 01:00:00,103,303086.544733,1
2023-04-09 00:00:00,103,303086.121002,1
2023-04-08 23:00:00,103,303084.783344,1
2023-04-08 22:00:00,103,303084.353685,1
2023-04-08 21:00:00,103,303063.659674,1
2023-04-08 20:00:00,103,303052.321424,1
2023-04-08 19:00:00,103,303051.79902,1
2023-04-08 18:00:00,103,303051.382742,1
2023-04-08 17:00:00,103,303040.098369,1
2023-04-08 16:00:00,103,303039.623876,1
2023-04-08 15:00:00,103,303014.237701,1
2023-04-08 14:00:00,103,303010.090693,1
2023-04-08 13:00:00,103,303007.834983,1
2023-04-08 12:00:00,103,302988.821674,1
2023-04-08 11:00:00,103,302987.925347,1
2023-04-08 10:00:00,103,303000.784957,1
2023-04-08 09:00:00,103,302933.859235,1
2023-04-08 08:00:00,103,302878.709714,1
2023-04-08 07:00:00,103,302877.894254,1
2023-04-08 06:00:00,103,302875.01165,1
2023-04-08 05:00:00,103,302874.48504,1
2023-04-08 04:00:00,103,302872.272583,1
2023-04-08 03:00:00,103,302869.196566,1
2023-04-08 02:00:00,103,302868.767814,1
2023-04-08 01:00:00,103,302868.305965,1
2023-04-08 00:00:00,103,302867.900227,1
2023-04-07 23:00:00,103,302867.469145,1
2023-04-07 22:00:00,103,302866.490364,1
2023-04-07 21:00:00,103,302866.03361,1
2023-04-07 20:00:00,103,302863.403918,1
2023-04-07 19:00:00,103,302862.141035,1
2023-04-07 18:00:00,103,302862.141035,1
2023-04-07 17:00:00,103,302832.598712,1
2023-04-07 16:00:00,103,302814.885037,1
2023-04-07 15:00:00,103,302813.835801,1
2023-04-07 14:00:00,103,302813.421075,1
2023-04-07 13:00:00,103,302800.580223,1
2023-04-07 12:00:00,103,302857.255835,1
2023-04-07 11:00:00,103,302857.161493,1
2023-04-07 10:00:00,103,302853.93014,1
2023-04-07 09:00:00,103,302853.516381,1
2023-04-07 08:00:00,103,302845.74976,1
2023-04-07 07:00:00,103,302829.926065,1
2023-04-07 06:00:00,103,302826.909019,1
2023-04-07 05:00:00,103,302826.252588,1
2023-04-07 04:00:00,103,302746.203177,1
2023-04-07 03:00:00,103,302745.320821,1
2023-04-07 02:00:00,103,302744.911637,1
2023-04-07 01:00:00,103,302744.193849,1
2023-04-07 00:00:00,103,302743.774153,1
2023-04-06 23:00:00,103,302743.300938,1
2023-04-06 22:00:00,103,302742.869935,1
2023-04-06 21:00:00,103,302654.765484,1
2023-04-06 20:00:00,103,302650.80483,1
2023-04-06 19:00:00,101,302538.340066,1
2023-04-06 18:00:00,100,302537.043598,1
2023-04-06 17:00:00,100,302535.665199,1
2023-04-06 16:00:00,100,302535.023548,1
2023-04-06 15:00:00,100,302532.093255,1
2023-04-06 14:00:00,100,302446.318544,1
2023-04-06 13:00:00,100,303739.390123,1
2023-04-06 12:00:00,100,303735.605062,1
2023-04-06 11:00:00,100,303725.089208,1
2023-04-06 10:00:00,100,303746.61237,1
2023-04-06 09:00:00,100,303746.157936,1
2023-04-06 08:00:00,100,303745.748336,1
2023-04-06 07:00:00,100,303733.530149,1
2023-04-06 06:00:00,100,303732.969303,1
2023-04-06 05:00:00,100,303730.165798,1
2023-04-06 04:00:00,100,303693.092424,1
2023-04-06 03:00:00,100,303677.008044,1
2023-04-06 02:00:00,100,303612.751727,1
2023-04-06 01:00:00,100,303606.402677,1
2023-04-06 00:00:00,100,303605.989609,1
2023-04-05 23:00:00,100,303554.387006,1
2023-04-05 22:00:00,100,303553.951012,1
2023-04-05 21:00:00,100,303553.44562,1
2023-04-05 20:00:00,100,303553.015376,1
2023-04-05 19:00:00,100,303553.015376,1
2023-04-05 18:00:00,100,303508.986717,1
2023-04-05 17:00:00,100,303406.127775,1
2023-04-05 16:00:00,100,303407.720398,1
2023-04-05 15:00:00,100,303399.604193,1
2023-04-05 14:00:00,100,303396.64887,1
2023-04-05 13:00:00,100,303396.171515,1
2023-04-05 12:00:00,100,303377.090072,1
2023-04-05 11:00:00,100,303376.489183,1
2023-04-05 10:00:00,100,303376.052034,1
2023-04-05 09:00:00,100,303375.199606,1
2023-04-05 08:00:00,100,303373.65067,1
2023-04-05 07:00:00,100,303372.969728,1
2023-04-05 06:00:00,100,303374.543339,1
2023-04-05 05:00:00,100,303353.851347,1
2023-04-05 04:00:00,100,303353.314719,1
2023-04-05 03:00:00,100,303352.739765,1
2023-04-05 02:00:00,100,303351.492806,1
2023-04-05 01:00:00,100,303351.015164,1
2023-04-05 00:00:00,100,303339.973443,1
2023-04-04 23:00:00,100,303337.663106,1
2023-04-04 22:00:00,100,303337.21207,1
2023-04-04 21:00:00,100,303315.516883,1
2023-04-04 20:00:00,100,303295.081855,1
2023-04-04 19:00:00,100,303293.57939,1
2023-04-04 18:00:00,100,303293.06546,1
2023-04-04 17:00:00,98,303239.618663,1
2023-04-04 16:00:00,107,249328.919761,1
2023-04-04 15:00:00,107,249328.386445,1
2023-04-04 14:00:00,107,249236.538824,1
2023-04-04 13:00:00,107,249236.538824,1
2023-04-04 12:00:00,107,249085.323189,1
2023-04-04 11:00:00,107,249084.762895,1
2023-04-04 10:00:00,107,249084.286928,1
2023-04-04 09:00:00,107,249081.506727,1
2023-04-04 08:00:00,107,249067.53694,1
2023-04-04 07:00:00,107,249067.53694,1
2023-04-04 06:00:00,107,249100.152842,1
2023-04-04 05:00:00,107,249100.052076,1
2023-04-04 04:00:00,107,249099.182736,1
2023-04-04 03:00:00,107,249098.666857,1
2023-04-04 02:00:00,107,249097.063463,1
2023-04-04 01:00:00,107,249084.76685,1
2023-04-04 00:00:00,107,249084.089564,1
2023-04-03 23:00:00,107,249083.649872,1
2023-04-03 22:00:00,107,249083.163976,1
2023-04-03 21:00:00,106,249082.697497,1
2023-04-03 20:00:00,106,249081.210109,1
2023-04-03 19:00:00,106,249080.762193,1
