timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,105,296344.391826,9
2023-04-13 12:00:00,105,296343.739397,9
2023-04-13 00:00:00,105,296343.672423,9
2023-04-12 12:00:00,105,296283.659746,9
2023-04-12 00:00:00,105,296282.939352,9
2023-04-11 12:00:00,105,296280.57462,9
2023-04-11 08:00:00,105,296111.803118,9
2023-04-11 07:00:00,105,296111.803118,9
2023-04-11 06:00:00,105,296111.803118,9
2023-04-11 05:00:00,105,296111.652117,9
2023-04-11 04:00:00,105,296111.642694,9
2023-04-11 03:00:00,105,296111.642694,9
2023-04-11 02:00:00,105,296111.642694,9
2023-04-11 01:00:00,105,296111.642694,9
2023-04-11 00:00:00,105,296111.642694,9
2023-04-10 23:00:00,105,296111.642694,9
2023-04-10 22:00:00,105,296111.642694,9
2023-04-10 21:00:00,105,296111.631038,9
2023-04-10 20:00:00,105,296111.353515,9
2023-04-10 19:00:00,105,296111.353515,9
2023-04-10 18:00:00,105,296110.653515,9
2023-04-10 17:00:00,105,296110.556177,9
2023-04-10 16:00:00,105,296110.556122,9
2023-04-10 15:00:00,105,296110.555571,9
2023-04-10 14:00:00,105,296110.555571,9
2023-04-10 13:00:00,105,296110.547248,9
2023-04-10 12:00:00,105,296110.547248,9
2023-04-10 11:00:00,105,296110.547248,9
2023-04-10 10:00:00,105,296110.547248,9
2023-04-10 09:00:00,105,296110.547248,9
2023-04-10 08:00:00,105,296110.544473,9
2023-04-10 07:00:00,105,296110.541994,9
2023-04-10 06:00:00,105,296110.541994,9
2023-04-10 05:00:00,105,296110.541994,9
2023-04-10 04:00:00,105,296110.541994,9
2023-04-10 03:00:00,105,296110.541994,9
2023-04-10 02:00:00,105,296110.541994,9
2023-04-10 01:00:00,105,296110.541994,9
2023-04-10 00:00:00,105,296110.541994,9
2023-04-09 23:00:00,105,296116.841994,9
2023-04-09 22:00:00,105,296116.828118,9
2023-04-09 21:00:00,105,296116.027713,9
2023-04-09 20:00:00,105,296115.906923,9
2023-04-09 19:00:00,105,296115.895554,9
2023-04-09 18:00:00,105,296115.878903,9
2023-04-09 17:00:00,105,296115.875799,9
2023-04-09 16:00:00,105,296115.873819,9
2023-04-09 15:00:00,105,296115.873709,9
2023-04-09 14:00:00,105,296115.873704,9
2023-04-09 13:00:00,105,296115.873704,9
2023-04-09 12:00:00,105,296115.873704,9
2023-04-09 11:00:00,105,296115.849138,9
2023-04-09 10:00:00,105,296115.823749,9
2023-04-09 09:00:00,105,296115.821549,9
2023-04-09 08:00:00,105,296115.821549,9
2023-04-09 07:00:00,105,296115.817737,9
2023-04-09 06:00:00,105,296115.817737,9
2023-04-09 05:00:00,105,296115.805313,9
2023-04-09 04:00:00,105,296115.749512,9
2023-04-09 03:00:00,105,296115.749512,9
2023-04-09 02:00:00,105,296115.738352,9
2023-04-09 01:00:00,105,296115.738352,9
2023-04-09 00:00:00,105,296115.738352,9
2023-04-08 23:00:00,105,296115.735562,9
2023-04-08 22:00:00,105,296115.735562,9
2023-04-08 21:00:00,105,296115.726055,9
2023-04-08 20:00:00,105,296115.726055,9
2023-04-08 19:00:00,105,296114.342529,9
2023-04-08 18:00:00,105,296114.342183,9
2023-04-08 17:00:00,105,296114.333472,9
2023-04-08 16:00:00,105,296114.260309,9
