timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,107,284678.656339,1
2023-04-13 12:00:00,107,284501.488678,1
2023-04-13 00:00:00,107,283396.04346,1
2023-04-12 12:00:00,107,283009.70805,1
2023-04-12 00:00:00,107,282791.052286,1
2023-04-11 12:00:00,107,284003.351689,1
2023-04-11 08:00:00,107,284449.649099,1
2023-04-11 07:00:00,107,284449.649099,1
2023-04-11 06:00:00,107,284445.441188,1
2023-04-11 05:00:00,107,284445.290181,1
2023-04-11 04:00:00,107,284426.243256,1
2023-04-11 03:00:00,107,284426.243256,1
2023-04-11 02:00:00,107,284424.643105,1
2023-04-11 01:00:00,107,284424.797793,1
2023-04-11 00:00:00,107,284424.797793,1
2023-04-10 23:00:00,107,284424.600766,1
2023-04-10 22:00:00,107,284422.019524,1
2023-04-10 21:00:00,107,284421.382162,1
2023-04-10 20:00:00,107,284422.566487,1
2023-04-10 19:00:00,107,284371.450341,1
2023-04-10 18:00:00,107,284371.450341,1
2023-04-10 17:00:00,107,284371.413206,1
2023-04-10 16:00:00,107,284360.880693,1
2023-04-10 15:00:00,107,284343.870434,1
2023-04-10 14:00:00,107,284343.870434,1
2023-04-10 13:00:00,107,284335.311344,1
2023-04-10 12:00:00,107,284231.424439,1
2023-04-10 11:00:00,107,284217.87075,1
2023-04-10 10:00:00,107,284217.72075,1
2023-04-10 09:00:00,107,284217.344081,1
2023-04-10 08:00:00,107,284216.330626,1
2023-04-10 07:00:00,107,284191.328147,1
2023-04-10 06:00:00,107,284191.05391,1
2023-04-10 05:00:00,107,284191.05391,1
2023-04-10 04:00:00,107,284092.728559,1
2023-04-10 03:00:00,107,284092.442692,1
2023-04-10 02:00:00,107,284082.622692,1
2023-04-10 01:00:00,107,284082.622692,1
2023-04-10 00:00:00,107,284082.622692,1
2023-04-09 23:00:00,107,284082.622692,1
2023-04-09 22:00:00,107,284082.608816,1
2023-04-09 21:00:00,107,284080.90256,1
2023-04-09 20:00:00,107,284070.840968,1
2023-04-09 19:00:00,107,284069.090149,1
2023-04-09 18:00:00,107,284069.073498,1
2023-04-09 17:00:00,107,284029.069904,1
2023-04-09 16:00:00,107,284029.069904,1
2023-04-09 15:00:00,107,284029.069794,1
2023-04-09 14:00:00,107,284024.95908,1
2023-04-09 13:00:00,107,284024.190455,1
2023-04-09 12:00:00,107,284003.853524,1
2023-04-09 11:00:00,107,283993.763351,1
2023-04-09 10:00:00,107,283982.387961,1
2023-04-09 09:00:00,107,284045.65466,1
2023-04-09 08:00:00,107,284045.571008,1
2023-04-09 07:00:00,107,284045.567196,1
2023-04-09 06:00:00,107,284043.581978,1
