timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,108,282464.286756,6
2023-04-13 12:00:00,108,282202.14101,6
2023-04-13 00:00:00,108,282405.176635,6
2023-04-12 12:00:00,108,282153.112654,6
2023-04-12 00:00:00,108,281924.205381,6
2023-04-11 12:00:00,108,281948.654033,6
2023-04-11 08:00:00,108,281119.758322,6
2023-04-11 07:00:00,108,281119.758322,6
2023-04-11 06:00:00,108,281118.898322,6
2023-04-11 05:00:00,108,281117.346572,6
2023-04-11 04:00:00,108,281117.346572,6
2023-04-11 03:00:00,108,281114.346572,6
2023-04-11 02:00:00,108,281098.346572,6
2023-04-11 01:00:00,108,281098.346572,6
2023-04-11 00:00:00,108,281098.346572,6
2023-04-10 23:00:00,108,281089.846572,6
2023-04-10 22:00:00,108,281089.846572,6
2023-04-10 21:00:00,108,281089.835073,6
2023-04-10 20:00:00,108,281087.846686,6
2023-04-10 19:00:00,108,281087.846686,6
2023-04-10 18:00:00,108,281082.895255,6
2023-04-10 17:00:00,108,281077.266434,6
2023-04-10 16:00:00,108,281076.76638,6
2023-04-10 15:00:00,108,281068.83299,6
2023-04-10 14:00:00,108,281068.83299,6
2023-04-10 13:00:00,109,281064.114779,6
2023-04-10 12:00:00,109,281063.514779,6
2023-04-10 11:00:00,109,281063.50733,6
2023-04-10 10:00:00,109,281084.013115,6
2023-04-10 09:00:00,109,281083.013115,6
2023-04-10 08:00:00,109,281139.606245,6
2023-04-10 07:00:00,109,280837.1615,6
2023-04-10 06:00:00,109,280837.1615,6
2023-04-10 05:00:00,109,280833.1615,6
2023-04-10 04:00:00,109,280832.1615,6
2023-04-10 03:00:00,109,280832.1615,6
2023-04-10 02:00:00,109,280832.1615,6
2023-04-10 01:00:00,109,280831.934493,6
2023-04-10 00:00:00,109,280831.934493,6
2023-04-09 23:00:00,109,280831.934493,6
2023-04-09 22:00:00,109,280831.130804,6
2023-04-09 21:00:00,109,280830.307515,6
2023-04-09 20:00:00,109,280795.715942,6
2023-04-09 19:00:00,109,280815.639432,6
2023-04-09 18:00:00,109,280813.223006,6
2023-04-09 17:00:00,109,280804.878164,6
2023-04-09 16:00:00,109,280787.128164,6
2023-04-09 15:00:00,109,280786.986875,6
2023-04-09 14:00:00,109,280786.454048,6
2023-04-09 13:00:00,109,280781.104148,6
2023-04-09 12:00:00,109,280766.854148,6
2023-04-09 11:00:00,109,280766.790678,6
2023-04-09 10:00:00,109,280761.765634,6
2023-04-09 09:00:00,109,280761.183464,6
2023-04-09 08:00:00,109,280754.374413,6
