timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,109,279880.095709,10
2023-04-13 12:00:00,109,279879.829046,10
2023-04-13 00:00:00,109,279879.769187,10
2023-04-12 12:00:00,109,279739.753344,10
2023-04-12 00:00:00,109,279993.183223,10
2023-04-11 12:00:00,109,279991.402729,10
2023-04-11 08:00:00,109,279990.667307,10
2023-04-11 07:00:00,109,279990.667307,10
2023-04-11 06:00:00,109,279990.667307,10
2023-04-11 05:00:00,109,279990.5163,10
2023-04-11 04:00:00,109,279990.5163,10
2023-04-11 03:00:00,109,279990.5163,10
2023-04-11 02:00:00,109,279989.109276,10
2023-04-11 01:00:00,109,279989.109276,10
2023-04-11 00:00:00,109,279989.109276,10
2023-04-10 23:00:00,109,279989.109276,10
2023-04-10 22:00:00,109,279989.109276,10
2023-04-10 21:00:00,109,279989.09762,10
2023-04-10 20:00:00,109,279988.820086,10
2023-04-10 19:00:00,109,279988.820086,10
2023-04-10 18:00:00,109,279988.820086,10
2023-04-10 17:00:00,109,279989.108038,10
2023-04-10 16:00:00,109,279989.107983,10
2023-04-10 15:00:00,109,279989.107432,10
2023-04-10 14:00:00,109,279989.107432,10
2023-04-10 13:00:00,110,279989.099109,10
2023-04-10 12:00:00,110,279989.099109,10
2023-04-10 11:00:00,110,279989.099109,10
2023-04-10 10:00:00,110,279989.099109,10
2023-04-10 09:00:00,110,279989.099109,10
2023-04-10 08:00:00,110,279989.096334,10
2023-04-10 07:00:00,110,280299.093854,10
2023-04-10 06:00:00,110,280299.093854,10
2023-04-10 05:00:00,110,280299.093854,10
2023-04-10 04:00:00,110,280299.093854,10
2023-04-10 03:00:00,110,280299.093854,10
2023-04-10 02:00:00,110,280299.093854,10
2023-04-10 01:00:00,110,280299.093854,10
2023-04-10 00:00:00,110,280299.093854,10
2023-04-09 23:00:00,110,280299.093854,10
2023-04-09 22:00:00,110,280299.079978,10
2023-04-09 21:00:00,110,280298.279542,10
2023-04-09 20:00:00,110,280298.279542,10
