timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,10,5597072.110731,3
2023-04-13 12:00:00,10,5598665.59327,3
2023-04-13 00:00:00,10,5598931.343389,3
2023-04-12 12:00:00,10,5599738.711888,3
2023-04-12 00:00:00,10,5596493.484486,3
2023-04-11 12:00:00,10,5596308.737919,3
2023-04-11 08:00:00,10,5596139.701127,3
2023-04-11 07:00:00,10,5596139.701127,3
2023-04-11 06:00:00,10,5597106.190277,3
2023-04-11 05:00:00,10,5597111.253329,3
2023-04-11 04:00:00,10,5597106.816983,3
2023-04-11 03:00:00,10,5597162.55249,3
2023-04-11 02:00:00,10,5597160.012847,3
2023-04-11 01:00:00,10,5596809.144167,3
2023-04-11 00:00:00,10,5596713.485165,3
2023-04-10 23:00:00,10,5596746.235786,3
2023-04-10 22:00:00,10,5596738.102833,3
2023-04-10 21:00:00,10,5596712.725425,3
2023-04-10 20:00:00,10,5596735.684362,3
2023-04-10 19:00:00,10,5596733.96101,3
2023-04-10 18:00:00,10,5596643.707136,3
2023-04-10 17:00:00,10,5596696.738359,3
2023-04-10 16:00:00,10,5596651.147506,3
2023-04-10 15:00:00,10,5596636.288295,3
2023-04-10 14:00:00,10,5596625.726586,3
2023-04-10 13:00:00,10,5599712.830703,3
2023-04-10 12:00:00,10,5599665.479166,3
2023-04-10 11:00:00,10,5599662.079166,3
2023-04-10 10:00:00,10,5599658.376932,3
2023-04-10 09:00:00,10,5599687.376571,3
2023-04-10 08:00:00,10,5599671.189091,3
2023-04-10 07:00:00,10,5599300.010931,3
2023-04-10 06:00:00,10,5599300.010931,3
2023-04-10 05:00:00,10,5599171.9381,3
2023-04-10 04:00:00,10,5599435.858024,3
2023-04-10 03:00:00,10,5599435.532857,3
2023-04-10 02:00:00,10,5599409.577262,3
2023-04-10 01:00:00,10,5599380.044111,3
2023-04-10 00:00:00,10,5599365.195041,3
2023-04-09 23:00:00,10,5599315.133493,3
2023-04-09 22:00:00,10,5599272.505993,3
2023-04-09 21:00:00,10,5599250.591663,3
2023-04-09 20:00:00,10,5599207.95715,3
2023-04-09 19:00:00,10,5599193.103282,3
2023-04-09 18:00:00,10,5599158.245535,3
2023-04-09 17:00:00,10,5599149.775868,3
2023-04-09 16:00:00,10,5599135.342693,3
2023-04-09 15:00:00,10,5599034.927266,3
2023-04-09 14:00:00,10,5599029.70702,3
2023-04-09 13:00:00,10,5599024.188014,3
2023-04-09 12:00:00,10,5598988.94614,3
2023-04-09 11:00:00,10,5599158.337383,3
2023-04-09 10:00:00,10,5599150.786404,3
2023-04-09 09:00:00,10,5599136.307046,3
2023-04-09 08:00:00,10,5599124.007851,3
2023-04-09 07:00:00,10,5599113.507544,3
2023-04-09 06:00:00,10,5599100.832708,3
2023-04-09 05:00:00,10,5599070.383497,3
2023-04-09 04:00:00,10,5599120.652248,3
2023-04-09 03:00:00,10,5599150.317445,3
2023-04-09 02:00:00,10,5599146.43783,3
2023-04-09 01:00:00,10,5599177.830228,3
2023-04-09 00:00:00,10,5599177.558669,3
2023-04-08 23:00:00,10,5599096.083187,3
2023-04-08 22:00:00,10,5599163.439924,3
2023-04-08 21:00:00,10,5599163.454144,3
2023-04-08 20:00:00,10,5599296.56914,3
2023-04-08 19:00:00,10,5598282.69428,3
2023-04-08 18:00:00,10,5597940.921751,3
2023-04-08 17:00:00,10,5597897.65403,3
2023-04-08 16:00:00,10,5597797.6558,3
2023-04-08 15:00:00,10,5597788.897293,3
2023-04-08 14:00:00,10,5597776.515817,3
2023-04-08 13:00:00,10,5597692.669955,3
