timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,110,278472.75449,5
2023-04-13 12:00:00,110,278472.487836,5
2023-04-13 00:00:00,110,278469.194833,5
2023-04-12 12:00:00,110,278329.18419,5
2023-04-12 00:00:00,110,278325.483055,5
2023-04-11 12:00:00,110,278325.359449,5
2023-04-11 08:00:00,110,278318.488341,5
2023-04-11 07:00:00,110,278318.488341,5
2023-04-11 06:00:00,110,278318.488341,5
2023-04-11 05:00:00,110,278318.33734,5
2023-04-11 04:00:00,110,278318.33734,5
2023-04-11 03:00:00,110,278318.33734,5
2023-04-11 02:00:00,110,278318.33734,5
2023-04-11 01:00:00,110,278318.33734,5
2023-04-11 00:00:00,110,278318.33734,5
2023-04-10 23:00:00,110,278318.33734,5
2023-04-10 22:00:00,110,278318.33734,5
2023-04-10 21:00:00,110,278318.325684,5
2023-04-10 20:00:00,110,278318.048161,5
2023-04-10 19:00:00,110,278318.048161,5
2023-04-10 18:00:00,110,278289.048161,5
2023-04-10 17:00:00,110,278289.048161,5
2023-04-10 16:00:00,110,278264.048106,5
2023-04-10 15:00:00,110,278264.047555,5
2023-04-10 14:00:00,110,278238.027555,5
2023-04-10 13:00:00,111,278213.019232,5
2023-04-10 12:00:00,111,278203.609622,5
2023-04-10 11:00:00,111,278203.609622,5
2023-04-10 10:00:00,111,278203.609622,5
2023-04-10 09:00:00,111,278203.609622,5
2023-04-10 08:00:00,112,278203.606847,5
2023-04-10 07:00:00,112,278203.604368,5
2023-04-10 06:00:00,112,278203.604368,5
2023-04-10 05:00:00,112,278203.604368,5
2023-04-10 04:00:00,112,278203.604368,5
2023-04-10 03:00:00,112,278203.604368,5
2023-04-10 02:00:00,112,278203.604368,5
2023-04-10 01:00:00,112,278203.604368,5
2023-04-10 00:00:00,112,278203.604368,5
2023-04-09 23:00:00,112,278203.604368,5
2023-04-09 22:00:00,112,278203.590492,5
2023-04-09 21:00:00,112,278202.790087,5
2023-04-09 20:00:00,112,278202.790087,5
2023-04-09 19:00:00,112,278202.778718,5
2023-04-09 18:00:00,112,278202.762067,5
2023-04-09 17:00:00,112,278202.762067,5
2023-04-09 16:00:00,112,278202.762067,5
2023-04-09 15:00:00,112,278202.761957,5
2023-04-09 14:00:00,112,278202.761952,5
2023-04-09 13:00:00,112,278202.761952,5
2023-04-09 12:00:00,112,278182.425021,5
2023-04-09 11:00:00,112,278182.400455,5
2023-04-09 10:00:00,112,278182.375066,5
2023-04-09 09:00:00,112,278182.372866,5
2023-04-09 08:00:00,112,278182.372866,5
2023-04-09 07:00:00,112,278182.369054,5
2023-04-09 06:00:00,112,278182.369054,5
2023-04-09 05:00:00,112,278182.35663,5
2023-04-09 04:00:00,112,278182.300829,5
2023-04-09 03:00:00,112,278182.300829,5
2023-04-09 02:00:00,112,278182.289669,5
2023-04-09 01:00:00,112,278182.289669,5
2023-04-09 00:00:00,112,278182.289669,5
2023-04-08 23:00:00,112,278182.286879,5
2023-04-08 22:00:00,112,278182.286879,5
2023-04-08 21:00:00,112,278182.277372,5
2023-04-08 20:00:00,112,278182.277372,5
2023-04-08 19:00:00,112,278182.243846,5
2023-04-08 18:00:00,112,278182.2435,5
2023-04-08 17:00:00,112,278182.23792,5
2023-04-08 16:00:00,112,278182.164757,5
2023-04-08 15:00:00,112,278181.779753,5
2023-04-08 14:00:00,112,278181.779753,5
2023-04-08 13:00:00,112,278180.942875,5
2023-04-08 12:00:00,112,278162.389427,5
2023-04-08 11:00:00,112,278162.37269,5
2023-04-08 10:00:00,112,278162.368547,5
2023-04-08 09:00:00,112,278162.368547,5
2023-04-08 08:00:00,112,278162.218345,5
2023-04-08 07:00:00,112,278161.858656,5
2023-04-08 06:00:00,112,278161.836333,5
2023-04-08 05:00:00,112,278161.796775,5
2023-04-08 04:00:00,112,278161.796775,5
2023-04-08 03:00:00,112,278161.796775,5
2023-04-08 02:00:00,112,278161.796775,5
2023-04-08 01:00:00,112,278161.796775,5
2023-04-08 00:00:00,112,278161.796775,5
2023-04-07 23:00:00,112,278161.796775,5
2023-04-07 22:00:00,112,278161.625403,5
2023-04-07 21:00:00,112,278161.625403,5
