timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,113,272347.394157,1.629
2023-04-13 12:00:00,113,272326.035298,1.629
2023-04-13 00:00:00,113,272310.075233,1.629
2023-04-12 12:00:00,113,272162.019223,1.629
2023-04-12 00:00:00,112,273853.019633,1.629
2023-04-11 12:00:00,112,273806.780808,1.629
2023-04-11 08:00:00,112,273787.25115,1.629
2023-04-11 07:00:00,112,273787.25115,1.629
2023-04-11 06:00:00,112,273786.27115,1.629
2023-04-11 05:00:00,112,273802.832034,1.629
2023-04-11 04:00:00,112,273802.832034,1.629
2023-04-11 03:00:00,112,273473.332034,1.629
2023-04-11 02:00:00,112,273473.332034,1.629
2023-04-11 01:00:00,112,273456.635092,1.629
2023-04-11 00:00:00,112,273455.676989,1.629
2023-04-10 23:00:00,112,273455.676989,1.629
2023-04-10 22:00:00,112,273454.676989,1.629
2023-04-10 21:00:00,112,273454.665333,1.629
2023-04-10 20:00:00,112,273440.987799,1.629
2023-04-10 19:00:00,112,273428.387799,1.629
2023-04-10 18:00:00,112,273410.802116,1.629
2023-04-10 17:00:00,112,273410.228893,1.629
2023-04-10 16:00:00,112,273408.676166,1.629
2023-04-10 15:00:00,112,273408.638586,1.629
2023-04-10 14:00:00,112,273408.638586,1.629
2023-04-10 13:00:00,112,273403.160945,1.629
2023-04-10 12:00:00,112,273403.160945,1.629
2023-04-10 11:00:00,112,273413.160945,1.629
2023-04-10 10:00:00,112,273413.142402,1.629
2023-04-10 09:00:00,112,273413.142402,1.629
2023-04-10 08:00:00,113,273406.139627,1.629
2023-04-10 07:00:00,113,273406.122644,1.629
2023-04-10 06:00:00,113,273406.122644,1.629
2023-04-10 05:00:00,113,273406.032515,1.629
2023-04-10 04:00:00,113,273406.032515,1.629
2023-04-10 03:00:00,113,273406.032515,1.629
2023-04-10 02:00:00,113,273399.532515,1.629
2023-04-10 01:00:00,113,273368.173638,1.629
2023-04-10 00:00:00,113,273368.173638,1.629
2023-04-09 23:00:00,113,273366.256407,1.629
2023-04-09 22:00:00,113,273366.242531,1.629
2023-04-09 21:00:00,113,273365.442095,1.629
2023-04-09 20:00:00,113,273354.188622,1.629
2023-04-09 19:00:00,113,273353.553671,1.629
2023-04-09 18:00:00,113,273353.53702,1.629
2023-04-09 17:00:00,113,273345.913352,1.629
2023-04-09 16:00:00,113,273343.515033,1.629
2023-04-09 15:00:00,113,273343.514923,1.629
2023-04-09 14:00:00,113,273343.514918,1.629
2023-04-09 13:00:00,113,273343.514918,1.629
2023-04-09 12:00:00,113,273343.514918,1.629
2023-04-09 11:00:00,113,273343.471765,1.629
2023-04-09 10:00:00,113,273232.046375,1.629
2023-04-09 09:00:00,113,273229.444175,1.629
2023-04-09 08:00:00,113,273237.444175,1.629
2023-04-09 07:00:00,113,273235.572832,1.629
2023-04-09 06:00:00,113,273235.572832,1.629
2023-04-09 05:00:00,113,273235.560408,1.629
2023-04-09 04:00:00,113,273235.504605,1.629
2023-04-09 03:00:00,113,273235.403198,1.629
2023-04-09 02:00:00,113,273235.249957,1.629
2023-04-09 01:00:00,113,273335.316173,1.629
2023-04-09 00:00:00,113,273335.316173,1.629
2023-04-08 23:00:00,113,273335.313383,1.629
2023-04-08 22:00:00,113,273335.313383,1.629
2023-04-08 21:00:00,113,273335.303875,1.629
