timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,114,271224.126042,3
2023-04-13 12:00:00,114,271223.863052,3
2023-04-13 00:00:00,114,271214.798516,3
2023-04-12 12:00:00,114,271076.712213,3
2023-04-12 00:00:00,114,271075.925884,3
2023-04-11 12:00:00,114,271075.803982,3
2023-04-11 08:00:00,114,271075.07874,3
2023-04-11 07:00:00,114,271075.07874,3
2023-04-11 06:00:00,114,271075.07874,3
2023-04-11 05:00:00,114,271074.929826,3
2023-04-11 04:00:00,114,271074.929826,3
2023-04-11 03:00:00,114,271074.929826,3
2023-04-11 02:00:00,114,271074.929826,3
2023-04-11 01:00:00,114,271074.929826,3
2023-04-11 00:00:00,114,271074.929826,3
2023-04-10 23:00:00,114,271074.929826,3
2023-04-10 22:00:00,114,271074.929826,3
2023-04-10 21:00:00,114,271074.918331,3
2023-04-10 20:00:00,114,271074.644645,3
2023-04-10 19:00:00,114,271074.644645,3
2023-04-10 18:00:00,114,271074.644645,3
2023-04-10 17:00:00,114,271074.644645,3
2023-04-10 16:00:00,114,271074.644591,3
2023-04-10 15:00:00,114,271074.644047,3
2023-04-10 14:00:00,114,271074.644047,3
2023-04-10 13:00:00,113,271074.635839,3
2023-04-10 12:00:00,113,271074.635839,3
2023-04-10 11:00:00,113,271074.871226,3
2023-04-10 10:00:00,113,271074.871226,3
2023-04-10 09:00:00,114,271074.871226,3
2023-04-10 08:00:00,114,271074.86849,3
2023-04-10 07:00:00,114,271074.866045,3
2023-04-10 06:00:00,114,271074.866045,3
2023-04-10 05:00:00,114,271074.866045,3
2023-04-10 04:00:00,114,271074.866045,3
2023-04-10 03:00:00,114,271074.860408,3
2023-04-10 02:00:00,114,271074.860408,3
2023-04-10 01:00:00,114,271074.860408,3
2023-04-10 00:00:00,114,271074.860408,3
2023-04-09 23:00:00,114,271074.860408,3
2023-04-09 22:00:00,114,271074.846724,3
2023-04-09 21:00:00,114,271074.057387,3
2023-04-09 20:00:00,114,271074.057387,3
2023-04-09 19:00:00,114,271074.046175,3
2023-04-09 18:00:00,114,271074.029755,3
2023-04-09 17:00:00,114,271074.029755,3
2023-04-09 16:00:00,114,271074.029755,3
2023-04-09 15:00:00,114,271074.029645,3
2023-04-09 14:00:00,114,271074.02964,3
2023-04-09 13:00:00,114,271074.02964,3
2023-04-09 12:00:00,114,271074.02964,3
2023-04-09 11:00:00,114,271073.870367,3
2023-04-09 10:00:00,114,271073.845332,3
2023-04-09 09:00:00,114,271073.843162,3
2023-04-09 08:00:00,114,271073.843162,3
2023-04-09 07:00:00,114,271073.839404,3
2023-04-09 06:00:00,114,271073.839404,3
2023-04-09 05:00:00,114,271073.827153,3
2023-04-09 04:00:00,114,271073.772129,3
2023-04-09 03:00:00,114,271073.772129,3
2023-04-09 02:00:00,114,271073.761125,3
2023-04-09 01:00:00,114,271073.761125,3
2023-04-09 00:00:00,114,271073.761125,3
2023-04-08 23:00:00,114,271073.758374,3
2023-04-08 22:00:00,114,271073.758374,3
2023-04-08 21:00:00,114,271073.748999,3
2023-04-08 20:00:00,114,271073.748999,3
2023-04-08 19:00:00,114,271073.715939,3
2023-04-08 18:00:00,114,271073.715598,3
2023-04-08 17:00:00,114,271073.710096,3
2023-04-08 16:00:00,114,271073.637952,3
2023-04-08 15:00:00,114,271073.258315,3
2023-04-08 14:00:00,114,271073.258315,3
2023-04-08 13:00:00,114,271072.433128,3
2023-04-08 12:00:00,114,271072.427627,3
2023-04-08 11:00:00,114,271072.411124,3
2023-04-08 10:00:00,114,271072.407039,3
2023-04-08 09:00:00,114,271072.407039,3
2023-04-08 08:00:00,114,271072.258321,3
2023-04-08 07:00:00,114,271071.902187,3
2023-04-08 06:00:00,114,271071.880085,3
2023-04-08 05:00:00,114,271071.841039,3
2023-04-08 04:00:00,114,271071.841039,3
2023-04-08 03:00:00,114,271071.841039,3
2023-04-08 02:00:00,114,271071.841039,3
2023-04-08 01:00:00,114,271071.841039,3
2023-04-08 00:00:00,114,271071.841039,3
2023-04-07 23:00:00,114,271071.841039,3
2023-04-07 22:00:00,114,271071.67208,3
2023-04-07 21:00:00,114,271071.67208,3
2023-04-07 20:00:00,114,271071.67208,3
2023-04-07 19:00:00,114,271071.67208,3
2023-04-07 18:00:00,114,271071.67208,3
2023-04-07 17:00:00,114,271071.67208,3
2023-04-07 16:00:00,114,271071.67208,3
2023-04-07 15:00:00,114,271071.67208,3
2023-04-07 14:00:00,114,271071.67208,3
2023-04-07 13:00:00,114,271071.67208,3
2023-04-07 12:00:00,114,271071.67208,3
2023-04-07 11:00:00,114,271071.67208,3
2023-04-07 10:00:00,114,271071.67208,3
2023-04-07 09:00:00,114,271071.67208,3
2023-04-07 08:00:00,114,271071.67208,3
2023-04-07 07:00:00,114,271071.67208,3
2023-04-07 06:00:00,114,271071.67208,3
2023-04-07 05:00:00,114,271071.27208,3
2023-04-07 04:00:00,114,271071.27208,3
2023-04-07 03:00:00,114,271071.27208,3
2023-04-07 02:00:00,114,271071.27208,3
2023-04-07 01:00:00,114,271071.27208,3
2023-04-07 00:00:00,114,271071.27208,3
2023-04-06 23:00:00,114,271071.27208,3
2023-04-06 22:00:00,114,271071.266581,3
2023-04-06 21:00:00,114,271070.705648,3
2023-04-06 20:00:00,114,271070.527922,3
2023-04-06 19:00:00,111,271070.527922,3
2023-04-06 18:00:00,107,271070.527922,3
2023-04-06 17:00:00,107,271069.605055,3
2023-04-06 16:00:00,107,271069.395698,3
2023-04-06 15:00:00,107,271069.367893,3
2023-04-06 14:00:00,107,271069.367893,3
2023-04-06 13:00:00,107,271069.367893,3
2023-04-06 12:00:00,107,271069.367893,3
2023-04-06 11:00:00,107,271069.367893,3
2023-04-06 10:00:00,107,271069.362184,3
2023-04-06 09:00:00,107,271069.345944,3
2023-04-06 08:00:00,107,271069.33371,3
2023-04-06 07:00:00,107,271069.33371,3
2023-04-06 06:00:00,107,271069.222491,3
2023-04-06 05:00:00,107,271069.113067,3
2023-04-06 04:00:00,107,271069.113067,3
2023-04-06 03:00:00,107,271069.113067,3
2023-04-06 02:00:00,107,271069.113067,3
2023-04-06 01:00:00,107,271069.113067,3
2023-04-06 00:00:00,107,271069.113067,3
2023-04-05 23:00:00,107,271069.113067,3
2023-04-05 22:00:00,107,271069.113067,3
2023-04-05 21:00:00,107,271069.113067,3
2023-04-05 20:00:00,107,271069.113067,3
2023-04-05 19:00:00,107,271069.113067,3
2023-04-05 18:00:00,107,271069.113067,3
2023-04-05 17:00:00,107,271069.113067,3
2023-04-05 16:00:00,107,271069.113067,3
2023-04-05 15:00:00,107,271069.113067,3
2023-04-05 14:00:00,107,271069.113067,3
2023-04-05 13:00:00,107,271069.113067,3
2023-04-05 12:00:00,107,271069.097303,3
2023-04-05 11:00:00,107,271068.962081,3
2023-04-05 10:00:00,107,271068.962081,3
2023-04-05 09:00:00,107,271068.962081,3
2023-04-05 08:00:00,107,271068.962081,3
2023-04-05 07:00:00,107,271068.962081,3
2023-04-05 06:00:00,107,271068.962081,3
2023-04-05 05:00:00,107,271068.962081,3
2023-04-05 04:00:00,107,271068.962081,3
2023-04-05 03:00:00,107,271068.962081,3
2023-04-05 02:00:00,107,271068.962081,3
2023-04-05 01:00:00,107,271068.962081,3
2023-04-05 00:00:00,107,271068.962081,3
2023-04-04 23:00:00,107,271068.962081,3
2023-04-04 22:00:00,107,271068.945398,3
2023-04-04 21:00:00,107,271068.945398,3
2023-04-04 20:00:00,107,271068.945398,3
2023-04-04 19:00:00,107,271068.945398,3
2023-04-04 18:00:00,107,271068.945398,3
2023-04-04 17:00:00,105,271068.945398,3
2023-04-04 16:00:00,101,271068.912036,3
2023-04-04 15:00:00,101,271068.912036,3
2023-04-04 14:00:00,101,271068.89963,3
2023-04-04 13:00:00,101,271068.89963,3
2023-04-04 12:00:00,101,271068.887954,3
2023-04-04 11:00:00,101,271068.886518,3
2023-04-04 10:00:00,101,271068.850489,3
2023-04-04 09:00:00,101,271068.813625,3
2023-04-04 08:00:00,101,271068.672105,3
2023-04-04 07:00:00,101,271068.672105,3
2023-04-04 06:00:00,101,271068.616189,3
2023-04-04 05:00:00,101,271068.564101,3
2023-04-04 04:00:00,101,271068.564101,3
2023-04-04 03:00:00,101,271068.564101,3
2023-04-04 02:00:00,101,271068.540114,3
2023-04-04 01:00:00,101,271068.540114,3
2023-04-04 00:00:00,101,271068.335686,3
2023-04-03 23:00:00,101,271068.335686,3
2023-04-03 22:00:00,101,271068.280126,3
2023-04-03 21:00:00,100,271068.280126,3
2023-04-03 20:00:00,100,271068.257638,3
2023-04-03 19:00:00,99,271068.257638,3
