timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,117,265561.744581,10
2023-04-13 12:00:00,117,265561.297144,10
2023-04-13 00:00:00,117,265561.196703,10
2023-04-12 12:00:00,117,265326.265198,10
2023-04-12 00:00:00,117,265325.05487,10
2023-04-11 12:00:00,116,265324.847118,10
2023-04-11 08:00:00,116,265323.610513,10
2023-04-11 07:00:00,116,265323.610513,10
2023-04-11 06:00:00,116,265323.610513,10
2023-04-11 05:00:00,116,265323.356505,10
2023-04-11 04:00:00,116,265323.356505,10
2023-04-11 03:00:00,116,265323.356505,10
2023-04-11 02:00:00,116,265323.356505,10
2023-04-11 01:00:00,116,265323.356505,10
2023-04-11 00:00:00,116,265323.356505,10
2023-04-10 23:00:00,116,265323.356505,10
2023-04-10 22:00:00,116,265323.356505,10
2023-04-10 21:00:00,116,265323.336896,10
2023-04-10 20:00:00,116,265322.869893,10
2023-04-10 19:00:00,116,265322.869893,10
2023-04-10 18:00:00,116,265322.869893,10
2023-04-10 17:00:00,116,265322.869893,10
2023-04-10 16:00:00,116,265322.8698,10
2023-04-10 15:00:00,116,265322.86887,10
2023-04-10 14:00:00,116,265322.86887,10
2023-04-10 13:00:00,116,265322.854864,10
2023-04-10 12:00:00,116,265322.854864,10
2023-04-10 11:00:00,116,265322.854864,10
2023-04-10 10:00:00,116,265322.854864,10
2023-04-10 09:00:00,113,271350.593087,10
2023-04-10 08:00:00,111,279216.588417,10
2023-04-10 07:00:00,111,279216.584245,10
2023-04-10 06:00:00,111,279216.584245,10
2023-04-10 05:00:00,111,279216.584245,10
2023-04-10 04:00:00,111,279216.584245,10
2023-04-10 03:00:00,111,279216.584245,10
2023-04-10 02:00:00,111,279216.584245,10
2023-04-10 01:00:00,111,279216.584245,10
2023-04-10 00:00:00,111,279216.584245,10
2023-04-09 23:00:00,111,279216.584245,10
2023-04-09 22:00:00,111,279216.560895,10
2023-04-09 21:00:00,111,279215.213988,10
2023-04-09 20:00:00,111,279215.213988,10
2023-04-09 19:00:00,111,279215.194856,10
2023-04-09 18:00:00,111,279215.166836,10
2023-04-09 17:00:00,111,279215.166836,10
2023-04-09 16:00:00,111,279215.166836,10
2023-04-09 15:00:00,111,279215.166648,10
2023-04-09 14:00:00,111,279215.166639,10
2023-04-09 13:00:00,111,279215.166639,10
2023-04-09 12:00:00,111,279215.166639,10
2023-04-09 11:00:00,111,279215.125243,10
2023-04-09 10:00:00,111,279215.082459,10
2023-04-09 09:00:00,111,279215.078751,10
2023-04-09 08:00:00,111,279215.078751,10
2023-04-09 07:00:00,111,279215.072328,10
2023-04-09 06:00:00,111,279215.072328,10
2023-04-09 05:00:00,111,279215.051391,10
2023-04-09 04:00:00,111,279214.95735,10
2023-04-09 03:00:00,111,279214.95735,10
2023-04-09 02:00:00,111,279214.938542,10
2023-04-09 01:00:00,111,279214.938542,10
2023-04-09 00:00:00,111,279214.938542,10
2023-04-08 23:00:00,111,279214.93384,10
2023-04-08 22:00:00,111,279214.93384,10
2023-04-08 21:00:00,111,279214.917817,10
2023-04-08 20:00:00,111,279214.917817,10
2023-04-08 19:00:00,111,279214.861312,10
2023-04-08 18:00:00,111,279214.860729,10
2023-04-08 17:00:00,111,279214.851325,10
2023-04-08 16:00:00,111,279214.728008,10
2023-04-08 15:00:00,111,279214.07883,10
2023-04-08 14:00:00,111,279214.07883,10
2023-04-08 13:00:00,111,279212.666541,10
2023-04-08 12:00:00,111,279212.657126,10
2023-04-08 11:00:00,111,279212.62888,10
2023-04-08 10:00:00,111,279212.621871,10
2023-04-08 09:00:00,111,279212.621871,10
2023-04-08 08:00:00,111,279212.398629,10
2023-04-08 07:00:00,111,279211.863928,10
2023-04-08 06:00:00,111,279211.830742,10
2023-04-08 05:00:00,111,279211.765967,10
2023-04-08 04:00:00,111,279211.765967,10
2023-04-08 03:00:00,111,279211.765967,10
2023-04-08 02:00:00,111,279211.765967,10
2023-04-08 01:00:00,111,279211.765967,10
2023-04-08 00:00:00,111,279211.765967,10
2023-04-07 23:00:00,111,279211.765967,10
2023-04-07 22:00:00,111,279211.475863,10
2023-04-07 21:00:00,111,279211.475863,10
2023-04-07 20:00:00,111,279211.475863,10
2023-04-07 19:00:00,111,279211.475863,10
2023-04-07 18:00:00,111,279211.475863,10
2023-04-07 17:00:00,111,279211.475863,10
2023-04-07 16:00:00,111,279211.475863,10
2023-04-07 15:00:00,111,279211.475863,10
2023-04-07 14:00:00,111,279211.475863,10
2023-04-07 13:00:00,111,279211.475863,10
2023-04-07 12:00:00,111,279211.475863,10
