timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,118,263677.120309,5
2023-04-13 12:00:00,118,261935.421289,5
2023-04-13 00:00:00,118,260524.709309,5
2023-04-12 12:00:00,119,256814.727203,5
2023-04-12 00:00:00,128,199793.694466,5
2023-04-11 12:00:00,129,199177.83393,5
2023-04-11 08:00:00,133,189768.472146,5
2023-04-11 07:00:00,133,189768.472146,5
2023-04-11 06:00:00,133,189290.971059,5
2023-04-11 05:00:00,133,189263.185988,5
2023-04-11 04:00:00,135,186711.378677,5
2023-04-11 03:00:00,135,186683.027691,5
2023-04-11 02:00:00,135,186683.027691,5
2023-04-11 01:00:00,135,186671.027691,5
2023-04-11 00:00:00,135,186671.027691,5
2023-04-10 23:00:00,135,186663.027691,5
2023-04-10 22:00:00,135,186663.027691,5
2023-04-10 21:00:00,135,186609.309563,5
2023-04-10 20:00:00,136,186369.525236,5
2023-04-10 19:00:00,136,186244.035482,5
2023-04-10 18:00:00,136,186124.668844,5
2023-04-10 17:00:00,138,184619.932616,5
2023-04-10 16:00:00,139,184193.732515,5
2023-04-10 15:00:00,139,184169.360203,5
2023-04-10 14:00:00,139,184125.695125,5
2023-04-10 13:00:00,138,184100.98579,5
2023-04-10 12:00:00,138,184100.389765,5
2023-04-10 11:00:00,138,183724.900388,5
2023-04-10 10:00:00,138,183607.262317,5
2023-04-10 09:00:00,137,183591.866062,5
2023-04-10 08:00:00,137,182519.253313,5
2023-04-10 07:00:00,137,180674.957586,5
2023-04-10 06:00:00,137,180674.957586,5
2023-04-10 05:00:00,137,180667.107586,5
2023-04-10 04:00:00,137,180667.107586,5
2023-04-10 03:00:00,137,180640.817586,5
2023-04-10 02:00:00,137,180639.017586,5
2023-04-10 01:00:00,137,180638.975384,5
2023-04-10 00:00:00,137,180637.455384,5
2023-04-09 23:00:00,137,180611.488008,5
2023-04-09 22:00:00,137,180402.578977,5
2023-04-09 21:00:00,137,180392.418992,5
2023-04-09 20:00:00,137,180306.875702,5
2023-04-09 19:00:00,137,180095.863529,5
2023-04-09 18:00:00,137,179809.227827,5
2023-04-09 17:00:00,137,179708.829893,5
2023-04-09 16:00:00,137,179703.821517,5
2023-04-09 15:00:00,137,179489.755862,5
2023-04-09 14:00:00,137,179384.999128,5
2023-04-09 13:00:00,137,179356.704738,5
2023-04-09 12:00:00,137,179295.564738,5
2023-04-09 11:00:00,137,178750.193084,5
2023-04-09 10:00:00,137,178654.819071,5
2023-04-09 09:00:00,137,178176.498558,5
2023-04-09 08:00:00,137,177313.144282,5
2023-04-09 07:00:00,137,176603.030992,5
2023-04-09 06:00:00,137,176480.272174,5
2023-04-09 05:00:00,137,176480.249444,5
2023-04-09 04:00:00,137,176479.958808,5
2023-04-09 03:00:00,137,176479.058808,5
2023-04-09 02:00:00,137,176479.038389,5
2023-04-09 01:00:00,137,176479.038389,5
2023-04-09 00:00:00,137,176479.038389,5
2023-04-08 23:00:00,137,176479.033285,5
2023-04-08 22:00:00,137,176266.819329,5
2023-04-08 21:00:00,137,176196.317358,5
2023-04-08 20:00:00,137,176145.977358,5
2023-04-08 19:00:00,137,176056.717115,5
2023-04-08 18:00:00,137,176056.716482,5
2023-04-08 17:00:00,137,176029.577764,5
2023-04-08 16:00:00,137,175859.443881,5
2023-04-08 15:00:00,137,175721.917827,5
2023-04-08 14:00:00,137,175666.768272,5
2023-04-08 13:00:00,137,175615.714314,5
2023-04-08 12:00:00,138,175356.571051,5
2023-04-08 11:00:00,138,175252.32084,5
2023-04-08 10:00:00,139,174845.621533,5
2023-04-08 09:00:00,140,174820.761552,5
2023-04-08 08:00:00,140,174376.911667,5
2023-04-08 07:00:00,140,174318.802367,5
2023-04-08 06:00:00,141,172270.040498,5
2023-04-08 05:00:00,141,172225.059907,5
2023-04-08 04:00:00,141,172125.059907,5
2023-04-08 03:00:00,141,172125.059907,5
2023-04-08 02:00:00,141,172119.169907,5
2023-04-08 01:00:00,141,171870.269907,5
2023-04-08 00:00:00,141,171673.442907,5
2023-04-07 23:00:00,141,171673.442907,5
2023-04-07 22:00:00,141,171665.687177,5
2023-04-07 21:00:00,141,171370.153542,5
2023-04-07 20:00:00,141,171251.046571,5
2023-04-07 19:00:00,141,171090.105854,5
2023-04-07 18:00:00,143,171029.748323,5
2023-04-07 17:00:00,143,170690.819332,5
2023-04-07 16:00:00,145,169517.481855,5
2023-04-07 15:00:00,146,169224.890993,5
2023-04-07 14:00:00,147,167730.433369,5
2023-04-07 13:00:00,148,167190.714864,5
