timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,119,258260.055409,10
2023-04-13 12:00:00,119,258224.777382,10
2023-04-13 00:00:00,119,258221.108311,10
2023-04-12 12:00:00,118,257949.657667,10
2023-04-12 00:00:00,118,257995.792711,10
2023-04-11 12:00:00,117,257995.663543,10
2023-04-11 08:00:00,117,257988.792434,10
2023-04-11 07:00:00,117,257988.792434,10
2023-04-11 06:00:00,117,257988.792434,10
2023-04-11 05:00:00,117,257988.641433,10
2023-04-11 04:00:00,117,257988.641433,10
2023-04-11 03:00:00,117,257988.641433,10
2023-04-11 02:00:00,117,257988.641433,10
2023-04-11 01:00:00,117,257988.641433,10
2023-04-11 00:00:00,117,257988.641433,10
2023-04-10 23:00:00,117,257988.641433,10
2023-04-10 22:00:00,117,257988.641433,10
2023-04-10 21:00:00,117,257988.629777,10
2023-04-10 20:00:00,117,257988.352254,10
2023-04-10 19:00:00,117,257988.352254,10
2023-04-10 18:00:00,117,257988.352254,10
2023-04-10 17:00:00,117,257988.346437,10
2023-04-10 16:00:00,117,257988.346382,10
2023-04-10 15:00:00,117,257988.345831,10
2023-04-10 14:00:00,117,257988.345831,10
2023-04-10 13:00:00,117,257987.797508,10
2023-04-10 12:00:00,117,257978.387898,10
2023-04-10 11:00:00,117,257978.387898,10
2023-04-10 10:00:00,117,257978.387898,10
2023-04-10 09:00:00,117,257978.387898,10
2023-04-10 08:00:00,117,257978.385123,10
2023-04-10 07:00:00,117,257978.382644,10
2023-04-10 06:00:00,117,257978.382644,10
2023-04-10 05:00:00,117,257978.382644,10
2023-04-10 04:00:00,117,257978.382644,10
2023-04-10 03:00:00,117,257978.382644,10
2023-04-10 02:00:00,117,257978.382644,10
2023-04-10 01:00:00,117,257978.382644,10
2023-04-10 00:00:00,117,257978.382644,10
2023-04-09 23:00:00,117,257978.382644,10
2023-04-09 22:00:00,117,257978.368768,10
2023-04-09 21:00:00,117,257977.568363,10
2023-04-09 20:00:00,117,257977.568363,10
2023-04-09 19:00:00,117,257977.556994,10
2023-04-09 18:00:00,117,257977.540343,10
2023-04-09 17:00:00,117,257977.534697,10
2023-04-09 16:00:00,117,257977.534697,10
2023-04-09 15:00:00,117,257977.534587,10
2023-04-09 14:00:00,117,257977.534582,10
2023-04-09 13:00:00,117,257977.434582,10
2023-04-09 12:00:00,117,257957.097651,10
2023-04-09 11:00:00,117,257957.073085,10
2023-04-09 10:00:00,117,257957.047696,10
2023-04-09 09:00:00,117,257957.045496,10
2023-04-09 08:00:00,117,257957.045496,10
2023-04-09 07:00:00,117,257857.041684,10
2023-04-09 06:00:00,117,257857.041684,10
2023-04-09 05:00:00,117,257857.02926,10
2023-04-09 04:00:00,117,257856.973459,10
2023-04-09 03:00:00,117,257856.973459,10
2023-04-09 02:00:00,117,257856.962299,10
2023-04-09 01:00:00,117,257856.962299,10
2023-04-09 00:00:00,117,257856.962299,10
2023-04-08 23:00:00,117,257856.959509,10
2023-04-08 22:00:00,117,257856.959509,10
2023-04-08 21:00:00,117,257856.950002,10
2023-04-08 20:00:00,117,257856.950002,10
2023-04-08 19:00:00,117,257856.916476,10
2023-04-08 18:00:00,117,257856.91613,10
2023-04-08 17:00:00,117,257856.904826,10
2023-04-08 16:00:00,117,257856.831663,10
2023-04-08 15:00:00,117,257856.204187,10
2023-04-08 14:00:00,117,257856.204187,10
2023-04-08 13:00:00,117,257855.367309,10
2023-04-08 12:00:00,117,257836.813861,10
