timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,11,4478424.334852,0
2023-04-13 12:00:00,11,4480154.082775,0
2023-04-13 00:00:00,13,4370981.134973,0
2023-04-12 12:00:00,13,4350252.093137,0
2023-04-12 00:00:00,13,4345772.088387,0
2023-04-11 12:00:00,13,4342927.976874,0
2023-04-11 08:00:00,13,4330610.018976,0
2023-04-11 07:00:00,13,4330597.876257,0
2023-04-11 06:00:00,13,4330343.136229,0
2023-04-11 05:00:00,13,4331694.60216,0
2023-04-11 04:00:00,13,4331587.17993,0
2023-04-11 03:00:00,13,4331221.2047,0
2023-04-11 02:00:00,13,4331219.47109,0
2023-04-11 01:00:00,13,4331105.39083,0
2023-04-11 00:00:00,13,4330986.332493,0
2023-04-10 23:00:00,13,4330896.387217,0
2023-04-10 22:00:00,13,4330845.229101,0
2023-04-10 21:00:00,13,4330510.645811,0
2023-04-10 20:00:00,13,4320634.750465,0
2023-04-10 19:00:00,13,4320216.76475,0
2023-04-10 18:00:00,13,4318363.827983,0
2023-04-10 17:00:00,13,4317869.313882,0
2023-04-10 16:00:00,13,4317839.449232,0
2023-04-10 15:00:00,13,4317593.823974,0
2023-04-10 14:00:00,13,4317604.758877,0
2023-04-10 13:00:00,13,4318829.774597,0
2023-04-10 12:00:00,13,4318732.130698,0
2023-04-10 11:00:00,13,4318630.314378,0
2023-04-10 10:00:00,13,4318509.082139,0
2023-04-10 09:00:00,13,4318502.602395,0
2023-04-10 08:00:00,13,4318311.939114,0
2023-04-10 07:00:00,13,4318015.402619,0
2023-04-10 06:00:00,13,4317944.211549,0
2023-04-10 05:00:00,13,4316745.213105,0
2023-04-10 04:00:00,13,4317141.909368,0
2023-04-10 03:00:00,13,4317213.523445,0
2023-04-10 02:00:00,13,4317097.708448,0
2023-04-10 01:00:00,13,4317020.700364,0
2023-04-10 00:00:00,13,4316746.741189,0
2023-04-09 23:00:00,13,4316662.008601,0
2023-04-09 22:00:00,13,4316487.787969,0
2023-04-09 21:00:00,13,4316262.835513,0
2023-04-09 20:00:00,13,4316127.489683,0
2023-04-09 19:00:00,13,4316202.408399,0
2023-04-09 18:00:00,13,4315829.313985,0
2023-04-09 17:00:00,13,4315123.179573,0
2023-04-09 16:00:00,13,4315013.693586,0
2023-04-09 15:00:00,13,4314946.31527,0
2023-04-09 14:00:00,13,4314864.533954,0
2023-04-09 13:00:00,13,4314392.349099,0
2023-04-09 12:00:00,13,4314326.146323,0
2023-04-09 11:00:00,13,4314307.289128,0
2023-04-09 10:00:00,13,4314140.203995,0
2023-04-09 09:00:00,13,4305408.411584,0
2023-04-09 08:00:00,13,4305442.753257,0
2023-04-09 07:00:00,13,4305385.854763,0
2023-04-09 06:00:00,13,4305037.707214,0
2023-04-09 05:00:00,13,4304854.067657,0
2023-04-09 04:00:00,13,4304691.323973,0
2023-04-09 03:00:00,13,4304633.11668,0
2023-04-09 02:00:00,13,4305780.864208,0
2023-04-09 01:00:00,13,4306727.155965,0
2023-04-09 00:00:00,13,4306544.361021,0
2023-04-08 23:00:00,13,4306307.53762,0
2023-04-08 22:00:00,13,4305705.136057,0
2023-04-08 21:00:00,13,4305215.026945,0
2023-04-08 20:00:00,13,4304296.878929,0
2023-04-08 19:00:00,13,4304186.845807,0
2023-04-08 18:00:00,13,4304086.064463,0
2023-04-08 17:00:00,13,4304002.324789,0
2023-04-08 16:00:00,13,4304077.896246,0
2023-04-08 15:00:00,13,4303913.514977,0
2023-04-08 14:00:00,13,4303702.405728,0
2023-04-08 13:00:00,13,4302179.866201,0
2023-04-08 12:00:00,13,4301088.05416,0
2023-04-08 11:00:00,13,4298514.206726,0
2023-04-08 10:00:00,13,4296088.800058,0
2023-04-08 09:00:00,13,4296153.348454,0
2023-04-08 08:00:00,13,4296129.876626,0
2023-04-08 07:00:00,13,4295992.931469,0
2023-04-08 06:00:00,13,4295954.547067,0
2023-04-08 05:00:00,13,4295795.449995,0
2023-04-08 04:00:00,13,4295817.073434,0
2023-04-08 03:00:00,13,4295771.434356,0
2023-04-08 02:00:00,13,4294667.835358,0
2023-04-08 01:00:00,13,4294428.083847,0
2023-04-08 00:00:00,13,4294364.003916,0
2023-04-07 23:00:00,13,4294354.273571,0
2023-04-07 22:00:00,13,4294269.499276,0
2023-04-07 21:00:00,13,4293952.603617,0
2023-04-07 20:00:00,13,4293843.527734,0
2023-04-07 19:00:00,13,4293711.931877,0
2023-04-07 18:00:00,13,4293491.694052,0
2023-04-07 17:00:00,13,4293451.537698,0
2023-04-07 16:00:00,13,4293217.406831,0
2023-04-07 15:00:00,13,4293082.144634,0
2023-04-07 14:00:00,13,4290873.241851,0
2023-04-07 13:00:00,13,4290701.295474,0
2023-04-07 12:00:00,13,4291944.442835,0
2023-04-07 11:00:00,13,4291941.241014,0
2023-04-07 10:00:00,13,4290487.78998,0
2023-04-07 09:00:00,13,4290417.261417,0
2023-04-07 08:00:00,13,4288752.629002,0
2023-04-07 07:00:00,13,4288865.620285,0
2023-04-07 06:00:00,13,4288787.220619,0
2023-04-07 05:00:00,13,4288712.788014,0
2023-04-07 04:00:00,13,4288112.354895,0
2023-04-07 03:00:00,13,4291158.039351,0
2023-04-07 02:00:00,13,4291224.160999,0
2023-04-07 01:00:00,13,4291171.897803,0
2023-04-07 00:00:00,13,4290594.133674,0
2023-04-06 23:00:00,13,4290543.032453,0
2023-04-06 22:00:00,13,4290141.963357,0
2023-04-06 21:00:00,13,4290193.313979,0
2023-04-06 20:00:00,13,4289758.361032,0
2023-04-06 19:00:00,13,4288254.454897,0
2023-04-06 18:00:00,13,4288240.207613,0
2023-04-06 17:00:00,13,4288097.100411,0
2023-04-06 16:00:00,13,4283151.662266,0
2023-04-06 15:00:00,13,4283101.676163,0
2023-04-06 14:00:00,13,4282807.81979,0
2023-04-06 13:00:00,13,4282658.529932,0
2023-04-06 12:00:00,13,4282496.964219,0
2023-04-06 11:00:00,13,4282634.220999,0
2023-04-06 10:00:00,13,4282580.414681,0
2023-04-06 09:00:00,13,4282598.380157,0
2023-04-06 08:00:00,13,4282553.165504,0
2023-04-06 07:00:00,13,4282597.329082,0
2023-04-06 06:00:00,13,4281911.701756,0
2023-04-06 05:00:00,13,4281895.073064,0
2023-04-06 04:00:00,13,4281662.047084,0
2023-04-06 03:00:00,13,4281918.308111,0
2023-04-06 02:00:00,13,4281939.952863,0
2023-04-06 01:00:00,13,4281903.808741,0
2023-04-06 00:00:00,13,4281778.74617,0
2023-04-05 23:00:00,13,4281657.408618,0
2023-04-05 22:00:00,13,4281631.562122,0
2023-04-05 21:00:00,13,4281522.551456,0
2023-04-05 20:00:00,13,4281348.172952,0
2023-04-05 19:00:00,13,4282086.93076,0
2023-04-05 18:00:00,13,4282170.700647,0
2023-04-05 17:00:00,13,4279399.537543,0
2023-04-05 16:00:00,13,4279355.588856,0
2023-04-05 15:00:00,13,4278912.604143,0
2023-04-05 14:00:00,13,4278397.416007,0
2023-04-05 13:00:00,13,4281529.80523,0
2023-04-05 12:00:00,13,4281493.941983,0
2023-04-05 11:00:00,13,4281382.953465,0
2023-04-05 10:00:00,13,4281375.516271,0
2023-04-05 09:00:00,13,4280540.537586,0
2023-04-05 08:00:00,13,4280444.851606,0
2023-04-05 07:00:00,13,4280156.978565,0
2023-04-05 06:00:00,13,4278843.166983,0
2023-04-05 05:00:00,13,4277481.184044,0
2023-04-05 04:00:00,13,4277447.755977,0
2023-04-05 03:00:00,13,4277203.332713,0
2023-04-05 02:00:00,13,4277091.281924,0
2023-04-05 01:00:00,13,4275834.085364,0
2023-04-05 00:00:00,13,4275781.024332,0
2023-04-04 23:00:00,13,4275631.481704,0
2023-04-04 22:00:00,13,4275187.409761,0
2023-04-04 21:00:00,13,4273815.175745,0
2023-04-04 20:00:00,13,4273792.993649,0
2023-04-04 19:00:00,13,4273785.768105,0
2023-04-04 18:00:00,13,4272871.537422,0
2023-04-04 17:00:00,13,4272841.666066,0
2023-04-04 16:00:00,13,4271932.734693,0
2023-04-04 15:00:00,13,4271902.672777,0
2023-04-04 14:00:00,13,4271898.392716,0
2023-04-04 13:00:00,13,4271902.388225,0
2023-04-04 12:00:00,13,4271798.748462,0
2023-04-04 11:00:00,13,4271796.272467,0
2023-04-04 10:00:00,13,4271775.580519,0
2023-04-04 09:00:00,13,4271702.201005,0
2023-04-04 08:00:00,13,4271659.708413,0
