timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,121,241039.980039,5
2023-04-13 12:00:00,121,239732.531399,5
2023-04-13 00:00:00,123,238674.244962,5
2023-04-12 12:00:00,123,237640.378571,5
2023-04-12 00:00:00,122,237576.309028,5
2023-04-11 12:00:00,122,237211.600669,5
2023-04-11 08:00:00,122,237154.986005,5
2023-04-11 07:00:00,122,237150.986005,5
2023-04-11 06:00:00,122,237104.037229,5
2023-04-11 05:00:00,122,237103.886228,5
2023-04-11 04:00:00,122,237103.886228,5
2023-04-11 03:00:00,122,237103.886228,5
2023-04-11 02:00:00,122,237103.886228,5
2023-04-11 01:00:00,122,237048.649874,5
2023-04-11 00:00:00,122,237048.649874,5
2023-04-10 23:00:00,122,237048.649874,5
2023-04-10 22:00:00,122,237048.649874,5
2023-04-10 21:00:00,122,237029.489654,5
2023-04-10 20:00:00,122,237029.010065,5
2023-04-10 19:00:00,122,237029.010065,5
2023-04-10 18:00:00,122,236937.004365,5
2023-04-10 17:00:00,122,236935.516179,5
2023-04-10 16:00:00,122,236935.516124,5
2023-04-10 15:00:00,122,236910.495573,5
2023-04-10 14:00:00,122,236910.495573,5
2023-04-10 13:00:00,122,236826.036812,5
2023-04-10 12:00:00,122,236816.627202,5
2023-04-10 11:00:00,122,236997.517156,5
2023-04-10 10:00:00,122,236997.517156,5
2023-04-10 09:00:00,122,236997.517156,5
2023-04-10 08:00:00,122,236997.463901,5
2023-04-10 07:00:00,122,236968.561695,5
2023-04-10 06:00:00,122,236968.561695,5
2023-04-10 05:00:00,122,236968.561695,5
2023-04-10 04:00:00,122,236968.561695,5
2023-04-10 03:00:00,122,236958.518147,5
2023-04-10 02:00:00,122,236958.518147,5
2023-04-10 01:00:00,122,236952.711666,5
2023-04-10 00:00:00,122,236877.733988,5
2023-04-09 23:00:00,122,236877.733988,5
2023-04-09 22:00:00,122,236877.720112,5
2023-04-09 21:00:00,122,236876.919707,5
2023-04-09 20:00:00,122,236876.919707,5
2023-04-09 19:00:00,122,236860.880394,5
2023-04-09 18:00:00,122,236828.030886,5
2023-04-09 17:00:00,122,236827.993672,5
2023-04-09 16:00:00,122,236827.993672,5
2023-04-09 15:00:00,122,236827.993562,5
2023-04-09 14:00:00,122,236827.993557,5
2023-04-09 13:00:00,122,236827.993557,5
2023-04-09 12:00:00,122,236795.510343,5
2023-04-09 11:00:00,122,236795.485777,5
2023-04-09 10:00:00,122,236795.460388,5
2023-04-09 09:00:00,122,236785.320741,5
2023-04-09 08:00:00,122,236785.320741,5
2023-04-09 07:00:00,122,236785.316929,5
2023-04-09 06:00:00,122,236670.33311,5
2023-04-09 05:00:00,122,236670.320686,5
2023-04-09 04:00:00,122,236670.264885,5
2023-04-09 03:00:00,122,236670.264885,5
2023-04-09 02:00:00,122,236670.253725,5
2023-04-09 01:00:00,122,236654.253725,5
2023-04-09 00:00:00,122,236376.197705,5
2023-04-08 23:00:00,122,236376.194915,5
2023-04-08 22:00:00,122,236376.194915,5
2023-04-08 21:00:00,122,236376.185408,5
2023-04-08 20:00:00,122,236376.185408,5
2023-04-08 19:00:00,122,236362.614522,5
2023-04-08 18:00:00,122,236329.001257,5
2023-04-08 17:00:00,122,236327.458103,5
2023-04-08 16:00:00,122,236327.38494,5
2023-04-08 15:00:00,122,236316.916898,5
2023-04-08 14:00:00,122,236316.525485,5
2023-04-08 13:00:00,122,236315.688607,5
2023-04-08 12:00:00,122,236300.700379,5
2023-04-08 11:00:00,122,236300.683642,5
2023-04-08 10:00:00,122,236300.679499,5
2023-04-08 09:00:00,122,236300.679499,5
2023-04-08 08:00:00,122,236300.012077,5
2023-04-08 07:00:00,122,236287.744367,5
2023-04-08 06:00:00,122,236287.722044,5
2023-04-08 05:00:00,122,236262.805374,5
2023-04-08 04:00:00,122,236262.805374,5
2023-04-08 03:00:00,122,236262.805374,5
2023-04-08 02:00:00,122,236262.805374,5
2023-04-08 01:00:00,122,236262.805374,5
2023-04-08 00:00:00,123,235295.987934,5
2023-04-07 23:00:00,123,235295.987934,5
2023-04-07 22:00:00,123,235295.816562,5
2023-04-07 21:00:00,123,235295.816562,5
2023-04-07 20:00:00,123,235285.792075,5
2023-04-07 19:00:00,123,235285.792075,5
2023-04-07 18:00:00,122,236062.197636,5
2023-04-07 17:00:00,122,236578.608252,5
2023-04-07 16:00:00,122,236577.572011,5
2023-04-07 15:00:00,122,236577.572011,5
2023-04-07 14:00:00,122,236577.572011,5
2023-04-07 13:00:00,122,236568.014773,5
2023-04-07 12:00:00,122,236623.938676,5
2023-04-07 11:00:00,122,236623.938676,5
2023-04-07 10:00:00,122,236620.438676,5
2023-04-07 09:00:00,122,236620.438676,5
2023-04-07 08:00:00,122,236620.438676,5
2023-04-07 07:00:00,122,236608.766778,5
2023-04-07 06:00:00,122,236608.766778,5
2023-04-07 05:00:00,122,236608.766778,5
2023-04-07 04:00:00,122,236608.766778,5
2023-04-07 03:00:00,122,236608.766778,5
2023-04-07 02:00:00,122,236598.702408,5
2023-04-07 01:00:00,122,236497.158546,5
2023-04-07 00:00:00,122,236497.158546,5
