timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,122,238816.964921,1
2023-04-13 12:00:00,122,238805.489374,1
2023-04-13 00:00:00,121,238795.946333,1
2023-04-12 12:00:00,121,238805.518098,1
2023-04-12 00:00:00,120,238798.620999,1
2023-04-11 12:00:00,120,238796.932256,1
2023-04-11 08:00:00,120,238782.487736,1
2023-04-11 07:00:00,120,238782.487736,1
2023-04-11 06:00:00,120,238779.057628,1
2023-04-11 05:00:00,120,238778.906627,1
2023-04-11 04:00:00,120,238778.906627,1
2023-04-11 03:00:00,120,238778.906627,1
2023-04-11 02:00:00,120,238778.906627,1
2023-04-11 01:00:00,120,238778.906627,1
2023-04-11 00:00:00,120,238778.906627,1
2023-04-10 23:00:00,120,238778.906627,1
2023-04-10 22:00:00,120,238778.906627,1
2023-04-10 21:00:00,120,238778.464294,1
2023-04-10 20:00:00,120,238778.186771,1
2023-04-10 19:00:00,120,238778.186771,1
2023-04-10 18:00:00,120,238778.125822,1
2023-04-10 17:00:00,120,238777.721398,1
2023-04-10 16:00:00,120,238777.721343,1
2023-04-10 15:00:00,120,238777.470792,1
2023-04-10 14:00:00,120,238777.470792,1
2023-04-10 13:00:00,120,238777.462469,1
2023-04-10 12:00:00,120,238759.052859,1
2023-04-10 11:00:00,120,238759.052859,1
2023-04-10 10:00:00,120,238759.052859,1
2023-04-10 09:00:00,120,238759.052859,1
2023-04-10 08:00:00,120,238834.050084,1
2023-04-10 07:00:00,120,238834.047605,1
2023-04-10 06:00:00,120,238834.047605,1
2023-04-10 05:00:00,120,238834.047605,1
2023-04-10 04:00:00,120,238834.047605,1
2023-04-10 03:00:00,120,238803.147605,1
2023-04-10 02:00:00,120,238803.147605,1
2023-04-10 01:00:00,120,238803.028732,1
2023-04-10 00:00:00,120,238803.028732,1
2023-04-09 23:00:00,120,238803.028732,1
2023-04-09 22:00:00,121,237803.014856,1
2023-04-09 21:00:00,121,237740.214451,1
2023-04-09 20:00:00,121,237739.214451,1
2023-04-09 19:00:00,121,237738.931644,1
2023-04-09 18:00:00,121,237738.414508,1
2023-04-09 17:00:00,121,237465.734738,1
2023-04-09 16:00:00,121,237465.734738,1
2023-04-09 15:00:00,121,237465.734628,1
2023-04-09 14:00:00,121,237466.234623,1
2023-04-09 13:00:00,121,237461.653486,1
2023-04-09 12:00:00,121,237441.316555,1
2023-04-09 11:00:00,121,237521.291989,1
2023-04-09 10:00:00,121,237521.2666,1
2023-04-09 09:00:00,121,237521.2644,1
2023-04-09 08:00:00,121,237521.2644,1
2023-04-09 07:00:00,121,237521.260588,1
2023-04-09 06:00:00,121,237501.260588,1
2023-04-09 05:00:00,121,237501.248164,1
2023-04-09 04:00:00,121,237501.192363,1
2023-04-09 03:00:00,121,237501.192363,1
2023-04-09 02:00:00,121,237500.955162,1
2023-04-09 01:00:00,121,237500.855162,1
2023-04-09 00:00:00,121,237500.855162,1
2023-04-08 23:00:00,121,237500.852372,1
2023-04-08 22:00:00,121,237460.752627,1
2023-04-08 21:00:00,121,237519.047515,1
2023-04-08 20:00:00,121,237519.047515,1
2023-04-08 19:00:00,121,237519.013989,1
2023-04-08 18:00:00,121,237462.018143,1
2023-04-08 17:00:00,121,237461.132673,1
2023-04-08 16:00:00,121,237461.05951,1
2023-04-08 15:00:00,121,237460.674506,1
2023-04-08 14:00:00,121,237460.674506,1
2023-04-08 13:00:00,121,237459.837629,1
