timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,124,235980.915669,9
2023-04-13 12:00:00,124,235980.476767,9
2023-04-13 00:00:00,124,235980.41691,9
2023-04-12 12:00:00,124,235840.406262,9
2023-04-12 00:00:00,123,235839.685868,9
2023-04-11 12:00:00,123,235839.562262,9
2023-04-11 08:00:00,123,235838.371387,9
2023-04-11 07:00:00,123,235838.371387,9
2023-04-11 06:00:00,123,235838.371387,9
2023-04-11 05:00:00,123,235838.220386,9
2023-04-11 04:00:00,123,235838.220386,9
2023-04-11 03:00:00,123,235838.220386,9
2023-04-11 02:00:00,123,235838.220386,9
2023-04-11 01:00:00,123,235838.220386,9
2023-04-11 00:00:00,123,235838.220386,9
2023-04-10 23:00:00,123,235838.220386,9
2023-04-10 22:00:00,123,235838.220386,9
2023-04-10 21:00:00,123,235838.20873,9
2023-04-10 20:00:00,123,235837.931207,9
2023-04-10 19:00:00,123,235837.931207,9
2023-04-10 18:00:00,123,235837.931207,9
2023-04-10 17:00:00,123,235837.931207,9
2023-04-10 16:00:00,123,235837.931152,9
2023-04-10 15:00:00,123,235837.930601,9
2023-04-10 14:00:00,123,235837.930601,9
2023-04-10 13:00:00,123,235837.922278,9
2023-04-10 12:00:00,123,235850.472278,9
2023-04-10 11:00:00,123,235850.472278,9
2023-04-10 10:00:00,123,235850.472278,9
2023-04-10 09:00:00,123,235850.472278,9
2023-04-10 08:00:00,123,235850.469503,9
2023-04-10 07:00:00,123,235850.467024,9
2023-04-10 06:00:00,123,235850.467024,9
2023-04-10 05:00:00,123,235850.467024,9
2023-04-10 04:00:00,123,235850.467024,9
2023-04-10 03:00:00,123,235850.467024,9
2023-04-10 02:00:00,123,235850.467024,9
2023-04-10 01:00:00,123,235850.467024,9
2023-04-10 00:00:00,123,235850.467024,9
2023-04-09 23:00:00,123,235850.467024,9
2023-04-09 22:00:00,123,235850.453148,9
2023-04-09 21:00:00,123,235849.652743,9
2023-04-09 20:00:00,123,235849.652743,9
2023-04-09 19:00:00,123,235849.641374,9
2023-04-09 18:00:00,123,235849.624723,9
2023-04-09 17:00:00,123,235849.624723,9
2023-04-09 16:00:00,123,235849.624723,9
2023-04-09 15:00:00,123,235849.624613,9
2023-04-09 14:00:00,123,235849.624608,9
2023-04-09 13:00:00,123,235849.624608,9
2023-04-09 12:00:00,123,235849.624608,9
2023-04-09 11:00:00,123,235849.600042,9
2023-04-09 10:00:00,123,235849.574653,9
2023-04-09 09:00:00,123,235849.572453,9
2023-04-09 08:00:00,123,235849.572453,9
2023-04-09 07:00:00,123,235849.568641,9
2023-04-09 06:00:00,123,235849.568641,9
2023-04-09 05:00:00,123,235849.556217,9
2023-04-09 04:00:00,123,235849.500416,9
2023-04-09 03:00:00,123,235849.500416,9
2023-04-09 02:00:00,123,235849.489256,9
2023-04-09 01:00:00,123,235849.489256,9
2023-04-09 00:00:00,123,235849.489256,9
2023-04-08 23:00:00,123,235849.486466,9
2023-04-08 22:00:00,123,235849.486466,9
2023-04-08 21:00:00,123,235849.476959,9
2023-04-08 20:00:00,123,235849.476959,9
2023-04-08 19:00:00,123,235849.443433,9
2023-04-08 18:00:00,123,235849.443087,9
2023-04-08 17:00:00,123,235849.437507,9
2023-04-08 16:00:00,123,235849.364344,9
2023-04-08 15:00:00,123,235848.97934,9
2023-04-08 14:00:00,123,235848.97934,9
2023-04-08 13:00:00,123,235848.142462,9
2023-04-08 12:00:00,123,235848.136883,9
2023-04-08 11:00:00,123,235848.120146,9
2023-04-08 10:00:00,123,235848.116003,9
2023-04-08 09:00:00,123,235848.116003,9
2023-04-08 08:00:00,123,235847.965801,9
2023-04-08 07:00:00,123,235847.606112,9
2023-04-08 06:00:00,123,235847.583789,9
2023-04-08 05:00:00,123,235847.544231,9
2023-04-08 04:00:00,123,235847.544231,9
2023-04-08 03:00:00,123,235847.544231,9
2023-04-08 02:00:00,123,235847.544231,9
2023-04-08 01:00:00,123,235847.544231,9
2023-04-08 00:00:00,122,235847.544231,9
2023-04-07 23:00:00,122,235847.544231,9
2023-04-07 22:00:00,122,235847.372859,9
2023-04-07 21:00:00,122,235847.372859,9
2023-04-07 20:00:00,122,235847.372859,9
2023-04-07 19:00:00,122,235847.372859,9
2023-04-07 18:00:00,123,235847.372859,9
2023-04-07 17:00:00,123,235847.372859,9
2023-04-07 16:00:00,123,235847.372859,9
2023-04-07 15:00:00,123,235847.372859,9
2023-04-07 14:00:00,123,235847.372859,9
2023-04-07 13:00:00,123,235847.372859,9
2023-04-07 12:00:00,123,235847.372859,9
2023-04-07 11:00:00,123,235847.372859,9
2023-04-07 10:00:00,123,235847.372859,9
2023-04-07 09:00:00,123,235847.372859,9
2023-04-07 08:00:00,123,235847.372859,9
2023-04-07 07:00:00,123,235847.372859,9
2023-04-07 06:00:00,123,235847.372859,9
2023-04-07 05:00:00,123,235847.372859,9
2023-04-07 04:00:00,123,235847.372859,9
2023-04-07 03:00:00,123,235847.372859,9
2023-04-07 02:00:00,123,235847.372859,9
2023-04-07 01:00:00,123,235847.372859,9
2023-04-07 00:00:00,123,235847.372859,9
2023-04-06 23:00:00,123,235847.372859,9
2023-04-06 22:00:00,123,235847.367282,9
2023-04-06 21:00:00,123,235846.798387,9
2023-04-06 20:00:00,123,235846.618079,9
2023-04-06 19:00:00,119,235846.618079,9
2023-04-06 18:00:00,115,235846.618079,9
2023-04-06 17:00:00,115,235845.682093,9
2023-04-06 16:00:00,115,235845.469747,9
2023-04-06 15:00:00,115,235845.441545,9
2023-04-06 14:00:00,115,235845.441545,9
2023-04-06 13:00:00,115,235845.441545,9
2023-04-06 12:00:00,115,235845.441545,9
2023-04-06 11:00:00,115,235845.441545,9
2023-04-06 10:00:00,115,235845.435755,9
2023-04-06 09:00:00,115,235845.419283,9
2023-04-06 08:00:00,115,235845.406875,9
2023-04-06 07:00:00,115,235845.406875,9
2023-04-06 06:00:00,115,235845.265866,9
2023-04-06 05:00:00,115,235845.183083,9
2023-04-06 04:00:00,115,235845.183083,9
2023-04-06 03:00:00,115,235845.183083,9
2023-04-06 02:00:00,115,235845.183083,9
2023-04-06 01:00:00,115,235845.183083,9
2023-04-06 00:00:00,114,235845.183083,9
2023-04-05 23:00:00,114,235845.183083,9
2023-04-05 22:00:00,114,235845.183083,9
2023-04-05 21:00:00,114,235845.183083,9
2023-04-05 20:00:00,114,235845.183083,9
2023-04-05 19:00:00,114,235845.183083,9
2023-04-05 18:00:00,114,235845.183083,9
2023-04-05 17:00:00,114,235845.183083,9
2023-04-05 16:00:00,114,235845.183083,9
2023-04-05 15:00:00,114,235845.183083,9
2023-04-05 14:00:00,114,235845.183083,9
2023-04-05 13:00:00,114,235845.183083,9
2023-04-05 12:00:00,114,235845.167094,9
2023-04-05 11:00:00,114,235845.029941,9
2023-04-05 10:00:00,114,235845.029941,9
2023-04-05 09:00:00,114,235845.029941,9
2023-04-05 08:00:00,114,235845.029941,9
2023-04-05 07:00:00,114,235845.029941,9
2023-04-05 06:00:00,114,235845.029941,9
2023-04-05 05:00:00,114,235845.029941,9
2023-04-05 04:00:00,114,235845.029941,9
2023-04-05 03:00:00,114,235845.029941,9
2023-04-05 02:00:00,114,235845.029941,9
2023-04-05 01:00:00,114,235845.029941,9
2023-04-05 00:00:00,114,235845.029941,9
2023-04-04 23:00:00,114,235845.029941,9
2023-04-04 22:00:00,114,235845.01302,9
2023-04-04 21:00:00,114,235845.01302,9
2023-04-04 20:00:00,114,235845.01302,9
2023-04-04 19:00:00,114,235845.01302,9
2023-04-04 18:00:00,114,235845.01302,9
2023-04-04 17:00:00,114,235845.01302,9
2023-04-04 16:00:00,113,235844.97917,9
2023-04-04 15:00:00,113,235844.97917,9
2023-04-04 14:00:00,113,235844.966583,9
2023-04-04 13:00:00,113,235844.966583,9
2023-04-04 12:00:00,113,235844.954736,9
2023-04-04 11:00:00,113,235844.953279,9
2023-04-04 10:00:00,113,235844.916722,9
2023-04-04 09:00:00,113,235844.879318,9
2023-04-04 08:00:00,113,235844.735714,9
2023-04-04 07:00:00,113,235844.735714,9
2023-04-04 06:00:00,113,235844.67898,9
2023-04-04 05:00:00,113,235844.62613,9
2023-04-04 04:00:00,113,235844.62613,9
2023-04-04 03:00:00,113,235844.62613,9
2023-04-04 02:00:00,113,235844.601792,9
2023-04-04 01:00:00,113,235844.601792,9
2023-04-04 00:00:00,113,235844.394373,9
2023-04-03 23:00:00,113,235844.394373,9
2023-04-03 22:00:00,113,235844.337962,9
2023-04-03 21:00:00,112,235844.337962,9
2023-04-03 20:00:00,112,235844.315132,9
2023-04-03 19:00:00,112,235844.315132,9
2023-04-03 18:00:00,112,235844.315132,9
2023-04-03 17:00:00,112,235844.315132,9
2023-04-03 16:00:00,112,235844.293281,9
2023-04-03 15:00:00,112,235843.749929,9
2023-04-03 14:00:00,112,235843.721392,9
2023-04-03 13:00:00,112,235843.632002,9
2023-04-03 12:00:00,112,235843.150881,9
2023-04-03 11:00:00,112,235843.145174,9
2023-04-03 10:00:00,112,235842.76851,9
2023-04-03 09:00:00,112,235842.739975,9
2023-04-03 08:00:00,112,235842.739975,9
2023-04-03 07:00:00,112,235842.728561,9
2023-04-03 06:00:00,112,235842.728561,9
2023-04-03 05:00:00,112,235842.691004,9
2023-04-03 04:00:00,112,235842.604648,9
2023-04-03 03:00:00,112,235842.077704,9
2023-04-03 02:00:00,112,235842.077704,9
2023-04-03 01:00:00,112,235842.058215,9
2023-04-03 00:00:00,112,235842.035658,9
2023-04-02 23:00:00,112,235841.324835,9
2023-04-02 22:00:00,112,235841.273473,9
2023-04-02 21:00:00,112,235841.26093,9
2023-04-02 20:00:00,112,235841.178313,9
2023-04-02 19:00:00,112,235840.690391,9
2023-04-02 18:00:00,112,235840.685711,9
2023-04-02 17:00:00,112,235840.530074,9
2023-04-02 16:00:00,111,235840.417582,9
2023-04-02 15:00:00,111,235840.417582,9
2023-04-02 14:00:00,111,235840.400463,9
2023-04-02 13:00:00,111,235840.399995,9
2023-04-02 12:00:00,111,235840.399995,9
2023-04-02 11:00:00,111,235840.398056,9
2023-04-02 10:00:00,111,235840.398056,9
2023-04-02 09:00:00,111,235840.389918,9
2023-04-02 08:00:00,111,235839.883633,9
2023-04-02 07:00:00,111,235839.845474,9
2023-04-02 06:00:00,111,235839.845474,9
2023-04-02 05:00:00,111,235839.842875,9
2023-04-02 04:00:00,111,235839.82861,9
2023-04-02 03:00:00,111,235839.68858,9
2023-04-02 02:00:00,111,235839.684016,9
2023-04-02 01:00:00,111,235839.678596,9
2023-04-02 00:00:00,111,235839.678596,9
2023-04-01 23:00:00,111,235839.496858,9
2023-04-01 22:00:00,111,235839.379884,9
2023-04-01 21:00:00,111,235839.348397,9
2023-04-01 20:00:00,111,235839.348397,9
2023-04-01 19:00:00,111,235839.324147,9
2023-04-01 18:00:00,111,235839.264253,9
2023-04-01 17:00:00,111,235839.264253,9
2023-04-01 16:00:00,111,235839.07881,9
2023-04-01 15:00:00,111,235839.072006,9
2023-04-01 14:00:00,111,235838.513782,9
2023-04-01 13:00:00,111,235838.513782,9
2023-04-01 12:00:00,111,235838.501802,9
2023-04-01 11:00:00,111,235838.436085,9
2023-04-01 10:00:00,111,235838.263361,9
2023-04-01 09:00:00,111,235838.246245,9
2023-04-01 08:00:00,111,235838.237167,9
2023-04-01 07:00:00,111,235838.237167,9
2023-04-01 06:00:00,111,235838.219481,9
2023-04-01 05:00:00,111,235838.216629,9
2023-04-01 04:00:00,111,235838.214546,9
2023-04-01 03:00:00,111,235838.187369,9
2023-04-01 02:00:00,111,235838.071137,9
2023-04-01 01:00:00,111,235840.058967,9
2023-04-01 00:00:00,111,235839.66159,9
2023-03-31 23:00:00,111,235839.66159,9
2023-03-31 22:00:00,111,235839.450496,9
2023-03-31 21:00:00,111,235839.31597,9
2023-03-31 20:00:00,111,235838.969816,9
2023-03-31 19:00:00,111,235838.731917,9
2023-03-31 18:00:00,111,235838.697058,9
2023-03-31 17:00:00,111,235837.959971,9
2023-03-31 16:00:00,111,235837.892088,9
2023-03-31 15:00:00,111,235837.843601,9
2023-03-31 14:00:00,111,235837.767774,9
2023-03-31 13:00:00,111,235837.758353,9
2023-03-31 12:00:00,111,235837.662935,9
2023-03-31 11:00:00,111,235837.376925,9
2023-03-31 10:00:00,111,235837.338708,9
2023-03-31 09:00:00,111,235837.166083,9
2023-03-31 08:00:00,111,235837.106189,9
2023-03-31 07:00:00,111,235836.721737,9
2023-03-31 06:00:00,111,235830.723193,9
2023-03-31 05:00:00,111,235830.555092,9
2023-03-31 04:00:00,111,235830.555092,9
2023-03-31 03:00:00,111,235830.540699,9
2023-03-31 02:00:00,111,235830.532139,9
2023-03-31 01:00:00,111,235830.502493,9
2023-03-31 00:00:00,111,235830.491091,9
2023-03-30 23:00:00,111,235830.491091,9
2023-03-30 22:00:00,111,235830.437831,9
2023-03-30 21:00:00,111,235830.368585,9
2023-03-30 20:00:00,111,235830.3378,9
2023-03-30 19:00:00,111,235830.301138,9
2023-03-30 18:00:00,111,235830.264402,9
2023-03-30 17:00:00,111,235830.217655,9
2023-03-30 16:00:00,111,235830.184012,9
2023-03-30 15:00:00,111,235830.175032,9
2023-03-30 14:00:00,111,235830.175032,9
2023-03-30 13:00:00,110,235829.925158,9
2023-03-30 12:00:00,110,235829.925158,9
2023-03-30 11:00:00,110,235829.904271,9
2023-03-30 10:00:00,109,235829.897317,9
2023-03-30 09:00:00,109,235829.8805,9
2023-03-30 08:00:00,109,235829.8805,9
2023-03-30 07:00:00,109,235829.718625,9
2023-03-30 06:00:00,109,235829.600854,9
2023-03-30 05:00:00,109,235829.600854,9
2023-03-30 04:00:00,109,235829.593855,9
2023-03-30 03:00:00,109,235829.583581,9
2023-03-30 02:00:00,109,235829.314729,9
2023-03-30 01:00:00,109,235829.314729,9
2023-03-30 00:00:00,109,235829.249758,9
2023-03-29 23:00:00,109,235829.249758,9
2023-03-29 22:00:00,109,235829.224955,9
2023-03-29 21:00:00,109,235829.162917,9
2023-03-29 20:00:00,109,235829.133276,9
2023-03-29 19:00:00,109,235828.661015,9
2023-03-29 18:00:00,109,235828.620003,9
2023-03-29 17:00:00,109,235828.169492,9
2023-03-29 16:00:00,109,235828.043783,9
2023-03-29 15:00:00,109,235826.922617,9
2023-03-29 14:00:00,109,235826.899819,9
2023-03-29 13:00:00,109,235826.267186,9
2023-03-29 12:00:00,110,235823.966434,9
2023-03-29 11:00:00,110,235823.966434,9
2023-03-29 10:00:00,110,235821.553585,9
2023-03-29 09:00:00,110,235821.553585,9
2023-03-29 08:00:00,110,235821.537293,9
2023-03-29 07:00:00,110,235821.522424,9
2023-03-29 06:00:00,110,235821.522424,9
2023-03-29 05:00:00,110,235821.454058,9
2023-03-29 04:00:00,110,235821.237569,9
2023-03-29 03:00:00,110,235821.231872,9
2023-03-29 02:00:00,110,235821.190794,9
2023-03-29 01:00:00,110,235821.186739,9
2023-03-29 00:00:00,110,235821.178628,9
2023-03-28 23:00:00,110,235821.172931,9
2023-03-28 22:00:00,110,235821.172931,9
2023-03-28 21:00:00,110,235821.167234,9
2023-03-28 20:00:00,110,235820.649747,9
2023-03-28 19:00:00,110,235820.649747,9
2023-03-28 18:00:00,110,235817.813388,9
2023-03-28 17:00:00,110,235816.818925,9
2023-03-28 16:00:00,110,235816.750585,9
2023-03-28 15:00:00,110,235816.730923,9
2023-03-28 14:00:00,110,235816.668906,9
2023-03-28 13:00:00,110,235816.664635,9
2023-03-28 12:00:00,110,235816.655473,9
2023-03-28 11:00:00,110,235816.655473,9
2023-03-28 10:00:00,110,235815.058109,9
2023-03-28 09:00:00,110,235815.0415,9
2023-03-28 08:00:00,110,235814.81003,9
2023-03-28 07:00:00,110,235814.81003,9
2023-03-28 06:00:00,110,235814.807719,9
2023-03-28 05:00:00,110,235814.807719,9
2023-03-28 04:00:00,110,235814.804856,9
2023-03-28 03:00:00,110,235814.769046,9
2023-03-28 02:00:00,110,235814.769046,9
2023-03-28 01:00:00,110,235814.712666,9
2023-03-28 00:00:00,110,235814.712666,9
2023-03-27 23:00:00,110,235814.668159,9
2023-03-27 22:00:00,110,235814.663882,9
2023-03-27 21:00:00,110,235814.654262,9
2023-03-27 20:00:00,110,235814.633864,9
2023-03-27 19:00:00,110,235814.633864,9
2023-03-27 18:00:00,110,235814.633864,9
2023-03-27 17:00:00,110,235815.57232,9
2023-03-27 16:00:00,110,235815.533949,9
2023-03-27 15:00:00,110,235815.533949,9
2023-03-27 14:00:00,110,235815.523642,9
2023-03-27 13:00:00,110,235815.510616,9
2023-03-27 12:00:00,110,235815.410079,9
2023-03-27 11:00:00,110,235815.394047,9
2023-03-27 10:00:00,110,235815.379017,9
2023-03-27 09:00:00,110,235815.313304,9
2023-03-27 08:00:00,110,235815.185738,9
2023-03-27 07:00:00,110,235815.162313,9
2023-03-27 06:00:00,110,235815.082852,9
2023-03-27 05:00:00,110,235814.945406,9
2023-03-27 04:00:00,110,235814.945406,9
2023-03-27 03:00:00,110,235814.945406,9
2023-03-27 02:00:00,110,235814.843389,9
2023-03-27 01:00:00,110,235814.830782,9
2023-03-27 00:00:00,110,235814.762934,9
2023-03-26 23:00:00,110,235814.748618,9
2023-03-26 22:00:00,110,235814.708531,9
2023-03-26 21:00:00,110,235814.674171,9
2023-03-26 20:00:00,110,235814.662089,9
2023-03-26 19:00:00,110,235814.662089,9
2023-03-26 18:00:00,110,235814.635724,9
2023-03-26 17:00:00,110,235814.463334,9
2023-03-26 16:00:00,110,235814.449647,9
2023-03-26 15:00:00,110,235814.445639,9
2023-03-26 14:00:00,110,235814.445639,9
2023-03-26 13:00:00,110,235812.531105,9
2023-03-26 12:00:00,110,235812.530345,9
2023-03-26 11:00:00,110,235812.438719,9
2023-03-26 10:00:00,110,235812.358925,9
2023-03-26 09:00:00,110,235811.835865,9
2023-03-26 08:00:00,110,235811.710458,9
2023-03-26 07:00:00,110,235811.710458,9
2023-03-26 06:00:00,110,235811.710458,9
2023-03-26 05:00:00,110,235811.531811,9
2023-03-26 04:00:00,110,235811.531811,9
2023-03-26 03:00:00,110,235811.531811,9
2023-03-26 02:00:00,110,235811.531811,9
2023-03-26 01:00:00,110,235811.531811,9
2023-03-26 00:00:00,110,235811.529046,9
