timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,127,204110.197456,10
2023-04-13 12:00:00,127,204109.930802,10
2023-04-13 00:00:00,127,204109.870945,10
2023-04-12 12:00:00,127,203969.860297,10
2023-04-12 00:00:00,126,203967.939903,10
2023-04-11 12:00:00,126,203967.816297,10
2023-04-11 08:00:00,126,203968.080901,10
2023-04-11 07:00:00,126,203968.080901,10
2023-04-11 06:00:00,126,203968.080901,10
2023-04-11 05:00:00,126,203967.9299,10
2023-04-11 04:00:00,126,203967.9299,10
2023-04-11 03:00:00,126,203967.9299,10
2023-04-11 02:00:00,126,203967.9299,10
2023-04-11 01:00:00,126,203967.9299,10
2023-04-11 00:00:00,126,203967.9299,10
2023-04-10 23:00:00,126,203967.9299,10
2023-04-10 22:00:00,126,203967.9299,10
2023-04-10 21:00:00,126,203967.918244,10
2023-04-10 20:00:00,126,203967.640721,10
2023-04-10 19:00:00,126,203967.640721,10
2023-04-10 18:00:00,126,203967.640721,10
2023-04-10 17:00:00,126,203967.640721,10
2023-04-10 16:00:00,126,203967.640666,10
2023-04-10 15:00:00,126,203967.640115,10
2023-04-10 14:00:00,126,203967.640115,10
2023-04-10 13:00:00,126,203967.631792,10
2023-04-10 12:00:00,126,203967.631792,10
2023-04-10 11:00:00,126,203965.631792,10
2023-04-10 10:00:00,126,203965.631792,10
2023-04-10 09:00:00,126,203965.631792,10
2023-04-10 08:00:00,126,203965.629017,10
2023-04-10 07:00:00,126,203965.626538,10
2023-04-10 06:00:00,126,203965.626538,10
2023-04-10 05:00:00,126,203965.626538,10
2023-04-10 04:00:00,126,203465.626538,10
2023-04-10 03:00:00,126,203465.626538,10
2023-04-10 02:00:00,126,203465.626538,10
2023-04-10 01:00:00,126,203465.626538,10
2023-04-10 00:00:00,126,203465.626538,10
2023-04-09 23:00:00,126,203465.626538,10
2023-04-09 22:00:00,126,203465.612662,10
2023-04-09 21:00:00,126,203464.812257,10
2023-04-09 20:00:00,126,203464.812257,10
2023-04-09 19:00:00,126,203464.800888,10
2023-04-09 18:00:00,126,203464.784237,10
2023-04-09 17:00:00,126,203464.784237,10
2023-04-09 16:00:00,126,203464.784237,10
2023-04-09 15:00:00,126,203464.784127,10
2023-04-09 14:00:00,126,203464.784122,10
2023-04-09 13:00:00,126,203464.784122,10
2023-04-09 12:00:00,126,203464.784122,10
2023-04-09 11:00:00,126,203464.759556,10
2023-04-09 10:00:00,126,203464.734167,10
2023-04-09 09:00:00,126,203464.731967,10
2023-04-09 08:00:00,126,203464.731967,10
2023-04-09 07:00:00,126,203464.728155,10
2023-04-09 06:00:00,126,203464.728155,10
2023-04-09 05:00:00,126,203464.715731,10
2023-04-09 04:00:00,126,203464.65993,10
2023-04-09 03:00:00,126,203464.65993,10
2023-04-09 02:00:00,126,203464.64877,10
2023-04-09 01:00:00,126,203464.64877,10
2023-04-09 00:00:00,126,203464.64877,10
2023-04-08 23:00:00,126,203464.64598,10
2023-04-08 22:00:00,126,203464.64598,10
2023-04-08 21:00:00,126,203464.636473,10
2023-04-08 20:00:00,126,203464.636473,10
2023-04-08 19:00:00,126,203464.602947,10
2023-04-08 18:00:00,126,203464.602601,10
2023-04-08 17:00:00,126,203464.597021,10
2023-04-08 16:00:00,126,203464.523858,10
2023-04-08 15:00:00,126,203464.138854,10
2023-04-08 14:00:00,126,203464.138854,10
2023-04-08 13:00:00,126,203463.301976,10
