timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,128,203631.601835,4
2023-04-13 12:00:00,128,203797.805753,4
2023-04-13 00:00:00,128,202753.493607,4
2023-04-12 12:00:00,128,201665.621817,4
2023-04-12 00:00:00,127,201614.958894,4
2023-04-11 12:00:00,127,201183.389077,4
2023-04-11 08:00:00,127,201118.792213,4
2023-04-11 07:00:00,127,201118.792213,4
2023-04-11 06:00:00,127,201064.699985,4
2023-04-11 05:00:00,127,201007.435437,4
2023-04-11 04:00:00,127,200957.435437,4
2023-04-11 03:00:00,127,200957.435437,4
2023-04-11 02:00:00,127,200954.641766,4
2023-04-11 01:00:00,127,200894.765787,4
2023-04-11 00:00:00,127,200894.115787,4
2023-04-10 23:00:00,127,200893.988138,4
2023-04-10 22:00:00,127,200893.988138,4
2023-04-10 21:00:00,127,200891.643327,4
2023-04-10 20:00:00,127,200891.365804,4
2023-04-10 19:00:00,127,200884.022946,4
2023-04-10 18:00:00,127,200795.383674,4
2023-04-10 17:00:00,127,200794.577317,4
2023-04-10 16:00:00,127,200794.057262,4
2023-04-10 15:00:00,127,200751.856711,4
2023-04-10 14:00:00,127,200751.856711,4
2023-04-10 13:00:00,127,200706.942745,4
2023-04-10 12:00:00,127,200706.903049,4
2023-04-10 11:00:00,127,200701.903049,4
2023-04-10 10:00:00,127,200694.323049,4
2023-04-10 09:00:00,127,200694.323049,4
2023-04-10 08:00:00,127,200694.320274,4
2023-04-10 07:00:00,127,200683.023791,4
2023-04-10 06:00:00,127,200683.023791,4
2023-04-10 05:00:00,127,200683.023791,4
2023-04-10 04:00:00,127,200683.023791,4
2023-04-10 03:00:00,127,200683.023791,4
2023-04-10 02:00:00,127,200683.023791,4
2023-04-10 01:00:00,127,200676.72959,4
2023-04-10 00:00:00,127,200595.454098,4
2023-04-09 23:00:00,127,200595.454098,4
2023-04-09 22:00:00,127,200595.440222,4
2023-04-09 21:00:00,127,200594.625756,4
2023-04-09 20:00:00,127,200594.621865,4
2023-04-09 19:00:00,127,200576.930895,4
2023-04-09 18:00:00,127,200572.214336,4
2023-04-09 17:00:00,127,200571.904655,4
2023-04-09 16:00:00,127,200570.904655,4
2023-04-09 15:00:00,127,200537.622142,4
2023-04-09 14:00:00,127,200537.622137,4
2023-04-09 13:00:00,127,200518.788271,4
2023-04-09 12:00:00,127,200501.11408,4
2023-04-09 11:00:00,127,200500.060296,4
2023-04-09 10:00:00,127,200499.816055,4
2023-04-09 09:00:00,127,200499.813855,4
2023-04-09 08:00:00,127,200499.813855,4
2023-04-09 07:00:00,127,200493.560043,4
2023-04-09 06:00:00,127,200368.91806,4
2023-04-09 05:00:00,127,200368.905636,4
2023-04-09 04:00:00,127,200368.849835,4
2023-04-09 03:00:00,127,200368.686024,4
2023-04-09 02:00:00,127,200367.263558,4
2023-04-09 01:00:00,127,200367.263558,4
2023-04-09 00:00:00,127,200065.851987,4
2023-04-08 23:00:00,127,200065.849197,4
2023-04-08 22:00:00,127,200065.744197,4
2023-04-08 21:00:00,127,200065.497278,4
2023-04-08 20:00:00,127,200065.483646,4
2023-04-08 19:00:00,127,203147.776635,4
2023-04-08 18:00:00,127,203141.732002,4
2023-04-08 17:00:00,127,203141.423827,4
2023-04-08 16:00:00,127,203141.350664,4
2023-04-08 15:00:00,127,203140.96566,4
2023-04-08 14:00:00,127,203140.607252,4
2023-04-08 13:00:00,127,203139.770374,4
2023-04-08 12:00:00,127,203114.414816,4
2023-04-08 11:00:00,127,203034.398079,4
2023-04-08 10:00:00,127,203034.393936,4
2023-04-08 09:00:00,127,203033.085235,4
2023-04-08 08:00:00,127,203016.935033,4
2023-04-08 07:00:00,127,202996.32789,4
2023-04-08 06:00:00,127,203193.305567,4
2023-04-08 05:00:00,127,203191.966009,4
2023-04-08 04:00:00,127,203190.966009,4
2023-04-08 03:00:00,127,203190.966009,4
2023-04-08 02:00:00,127,203184.249644,4
2023-04-08 01:00:00,127,203066.280353,4
2023-04-08 00:00:00,127,202018.254258,4
2023-04-07 23:00:00,127,202018.254258,4
2023-04-07 22:00:00,127,202018.082886,4
2023-04-07 21:00:00,127,202017.765211,4
2023-04-07 20:00:00,127,202016.451232,4
2023-04-07 19:00:00,127,201985.641031,4
2023-04-07 18:00:00,127,202822.018691,4
2023-04-07 17:00:00,127,202817.811125,4
2023-04-07 16:00:00,127,202817.504395,4
2023-04-07 15:00:00,127,202816.557051,4
2023-04-07 14:00:00,127,202814.687132,4
2023-04-07 13:00:00,127,202804.327124,4
2023-04-07 12:00:00,127,202804.327124,4
2023-04-07 11:00:00,127,202804.327124,4
2023-04-07 10:00:00,127,202804.180512,4
2023-04-07 09:00:00,127,202804.180512,4
2023-04-07 08:00:00,127,202800.401301,4
2023-04-07 07:00:00,127,202787.749012,4
2023-04-07 06:00:00,127,202786.749012,4
2023-04-07 05:00:00,127,202786.349012,4
2023-04-07 04:00:00,127,202786.349012,4
2023-04-07 03:00:00,127,202786.349012,4
2023-04-07 02:00:00,127,202786.349012,4
2023-04-07 01:00:00,127,202676.275887,4
2023-04-07 00:00:00,127,202676.275887,4
2023-04-06 23:00:00,127,202676.275887,4
2023-04-06 22:00:00,127,202636.27031,4
2023-04-06 21:00:00,127,202635.701415,4
2023-04-06 20:00:00,127,202635.285436,4
2023-04-06 19:00:00,123,202620.214081,4
2023-04-06 18:00:00,119,202611.953258,4
2023-04-06 17:00:00,119,202609.694462,4
2023-04-06 16:00:00,119,202603.675716,4
2023-04-06 15:00:00,119,202598.647514,4
2023-04-06 14:00:00,119,202633.647514,4
2023-04-06 13:00:00,119,202281.01205,4
