timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,130,196055.127537,5
2023-04-13 12:00:00,130,195888.618622,5
2023-04-13 00:00:00,130,195876.352367,5
2023-04-12 12:00:00,130,195732.353707,5
2023-04-12 00:00:00,130,195760.836675,5
2023-04-11 12:00:00,130,195754.230635,5
2023-04-11 08:00:00,129,195752.472615,5
2023-04-11 07:00:00,129,195752.472615,5
2023-04-11 06:00:00,129,195752.472615,5
2023-04-11 05:00:00,129,195752.3235,5
2023-04-11 04:00:00,129,195752.3235,5
2023-04-11 03:00:00,129,195752.3235,5
2023-04-11 02:00:00,129,195752.3235,5
2023-04-11 01:00:00,129,195752.3235,5
2023-04-11 00:00:00,129,195750.543144,5
2023-04-10 23:00:00,129,195741.743144,5
2023-04-10 22:00:00,129,195741.743144,5
2023-04-10 21:00:00,129,195741.731634,5
2023-04-10 20:00:00,129,195740.919783,5
2023-04-10 19:00:00,129,195740.619783,5
2023-04-10 18:00:00,129,195714.57464,5
2023-04-10 17:00:00,129,195699.2912,5
2023-04-10 16:00:00,129,195675.261146,5
2023-04-10 15:00:00,130,195675.260602,5
2023-04-10 14:00:00,130,195675.260602,5
2023-04-10 13:00:00,130,195675.252383,5
2023-04-10 12:00:00,130,195675.252383,5
2023-04-10 11:00:00,130,195673.952383,5
2023-04-10 10:00:00,130,195671.452383,5
2023-04-10 09:00:00,130,195671.452383,5
2023-04-10 08:00:00,130,195671.449643,5
2023-04-10 07:00:00,130,195671.276962,5
2023-04-10 06:00:00,130,195671.276962,5
2023-04-10 05:00:00,130,195671.276962,5
2023-04-10 04:00:00,130,195671.276962,5
2023-04-10 03:00:00,130,195671.276962,5
2023-04-10 02:00:00,130,195670.926962,5
2023-04-10 01:00:00,130,195670.926962,5
2023-04-10 00:00:00,130,195670.926962,5
2023-04-09 23:00:00,130,195670.926962,5
2023-04-09 22:00:00,130,195670.91326,5
2023-04-09 21:00:00,130,195670.122855,5
2023-04-09 20:00:00,130,195556.533156,5
2023-04-09 19:00:00,130,195555.021929,5
2023-04-09 18:00:00,130,195553.105487,5
2023-04-09 17:00:00,130,195552.629052,5
2023-04-09 16:00:00,130,195552.49132,5
2023-04-09 15:00:00,130,195594.39121,5
2023-04-09 14:00:00,130,195594.341205,5
2023-04-09 13:00:00,130,195590.710053,5
2023-04-09 12:00:00,130,195590.710053,5
2023-04-09 11:00:00,130,195590.685796,5
2023-04-09 10:00:00,130,195590.660726,5
2023-04-09 09:00:00,130,195590.658553,5
2023-04-09 08:00:00,130,195590.614821,5
2023-04-09 07:00:00,130,195590.611058,5
2023-04-09 06:00:00,130,195590.611058,5
2023-04-09 05:00:00,130,195590.598791,5
2023-04-09 04:00:00,130,195590.543692,5
2023-04-09 03:00:00,130,195590.543692,5
2023-04-09 02:00:00,130,195590.532673,5
2023-04-09 01:00:00,130,195590.532673,5
2023-04-09 00:00:00,130,195461.868947,5
2023-04-08 23:00:00,130,195461.866193,5
2023-04-08 22:00:00,130,195461.636193,5
2023-04-08 21:00:00,130,195461.626806,5
2023-04-08 20:00:00,130,195461.626806,5
2023-04-08 19:00:00,130,195450.193701,5
2023-04-08 18:00:00,130,195450.193359,5
2023-04-08 17:00:00,130,195449.857121,5
2023-04-08 16:00:00,130,195449.784879,5
2023-04-08 15:00:00,130,195449.404725,5
2023-04-08 14:00:00,130,195449.404725,5
2023-04-08 13:00:00,130,195448.578411,5
2023-04-08 12:00:00,130,195441.572903,5
2023-04-08 11:00:00,130,195441.556377,5
2023-04-08 10:00:00,130,195441.552287,5
2023-04-08 09:00:00,130,195441.552287,5
2023-04-08 08:00:00,130,195441.173426,5
2023-04-08 07:00:00,130,195439.31695,5
2023-04-08 06:00:00,130,195439.294826,5
2023-04-08 05:00:00,130,195447.255731,5
2023-04-08 04:00:00,130,195447.255731,5
2023-04-08 03:00:00,130,195447.252901,5
2023-04-08 02:00:00,130,195447.252901,5
2023-04-08 01:00:00,130,195447.252901,5
2023-04-08 00:00:00,130,195447.252901,5
2023-04-07 23:00:00,130,195447.252901,5
2023-04-07 22:00:00,130,195447.083706,5
2023-04-07 21:00:00,130,195447.083706,5
2023-04-07 20:00:00,130,195296.211155,5
2023-04-07 19:00:00,130,195296.211155,5
2023-04-07 18:00:00,130,195296.211155,5
2023-04-07 17:00:00,130,195296.211155,5
2023-04-07 16:00:00,130,195295.580833,5
2023-04-07 15:00:00,130,195295.580833,5
2023-04-07 14:00:00,130,195295.580833,5
2023-04-07 13:00:00,130,195295.390833,5
2023-04-07 12:00:00,130,195294.662892,5
2023-04-07 11:00:00,130,195294.662892,5
2023-04-07 10:00:00,130,195294.662892,5
2023-04-07 09:00:00,130,195294.662892,5
2023-04-07 08:00:00,130,195294.497454,5
2023-04-07 07:00:00,130,195294.497454,5
2023-04-07 06:00:00,130,195294.497454,5
2023-04-07 05:00:00,130,195294.497454,5
2023-04-07 04:00:00,130,195294.497454,5
2023-04-07 03:00:00,130,195294.497454,5
