timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,132,193945.980419,5
2023-04-13 12:00:00,132,193928.131308,5
2023-04-13 00:00:00,131,193938.484772,5
2023-04-12 12:00:00,131,193791.442288,5
2023-04-12 00:00:00,131,193769.784266,5
2023-04-11 12:00:00,131,194148.143279,5
2023-04-11 08:00:00,130,194270.188752,5
2023-04-11 07:00:00,130,194270.168301,5
2023-04-11 06:00:00,130,194256.934396,5
2023-04-11 05:00:00,130,194253.406336,5
2023-04-11 04:00:00,130,194252.581128,5
2023-04-11 03:00:00,130,194252.354243,5
2023-04-11 02:00:00,130,194251.723898,5
2023-04-11 01:00:00,130,194251.546874,5
2023-04-11 00:00:00,130,194250.45187,5
2023-04-10 23:00:00,130,194250.090013,5
2023-04-10 22:00:00,130,194249.227965,5
2023-04-10 21:00:00,130,194247.70149,5
2023-04-10 20:00:00,130,195377.880303,5
2023-04-10 19:00:00,130,195377.639497,5
2023-04-10 18:00:00,130,195369.63244,5
2023-04-10 17:00:00,130,195369.261525,5
2023-04-10 16:00:00,130,195368.406257,5
2023-04-10 15:00:00,129,196411.324772,5
2023-04-10 14:00:00,129,196411.324772,5
2023-04-10 13:00:00,129,196409.12184,5
2023-04-10 12:00:00,129,196403.369012,5
2023-04-10 11:00:00,129,196402.178691,5
2023-04-10 10:00:00,129,196402.12587,5
2023-04-10 09:00:00,129,196401.55008,5
2023-04-10 08:00:00,129,196407.996776,5
2023-04-10 07:00:00,129,197743.976296,5
2023-04-10 06:00:00,129,197743.976296,5
2023-04-10 05:00:00,129,197742.833115,5
2023-04-10 04:00:00,129,197742.107573,5
2023-04-10 03:00:00,129,197740.605044,1
2023-04-10 02:00:00,129,197742.154188,1
2023-04-10 01:00:00,129,197741.150342,1
2023-04-10 00:00:00,129,197739.96859,1
2023-04-09 23:00:00,129,197889.481223,1
2023-04-09 22:00:00,129,197888.962867,1
2023-04-09 21:00:00,129,197887.785373,1
2023-04-09 20:00:00,129,197887.111219,1
2023-04-09 19:00:00,129,197886.412445,1
2023-04-09 18:00:00,129,197885.960678,1
2023-04-09 17:00:00,129,197883.032416,1
2023-04-09 16:00:00,129,198483.032416,1
2023-04-09 15:00:00,129,198482.473771,1
2023-04-09 14:00:00,129,198481.975994,1
2023-04-09 13:00:00,129,198480.813381,1
2023-04-09 12:00:00,129,198480.189659,1
2023-04-09 11:00:00,129,198452.898443,1
2023-04-09 10:00:00,129,198452.873281,1
2023-04-09 09:00:00,129,198448.921767,1
2023-04-09 08:00:00,129,198448.921767,1
2023-04-09 07:00:00,129,198447.530794,1
2023-04-09 06:00:00,129,198446.792427,1
2023-04-09 05:00:00,129,198442.587822,1
2023-04-09 04:00:00,129,198442.532519,1
2023-04-09 03:00:00,129,198442.532519,1
2023-04-09 02:00:00,129,198440.971427,1
2023-04-09 01:00:00,129,198440.019354,1
2023-04-09 00:00:00,129,198930.245662,1
2023-04-08 23:00:00,129,198921.385773,1
2023-04-08 22:00:00,129,198921.385773,1
2023-04-08 21:00:00,129,198409.726297,1
2023-04-08 20:00:00,129,198409.726297,1
2023-04-08 19:00:00,129,198409.089658,1
2023-04-08 18:00:00,129,198408.301712,1
2023-04-08 17:00:00,129,198402.991106,1
2023-04-08 16:00:00,129,198398.226942,1
2023-04-08 15:00:00,129,198396.306787,1
2023-04-08 14:00:00,129,198395.552323,1
2023-04-08 13:00:00,129,198381.628125,1
2023-04-08 12:00:00,129,198292.591462,1
2023-04-08 11:00:00,129,198291.800844,1
2023-04-08 10:00:00,128,199786.289323,1
