timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,134,191562.558539,5
2023-04-13 12:00:00,133,191283.454469,5
2023-04-13 00:00:00,133,191260.959612,5
2023-04-12 12:00:00,133,191195.581376,5
2023-04-12 00:00:00,133,191217.428384,5
2023-04-11 12:00:00,133,191131.259434,5
2023-04-11 08:00:00,132,191106.500192,5
2023-04-11 07:00:00,132,191105.44406,5
2023-04-11 06:00:00,132,191099.869267,5
2023-04-11 05:00:00,132,191099.718266,5
2023-04-11 04:00:00,132,191099.203939,5
2023-04-11 03:00:00,132,191099.203939,5
2023-04-11 02:00:00,132,191099.203939,5
2023-04-11 01:00:00,132,191093.020094,5
2023-04-11 00:00:00,132,191089.380767,5
2023-04-10 23:00:00,132,191113.371226,5
2023-04-10 22:00:00,132,191112.357681,5
2023-04-10 21:00:00,132,191107.386223,5
2023-04-10 20:00:00,132,191092.950496,5
2023-04-10 19:00:00,132,191090.81985,5
2023-04-10 18:00:00,132,191063.742678,5
2023-04-10 17:00:00,132,191607.620292,5
2023-04-10 16:00:00,132,191655.249817,5
2023-04-10 15:00:00,132,191600.249266,5
2023-04-10 14:00:00,132,191575.249266,5
2023-04-10 13:00:00,132,191574.187944,5
2023-04-10 12:00:00,132,191557.011422,5
2023-04-10 11:00:00,132,191557.011422,5
2023-04-10 10:00:00,132,191557.011422,5
2023-04-10 09:00:00,132,191557.011422,5
2023-04-10 08:00:00,132,191557.008647,5
2023-04-10 07:00:00,132,191556.656168,5
2023-04-10 06:00:00,132,191556.656168,5
2023-04-10 05:00:00,132,191572.993017,5
2023-04-10 04:00:00,132,191563.969804,5
2023-04-10 03:00:00,132,191563.969804,5
2023-04-10 02:00:00,132,191565.274682,5
2023-04-10 01:00:00,132,191563.062668,5
2023-04-10 00:00:00,132,191563.062668,5
2023-04-09 23:00:00,132,191562.447077,5
2023-04-09 22:00:00,132,191562.433201,5
2023-04-09 21:00:00,132,191561.632796,5
2023-04-09 20:00:00,132,191560.880136,5
2023-04-09 19:00:00,132,191558.825045,5
2023-04-09 18:00:00,132,191557.549378,5
2023-04-09 17:00:00,132,191557.43014,5
2023-04-09 16:00:00,132,191517.741072,5
2023-04-09 15:00:00,132,191566.692539,5
2023-04-09 14:00:00,132,191566.676206,5
2023-04-09 13:00:00,132,191566.676206,5
2023-04-09 12:00:00,132,191537.558108,5
2023-04-09 11:00:00,132,191537.533542,5
2023-04-09 10:00:00,132,191534.648153,5
2023-04-09 09:00:00,132,191513.232836,5
2023-04-09 08:00:00,132,191513.232836,5
2023-04-09 07:00:00,132,191512.829024,5
2023-04-09 06:00:00,132,191507.402584,5
2023-04-09 05:00:00,132,191501.182372,5
2023-04-09 04:00:00,132,191491.28778,5
2023-04-09 03:00:00,132,191490.667235,5
2023-04-09 02:00:00,132,191490.116614,5
2023-04-09 01:00:00,132,191490.116614,5
2023-04-09 00:00:00,132,191490.116614,5
2023-04-08 23:00:00,132,191490.113824,5
2023-04-08 22:00:00,132,191490.075476,5
2023-04-08 21:00:00,132,191490.065969,5
2023-04-08 20:00:00,132,191489.439263,5
2023-04-08 19:00:00,132,191489.405737,5
2023-04-08 18:00:00,132,191489.172062,5
2023-04-08 17:00:00,132,191479.680271,5
2023-04-08 16:00:00,132,191478.990055,5
2023-04-08 15:00:00,132,191463.396473,5
2023-04-08 14:00:00,132,191457.244451,5
2023-04-08 13:00:00,132,191456.407573,5
2023-04-08 12:00:00,132,191428.930533,5
2023-04-08 11:00:00,132,191228.915961,5
2023-04-08 10:00:00,132,191228.911818,5
2023-04-08 09:00:00,132,191140.911818,5
2023-04-08 08:00:00,132,191128.009679,5
2023-04-08 07:00:00,132,191123.593901,5
2023-04-08 06:00:00,132,191123.251578,5
2023-04-08 05:00:00,132,191123.12602,5
2023-04-08 04:00:00,132,191119.518317,5
2023-04-08 03:00:00,132,191107.305742,5
2023-04-08 02:00:00,132,191106.027532,5
2023-04-08 01:00:00,132,191086.829207,5
2023-04-08 00:00:00,131,191086.829207,5
2023-04-07 23:00:00,131,191086.829207,5
2023-04-07 22:00:00,131,191016.657835,5
2023-04-07 21:00:00,131,191010.957835,5
2023-04-07 20:00:00,131,191010.557835,5
2023-04-07 19:00:00,131,191010.017373,5
2023-04-07 18:00:00,132,191010.017373,5
2023-04-07 17:00:00,132,190995.117373,5
2023-04-07 16:00:00,132,191004.96555,5
2023-04-07 15:00:00,132,191004.241569,5
2023-04-07 14:00:00,132,191004.14548,5
2023-04-07 13:00:00,132,190997.39983,5
2023-04-07 12:00:00,132,191053.323733,5
2023-04-07 11:00:00,132,191053.323733,5
2023-04-07 10:00:00,132,191053.300655,5
2023-04-07 09:00:00,132,191053.300655,5
2023-04-07 08:00:00,132,191053.300655,5
2023-04-07 07:00:00,132,191053.300655,5
