timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,138,186191.782369,10
2023-04-13 12:00:00,138,186185.311768,10
2023-04-13 00:00:00,138,186185.245224,10
2023-04-12 12:00:00,138,186036.864818,10
2023-04-12 00:00:00,138,186036.144425,10
2023-04-11 12:00:00,138,186036.020819,10
2023-04-11 08:00:00,138,186002.256707,10
2023-04-11 07:00:00,138,186002.256707,10
2023-04-11 06:00:00,138,185794.056707,10
2023-04-11 05:00:00,137,185793.905706,10
2023-04-11 04:00:00,137,185793.905706,10
2023-04-11 03:00:00,137,185793.905706,10
2023-04-11 02:00:00,137,185793.905706,10
2023-04-11 01:00:00,137,185793.905706,10
2023-04-11 00:00:00,137,185793.905706,10
2023-04-10 23:00:00,137,185793.905706,10
2023-04-10 22:00:00,137,185793.905706,10
2023-04-10 21:00:00,137,185793.89405,10
2023-04-10 20:00:00,137,185793.616527,10
2023-04-10 19:00:00,137,185793.116527,10
2023-04-10 18:00:00,137,185793.116527,10
2023-04-10 17:00:00,136,185793.116527,10
2023-04-10 16:00:00,136,185783.916472,10
2023-04-10 15:00:00,136,185783.915921,10
2023-04-10 14:00:00,136,185783.915921,10
2023-04-10 13:00:00,136,185783.907598,10
2023-04-10 12:00:00,136,185783.907598,10
2023-04-10 11:00:00,136,185783.907598,10
2023-04-10 10:00:00,136,185783.907598,10
2023-04-10 09:00:00,138,179756.169375,10
2023-04-10 08:00:00,143,171131.7066,10
2023-04-10 07:00:00,143,171131.704121,10
2023-04-10 06:00:00,143,171131.704121,10
2023-04-10 05:00:00,143,171131.704121,10
2023-04-10 04:00:00,143,171131.704121,10
2023-04-10 03:00:00,143,171131.704121,10
2023-04-10 02:00:00,143,171081.604121,10
2023-04-10 01:00:00,143,171081.604121,10
2023-04-10 00:00:00,143,171081.604121,10
2023-04-09 23:00:00,143,171081.604121,10
2023-04-09 22:00:00,143,171081.590245,10
2023-04-09 21:00:00,143,171080.78984,10
2023-04-09 20:00:00,143,171080.78984,10
2023-04-09 19:00:00,143,171080.778471,10
2023-04-09 18:00:00,143,171080.76182,10
2023-04-09 17:00:00,143,171080.76182,10
2023-04-09 16:00:00,143,171080.76182,10
2023-04-09 15:00:00,143,171080.76171,10
2023-04-09 14:00:00,143,171080.761705,10
2023-04-09 13:00:00,143,171080.751705,10
2023-04-09 12:00:00,143,171080.751705,10
2023-04-09 11:00:00,143,171080.727139,10
2023-04-09 10:00:00,143,171080.70175,10
2023-04-09 09:00:00,143,171080.69955,10
2023-04-09 08:00:00,143,171080.69955,10
2023-04-09 07:00:00,143,171080.695738,10
2023-04-09 06:00:00,143,171080.695738,10
2023-04-09 05:00:00,143,171080.683314,10
2023-04-09 04:00:00,143,171080.627513,10
2023-04-09 03:00:00,143,171080.627513,10
2023-04-09 02:00:00,143,171080.616353,10
2023-04-09 01:00:00,143,171080.616353,10
2023-04-09 00:00:00,143,171080.616353,10
2023-04-08 23:00:00,143,171080.613563,10
2023-04-08 22:00:00,143,171080.613563,10
2023-04-08 21:00:00,143,171080.604056,10
2023-04-08 20:00:00,143,171080.604056,10
2023-04-08 19:00:00,143,171080.57053,10
