timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,13,4394272.857632,8.9
2023-04-13 12:00:00,13,4391735.62384,8.9
2023-04-13 00:00:00,12,4387835.174722,8.9
2023-04-12 12:00:00,12,4387438.898887,8.9
2023-04-12 00:00:00,12,4387045.695065,8.9
2023-04-11 12:00:00,12,4386217.995168,8.9
2023-04-11 08:00:00,12,4385701.373501,8.9
2023-04-11 07:00:00,12,4385701.373501,8.9
2023-04-11 06:00:00,12,4385455.177333,8.9
2023-04-11 05:00:00,12,4385445.228234,8.9
2023-04-11 04:00:00,12,4385657.274013,8.9
2023-04-11 03:00:00,11,4385513.437093,8.9
2023-04-11 02:00:00,11,4385497.165867,8.9
2023-04-11 01:00:00,11,4385364.859781,8.9
2023-04-11 00:00:00,11,4385359.657156,8.9
2023-04-10 23:00:00,11,4385222.61889,8.9
2023-04-10 22:00:00,11,4385267.343886,8.9
2023-04-10 21:00:00,11,4386031.465649,8.9
2023-04-10 20:00:00,11,4386034.496509,8.9
2023-04-10 19:00:00,11,4386028.784324,8.9
2023-04-10 18:00:00,11,4385828.765334,8.9
2023-04-10 17:00:00,11,4385605.762478,8.9
2023-04-10 16:00:00,11,4385590.994907,8.9
2023-04-10 15:00:00,11,4385443.609467,8.9
2023-04-10 14:00:00,11,4385425.669047,8.9
2023-04-10 13:00:00,11,4385286.887855,8.9
2023-04-10 12:00:00,11,4385263.63026,8.9
2023-04-10 11:00:00,11,4385252.867335,8.9
2023-04-10 10:00:00,11,4385249.997478,8.9
2023-04-10 09:00:00,11,4385277.497478,8.9
2023-04-10 08:00:00,11,4385272.380413,8.9
2023-04-10 07:00:00,11,4385165.152735,8.9
2023-04-10 06:00:00,11,4385158.152735,8.9
2023-04-10 05:00:00,11,4384920.917844,8.9
2023-04-10 04:00:00,11,4384903.855659,8.9
2023-04-10 03:00:00,11,4384910.113751,8.9
2023-04-10 02:00:00,11,4384905.393323,8.9
2023-04-10 01:00:00,11,4384869.722317,8.9
2023-04-10 00:00:00,11,4384726.020604,8.9
2023-04-09 23:00:00,11,4384717.330905,8.9
2023-04-09 22:00:00,11,4384821.522178,8.9
2023-04-09 21:00:00,11,4384818.076558,8.9
2023-04-09 20:00:00,11,4385329.959608,8.9
2023-04-09 19:00:00,11,4385299.794111,8.9
2023-04-09 18:00:00,11,4385235.778127,8.9
2023-04-09 17:00:00,11,4385117.59494,8.9
2023-04-09 16:00:00,11,4385106.301041,8.9
2023-04-09 15:00:00,11,4385090.148847,8.9
2023-04-09 14:00:00,11,4384988.425486,8.9
2023-04-09 13:00:00,11,4384976.125475,8.9
2023-04-09 12:00:00,11,4384902.538463,8.9
2023-04-09 11:00:00,11,4384978.754231,8.9
2023-04-09 10:00:00,11,4384992.91892,8.9
2023-04-09 09:00:00,11,4384695.05173,8.9
2023-04-09 08:00:00,11,4384677.259395,8.9
2023-04-09 07:00:00,11,4384644.875658,8.9
2023-04-09 06:00:00,11,4384419.847394,8.9
2023-04-09 05:00:00,11,4384007.384328,8.9
2023-04-09 04:00:00,11,4384016.537401,8.9
2023-04-09 03:00:00,11,4384010.715491,8.9
2023-04-09 02:00:00,11,4383709.471767,8.9
2023-04-09 01:00:00,11,4383702.69448,8.9
2023-04-09 00:00:00,11,4383235.628471,8.9
2023-04-08 23:00:00,11,4383235.559415,8.9
2023-04-08 22:00:00,11,4383091.981656,8.9
2023-04-08 21:00:00,11,4383138.003598,8.9
2023-04-08 20:00:00,11,4383132.205461,8.9
2023-04-08 19:00:00,11,4383110.772875,8.9
2023-04-08 18:00:00,11,4383105.727881,8.9
2023-04-08 17:00:00,11,4383194.00209,8.9
2023-04-08 16:00:00,11,4383162.594226,8.9
2023-04-08 15:00:00,11,4383409.593381,8.9
2023-04-08 14:00:00,11,4383441.568182,8.9
2023-04-08 13:00:00,11,4383402.738039,8.9
2023-04-08 12:00:00,11,4383316.955996,8.9
2023-04-08 11:00:00,11,4383388.901519,8.9
2023-04-08 10:00:00,11,4383349.707796,8.9
