timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,140,179854.205298,1
2023-04-13 12:00:00,140,178688.877015,1
2023-04-13 00:00:00,140,177732.906755,1
2023-04-12 12:00:00,141,176804.974912,1
2023-04-12 00:00:00,141,176753.571761,1
2023-04-11 12:00:00,142,176448.934476,1
2023-04-11 08:00:00,142,176447.958195,1
2023-04-11 07:00:00,142,176435.815476,1
2023-04-11 06:00:00,141,176393.203255,1
2023-04-11 05:00:00,141,176393.052248,1
2023-04-11 04:00:00,141,176393.052248,1
2023-04-11 03:00:00,141,176393.052248,1
2023-04-11 02:00:00,141,176393.052248,1
2023-04-11 01:00:00,141,176339.230391,1
2023-04-11 00:00:00,141,176339.230391,1
2023-04-10 23:00:00,141,176339.230391,1
2023-04-10 22:00:00,141,176339.230391,1
2023-04-10 21:00:00,141,176177.809998,1
2023-04-10 20:00:00,141,176177.532464,1
2023-04-10 19:00:00,141,176177.532464,1
2023-04-10 18:00:00,141,176106.30242,1
2023-04-10 17:00:00,141,176105.964852,1
2023-04-10 16:00:00,141,176105.964797,1
2023-04-10 15:00:00,141,176105.964246,1
2023-04-10 14:00:00,141,176105.964246,1
2023-04-10 13:00:00,140,176072.651907,1
2023-04-10 12:00:00,140,176072.651907,1
2023-04-10 11:00:00,140,176072.651907,1
2023-04-10 10:00:00,140,176072.651907,1
2023-04-10 09:00:00,140,176072.651907,1
2023-04-10 08:00:00,139,176072.649132,1
2023-04-10 07:00:00,139,176058.563429,1
2023-04-10 06:00:00,139,176058.563429,1
2023-04-10 05:00:00,139,176058.563429,1
2023-04-10 04:00:00,139,176058.563429,1
2023-04-10 03:00:00,139,176058.563429,1
2023-04-10 02:00:00,139,176058.563429,1
2023-04-10 01:00:00,139,176053.256711,1
2023-04-10 00:00:00,139,175984.732348,1
2023-04-09 23:00:00,139,175984.732348,1
2023-04-09 22:00:00,139,175984.718472,1
2023-04-09 21:00:00,139,175983.918036,1
2023-04-09 20:00:00,139,175983.918036,1
2023-04-09 19:00:00,139,175969.296064,1
2023-04-09 18:00:00,139,175969.279413,1
2023-04-09 17:00:00,139,175969.279413,1
2023-04-09 16:00:00,139,175969.279413,1
2023-04-09 15:00:00,139,175969.279303,1
2023-04-09 14:00:00,139,175969.279298,1
2023-04-09 13:00:00,138,175959.199634,1
