timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,146,170091.826251,5
2023-04-13 12:00:00,146,170091.543829,5
2023-04-13 00:00:00,146,170090.73397,5
2023-04-12 12:00:00,145,169950.718113,5
2023-04-12 00:00:00,145,169949.99769,5
2023-04-11 12:00:00,145,169949.874078,5
2023-04-11 08:00:00,145,169899.129908,5
2023-04-11 07:00:00,145,169899.129908,5
2023-04-11 06:00:00,145,169899.129908,5
2023-04-11 05:00:00,145,169898.978901,5
2023-04-11 04:00:00,145,169898.978901,5
2023-04-11 03:00:00,145,169898.978901,5
2023-04-11 02:00:00,145,169898.978901,5
2023-04-11 01:00:00,145,169898.978901,5
2023-04-11 00:00:00,145,169898.978901,5
2023-04-10 23:00:00,146,169898.978901,5
2023-04-10 22:00:00,146,169898.978901,5
2023-04-10 21:00:00,146,169898.967245,5
2023-04-10 20:00:00,146,169898.689711,5
2023-04-10 19:00:00,146,169898.689711,5
2023-04-10 18:00:00,146,169898.689711,5
2023-04-10 17:00:00,146,169898.689711,5
2023-04-10 16:00:00,146,169873.689656,5
2023-04-10 15:00:00,146,169873.689105,5
2023-04-10 14:00:00,146,169873.689105,5
2023-04-10 13:00:00,145,169873.680782,5
2023-04-10 12:00:00,145,169873.680782,5
2023-04-10 11:00:00,145,169873.680782,5
2023-04-10 10:00:00,145,169873.680782,5
2023-04-10 09:00:00,145,169873.680782,5
2023-04-10 08:00:00,145,169873.678007,5
2023-04-10 07:00:00,145,169873.675528,5
2023-04-10 06:00:00,145,169873.675528,5
2023-04-10 05:00:00,145,169873.675528,5
2023-04-10 04:00:00,145,169873.675528,5
2023-04-10 03:00:00,145,169873.675528,5
2023-04-10 02:00:00,146,169823.575528,5
2023-04-10 01:00:00,146,169823.575528,5
2023-04-10 00:00:00,146,169823.575528,5
2023-04-09 23:00:00,146,169823.575528,5
2023-04-09 22:00:00,146,169823.561652,5
2023-04-09 21:00:00,146,169822.761216,5
2023-04-09 20:00:00,146,169822.761216,5
2023-04-09 19:00:00,146,169822.749847,5
2023-04-09 18:00:00,146,169822.733196,5
2023-04-09 17:00:00,146,169822.733196,5
2023-04-09 16:00:00,146,169822.733196,5
2023-04-09 15:00:00,146,169819.533086,5
2023-04-09 14:00:00,146,169819.533081,5
2023-04-09 13:00:00,146,169819.533081,5
2023-04-09 12:00:00,146,169819.533081,5
2023-04-09 11:00:00,146,169819.508515,5
2023-04-09 10:00:00,146,169819.483125,5
2023-04-09 09:00:00,146,169819.480925,5
2023-04-09 08:00:00,146,169819.480925,5
2023-04-09 07:00:00,146,169819.477113,5
2023-04-09 06:00:00,145,169819.477113,5
2023-04-09 05:00:00,145,169819.464689,5
2023-04-09 04:00:00,145,169819.408886,5
2023-04-09 03:00:00,145,169799.408886,5
2023-04-09 02:00:00,145,169799.397726,5
2023-04-09 01:00:00,146,169805.097726,5
2023-04-09 00:00:00,145,169805.097726,5
2023-04-08 23:00:00,146,169805.094936,5
2023-04-08 22:00:00,146,169805.094936,5
2023-04-08 21:00:00,146,169805.085428,5
2023-04-08 20:00:00,146,169805.085428,5
2023-04-08 19:00:00,146,169805.051901,5
2023-04-08 18:00:00,146,169805.051555,5
2023-04-08 17:00:00,146,169805.045975,5
2023-04-08 16:00:00,146,169804.972809,5
2023-04-08 15:00:00,146,169804.58779,5
2023-04-08 14:00:00,146,169804.58779,5
2023-04-08 13:00:00,145,169803.750881,5
2023-04-08 12:00:00,145,169803.745302,5
2023-04-08 11:00:00,145,169803.728564,5
2023-04-08 10:00:00,145,169803.724421,5
2023-04-08 09:00:00,145,169803.724421,5
2023-04-08 08:00:00,145,169803.574215,5
2023-04-08 07:00:00,145,169803.214515,5
2023-04-08 06:00:00,145,169803.192191,5
2023-04-08 05:00:00,145,169803.152631,5
2023-04-08 04:00:00,145,169803.152631,5
2023-04-08 03:00:00,145,169803.152631,5
2023-04-08 02:00:00,146,169765.219141,5
2023-04-08 01:00:00,146,169765.219141,5
2023-04-08 00:00:00,145,169765.219141,5
2023-04-07 23:00:00,145,169765.219141,5
2023-04-07 22:00:00,144,169765.047763,5
2023-04-07 21:00:00,144,169765.047763,5
2023-04-07 20:00:00,144,169765.047763,5
2023-04-07 19:00:00,144,169765.047763,5
2023-04-07 18:00:00,144,169765.047763,5
2023-04-07 17:00:00,144,169765.047763,5
2023-04-07 16:00:00,143,169765.047763,5
2023-04-07 15:00:00,143,169765.047763,5
2023-04-07 14:00:00,143,169765.047763,5
2023-04-07 13:00:00,144,169765.047763,5
2023-04-07 12:00:00,144,169765.047763,5
2023-04-07 11:00:00,144,169765.047763,5
2023-04-07 10:00:00,143,169765.047763,5
2023-04-07 09:00:00,143,169765.047763,5
2023-04-07 08:00:00,143,169765.047763,5
2023-04-07 07:00:00,143,169765.047763,5
2023-04-07 06:00:00,143,169765.047763,5
2023-04-07 05:00:00,143,169765.047763,5
2023-04-07 04:00:00,143,169765.047763,5
2023-04-07 03:00:00,143,169765.047763,5
2023-04-07 02:00:00,143,169765.047763,5
2023-04-07 01:00:00,143,169765.047763,5
2023-04-07 00:00:00,143,169765.047763,5
2023-04-06 23:00:00,143,169765.047763,5
2023-04-06 22:00:00,144,169765.042186,5
2023-04-06 21:00:00,144,169764.473269,5
2023-04-06 20:00:00,144,169764.292953,5
