timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,147,169474.671222,3
2023-04-13 12:00:00,147,169470.84539,3
2023-04-13 00:00:00,147,169580.816859,3
2023-04-12 12:00:00,147,169507.787715,3
2023-04-12 00:00:00,147,169501.230916,3
2023-04-11 12:00:00,147,169558.475399,3
2023-04-11 08:00:00,147,169578.416153,3
2023-04-11 07:00:00,147,169578.416153,3
2023-04-11 06:00:00,147,169591.81149,3
2023-04-11 05:00:00,147,169613.468553,3
2023-04-11 04:00:00,147,169613.468553,3
2023-04-11 03:00:00,147,169607.966828,3
2023-04-11 02:00:00,147,169607.966828,3
2023-04-11 01:00:00,146,169607.966828,3
2023-04-11 00:00:00,146,169607.601183,3
2023-04-10 23:00:00,147,169606.481183,3
2023-04-10 22:00:00,147,169603.696347,3
2023-04-10 21:00:00,147,169840.962759,3
2023-04-10 20:00:00,147,169839.885448,3
2023-04-10 19:00:00,147,169877.575669,3
2023-04-10 18:00:00,147,169873.608825,3
2023-04-10 17:00:00,147,169871.64658,3
2023-04-10 16:00:00,147,169869.079273,3
2023-04-10 15:00:00,147,169869.078722,3
2023-04-10 14:00:00,147,169868.996477,3
2023-04-10 13:00:00,146,169856.845964,3
2023-04-10 12:00:00,146,169852.845964,3
2023-04-10 11:00:00,146,169852.845964,3
2023-04-10 10:00:00,146,169868.609366,3
2023-04-10 09:00:00,146,169867.467383,3
2023-04-10 08:00:00,146,169865.382366,3
2023-04-10 07:00:00,146,169864.027031,3
2023-04-10 06:00:00,146,169864.027031,3
2023-04-10 05:00:00,146,169864.027031,3
2023-04-10 04:00:00,146,169863.467031,3
2023-04-10 03:00:00,146,169863.461315,3
2023-04-10 02:00:00,145,169919.461315,3
2023-04-10 01:00:00,145,169919.461315,3
2023-04-10 00:00:00,145,169906.31924,3
2023-04-09 23:00:00,145,169906.31924,3
2023-04-09 22:00:00,145,169906.305364,3
2023-04-09 21:00:00,145,169901.804958,3
2023-04-09 20:00:00,145,169904.804958,3
2023-04-09 19:00:00,145,169904.293589,3
2023-04-09 18:00:00,145,169902.381986,3
2023-04-09 17:00:00,145,169899.271715,3
2023-04-09 16:00:00,145,169899.271715,3
2023-04-09 15:00:00,145,169890.571605,3
2023-04-09 14:00:00,145,169890.5716,3
2023-04-09 13:00:00,145,169890.5716,3
2023-04-09 12:00:00,145,169890.5716,3
2023-04-09 11:00:00,145,169890.532209,3
2023-04-09 10:00:00,145,169872.80682,3
2023-04-09 09:00:00,145,169872.40462,3
2023-04-09 08:00:00,145,169867.60462,3
2023-04-09 07:00:00,145,169867.478367,3
2023-04-09 06:00:00,144,169865.288367,3
2023-04-09 05:00:00,144,169865.275943,3
2023-04-09 04:00:00,144,169865.220142,3
2023-04-09 03:00:00,144,169865.220142,3
2023-04-09 02:00:00,144,169865.208982,3
2023-04-09 01:00:00,145,169837.134877,3
2023-04-09 00:00:00,144,169837.134877,3
2023-04-08 23:00:00,145,169827.788228,3
2023-04-08 22:00:00,145,169827.054783,3
2023-04-08 21:00:00,145,169827.045276,3
2023-04-08 20:00:00,145,169821.983815,3
2023-04-08 19:00:00,145,169821.950289,3
2023-04-08 18:00:00,145,169815.449943,3
2023-04-08 17:00:00,145,169807.990687,3
2023-04-08 16:00:00,145,169805.59203,3
2023-04-08 15:00:00,145,169805.207026,3
2023-04-08 14:00:00,145,169805.197026,3
2023-04-08 13:00:00,146,169604.270789,3
