timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,14,4174849.897584,0
2023-04-13 12:00:00,14,4173972.960867,0
2023-04-13 00:00:00,14,4175847.765093,0
2023-04-12 12:00:00,14,4173664.434784,0
2023-04-12 00:00:00,14,4144199.941129,0
2023-04-11 12:00:00,14,4139197.536648,0
2023-04-11 08:00:00,14,4131040.344511,0
2023-04-11 07:00:00,14,4131026.981231,0
2023-04-11 06:00:00,14,4131188.26302,0
2023-04-11 05:00:00,14,4130854.333612,0
2023-04-11 04:00:00,14,4130601.281872,0
2023-04-11 03:00:00,14,4128814.959848,0
2023-04-11 02:00:00,14,4128416.170731,0
2023-04-11 01:00:00,14,4128530.34048,0
2023-04-11 00:00:00,14,4128122.966331,0
2023-04-10 23:00:00,14,4128049.421108,0
2023-04-10 22:00:00,14,4127761.637036,0
2023-04-10 21:00:00,14,4127377.665825,0
2023-04-10 20:00:00,14,4126635.808968,0
2023-04-10 19:00:00,14,4126557.483884,0
2023-04-10 18:00:00,14,4126207.771143,0
2023-04-10 17:00:00,14,4124055.331506,0
2023-04-10 16:00:00,14,4123926.814648,0
2023-04-10 15:00:00,14,4124628.521727,0
2023-04-10 14:00:00,14,4124613.189254,0
2023-04-10 13:00:00,14,4124296.670816,0
2023-04-10 12:00:00,14,4124136.794246,0
2023-04-10 11:00:00,14,4123807.22906,0
2023-04-10 10:00:00,14,4124723.591675,0
2023-04-10 09:00:00,14,4124835.387412,0
2023-04-10 08:00:00,14,4123628.150395,0
2023-04-10 07:00:00,14,4123562.428847,0
2023-04-10 06:00:00,14,4123456.240947,0
2023-04-10 05:00:00,14,4123773.023932,0
2023-04-10 04:00:00,14,4124533.236505,0
2023-04-10 03:00:00,14,4124335.275255,0
2023-04-10 02:00:00,14,4124123.230406,0
2023-04-10 01:00:00,14,4123682.071182,0
2023-04-10 00:00:00,14,4123269.187384,0
2023-04-09 23:00:00,14,4123245.749537,0
2023-04-09 22:00:00,14,4123111.501828,0
2023-04-09 21:00:00,14,4123032.508983,0
2023-04-09 20:00:00,14,4120629.391028,0
2023-04-09 19:00:00,14,4120519.742671,0
2023-04-09 18:00:00,14,4120370.911181,0
2023-04-09 17:00:00,14,4119583.517591,0
2023-04-09 16:00:00,14,4119591.969449,0
2023-04-09 15:00:00,14,4119232.250757,0
2023-04-09 14:00:00,14,4118974.964284,0
2023-04-09 13:00:00,14,4118243.605184,0
2023-04-09 12:00:00,14,4115492.3857,0
2023-04-09 11:00:00,14,4115032.087137,0
2023-04-09 10:00:00,14,4114911.543387,0
2023-04-09 09:00:00,14,4114854.615488,0
2023-04-09 08:00:00,14,4112636.179588,0
2023-04-09 07:00:00,14,4112545.742816,0
2023-04-09 06:00:00,14,4112382.447383,0
2023-04-09 05:00:00,14,4112368.998337,0
2023-04-09 04:00:00,14,4112249.686419,0
2023-04-09 03:00:00,14,4112183.728554,0
2023-04-09 02:00:00,14,4111770.483692,0
2023-04-09 01:00:00,14,4112118.501207,0
2023-04-09 00:00:00,14,4111541.853729,0
2023-04-08 23:00:00,14,4111359.720493,0
2023-04-08 22:00:00,14,4111027.408974,0
2023-04-08 21:00:00,14,4110619.190681,0
2023-04-08 20:00:00,14,4110450.405378,0
2023-04-08 19:00:00,14,4110395.432612,0
2023-04-08 18:00:00,14,4110153.685249,0
2023-04-08 17:00:00,14,4106651.30623,0
2023-04-08 16:00:00,14,4106365.938554,0
2023-04-08 15:00:00,14,4105387.466397,0
2023-04-08 14:00:00,14,4105084.869015,0
2023-04-08 13:00:00,14,4105047.480918,0
2023-04-08 12:00:00,14,4105343.197864,0
2023-04-08 11:00:00,14,4105119.515365,0
2023-04-08 10:00:00,14,4104986.510843,0
2023-04-08 09:00:00,14,4105091.363083,0
2023-04-08 08:00:00,14,4103867.514506,0
2023-04-08 07:00:00,14,4103818.806496,0
2023-04-08 06:00:00,14,4108651.474249,0
2023-04-08 05:00:00,14,4108342.173839,0
2023-04-08 04:00:00,14,4108308.097549,0
2023-04-08 03:00:00,14,4107864.784295,0
2023-04-08 02:00:00,14,4107148.279833,0
2023-04-08 01:00:00,14,4106441.799488,0
2023-04-08 00:00:00,14,4106027.873704,0
2023-04-07 23:00:00,14,4105644.520768,0
2023-04-07 22:00:00,14,4103020.846113,0
2023-04-07 21:00:00,14,4102875.815298,0
2023-04-07 20:00:00,14,4102519.897148,0
2023-04-07 19:00:00,14,4102111.15197,0
2023-04-07 18:00:00,14,4102070.161414,0
2023-04-07 17:00:00,14,4101938.157655,0
2023-04-07 16:00:00,14,4099442.662115,0
2023-04-07 15:00:00,14,4099700.634657,0
2023-04-07 14:00:00,14,4099078.158275,0
2023-04-07 13:00:00,14,4099503.671834,0
2023-04-07 12:00:00,14,4099558.224859,0
2023-04-07 11:00:00,14,4098546.797489,0
2023-04-07 10:00:00,14,4096384.152298,0
2023-04-07 09:00:00,14,4096111.805112,0
2023-04-07 08:00:00,14,4096053.407422,0
2023-04-07 07:00:00,14,4098554.593741,0
2023-04-07 06:00:00,14,4098543.965547,0
2023-04-07 05:00:00,14,4099001.144895,0
2023-04-07 04:00:00,14,4098989.439417,0
