timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,150,163246.194914,10
2023-04-13 12:00:00,150,163245.92826,10
2023-04-13 00:00:00,150,163301.868403,10
2023-04-12 12:00:00,150,163046.857769,10
2023-04-12 00:00:00,150,163046.137376,10
2023-04-11 12:00:00,150,163045.804016,10
2023-04-11 08:00:00,150,163045.039938,10
2023-04-11 07:00:00,150,163045.039938,10
2023-04-11 06:00:00,150,163045.039938,10
2023-04-11 05:00:00,150,163044.859167,10
2023-04-11 04:00:00,150,163044.859167,10
2023-04-11 03:00:00,150,163044.859167,10
2023-04-11 02:00:00,150,163044.859167,10
2023-04-11 01:00:00,150,163044.859167,10
2023-04-11 00:00:00,150,163044.859167,10
2023-04-10 23:00:00,150,163044.859167,10
2023-04-10 22:00:00,150,163044.859167,10
2023-04-10 21:00:00,150,163044.847511,10
2023-04-10 20:00:00,150,163044.569988,10
2023-04-10 19:00:00,150,163044.569988,10
2023-04-10 18:00:00,150,163044.569988,10
2023-04-10 17:00:00,150,163044.569988,10
2023-04-10 16:00:00,150,163044.569933,10
2023-04-10 15:00:00,150,163139.569382,10
2023-04-10 14:00:00,150,163139.569382,10
2023-04-10 13:00:00,149,163139.561059,10
2023-04-10 12:00:00,149,163139.561059,10
2023-04-10 11:00:00,149,163139.561059,10
2023-04-10 10:00:00,149,163139.561059,10
2023-04-10 09:00:00,149,163139.561059,10
2023-04-10 08:00:00,149,163139.558284,10
2023-04-10 07:00:00,149,163139.555805,10
2023-04-10 06:00:00,149,163139.555805,10
2023-04-10 05:00:00,149,163139.555805,10
2023-04-10 04:00:00,149,163139.555805,10
2023-04-10 03:00:00,149,163139.555805,10
2023-04-10 02:00:00,149,163139.555805,10
2023-04-10 01:00:00,149,163139.555805,10
2023-04-10 00:00:00,149,163139.555805,10
2023-04-09 23:00:00,149,163139.555805,10
2023-04-09 22:00:00,149,163139.395938,10
2023-04-09 21:00:00,149,163138.595533,10
2023-04-09 20:00:00,149,163138.595533,10
2023-04-09 19:00:00,149,163138.584164,10
2023-04-09 18:00:00,149,163138.567513,10
2023-04-09 17:00:00,149,163138.567513,10
2023-04-09 16:00:00,149,163138.567513,10
2023-04-09 15:00:00,149,163138.567403,10
2023-04-09 14:00:00,149,163138.567398,10
2023-04-09 13:00:00,149,163138.567398,10
2023-04-09 12:00:00,149,163138.567398,10
2023-04-09 11:00:00,149,163138.542832,10
2023-04-09 10:00:00,149,163138.517443,10
2023-04-09 09:00:00,149,163138.515243,10
2023-04-09 08:00:00,149,163138.515243,10
2023-04-09 07:00:00,149,163138.511431,10
2023-04-09 06:00:00,149,163138.511431,10
2023-04-09 05:00:00,149,163138.499007,10
2023-04-09 04:00:00,149,163138.443206,10
2023-04-09 03:00:00,149,163138.443206,10
2023-04-09 02:00:00,149,163138.432046,10
2023-04-09 01:00:00,149,163138.432046,10
2023-04-09 00:00:00,149,163138.432046,10
2023-04-08 23:00:00,149,163138.429256,10
2023-04-08 22:00:00,149,163138.429256,10
2023-04-08 21:00:00,149,163138.419749,10
2023-04-08 20:00:00,149,163138.419749,10
2023-04-08 19:00:00,149,163138.386223,10
2023-04-08 18:00:00,149,163138.385877,10
2023-04-08 17:00:00,149,163138.380297,10
2023-04-08 16:00:00,149,163138.307134,10
2023-04-08 15:00:00,149,163137.873395,10
2023-04-08 14:00:00,149,163137.873395,10
2023-04-08 13:00:00,149,163137.036517,10
2023-04-08 12:00:00,149,163137.030938,10
2023-04-08 11:00:00,149,163137.014201,10
2023-04-08 10:00:00,149,163137.010058,10
2023-04-08 09:00:00,149,163137.010058,10
2023-04-08 08:00:00,149,163136.859856,10
2023-04-08 07:00:00,149,163136.500167,10
2023-04-08 06:00:00,149,163136.477844,10
2023-04-08 05:00:00,149,163136.438286,10
2023-04-08 04:00:00,149,163136.438286,10
2023-04-08 03:00:00,149,163136.438286,10
2023-04-08 02:00:00,149,163136.438286,10
2023-04-08 01:00:00,149,163136.438286,10
2023-04-08 00:00:00,149,163136.438286,10
2023-04-07 23:00:00,149,163136.438286,10
2023-04-07 22:00:00,149,163136.266914,10
2023-04-07 21:00:00,149,163136.266914,10
2023-04-07 20:00:00,149,163136.266914,10
2023-04-07 19:00:00,149,163136.266914,10
2023-04-07 18:00:00,149,163136.266914,10
2023-04-07 17:00:00,149,163136.266914,10
2023-04-07 16:00:00,149,163136.266914,10
2023-04-07 15:00:00,149,163136.266914,10
2023-04-07 14:00:00,149,163136.266914,10
2023-04-07 13:00:00,149,163136.266914,10
2023-04-07 12:00:00,149,163136.266914,10
2023-04-07 11:00:00,149,163136.266914,10
2023-04-07 10:00:00,149,163136.266914,10
2023-04-07 09:00:00,148,163136.266914,10
2023-04-07 08:00:00,148,163136.266871,10
2023-04-07 07:00:00,148,163136.266871,10
2023-04-07 06:00:00,148,163136.266871,10
2023-04-07 05:00:00,148,163136.266871,10
2023-04-07 04:00:00,148,163136.266871,10
2023-04-07 03:00:00,148,163136.266871,10
2023-04-07 02:00:00,148,163136.266871,10
2023-04-07 01:00:00,148,163136.266871,10
2023-04-07 00:00:00,148,163136.266871,10
2023-04-06 23:00:00,148,163136.266871,10
2023-04-06 22:00:00,148,163136.261294,10
2023-04-06 21:00:00,148,163135.692399,10
2023-04-06 20:00:00,148,163135.512091,10
2023-04-06 19:00:00,148,163135.512091,10
2023-04-06 18:00:00,141,163135.512091,10
2023-04-06 17:00:00,141,163134.576105,10
2023-04-06 16:00:00,141,163134.363759,10
2023-04-06 15:00:00,141,163134.335557,10
2023-04-06 14:00:00,141,163134.335557,10
2023-04-06 13:00:00,141,163134.335557,10
2023-04-06 12:00:00,141,163134.335557,10
2023-04-06 11:00:00,141,163134.335557,10
2023-04-06 10:00:00,141,163134.329767,10
2023-04-06 09:00:00,141,163134.313295,10
2023-04-06 08:00:00,141,163134.300887,10
2023-04-06 07:00:00,141,163134.300887,10
2023-04-06 06:00:00,141,163134.159878,10
