timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,153,157817.633329,10
2023-04-13 12:00:00,153,157748.671987,10
2023-04-13 00:00:00,152,157736.378728,10
2023-04-12 12:00:00,152,157694.066934,10
2023-04-12 00:00:00,152,157700.086051,10
2023-04-11 12:00:00,152,157696.298629,10
2023-04-11 08:00:00,153,157693.896277,10
2023-04-11 07:00:00,153,157693.896277,10
2023-04-11 06:00:00,153,157693.781367,10
2023-04-11 05:00:00,153,157693.630366,10
2023-04-11 04:00:00,153,157693.630366,10
2023-04-11 03:00:00,153,157692.630366,10
2023-04-11 02:00:00,153,157692.630366,10
2023-04-11 01:00:00,153,157692.630366,10
2023-04-11 00:00:00,153,157692.630366,10
2023-04-10 23:00:00,153,157691.130366,10
2023-04-10 22:00:00,153,157690.730366,10
2023-04-10 21:00:00,153,157690.267764,10
2023-04-10 20:00:00,153,157689.951535,10
2023-04-10 19:00:00,153,157686.691535,10
2023-04-10 18:00:00,153,157685.669302,10
2023-04-10 17:00:00,153,157685.374203,10
2023-04-10 16:00:00,153,157685.374148,10
2023-04-10 15:00:00,153,157685.373597,10
2023-04-10 14:00:00,153,157685.124051,10
2023-04-10 13:00:00,152,157689.93124,10
2023-04-10 12:00:00,152,157689.93124,10
2023-04-10 11:00:00,152,157689.93124,10
2023-04-10 10:00:00,152,157689.93124,10
2023-04-10 09:00:00,152,157689.93124,10
2023-04-10 08:00:00,152,157689.928465,10
2023-04-10 07:00:00,152,157689.289963,10
2023-04-10 06:00:00,152,157689.289963,10
2023-04-10 05:00:00,152,157690.003793,10
2023-04-10 04:00:00,152,157689.785661,10
2023-04-10 03:00:00,152,157689.785661,10
2023-04-10 02:00:00,152,157689.453386,10
2023-04-10 01:00:00,152,157689.453386,10
2023-04-10 00:00:00,152,157689.316323,10
2023-04-09 23:00:00,152,157689.183986,10
2023-04-09 22:00:00,152,157687.338879,10
2023-04-09 21:00:00,152,157686.538474,10
2023-04-09 20:00:00,152,157686.038474,10
2023-04-09 19:00:00,152,157688.451697,10
2023-04-09 18:00:00,152,157688.435046,10
2023-04-09 17:00:00,152,157687.842823,10
2023-04-09 16:00:00,152,157687.746789,10
2023-04-09 15:00:00,152,157687.746679,10
2023-04-09 14:00:00,152,157687.746674,10
2023-04-09 13:00:00,152,157687.659395,10
2023-04-09 12:00:00,152,157647.607422,10
2023-04-09 11:00:00,152,157647.582856,10
2023-04-09 10:00:00,152,157647.557467,10
2023-04-09 09:00:00,152,157645.109995,10
2023-04-09 08:00:00,152,157651.309994,10
2023-04-09 07:00:00,152,157651.187484,10
2023-04-09 06:00:00,152,157650.237484,10
2023-04-09 05:00:00,152,157650.22506,10
2023-04-09 04:00:00,152,157649.169259,10
2023-04-09 03:00:00,152,157648.604567,10
2023-04-09 02:00:00,152,157648.593407,10
2023-04-09 01:00:00,152,157648.593407,10
2023-04-09 00:00:00,152,157648.593407,10
2023-04-08 23:00:00,152,157648.590617,10
2023-04-08 22:00:00,152,157648.582168,10
2023-04-08 21:00:00,152,157648.572661,10
2023-04-08 20:00:00,152,157648.492054,10
2023-04-08 19:00:00,152,157648.458528,10
2023-04-08 18:00:00,152,157648.458182,10
2023-04-08 17:00:00,152,157648.128223,10
2023-04-08 16:00:00,152,157653.355059,10
2023-04-08 15:00:00,152,157652.790055,10
2023-04-08 14:00:00,152,157652.590055,10
2023-04-08 13:00:00,152,157651.753177,10
2023-04-08 12:00:00,152,157647.193478,10
2023-04-08 11:00:00,152,157647.176741,10
2023-04-08 10:00:00,152,157650.278559,10
2023-04-08 09:00:00,152,157650.278559,10
2023-04-08 08:00:00,152,157650.128357,10
2023-04-08 07:00:00,152,157638.658668,10
2023-04-08 06:00:00,152,157638.586345,10
2023-04-08 05:00:00,152,157638.546787,10
2023-04-08 04:00:00,152,157638.546787,10
2023-04-08 03:00:00,152,157633.520993,10
2023-04-08 02:00:00,152,157633.520993,10
2023-04-08 01:00:00,152,157633.013338,10
2023-04-08 00:00:00,152,157632.774199,10
2023-04-07 23:00:00,152,157631.274199,10
2023-04-07 22:00:00,152,157631.070354,10
2023-04-07 21:00:00,152,157631.070354,10
2023-04-07 20:00:00,152,157630.820354,10
2023-04-07 19:00:00,152,157630.820354,10
2023-04-07 18:00:00,152,157630.820354,10
2023-04-07 17:00:00,152,157630.820354,10
2023-04-07 16:00:00,152,157630.440731,10
2023-04-07 15:00:00,152,157630.395438,10
2023-04-07 14:00:00,152,157630.201192,10
2023-04-07 13:00:00,152,157630.201192,10
2023-04-07 12:00:00,152,157630.201192,10
2023-04-07 11:00:00,152,157630.201192,10
2023-04-07 10:00:00,152,157624.701192,10
2023-04-07 09:00:00,152,157624.47157,10
2023-04-07 08:00:00,152,157624.378571,10
2023-04-07 07:00:00,152,157624.378571,10
2023-04-07 06:00:00,152,157623.883707,10
2023-04-07 05:00:00,152,157623.883707,10
2023-04-07 04:00:00,152,157623.883707,10
2023-04-07 03:00:00,152,157623.883707,10
2023-04-07 02:00:00,152,157622.883707,10
2023-04-07 01:00:00,152,157622.842349,10
2023-04-07 00:00:00,152,157622.644514,10
2023-04-06 23:00:00,152,157621.844514,10
2023-04-06 22:00:00,152,157621.838937,10
2023-04-06 21:00:00,152,157621.211919,10
2023-04-06 20:00:00,151,157621.031611,10
2023-04-06 19:00:00,151,157620.855895,10
2023-04-06 18:00:00,145,157620.463408,10
2023-04-06 17:00:00,145,157619.032323,10
2023-04-06 16:00:00,145,157618.379351,10
2023-04-06 15:00:00,145,157618.351149,10
2023-04-06 14:00:00,145,157616.756099,10
2023-04-06 13:00:00,145,157616.756099,10
2023-04-06 12:00:00,145,157616.756099,10
2023-04-06 11:00:00,145,157616.756099,10
2023-04-06 10:00:00,145,157611.750309,10
2023-04-06 09:00:00,145,157611.430349,10
2023-04-06 08:00:00,145,157611.157923,10
2023-04-06 07:00:00,145,157611.157923,10
2023-04-06 06:00:00,145,157611.016914,10
2023-04-06 05:00:00,145,157608.934131,10
2023-04-06 04:00:00,145,157608.684131,10
2023-04-06 03:00:00,145,157608.684131,10
2023-04-06 02:00:00,145,157608.322131,10
2023-04-06 01:00:00,145,157608.322131,10
2023-04-06 00:00:00,145,157607.078797,10
2023-04-05 23:00:00,145,157607.078797,10
2023-04-05 22:00:00,145,157607.078797,10
2023-04-05 21:00:00,145,157606.878941,10
2023-04-05 20:00:00,145,157606.878941,10
2023-04-05 19:00:00,145,157606.83857,10
