timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,155,155560.926985,1
2023-04-13 12:00:00,155,155549.136615,1
2023-04-13 00:00:00,155,155547.560272,1
2023-04-12 12:00:00,155,155360.026136,1
2023-04-12 00:00:00,155,155359.267881,1
2023-04-11 12:00:00,155,155357.58466,1
2023-04-11 08:00:00,155,155251.794252,1
2023-04-11 07:00:00,155,155251.794252,1
2023-04-11 06:00:00,155,155251.794252,1
2023-04-11 05:00:00,155,155251.61317,1
2023-04-11 04:00:00,155,155251.405269,1
2023-04-11 03:00:00,155,155251.405269,1
2023-04-11 02:00:00,155,155251.405269,1
2023-04-11 01:00:00,155,155251.405269,1
2023-04-11 00:00:00,155,155251.405269,1
2023-04-10 23:00:00,155,155251.405269,1
2023-04-10 22:00:00,155,155251.405269,1
2023-04-10 21:00:00,155,155251.393613,1
2023-04-10 20:00:00,155,155251.116079,1
2023-04-10 19:00:00,155,155250.016079,1
2023-04-10 18:00:00,155,155259.910549,1
2023-04-10 17:00:00,155,155215.702308,1
2023-04-10 16:00:00,155,155215.702253,1
2023-04-10 15:00:00,155,155215.701702,1
2023-04-10 14:00:00,155,155215.701702,1
2023-04-10 13:00:00,154,155215.673203,1
2023-04-10 12:00:00,154,155215.615962,1
2023-04-10 11:00:00,154,155215.615962,1
2023-04-10 10:00:00,154,155215.615962,1
2023-04-10 09:00:00,154,155215.615962,1
2023-04-10 08:00:00,154,155220.613187,1
2023-04-10 07:00:00,154,155220.610708,1
2023-04-10 06:00:00,154,155220.610708,1
2023-04-10 05:00:00,154,155220.581431,1
2023-04-10 04:00:00,154,155220.581431,1
2023-04-10 03:00:00,154,155220.581431,1
2023-04-10 02:00:00,154,155220.581431,1
2023-04-10 01:00:00,154,155220.581431,1
2023-04-10 00:00:00,154,155220.581431,1
2023-04-09 23:00:00,154,155220.581431,1
2023-04-09 22:00:00,154,155220.567555,1
2023-04-09 21:00:00,154,155196.810167,1
2023-04-09 20:00:00,154,155196.810167,1
2023-04-09 19:00:00,154,155196.740519,1
2023-04-09 18:00:00,154,155196.723868,1
2023-04-09 17:00:00,154,155193.473868,1
2023-04-09 16:00:00,154,155193.473868,1
2023-04-09 15:00:00,154,155103.673758,1
2023-04-09 14:00:00,154,155103.673753,1
2023-04-09 13:00:00,154,155103.673753,1
2023-04-09 12:00:00,154,155103.673753,1
2023-04-09 11:00:00,154,155103.649187,1
2023-04-09 10:00:00,154,155103.623797,1
2023-04-09 09:00:00,154,155103.621597,1
2023-04-09 08:00:00,154,155103.621597,1
2023-04-09 07:00:00,154,155103.617785,1
2023-04-09 06:00:00,154,155103.546035,1
2023-04-09 05:00:00,154,155103.533611,1
2023-04-09 04:00:00,154,155103.208432,1
2023-04-09 03:00:00,154,155103.208432,1
2023-04-09 02:00:00,154,155103.197272,1
2023-04-09 01:00:00,154,155103.197272,1
2023-04-09 00:00:00,154,155103.197272,1
2023-04-08 23:00:00,154,155102.832965,1
2023-04-08 22:00:00,154,155102.565188,1
2023-04-08 21:00:00,154,155102.55568,1
2023-04-08 20:00:00,154,155102.55568,1
2023-04-08 19:00:00,154,155102.522153,1
2023-04-08 18:00:00,154,155102.521807,1
2023-04-08 17:00:00,154,155102.516227,1
2023-04-08 16:00:00,154,155102.443061,1
2023-04-08 15:00:00,154,155102.058042,1
2023-04-08 14:00:00,154,155101.954527,1
2023-04-08 13:00:00,154,155100.689249,1
2023-04-08 12:00:00,154,155100.651502,1
2023-04-08 11:00:00,154,155100.634764,1
2023-04-08 10:00:00,154,155100.630621,1
2023-04-08 09:00:00,154,155085.630621,1
2023-04-08 08:00:00,154,155085.480415,1
2023-04-08 07:00:00,154,155085.116545,1
2023-04-08 06:00:00,154,155086.744221,1
2023-04-08 05:00:00,154,155086.678136,1
2023-04-08 04:00:00,154,155094.310266,1
2023-04-08 03:00:00,154,155094.310266,1
2023-04-08 02:00:00,154,155093.868693,1
2023-04-08 01:00:00,154,155093.868693,1
2023-04-08 00:00:00,154,155093.868693,1
2023-04-07 23:00:00,154,155093.868693,1
2023-04-07 22:00:00,154,155093.697315,1
2023-04-07 21:00:00,154,155093.697315,1
2023-04-07 20:00:00,154,155093.697315,1
2023-04-07 19:00:00,154,155093.697315,1
2023-04-07 18:00:00,154,155093.413209,1
2023-04-07 17:00:00,154,155093.413209,1
2023-04-07 16:00:00,154,155093.413209,1
2023-04-07 15:00:00,154,155093.413209,1
2023-04-07 14:00:00,154,155093.413209,1
2023-04-07 13:00:00,154,155093.413209,1
2023-04-07 12:00:00,154,155093.413209,1
2023-04-07 11:00:00,154,155093.413209,1
2023-04-07 10:00:00,154,155093.413209,1
2023-04-07 09:00:00,154,155091.396408,1
2023-04-07 08:00:00,154,155091.18948,1
2023-04-07 07:00:00,154,155091.18948,1
2023-04-07 06:00:00,154,155091.18948,1
2023-04-07 05:00:00,154,155091.18948,1
2023-04-07 04:00:00,154,155091.18948,1
2023-04-07 03:00:00,154,155091.18948,1
2023-04-07 02:00:00,154,155091.18948,1
2023-04-07 01:00:00,154,155090.007949,1
2023-04-07 00:00:00,154,155090.007949,1
2023-04-06 23:00:00,154,155090.007949,1
2023-04-06 22:00:00,154,155090.002372,1
2023-04-06 21:00:00,154,155089.433455,1
2023-04-06 20:00:00,154,155089.253139,1
2023-04-06 19:00:00,153,155089.253139,1
2023-04-06 18:00:00,147,155089.253139,1
2023-04-06 17:00:00,147,155088.300726,1
2023-04-06 16:00:00,147,155088.08838,1
2023-04-06 15:00:00,147,155088.060178,1
2023-04-06 14:00:00,147,155087.944827,1
2023-04-06 13:00:00,147,155087.221333,1
2023-04-06 12:00:00,147,155087.221333,1
