timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,156,152310.666637,1
2023-04-13 12:00:00,156,152257.418837,1
2023-04-13 00:00:00,156,150429.297453,1
2023-04-12 12:00:00,156,149932.357705,1
2023-04-12 00:00:00,156,149931.505585,1
2023-04-11 12:00:00,156,149830.787983,1
2023-04-11 08:00:00,156,149690.349187,1
2023-04-11 07:00:00,156,149690.349187,1
2023-04-11 06:00:00,156,149690.349187,1
2023-04-11 05:00:00,156,149690.19818,1
2023-04-11 04:00:00,156,149690.19818,1
2023-04-11 03:00:00,156,149690.19818,1
2023-04-11 02:00:00,156,149689.743996,1
2023-04-11 01:00:00,156,149689.743996,1
2023-04-11 00:00:00,156,149684.829299,1
2023-04-10 23:00:00,156,149684.829299,1
2023-04-10 22:00:00,156,149684.829299,1
2023-04-10 21:00:00,156,149684.817643,1
2023-04-10 20:00:00,156,149584.260109,1
2023-04-10 19:00:00,156,149582.524875,1
2023-04-10 18:00:00,156,149570.40901,1
2023-04-10 17:00:00,156,149570.391927,1
2023-04-10 16:00:00,156,149570.391872,1
2023-04-10 15:00:00,156,149570.391321,1
2023-04-10 14:00:00,156,149570.391321,1
2023-04-10 13:00:00,155,149570.354971,1
2023-04-10 12:00:00,155,149563.354971,1
2023-04-10 11:00:00,155,149563.354971,1
2023-04-10 10:00:00,155,149563.354971,1
2023-04-10 09:00:00,155,149563.354971,1
2023-04-10 08:00:00,155,149568.352196,1
2023-04-10 07:00:00,155,149552.849717,1
2023-04-10 06:00:00,155,149552.849717,1
2023-04-10 05:00:00,155,149552.609397,1
2023-04-10 04:00:00,155,149552.609397,1
2023-04-10 03:00:00,155,149551.499945,1
2023-04-10 02:00:00,155,149551.037656,1
2023-04-10 01:00:00,155,149550.677656,1
2023-04-10 00:00:00,155,149550.234928,1
2023-04-09 23:00:00,155,149550.234928,1
2023-04-09 22:00:00,155,149550.19366,1
2023-04-09 21:00:00,155,149548.13751,1
2023-04-09 20:00:00,155,149546.78751,1
2023-04-09 19:00:00,155,149540.721925,1
2023-04-09 18:00:00,155,149535.590274,1
2023-04-09 17:00:00,155,149535.557434,1
2023-04-09 16:00:00,155,149535.557434,1
2023-04-09 15:00:00,155,149534.898796,1
2023-04-09 14:00:00,155,149534.898791,1
2023-04-09 13:00:00,155,149534.898791,1
2023-04-09 12:00:00,155,149534.898791,1
2023-04-09 11:00:00,155,149533.874225,1
2023-04-09 10:00:00,155,149533.848835,1
2023-04-09 09:00:00,155,149533.288152,1
2023-04-09 08:00:00,155,149533.288152,1
2023-04-09 07:00:00,155,149417.665711,1
2023-04-09 06:00:00,155,149417.561187,1
2023-04-09 05:00:00,155,149417.548763,1
2023-04-09 04:00:00,155,149417.49296,1
2023-04-09 03:00:00,155,149412.48296,1
2023-04-09 02:00:00,155,149412.4718,1
2023-04-09 01:00:00,155,149411.968005,1
2023-04-09 00:00:00,155,149409.080005,1
2023-04-08 23:00:00,155,149403.762275,1
2023-04-08 22:00:00,155,149403.762275,1
2023-04-08 21:00:00,155,149398.752767,1
2023-04-08 20:00:00,155,149398.752767,1
2023-04-08 19:00:00,155,149398.71924,1
2023-04-08 18:00:00,155,149394.879521,1
2023-04-08 17:00:00,155,149392.833477,1
2023-04-08 16:00:00,155,149392.760311,1
2023-04-08 15:00:00,155,149377.087544,1
2023-04-08 14:00:00,155,149377.087544,1
2023-04-08 13:00:00,155,149376.08123,1
2023-04-08 12:00:00,155,149390.041457,1
2023-04-08 11:00:00,155,149389.72131,1
2023-04-08 10:00:00,155,149352.419335,1
2023-04-08 09:00:00,155,149330.992125,1
2023-04-08 08:00:00,155,149326.741919,1
2023-04-08 07:00:00,155,149326.382219,1
2023-04-08 06:00:00,155,149325.928887,1
2023-04-08 05:00:00,155,149325.889327,1
2023-04-08 04:00:00,155,149322.468021,1
2023-04-08 03:00:00,155,149322.468021,1
2023-04-08 02:00:00,155,149322.468021,1
2023-04-08 01:00:00,155,149322.468021,1
2023-04-08 00:00:00,155,149320.190236,1
2023-04-07 23:00:00,155,149320.190236,1
2023-04-07 22:00:00,155,149319.458309,1
2023-04-07 21:00:00,155,149319.331439,1
2023-04-07 20:00:00,155,149319.331439,1
2023-04-07 19:00:00,155,149046.319729,1
2023-04-07 18:00:00,155,149046.319729,1
2023-04-07 17:00:00,155,149044.862394,1
2023-04-07 16:00:00,155,149044.830863,1
2023-04-07 15:00:00,155,149044.830863,1
2023-04-07 14:00:00,155,149043.416795,1
2023-04-07 13:00:00,155,149043.416795,1
2023-04-07 12:00:00,155,149043.234537,1
2023-04-07 11:00:00,155,149043.234537,1
2023-04-07 10:00:00,155,149054.034537,1
2023-04-07 09:00:00,155,149053.034537,1
2023-04-07 08:00:00,155,149052.500488,1
2023-04-07 07:00:00,155,149052.040488,1
2023-04-07 06:00:00,155,149052.040488,1
2023-04-07 05:00:00,155,149052.040488,1
2023-04-07 04:00:00,155,149052.040488,1
2023-04-07 03:00:00,155,149052.040488,1
2023-04-07 02:00:00,155,149052.040488,1
2023-04-07 01:00:00,155,149051.254579,1
2023-04-07 00:00:00,155,148693.645876,1
2023-04-06 23:00:00,155,148693.645876,1
2023-04-06 22:00:00,155,148656.402159,1
2023-04-06 21:00:00,155,148645.81558,1
2023-04-06 20:00:00,155,148618.694722,1
2023-04-06 19:00:00,155,148618.694722,1
2023-04-06 18:00:00,149,148618.655988,1
2023-04-06 17:00:00,149,148615.688972,1
2023-04-06 16:00:00,149,148482.026626,1
2023-04-06 15:00:00,149,148479.937818,1
2023-04-06 14:00:00,149,148479.937818,1
2023-04-06 13:00:00,149,148479.937818,1
2023-04-06 12:00:00,148,148479.937818,1
2023-04-06 11:00:00,148,148479.937818,1
2023-04-06 10:00:00,148,148479.932028,1
2023-04-06 09:00:00,148,148479.867565,1
2023-04-06 08:00:00,148,148472.955157,1
2023-04-06 07:00:00,148,148472.955157,1
2023-04-06 06:00:00,148,148447.814147,1
2023-04-06 05:00:00,148,148447.731364,1
2023-04-06 04:00:00,148,148432.014968,1
2023-04-06 03:00:00,148,148432.014968,1
2023-04-06 02:00:00,148,148432.014968,1
2023-04-06 01:00:00,148,148432.014968,1
2023-04-06 00:00:00,148,148430.066241,1
2023-04-05 23:00:00,148,148430.066241,1
2023-04-05 22:00:00,148,148420.410007,1
2023-04-05 21:00:00,148,148420.410007,1
2023-04-05 20:00:00,148,148420.410007,1
2023-04-05 19:00:00,148,148420.410007,1
2023-04-05 18:00:00,148,148420.410007,1
2023-04-05 17:00:00,148,148418.704785,1
2023-04-05 16:00:00,148,148418.704785,1
2023-04-05 15:00:00,148,148418.704785,1
2023-04-05 14:00:00,148,148418.704785,1
2023-04-05 13:00:00,148,148418.450878,1
2023-04-05 12:00:00,148,148338.434889,1
2023-04-05 11:00:00,148,148338.297737,1
