timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,158,143762.111826,3
2023-04-13 12:00:00,157,143755.931432,3
2023-04-13 00:00:00,157,143746.027512,3
2023-04-12 12:00:00,157,143602.967932,3
2023-04-12 00:00:00,157,143600.162051,3
2023-04-11 12:00:00,157,143599.336716,3
2023-04-11 08:00:00,157,143598.601061,3
2023-04-11 07:00:00,157,143598.601061,3
2023-04-11 06:00:00,157,143598.601061,3
2023-04-11 05:00:00,157,143598.450007,3
2023-04-11 04:00:00,157,143598.450007,3
2023-04-11 03:00:00,157,143598.450007,3
2023-04-11 02:00:00,157,143598.450007,3
2023-04-11 01:00:00,157,143598.450007,3
2023-04-11 00:00:00,157,143598.450007,3
2023-04-10 23:00:00,157,143598.450007,3
2023-04-10 22:00:00,157,143598.450007,3
2023-04-10 21:00:00,157,143598.438347,3
2023-04-10 20:00:00,157,143598.160726,3
2023-04-10 19:00:00,157,143598.160726,3
2023-04-10 18:00:00,157,143597.500314,3
2023-04-10 17:00:00,157,143597.485271,3
2023-04-10 16:00:00,157,143597.485216,3
2023-04-10 15:00:00,157,143597.358576,3
2023-04-10 14:00:00,157,143597.358576,3
2023-04-10 13:00:00,156,143597.240781,3
2023-04-10 12:00:00,156,143597.240781,3
2023-04-10 11:00:00,156,143597.240781,3
2023-04-10 10:00:00,156,143597.240781,3
2023-04-10 09:00:00,156,143597.240781,3
2023-04-10 08:00:00,156,143597.238005,3
2023-04-10 07:00:00,156,143597.235525,3
2023-04-10 06:00:00,156,143597.235525,3
2023-04-10 05:00:00,156,143597.235525,3
2023-04-10 04:00:00,156,143597.235525,3
2023-04-10 03:00:00,156,143594.935525,3
2023-04-10 02:00:00,156,143547.535525,3
2023-04-10 01:00:00,156,143547.535525,3
2023-04-10 00:00:00,156,143547.535525,3
2023-04-09 23:00:00,156,143547.535525,3
2023-04-09 22:00:00,156,143547.521644,3
2023-04-09 21:00:00,156,143546.720956,3
2023-04-09 20:00:00,156,143546.720956,3
2023-04-09 19:00:00,156,143546.709583,3
2023-04-09 18:00:00,156,143546.692926,3
2023-04-09 17:00:00,156,143546.678329,3
2023-04-09 16:00:00,156,143546.678329,3
2023-04-09 15:00:00,156,143546.678219,3
2023-04-09 14:00:00,156,143546.678214,3
2023-04-09 13:00:00,156,143546.678214,3
2023-04-09 12:00:00,156,143546.678214,3
2023-04-09 11:00:00,156,143546.65364,3
2023-04-09 10:00:00,156,143546.628242,3
2023-04-09 09:00:00,156,143546.626041,3
2023-04-09 08:00:00,156,143546.626041,3
2023-04-09 07:00:00,156,143546.622228,3
2023-04-09 06:00:00,156,143546.622228,3
2023-04-09 05:00:00,156,143546.6098,3
2023-04-09 04:00:00,156,143546.553979,3
2023-04-09 03:00:00,156,143546.553979,3
2023-04-09 02:00:00,156,143546.542815,3
2023-04-09 01:00:00,156,143546.542815,3
2023-04-09 00:00:00,156,143546.542815,3
2023-04-08 23:00:00,156,143546.540024,3
2023-04-08 22:00:00,156,143546.540024,3
2023-04-08 21:00:00,156,143546.530513,3
2023-04-08 20:00:00,156,143546.530513,3
2023-04-08 19:00:00,156,143546.496975,3
2023-04-08 18:00:00,156,143546.496629,3
2023-04-08 17:00:00,156,143546.144396,3
2023-04-08 16:00:00,156,143546.071207,3
2023-04-08 15:00:00,156,143545.686066,3
2023-04-08 14:00:00,156,143545.686066,3
2023-04-08 13:00:00,156,143544.84889,3
2023-04-08 12:00:00,156,143544.843309,3
2023-04-08 11:00:00,156,143544.826566,3
2023-04-08 10:00:00,156,143544.822422,3
2023-04-08 09:00:00,156,143544.822422,3
2023-04-08 08:00:00,156,143544.672182,3
2023-04-08 07:00:00,156,143544.312401,3
2023-04-08 06:00:00,156,143544.290072,3
2023-04-08 05:00:00,156,143544.250501,3
2023-04-08 04:00:00,156,143544.250501,3
2023-04-08 03:00:00,156,143544.250501,3
2023-04-08 02:00:00,156,143544.250501,3
2023-04-08 01:00:00,156,143544.250501,3
2023-04-08 00:00:00,156,143544.250501,3
2023-04-07 23:00:00,156,143544.250501,3
2023-04-07 22:00:00,156,143544.079068,3
2023-04-07 21:00:00,156,143544.079068,3
2023-04-07 20:00:00,156,143544.079068,3
2023-04-07 19:00:00,156,143544.079068,3
2023-04-07 18:00:00,156,143544.079068,3
2023-04-07 17:00:00,156,143544.079068,3
2023-04-07 16:00:00,156,143543.747653,3
2023-04-07 15:00:00,156,143543.747653,3
2023-04-07 14:00:00,156,143543.747653,3
2023-04-07 13:00:00,156,143543.701826,3
2023-04-07 12:00:00,156,143543.701826,3
2023-04-07 11:00:00,156,143543.701826,3
2023-04-07 10:00:00,156,143543.701826,3
2023-04-07 09:00:00,156,143543.701826,3
2023-04-07 08:00:00,156,143543.701826,3
2023-04-07 07:00:00,156,143543.701826,3
2023-04-07 06:00:00,156,143543.701826,3
2023-04-07 05:00:00,156,143543.701826,3
2023-04-07 04:00:00,156,143543.701826,3
2023-04-07 03:00:00,156,143543.701826,3
2023-04-07 02:00:00,156,143543.701826,3
2023-04-07 01:00:00,156,143543.701826,3
2023-04-07 00:00:00,156,143543.648991,3
2023-04-06 23:00:00,156,143543.648991,3
2023-04-06 22:00:00,156,143543.643412,3
2023-04-06 21:00:00,156,143543.074314,3
2023-04-06 20:00:00,156,143542.89394,3
2023-04-06 19:00:00,156,143542.89394,3
2023-04-06 18:00:00,150,143542.535294,3
2023-04-06 17:00:00,150,143541.598976,3
2023-04-06 16:00:00,150,143541.38663,3
2023-04-06 15:00:00,150,143541.358428,3
2023-04-06 14:00:00,150,143541.358428,3
2023-04-06 13:00:00,150,143541.358428,3
2023-04-06 12:00:00,150,143541.358428,3
2023-04-06 11:00:00,150,143541.358428,3
2023-04-06 10:00:00,150,143541.352638,3
2023-04-06 09:00:00,150,143541.336166,3
2023-04-06 08:00:00,150,143541.323758,3
2023-04-06 07:00:00,150,143541.323758,3
2023-04-06 06:00:00,150,143541.182748,3
2023-04-06 05:00:00,150,143541.099965,3
2023-04-06 04:00:00,150,143541.099965,3
2023-04-06 03:00:00,150,143541.099965,3
2023-04-06 02:00:00,150,143541.099965,3
2023-04-06 01:00:00,150,143540.083777,3
2023-04-06 00:00:00,150,143538.083777,3
2023-04-05 23:00:00,150,143538.083777,3
2023-04-05 22:00:00,150,143538.083777,3
2023-04-05 21:00:00,150,143538.083777,3
2023-04-05 20:00:00,150,143538.083777,3
2023-04-05 19:00:00,150,143538.083777,3
2023-04-05 18:00:00,150,143538.083777,3
2023-04-05 17:00:00,150,143537.739884,3
2023-04-05 16:00:00,150,143537.739884,3
2023-04-05 15:00:00,150,143537.739884,3
2023-04-05 14:00:00,150,143537.739884,3
2023-04-05 13:00:00,150,143537.739884,3
2023-04-05 12:00:00,150,143537.723895,3
2023-04-05 11:00:00,150,143537.586743,3
2023-04-05 10:00:00,150,143537.586743,3
2023-04-05 09:00:00,150,143537.586743,3
2023-04-05 08:00:00,150,143537.586743,3
2023-04-05 07:00:00,149,143537.586743,3
2023-04-05 06:00:00,149,143537.586743,3
2023-04-05 05:00:00,149,143537.586743,3
2023-04-05 04:00:00,149,143537.586743,3
2023-04-05 03:00:00,149,143537.586743,3
2023-04-05 02:00:00,149,143537.586743,3
2023-04-05 01:00:00,149,143537.586743,3
2023-04-05 00:00:00,149,143537.586743,3
2023-04-04 23:00:00,149,143537.576761,3
2023-04-04 22:00:00,149,143537.576761,3
2023-04-04 21:00:00,149,143537.576761,3
2023-04-04 20:00:00,149,143537.576761,3
2023-04-04 19:00:00,149,143537.576761,3
2023-04-04 18:00:00,149,143537.576761,3
2023-04-04 17:00:00,145,143537.36787,3
2023-04-04 16:00:00,177,89629.36786,3
2023-04-04 15:00:00,177,89629.36786,3
2023-04-04 14:00:00,177,89629.367857,3
2023-04-04 13:00:00,177,89629.367857,3
2023-04-04 12:00:00,177,89629.367854,3
2023-04-04 11:00:00,177,89629.367854,3
2023-04-04 10:00:00,177,89629.367843,3
2023-04-04 09:00:00,177,89629.367733,3
2023-04-04 08:00:00,177,89629.227513,3
2023-04-04 07:00:00,177,89629.227513,3
2023-04-04 06:00:00,175,89629.170779,3
2023-04-04 05:00:00,175,89614.217929,3
2023-04-04 04:00:00,175,89614.201322,3
2023-04-04 03:00:00,175,89614.201322,3
2023-04-04 02:00:00,175,89614.124183,3
2023-04-04 01:00:00,175,89614.124183,3
2023-04-04 00:00:00,175,89613.916764,3
2023-04-03 23:00:00,175,89613.916764,3
2023-04-03 22:00:00,175,89573.860353,3
2023-04-03 21:00:00,174,89573.860353,3
2023-04-03 20:00:00,174,89573.837523,3
2023-04-03 19:00:00,174,89573.837523,3
2023-04-03 18:00:00,174,89573.807428,3
2023-04-03 17:00:00,174,89573.468361,3
2023-04-03 16:00:00,174,89573.44651,3
2023-04-03 15:00:00,174,89572.90316,3
2023-04-03 14:00:00,174,89572.874623,3
2023-04-03 13:00:00,174,89572.785233,3
2023-04-03 12:00:00,174,89572.304112,3
2023-04-03 11:00:00,174,89572.298405,3
2023-04-03 10:00:00,174,89571.921742,3
2023-04-03 09:00:00,174,89571.893207,3
2023-04-03 08:00:00,174,89571.864647,3
2023-04-03 07:00:00,174,89571.853233,3
2023-04-03 06:00:00,174,89571.853233,3
2023-04-03 05:00:00,174,89571.815676,3
2023-04-03 04:00:00,174,89571.72932,3
2023-04-03 03:00:00,174,89571.702377,3
2023-04-03 02:00:00,174,89571.702377,3
2023-04-03 01:00:00,174,89571.682888,3
2023-04-03 00:00:00,174,89571.660331,3
2023-04-02 23:00:00,174,89571.660331,3
2023-04-02 22:00:00,174,89571.608969,3
2023-04-02 21:00:00,174,89571.596426,3
2023-04-02 20:00:00,174,89571.513809,3
2023-04-02 19:00:00,174,89571.025888,3
2023-04-02 18:00:00,174,89571.021208,3
2023-04-02 17:00:00,174,89570.532081,3
2023-04-02 16:00:00,174,89570.419589,3
2023-04-02 15:00:00,174,89570.419589,3
2023-04-02 14:00:00,174,89570.40247,3
2023-04-02 13:00:00,174,89570.402002,3
2023-04-02 12:00:00,174,89570.402002,3
2023-04-02 11:00:00,174,89570.400063,3
2023-04-02 10:00:00,174,89570.400063,3
2023-04-02 09:00:00,173,89570.391925,3
2023-04-02 08:00:00,173,89569.475641,3
2023-04-02 07:00:00,173,89569.437482,3
2023-04-02 06:00:00,173,89569.437482,3
2023-04-02 05:00:00,173,89569.434883,3
2023-04-02 04:00:00,173,89569.420618,3
2023-04-02 03:00:00,173,89569.280589,3
2023-04-02 02:00:00,173,89569.276025,3
2023-04-02 01:00:00,173,89569.270605,3
2023-04-02 00:00:00,173,89569.270605,3
2023-04-01 23:00:00,173,89569.088867,3
2023-04-01 22:00:00,173,89568.971893,3
2023-04-01 21:00:00,173,89568.940406,3
2023-04-01 20:00:00,173,89568.940406,3
2023-04-01 19:00:00,173,89568.916156,3
2023-04-01 18:00:00,173,89568.856262,3
2023-04-01 17:00:00,173,89568.826671,3
2023-04-01 16:00:00,173,89568.309068,3
2023-04-01 15:00:00,173,89568.302264,3
2023-04-01 14:00:00,173,89567.744042,3
2023-04-01 13:00:00,173,89567.160225,3
2023-04-01 12:00:00,173,89567.148245,3
2023-04-01 11:00:00,173,89567.132538,3
2023-04-01 10:00:00,173,89566.959814,3
2023-04-01 09:00:00,172,89566.942698,3
2023-04-01 08:00:00,172,89566.93362,3
2023-04-01 07:00:00,172,89566.93362,3
2023-04-01 06:00:00,172,89566.915934,3
2023-04-01 05:00:00,172,89566.913082,3
2023-04-01 04:00:00,172,89566.910999,3
2023-04-01 03:00:00,172,89566.883822,3
2023-04-01 02:00:00,172,89566.76759,3
2023-04-01 01:00:00,172,89566.75542,3
2023-04-01 00:00:00,172,89566.358044,3
2023-03-31 23:00:00,172,89566.358044,3
2023-03-31 22:00:00,172,89566.14695,3
2023-03-31 21:00:00,172,89566.012425,3
2023-03-31 20:00:00,172,89565.666272,3
2023-03-31 19:00:00,172,89565.428373,3
2023-03-31 18:00:00,172,89565.393514,3
2023-03-31 17:00:00,172,89564.319669,3
2023-03-31 16:00:00,173,89564.251786,3
2023-03-31 15:00:00,173,89564.203299,3
2023-03-31 14:00:00,173,89563.022945,3
2023-03-31 13:00:00,173,89563.013524,3
2023-03-31 12:00:00,173,89562.918106,3
2023-03-31 11:00:00,173,89562.632096,3
2023-03-31 10:00:00,173,89562.593879,3
2023-03-31 09:00:00,173,89562.421254,3
2023-03-31 08:00:00,173,89562.36136,3
2023-03-31 07:00:00,173,89561.976909,3
2023-03-31 06:00:00,173,89555.978376,3
2023-03-31 05:00:00,174,89454.710275,3
2023-03-31 04:00:00,174,89454.710275,3
2023-03-31 03:00:00,174,89454.695882,3
2023-03-31 02:00:00,174,89454.687322,3
2023-03-31 01:00:00,174,89454.657676,3
2023-03-31 00:00:00,174,89454.637414,3
2023-03-30 23:00:00,174,89454.637414,3
2023-03-30 22:00:00,174,89454.584154,3
2023-03-30 21:00:00,174,89454.514908,3
2023-03-30 20:00:00,174,89454.484123,3
2023-03-30 19:00:00,174,89454.447461,3
2023-03-30 18:00:00,174,89454.410725,3
2023-03-30 17:00:00,174,89454.02961,3
2023-03-30 16:00:00,174,89453.995967,3
2023-03-30 15:00:00,174,89453.986988,3
2023-03-30 14:00:00,174,89453.986988,3
2023-03-30 13:00:00,173,89453.737114,3
2023-03-30 12:00:00,173,89453.543867,3
2023-03-30 11:00:00,173,89453.52298,3
2023-03-30 10:00:00,173,89453.516026,3
2023-03-30 09:00:00,172,89450.126468,3
2023-03-30 08:00:00,172,89450.126468,3
2023-03-30 07:00:00,172,89445.9891,3
2023-03-30 06:00:00,172,89445.871329,3
2023-03-30 05:00:00,172,89445.871329,3
2023-03-30 04:00:00,172,89445.86433,3
2023-03-30 03:00:00,172,89445.854056,3
2023-03-30 02:00:00,172,89445.585205,3
2023-03-30 01:00:00,172,89445.585205,3
2023-03-30 00:00:00,172,89445.520235,3
2023-03-29 23:00:00,172,89445.520235,3
2023-03-29 22:00:00,172,89445.495432,3
2023-03-29 21:00:00,172,89445.433394,3
2023-03-29 20:00:00,172,89445.403753,3
2023-03-29 19:00:00,172,89443.318222,3
2023-03-29 18:00:00,172,89443.27721,3
2023-03-29 17:00:00,172,89442.443412,3
2023-03-29 16:00:00,172,89442.317704,3
2023-03-29 15:00:00,172,89441.196541,3
2023-03-29 14:00:00,172,89441.173743,3
2023-03-29 13:00:00,172,89440.541111,3
2023-03-29 12:00:00,172,89438.240363,3
2023-03-29 11:00:00,172,89438.240363,3
2023-03-29 10:00:00,172,89435.827518,3
2023-03-29 09:00:00,172,89435.827518,3
2023-03-29 08:00:00,172,89425.811226,3
2023-03-29 07:00:00,172,89425.796357,3
2023-03-29 06:00:00,172,89425.796357,3
2023-03-29 05:00:00,172,89425.727991,3
2023-03-29 04:00:00,172,89425.511502,3
2023-03-29 03:00:00,172,89425.505805,3
2023-03-29 02:00:00,172,89425.464727,3
2023-03-29 01:00:00,172,89425.460672,3
2023-03-29 00:00:00,172,89425.452561,3
2023-03-28 23:00:00,172,89425.446864,3
2023-03-28 22:00:00,172,89425.446864,3
2023-03-28 21:00:00,172,89425.441167,3
2023-03-28 20:00:00,172,89424.923681,3
2023-03-28 19:00:00,171,89424.923681,3
2023-03-28 18:00:00,171,89422.087327,3
2023-03-28 17:00:00,171,89420.736883,3
2023-03-28 16:00:00,171,89420.668544,3
2023-03-28 15:00:00,171,89420.648882,3
2023-03-28 14:00:00,171,89420.586865,3
2023-03-28 13:00:00,171,89420.582594,3
2023-03-28 12:00:00,170,89420.573432,3
2023-03-28 11:00:00,170,89420.573432,3
2023-03-28 10:00:00,170,89420.476068,3
2023-03-28 09:00:00,170,89420.459459,3
2023-03-28 08:00:00,170,89420.22799,3
2023-03-28 07:00:00,170,89420.22799,3
2023-03-28 06:00:00,170,89420.225679,3
2023-03-28 05:00:00,170,89420.225679,3
2023-03-28 04:00:00,170,89420.222816,3
2023-03-28 03:00:00,170,89420.187006,3
2023-03-28 02:00:00,170,89420.187006,3
2023-03-28 01:00:00,170,89420.130626,3
2023-03-28 00:00:00,170,89420.130626,3
2023-03-27 23:00:00,171,89004.286119,3
2023-03-27 22:00:00,171,89004.281842,3
2023-03-27 21:00:00,171,89004.268962,3
2023-03-27 20:00:00,171,89004.248564,3
2023-03-27 19:00:00,171,88996.448564,3
2023-03-27 18:00:00,171,88996.448564,3
2023-03-27 17:00:00,171,88995.238477,3
2023-03-27 16:00:00,171,88995.200106,3
2023-03-27 15:00:00,171,88995.200106,3
2023-03-27 14:00:00,171,88995.191803,3
2023-03-27 13:00:00,171,88995.180781,3
2023-03-27 12:00:00,171,88995.085254,3
