timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,159,140696.03018,5
2023-04-13 12:00:00,158,140695.714993,5
2023-04-13 00:00:00,158,140695.29914,5
2023-04-12 12:00:00,158,140555.288492,5
2023-04-12 00:00:00,158,140554.568098,5
2023-04-11 12:00:00,158,140553.720653,5
2023-04-11 08:00:00,158,140552.985257,5
2023-04-11 07:00:00,158,140545.985257,5
2023-04-11 06:00:00,158,140545.985257,5
2023-04-11 05:00:00,158,140545.834256,5
2023-04-11 04:00:00,158,140545.834256,5
2023-04-11 03:00:00,158,140545.834256,5
2023-04-11 02:00:00,158,140545.834256,5
2023-04-11 01:00:00,158,140545.834256,5
2023-04-11 00:00:00,158,140545.834256,5
2023-04-10 23:00:00,158,140545.834256,5
2023-04-10 22:00:00,158,140545.834256,5
2023-04-10 21:00:00,158,140545.8226,5
2023-04-10 20:00:00,158,140666.545077,5
2023-04-10 19:00:00,158,140666.545077,5
2023-04-10 18:00:00,158,140666.545077,5
2023-04-10 17:00:00,158,140666.520324,5
2023-04-10 16:00:00,158,140666.520269,5
2023-04-10 15:00:00,158,140666.519718,5
2023-04-10 14:00:00,158,140666.519718,5
2023-04-10 13:00:00,157,140666.511395,5
2023-04-10 12:00:00,157,140666.511395,5
2023-04-10 11:00:00,157,140666.511395,5
2023-04-10 10:00:00,157,140666.511395,5
2023-04-10 09:00:00,157,140666.511395,5
2023-04-10 08:00:00,157,140666.50862,5
2023-04-10 07:00:00,157,140666.506141,5
2023-04-10 06:00:00,157,140666.506141,5
2023-04-10 05:00:00,157,140666.506141,5
2023-04-10 04:00:00,157,140666.506141,5
2023-04-10 03:00:00,157,140666.506141,5
2023-04-10 02:00:00,157,140666.506141,5
2023-04-10 01:00:00,157,140666.506141,5
2023-04-10 00:00:00,157,140666.506141,5
2023-04-09 23:00:00,157,140666.506141,5
2023-04-09 22:00:00,157,140666.492265,5
2023-04-09 21:00:00,157,140665.69186,5
2023-04-09 20:00:00,157,140665.69186,5
2023-04-09 19:00:00,157,140665.680491,5
2023-04-09 18:00:00,157,140665.66384,5
2023-04-09 17:00:00,157,140665.639592,5
2023-04-09 16:00:00,157,140665.639592,5
2023-04-09 15:00:00,157,140665.639482,5
2023-04-09 14:00:00,157,140665.639477,5
2023-04-09 13:00:00,157,140665.639477,5
2023-04-09 12:00:00,157,140665.639477,5
2023-04-09 11:00:00,157,140665.614911,5
2023-04-09 10:00:00,157,140665.589522,5
2023-04-09 09:00:00,157,140665.587322,5
2023-04-09 08:00:00,157,140665.587322,5
2023-04-09 07:00:00,157,140665.58351,5
2023-04-09 06:00:00,157,140663.39351,5
2023-04-09 05:00:00,157,140663.381086,5
2023-04-09 04:00:00,157,140663.325285,5
2023-04-09 03:00:00,157,140663.325285,5
2023-04-09 02:00:00,157,140663.314125,5
2023-04-09 01:00:00,157,140663.314125,5
2023-04-09 00:00:00,157,140663.314125,5
2023-04-08 23:00:00,157,140663.311335,5
2023-04-08 22:00:00,157,140663.311335,5
2023-04-08 21:00:00,157,140663.301828,5
2023-04-08 20:00:00,157,140663.301828,5
2023-04-08 19:00:00,157,140663.268302,5
2023-04-08 18:00:00,157,140663.267956,5
2023-04-08 17:00:00,157,140663.23801,5
2023-04-08 16:00:00,157,140663.164847,5
2023-04-08 15:00:00,157,140662.779843,5
2023-04-08 14:00:00,157,140662.779843,5
2023-04-08 13:00:00,157,140661.942965,5
2023-04-08 12:00:00,157,140661.937386,5
2023-04-08 11:00:00,157,140661.920649,5
2023-04-08 10:00:00,157,140661.916506,5
2023-04-08 09:00:00,157,140651.916506,5
2023-04-08 08:00:00,157,140651.766304,5
2023-04-08 07:00:00,157,140651.406615,5
2023-04-08 06:00:00,157,140651.384292,5
2023-04-08 05:00:00,157,140651.344734,5
2023-04-08 04:00:00,157,140651.344734,5
2023-04-08 03:00:00,157,140651.197027,5
2023-04-08 02:00:00,157,140651.197027,5
2023-04-08 01:00:00,157,140651.197027,5
2023-04-08 00:00:00,157,140651.197027,5
2023-04-07 23:00:00,157,140651.197027,5
2023-04-07 22:00:00,157,140651.025655,5
2023-04-07 21:00:00,157,140651.025655,5
2023-04-07 20:00:00,157,140651.025655,5
2023-04-07 19:00:00,157,140651.025655,5
2023-04-07 18:00:00,157,140651.025655,5
2023-04-07 17:00:00,157,140651.025655,5
2023-04-07 16:00:00,157,140651.002075,5
2023-04-07 15:00:00,157,140651.002075,5
2023-04-07 14:00:00,157,140651.002075,5
2023-04-07 13:00:00,157,140651.002075,5
2023-04-07 12:00:00,157,140651.002075,5
2023-04-07 11:00:00,157,140651.002075,5
2023-04-07 10:00:00,157,140651.002075,5
2023-04-07 09:00:00,157,140651.002075,5
2023-04-07 08:00:00,157,140651.002075,5
2023-04-07 07:00:00,157,140651.002075,5
2023-04-07 06:00:00,157,140651.002075,5
2023-04-07 05:00:00,157,140651.002075,5
2023-04-07 04:00:00,157,140651.002075,5
2023-04-07 03:00:00,157,140651.002075,5
2023-04-07 02:00:00,157,140651.002075,5
2023-04-07 01:00:00,157,140651.002075,5
2023-04-07 00:00:00,157,140651.002075,5
2023-04-06 23:00:00,157,140651.002075,5
2023-04-06 22:00:00,157,140650.996498,5
2023-04-06 21:00:00,157,140650.427603,5
2023-04-06 20:00:00,157,140650.247295,5
2023-04-06 19:00:00,157,140650.247295,5
2023-04-06 18:00:00,151,140650.221811,5
2023-04-06 17:00:00,151,140649.285825,5
2023-04-06 16:00:00,151,140649.073479,5
2023-04-06 15:00:00,151,140649.045277,5
2023-04-06 14:00:00,151,140649.045277,5
2023-04-06 13:00:00,151,140649.045277,5
2023-04-06 12:00:00,151,140649.045277,5
2023-04-06 11:00:00,151,140649.045277,5
2023-04-06 10:00:00,151,140649.039487,5
2023-04-06 09:00:00,151,140649.023015,5
2023-04-06 08:00:00,151,140649.010607,5
2023-04-06 07:00:00,151,140649.010607,5
2023-04-06 06:00:00,151,140648.869598,5
2023-04-06 05:00:00,151,140648.786815,5
2023-04-06 04:00:00,151,140648.786815,5
2023-04-06 03:00:00,151,140648.786815,5
2023-04-06 02:00:00,151,140648.786815,5
2023-04-06 01:00:00,151,140648.786815,5
2023-04-06 00:00:00,151,140648.786815,5
2023-04-05 23:00:00,151,140648.786815,5
2023-04-05 22:00:00,151,140648.786815,5
2023-04-05 21:00:00,151,140648.786815,5
2023-04-05 20:00:00,151,140648.786815,5
2023-04-05 19:00:00,151,140648.786815,5
2023-04-05 18:00:00,151,140648.786815,5
2023-04-05 17:00:00,151,140648.762435,5
2023-04-05 16:00:00,151,140648.762435,5
2023-04-05 15:00:00,151,140648.762435,5
2023-04-05 14:00:00,151,140648.762435,5
2023-04-05 13:00:00,151,140648.762435,5
2023-04-05 12:00:00,151,140648.746446,5
2023-04-05 11:00:00,151,140648.609293,5
2023-04-05 10:00:00,151,140648.609293,5
2023-04-05 09:00:00,151,140648.609293,5
2023-04-05 08:00:00,151,140648.609293,5
2023-04-05 07:00:00,151,140646.389293,5
2023-04-05 06:00:00,151,140646.389293,5
2023-04-05 05:00:00,151,140646.389293,5
2023-04-05 04:00:00,151,140646.389293,5
2023-04-05 03:00:00,151,140646.389293,5
2023-04-05 02:00:00,151,140646.389293,5
2023-04-05 01:00:00,151,140646.389293,5
2023-04-05 00:00:00,151,140646.389293,5
2023-04-04 23:00:00,151,140646.389293,5
2023-04-04 22:00:00,151,140646.372372,5
2023-04-04 21:00:00,151,140646.372372,5
2023-04-04 20:00:00,151,140646.372372,5
2023-04-04 19:00:00,151,140646.372372,5
2023-04-04 18:00:00,150,140646.372372,5
2023-04-04 17:00:00,146,140646.348176,5
2023-04-04 16:00:00,142,140646.314326,5
2023-04-04 15:00:00,142,140646.314326,5
2023-04-04 14:00:00,142,140646.301739,5
2023-04-04 13:00:00,142,140646.301739,5
2023-04-04 12:00:00,142,140646.289892,5
2023-04-04 11:00:00,142,140646.288435,5
2023-04-04 10:00:00,142,140646.251878,5
2023-04-04 09:00:00,142,140646.214474,5
2023-04-04 08:00:00,142,140646.07087,5
2023-04-04 07:00:00,142,140646.07087,5
2023-04-04 06:00:00,143,140646.014136,5
2023-04-04 05:00:00,143,140645.961286,5
2023-04-04 04:00:00,143,140645.961286,5
2023-04-04 03:00:00,143,140645.961286,5
2023-04-04 02:00:00,143,140645.936948,5
2023-04-04 01:00:00,143,140645.936948,5
2023-04-04 00:00:00,143,140645.729529,5
2023-04-03 23:00:00,143,140645.729529,5
2023-04-03 22:00:00,143,140645.673118,5
2023-04-03 21:00:00,142,140645.673118,5
2023-04-03 20:00:00,142,140645.650288,5
2023-04-03 19:00:00,141,140645.650288,5
2023-04-03 18:00:00,141,140645.600676,5
2023-04-03 17:00:00,141,140645.600676,5
2023-04-03 16:00:00,141,140645.578825,5
2023-04-03 15:00:00,141,140645.035472,5
2023-04-03 14:00:00,141,140645.006935,5
2023-04-03 13:00:00,141,140644.917545,5
2023-04-03 12:00:00,141,140644.436424,5
2023-04-03 11:00:00,141,140644.430717,5
2023-04-03 10:00:00,141,140644.054053,5
2023-04-03 09:00:00,141,140644.025518,5
2023-04-03 08:00:00,141,140644.025518,5
2023-04-03 07:00:00,141,140644.014104,5
2023-04-03 06:00:00,141,140644.014104,5
2023-04-03 05:00:00,141,140643.976547,5
2023-04-03 04:00:00,141,140643.890191,5
2023-04-03 03:00:00,141,140643.863247,5
2023-04-03 02:00:00,141,140643.863247,5
2023-04-03 01:00:00,141,140643.843758,5
2023-04-03 00:00:00,141,140643.821201,5
2023-04-02 23:00:00,141,140643.821201,5
2023-04-02 22:00:00,141,140643.769839,5
2023-04-02 21:00:00,141,140643.757296,5
2023-04-02 20:00:00,141,140643.674679,5
2023-04-02 19:00:00,141,140643.186757,5
2023-04-02 18:00:00,141,140643.182077,5
2023-04-02 17:00:00,141,140643.02644,5
2023-04-02 16:00:00,141,140642.913948,5
2023-04-02 15:00:00,141,140642.913948,5
2023-04-02 14:00:00,141,140642.896829,5
2023-04-02 13:00:00,141,140642.896361,5
2023-04-02 12:00:00,141,140642.896361,5
2023-04-02 11:00:00,141,140642.894422,5
2023-04-02 10:00:00,141,140642.894422,5
2023-04-02 09:00:00,141,140642.886284,5
2023-04-02 08:00:00,141,140642.379999,5
2023-04-02 07:00:00,141,140642.34184,5
2023-04-02 06:00:00,141,140642.34184,5
2023-04-02 05:00:00,141,140642.339241,5
2023-04-02 04:00:00,141,140642.324976,5
2023-04-02 03:00:00,141,140642.184946,5
2023-04-02 02:00:00,141,140642.180382,5
2023-04-02 01:00:00,141,140642.174962,5
2023-04-02 00:00:00,141,140642.174962,5
2023-04-01 23:00:00,141,140641.993224,5
2023-04-01 22:00:00,141,140641.87625,5
2023-04-01 21:00:00,141,140641.844763,5
2023-04-01 20:00:00,141,140541.844763,5
2023-04-01 19:00:00,141,140540.820513,5
2023-04-01 18:00:00,141,140540.760619,5
2023-04-01 17:00:00,141,140540.760619,5
2023-04-01 16:00:00,141,140540.550391,5
2023-04-01 15:00:00,141,140540.543587,5
2023-04-01 14:00:00,141,140539.985363,5
2023-04-01 13:00:00,141,140539.985363,5
2023-04-01 12:00:00,141,140539.973383,5
2023-04-01 11:00:00,141,140539.947674,5
2023-04-01 10:00:00,141,140539.77495,5
2023-04-01 09:00:00,141,140539.757834,5
2023-04-01 08:00:00,141,140539.748756,5
2023-04-01 07:00:00,141,140539.748756,5
2023-04-01 06:00:00,141,140539.73107,5
2023-04-01 05:00:00,141,140539.728218,5
2023-04-01 04:00:00,141,140539.726135,5
2023-04-01 03:00:00,141,140539.698958,5
2023-04-01 02:00:00,141,140539.582726,5
2023-04-01 01:00:00,141,140539.570556,5
2023-04-01 00:00:00,141,140539.173179,5
2023-03-31 23:00:00,141,140539.173179,5
2023-03-31 22:00:00,141,140538.962085,5
2023-03-31 21:00:00,141,140538.827559,5
2023-03-31 20:00:00,141,140538.481405,5
2023-03-31 19:00:00,141,140538.243506,5
2023-03-31 18:00:00,141,140538.208647,5
2023-03-31 17:00:00,141,140537.446724,5
2023-03-31 16:00:00,141,140531.851799,5
2023-03-31 15:00:00,141,140531.803312,5
2023-03-31 14:00:00,141,140531.727485,5
2023-03-31 13:00:00,141,140531.718064,5
2023-03-31 12:00:00,141,140531.622646,5
2023-03-31 11:00:00,141,140531.336636,5
2023-03-31 10:00:00,141,140531.298419,5
2023-03-31 09:00:00,141,140531.125794,5
2023-03-31 08:00:00,141,140531.0659,5
2023-03-31 07:00:00,141,140530.681448,5
2023-03-31 06:00:00,141,140524.682904,5
2023-03-31 05:00:00,141,140524.514803,5
2023-03-31 04:00:00,141,140524.514803,5
2023-03-31 03:00:00,141,140524.324812,5
2023-03-31 02:00:00,141,140524.316252,5
2023-03-31 01:00:00,141,140524.286606,5
2023-03-31 00:00:00,141,140524.275204,5
2023-03-30 23:00:00,141,140524.275204,5
2023-03-30 22:00:00,141,140524.221944,5
2023-03-30 21:00:00,141,140524.152698,5
2023-03-30 20:00:00,141,140524.121913,5
2023-03-30 19:00:00,141,140524.085251,5
2023-03-30 18:00:00,141,140524.048515,5
2023-03-30 17:00:00,141,140523.978008,5
2023-03-30 16:00:00,141,140523.944365,5
2023-03-30 15:00:00,141,140523.935385,5
2023-03-30 14:00:00,141,140523.935385,5
2023-03-30 13:00:00,140,140523.685511,5
2023-03-30 12:00:00,140,140523.685511,5
2023-03-30 11:00:00,140,140523.664624,5
2023-03-30 10:00:00,140,140523.65767,5
2023-03-30 09:00:00,140,140523.640853,5
2023-03-30 08:00:00,140,140523.640853,5
2023-03-30 07:00:00,140,140523.478978,5
2023-03-30 06:00:00,140,140523.361207,5
2023-03-30 05:00:00,140,140523.361207,5
2023-03-30 04:00:00,140,140523.354208,5
2023-03-30 03:00:00,140,140523.343934,5
2023-03-30 02:00:00,140,140523.075082,5
2023-03-30 01:00:00,140,140523.075082,5
2023-03-30 00:00:00,140,140523.010111,5
2023-03-29 23:00:00,140,140523.010111,5
2023-03-29 22:00:00,140,140522.985308,5
2023-03-29 21:00:00,140,140522.92327,5
2023-03-29 20:00:00,140,140522.893629,5
2023-03-29 19:00:00,140,140522.544089,5
2023-03-29 18:00:00,140,140522.503077,5
2023-03-29 17:00:00,140,140490.021976,5
2023-03-29 16:00:00,140,140489.896267,5
2023-03-29 15:00:00,140,140488.775101,5
2023-03-29 14:00:00,140,140488.752303,5
2023-03-29 13:00:00,140,140488.11967,5
2023-03-29 12:00:00,140,140485.818918,5
2023-03-29 11:00:00,140,140485.818918,5
2023-03-29 10:00:00,140,140483.406069,5
2023-03-29 09:00:00,140,140483.406069,5
2023-03-29 08:00:00,140,140483.389777,5
2023-03-29 07:00:00,140,140483.374908,5
2023-03-29 06:00:00,140,140483.374908,5
2023-03-29 05:00:00,140,140483.306542,5
2023-03-29 04:00:00,140,140483.090053,5
2023-03-29 03:00:00,140,140483.084356,5
2023-03-29 02:00:00,140,140483.043278,5
2023-03-29 01:00:00,140,140483.039223,5
2023-03-29 00:00:00,140,140483.031112,5
2023-03-28 23:00:00,140,140483.025415,5
2023-03-28 22:00:00,140,140483.025415,5
2023-03-28 21:00:00,140,140483.019718,5
2023-03-28 20:00:00,140,140482.502231,5
2023-03-28 19:00:00,140,140482.502231,5
2023-03-28 18:00:00,140,140479.665872,5
2023-03-28 17:00:00,140,140471.309652,5
2023-03-28 16:00:00,140,140471.241312,5
2023-03-28 15:00:00,140,140471.22165,5
2023-03-28 14:00:00,140,140471.159633,5
2023-03-28 13:00:00,140,140471.155362,5
2023-03-28 12:00:00,140,140471.1462,5
2023-03-28 11:00:00,140,140471.1462,5
2023-03-28 10:00:00,140,140471.048836,5
2023-03-28 09:00:00,140,140471.032227,5
2023-03-28 08:00:00,140,140470.800757,5
2023-03-28 07:00:00,140,140470.800757,5
2023-03-28 06:00:00,140,140470.798446,5
2023-03-28 05:00:00,140,140470.798446,5
2023-03-28 04:00:00,140,140470.795583,5
2023-03-28 03:00:00,140,140470.759773,5
2023-03-28 02:00:00,140,140470.759773,5
2023-03-28 01:00:00,140,140470.703393,5
2023-03-28 00:00:00,140,140470.703393,5
2023-03-27 23:00:00,140,140470.658886,5
2023-03-27 22:00:00,140,140470.654609,5
2023-03-27 21:00:00,140,140470.644989,5
2023-03-27 20:00:00,140,140470.624591,5
2023-03-27 19:00:00,140,140470.624591,5
2023-03-27 18:00:00,140,140470.624591,5
2023-03-27 17:00:00,140,140470.433159,5
2023-03-27 16:00:00,140,140470.394788,5
2023-03-27 15:00:00,140,140470.394788,5
2023-03-27 14:00:00,140,140470.386485,5
2023-03-27 13:00:00,140,140470.374461,5
2023-03-27 12:00:00,140,140470.280938,5
2023-03-27 11:00:00,140,140470.269916,5
2023-03-27 10:00:00,140,140470.262902,5
2023-03-27 09:00:00,140,140470.204203,5
2023-03-27 08:00:00,140,140470.077639,5
2023-03-27 07:00:00,140,140470.053212,5
2023-03-27 06:00:00,140,140469.974753,5
2023-03-27 05:00:00,140,140469.837307,5
2023-03-27 04:00:00,140,140469.837307,5
2023-03-27 03:00:00,140,140469.837307,5
2023-03-27 02:00:00,140,140469.73529,5
2023-03-27 01:00:00,140,140469.722683,5
2023-03-27 00:00:00,140,140469.654835,5
2023-03-26 23:00:00,140,140469.640519,5
2023-03-26 22:00:00,140,140469.600432,5
2023-03-26 21:00:00,140,140469.566072,5
2023-03-26 20:00:00,140,140469.55399,5
2023-03-26 19:00:00,140,140469.55399,5
2023-03-26 18:00:00,140,140469.527625,5
2023-03-26 17:00:00,140,140469.355235,5
2023-03-26 16:00:00,140,140469.341548,5
2023-03-26 15:00:00,140,140469.33754,5
2023-03-26 14:00:00,140,140469.33754,5
2023-03-26 13:00:00,140,140469.223006,5
2023-03-26 12:00:00,140,140469.222246,5
2023-03-26 11:00:00,140,140469.13062,5
2023-03-26 10:00:00,140,140469.050826,5
2023-03-26 09:00:00,140,140468.527766,5
2023-03-26 08:00:00,140,140468.402359,5
2023-03-26 07:00:00,140,140468.402359,5
2023-03-26 06:00:00,140,140468.402359,5
2023-03-26 05:00:00,140,140468.401712,5
2023-03-26 04:00:00,140,140468.401712,5
2023-03-26 03:00:00,140,140468.401712,5
2023-03-26 02:00:00,140,140468.401712,5
2023-03-26 01:00:00,140,140468.401712,5
2023-03-26 00:00:00,140,140468.398947,5
2023-03-25 23:00:00,140,140468.398947,5
2023-03-25 22:00:00,140,140491.396356,5
2023-03-25 21:00:00,140,140491.396356,5
2023-03-25 20:00:00,140,140491.396242,5
2023-03-25 19:00:00,140,140491.396242,5
2023-03-25 18:00:00,140,140491.393839,5
2023-03-25 17:00:00,140,140490.624972,5
2023-03-25 16:00:00,140,140490.623822,5
2023-03-25 15:00:00,140,140490.56477,5
2023-03-25 14:00:00,139,140490.56477,5
2023-03-25 13:00:00,139,140490.56477,5
2023-03-25 12:00:00,139,140490.553253,5
2023-03-25 11:00:00,139,140490.533098,5
2023-03-25 10:00:00,139,140490.475501,5
2023-03-25 09:00:00,139,140490.468015,5
2023-03-25 08:00:00,139,140488.390294,5
2023-03-25 07:00:00,139,140488.381219,5
2023-03-25 06:00:00,139,140488.381219,5
2023-03-25 05:00:00,139,140488.32479,5
2023-03-25 04:00:00,139,140488.322833,5
2023-03-25 03:00:00,139,140488.322833,5
2023-03-25 02:00:00,139,140488.322833,5
2023-03-25 01:00:00,139,140488.322833,5
2023-03-25 00:00:00,139,140488.311893,5
2023-03-24 23:00:00,139,140487.958358,5
2023-03-24 22:00:00,139,140487.945393,5
2023-03-24 21:00:00,139,140487.945393,5
2023-03-24 20:00:00,139,140487.945393,5
2023-03-24 19:00:00,139,140487.823552,5
2023-03-24 18:00:00,140,140488.517519,5
