timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,15,4071614.778521,8
2023-04-13 12:00:00,15,4071735.119363,8
2023-04-13 00:00:00,15,4070288.200986,8
2023-04-12 12:00:00,15,4072906.209831,8
2023-04-12 00:00:00,15,4072868.495133,8
2023-04-11 12:00:00,15,4070202.4371,8
2023-04-11 08:00:00,15,4070065.12656,8
2023-04-11 07:00:00,15,4070065.12656,8
2023-04-11 06:00:00,15,4070065.12656,8
2023-04-11 05:00:00,15,4070064.975605,8
2023-04-11 04:00:00,15,4070064.975605,8
2023-04-11 03:00:00,15,4070064.312434,8
2023-04-11 02:00:00,15,4070054.062434,8
2023-04-11 01:00:00,15,4070054.062434,8
2023-04-11 00:00:00,15,4070053.905543,8
2023-04-10 23:00:00,15,4070053.905543,8
2023-04-10 22:00:00,15,4070053.905543,8
2023-04-10 21:00:00,15,4070053.893891,8
2023-04-10 20:00:00,15,4070053.616451,8
2023-04-10 19:00:00,15,4070053.446451,8
2023-04-10 18:00:00,15,4070053.446451,8
2023-04-10 17:00:00,15,4070009.446451,8
2023-04-10 16:00:00,15,4070009.446396,8
2023-04-10 15:00:00,15,4070009.445845,8
2023-04-10 14:00:00,15,4070008.781513,8
2023-04-10 13:00:00,15,4071008.495631,8
2023-04-10 12:00:00,15,4070998.015984,8
2023-04-10 11:00:00,15,4070949.305044,8
2023-04-10 10:00:00,15,4070949.305044,8
2023-04-10 09:00:00,15,4070949.305044,8
2023-04-10 08:00:00,15,4070949.301545,8
2023-04-10 07:00:00,15,4070949.299067,8
2023-04-10 06:00:00,15,4070949.299067,8
2023-04-10 05:00:00,15,4070949.299067,8
2023-04-10 04:00:00,15,4070949.299067,8
2023-04-10 03:00:00,15,4070948.629647,8
2023-04-10 02:00:00,15,4070948.629647,8
2023-04-10 01:00:00,15,4070948.629647,8
2023-04-10 00:00:00,15,4070948.472882,8
2023-04-09 23:00:00,15,4070948.472882,8
2023-04-09 22:00:00,15,4070948.459011,8
2023-04-09 21:00:00,15,4070947.658847,8
2023-04-09 20:00:00,15,4070957.768845,8
2023-04-09 19:00:00,15,4070957.757479,8
2023-04-09 18:00:00,15,4070957.740834,8
2023-04-09 17:00:00,15,4070957.740834,8
2023-04-09 16:00:00,15,4070957.740834,8
2023-04-09 15:00:00,15,4070817.740724,8
2023-04-09 14:00:00,15,4070817.076913,8
2023-04-09 13:00:00,15,4070817.076913,8
2023-04-09 12:00:00,15,4070796.739982,8
2023-04-09 11:00:00,15,4070796.715424,8
2023-04-09 10:00:00,15,4070796.690043,8
2023-04-09 09:00:00,15,4070806.667843,8
2023-04-09 08:00:00,15,4070806.667843,8
2023-04-09 07:00:00,15,4069589.313387,8
2023-04-09 06:00:00,15,4069589.313387,8
2023-04-09 05:00:00,15,4069589.300968,8
2023-04-09 04:00:00,15,4069589.245184,8
2023-04-09 03:00:00,15,4069588.581532,8
2023-04-09 02:00:00,15,4069588.570376,8
2023-04-09 01:00:00,15,4069588.570376,8
2023-04-09 00:00:00,15,4069588.4139,8
2023-04-08 23:00:00,15,4069588.411111,8
2023-04-08 22:00:00,15,4069588.381002,8
2023-04-08 21:00:00,15,4069588.371498,8
2023-04-08 20:00:00,15,4069588.371498,8
2023-04-08 19:00:00,15,4069588.337982,8
2023-04-08 18:00:00,15,4069588.337636,8
2023-04-08 17:00:00,15,4069588.332058,8
2023-04-08 16:00:00,15,4069588.258917,8
2023-04-08 15:00:00,15,4069587.87403,8
2023-04-08 14:00:00,15,4069587.212087,8
2023-04-08 13:00:00,15,4069586.375464,8
2023-04-08 12:00:00,15,4069567.822018,8
2023-04-08 11:00:00,15,4069567.305286,8
2023-04-08 10:00:00,15,4069566.592872,8
2023-04-08 09:00:00,15,4069565.475296,8
2023-04-08 08:00:00,15,4069565.325126,8
2023-04-08 07:00:00,15,4069564.965514,8
2023-04-08 06:00:00,15,4069546.64205,8
2023-04-08 05:00:00,15,4069546.602504,8
2023-04-08 04:00:00,15,4069546.602504,8
2023-04-08 03:00:00,15,4069576.940784,8
2023-04-08 02:00:00,15,4069576.940784,8
2023-04-08 01:00:00,15,4069576.940784,8
2023-04-08 00:00:00,15,4069576.784214,8
2023-04-07 23:00:00,15,4069576.784214,8
2023-04-07 22:00:00,15,4069576.612894,8
2023-04-07 21:00:00,15,4069576.612894,8
2023-04-07 20:00:00,15,4069576.612894,8
2023-04-07 19:00:00,15,4069576.612894,8
2023-04-07 18:00:00,15,4069576.612894,8
