timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,168,118070.325703,5
2023-04-13 12:00:00,167,118069.464255,5
2023-04-13 00:00:00,167,118069.308514,5
2023-04-12 12:00:00,167,117929.152197,5
2023-04-12 00:00:00,167,117928.431804,5
2023-04-11 12:00:00,167,117923.19056,5
2023-04-11 08:00:00,167,117757.430575,5
2023-04-11 07:00:00,167,117757.430575,5
2023-04-11 06:00:00,168,117213.970146,5
2023-04-11 05:00:00,168,117213.819145,5
2023-04-11 04:00:00,168,117213.819145,5
2023-04-11 03:00:00,169,117213.819145,5
2023-04-11 02:00:00,169,117213.819145,5
2023-04-11 01:00:00,169,117213.819145,5
2023-04-11 00:00:00,169,117213.819145,5
2023-04-10 23:00:00,169,117213.819145,5
2023-04-10 22:00:00,169,117213.613111,5
2023-04-10 21:00:00,169,117213.601455,5
2023-04-10 20:00:00,169,117213.323932,5
2023-04-10 19:00:00,169,117213.323932,5
2023-04-10 18:00:00,169,117213.323932,5
2023-04-10 17:00:00,169,117213.295681,5
2023-04-10 16:00:00,169,117213.295626,5
2023-04-10 15:00:00,169,117213.245007,5
2023-04-10 14:00:00,169,117213.245007,5
2023-04-10 13:00:00,169,117213.236684,5
2023-04-10 12:00:00,168,117213.236684,5
2023-04-10 11:00:00,168,117213.211661,5
2023-04-10 10:00:00,168,117213.211661,5
2023-04-10 09:00:00,168,117213.211661,5
2023-04-10 08:00:00,168,117213.208886,5
2023-04-10 07:00:00,168,117213.206407,5
2023-04-10 06:00:00,168,117213.206407,5
2023-04-10 05:00:00,168,117213.206407,5
2023-04-10 04:00:00,168,117213.206407,5
2023-04-10 03:00:00,168,117213.206407,5
2023-04-10 02:00:00,168,117213.206407,5
2023-04-10 01:00:00,168,117213.206407,5
2023-04-10 00:00:00,168,117213.206407,5
2023-04-09 23:00:00,168,117213.206407,5
2023-04-09 22:00:00,168,117213.192531,5
2023-04-09 21:00:00,168,117212.392126,5
2023-04-09 20:00:00,168,117212.392126,5
2023-04-09 19:00:00,168,117212.380757,5
2023-04-09 18:00:00,168,117212.364106,5
2023-04-09 17:00:00,168,117212.336618,5
2023-04-09 16:00:00,168,117212.336618,5
2023-04-09 15:00:00,168,117212.336508,5
2023-04-09 14:00:00,168,117212.336503,5
2023-04-09 13:00:00,168,117212.336503,5
2023-04-09 12:00:00,168,117212.336503,5
2023-04-09 11:00:00,168,117212.27917,5
2023-04-09 10:00:00,168,117212.253781,5
2023-04-09 09:00:00,168,117212.251581,5
2023-04-09 08:00:00,168,117212.251581,5
2023-04-09 07:00:00,168,117212.247769,5
2023-04-09 06:00:00,168,117212.247769,5
2023-04-09 05:00:00,168,117209.083247,5
2023-04-09 04:00:00,168,117209.027446,5
2023-04-09 03:00:00,168,117209.027446,5
2023-04-09 02:00:00,168,117209.016286,5
2023-04-09 01:00:00,168,117209.016286,5
2023-04-09 00:00:00,168,117208.886868,5
2023-04-08 23:00:00,168,117192.884078,5
2023-04-08 22:00:00,168,117192.884078,5
2023-04-08 21:00:00,168,117192.874571,5
2023-04-08 20:00:00,168,117192.874571,5
2023-04-08 19:00:00,168,117192.841045,5
2023-04-08 18:00:00,168,117192.840699,5
2023-04-08 17:00:00,168,117192.807322,5
2023-04-08 16:00:00,168,117192.734159,5
2023-04-08 15:00:00,168,117192.349155,5
2023-04-08 14:00:00,168,117192.349155,5
2023-04-08 13:00:00,168,117191.512277,5
2023-04-08 12:00:00,168,117191.506698,5
2023-04-08 11:00:00,168,117191.489961,5
2023-04-08 10:00:00,168,117191.485818,5
2023-04-08 09:00:00,168,117191.485818,5
2023-04-08 08:00:00,168,117191.335616,5
2023-04-08 07:00:00,168,117158.975927,5
2023-04-08 06:00:00,168,117158.591526,5
2023-04-08 05:00:00,167,117158.551968,5
2023-04-08 04:00:00,167,117158.551968,5
2023-04-08 03:00:00,167,117158.551968,5
2023-04-08 02:00:00,167,117158.498213,5
2023-04-08 01:00:00,167,117158.498213,5
2023-04-08 00:00:00,167,117158.498213,5
2023-04-07 23:00:00,167,117158.498213,5
2023-04-07 22:00:00,167,117158.326841,5
2023-04-07 21:00:00,167,117158.326841,5
2023-04-07 20:00:00,167,117158.326841,5
2023-04-07 19:00:00,167,117158.326841,5
2023-04-07 18:00:00,167,117158.326841,5
2023-04-07 17:00:00,167,117158.326841,5
2023-04-07 16:00:00,167,117158.300085,5
2023-04-07 15:00:00,167,117158.300085,5
2023-04-07 14:00:00,167,117158.300085,5
2023-04-07 13:00:00,167,117158.242954,5
2023-04-07 12:00:00,167,117158.242954,5
