timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,16,4051775.507027,9
2023-04-13 12:00:00,16,4051747.485173,9
2023-04-13 00:00:00,16,4047101.488603,9
2023-04-12 12:00:00,16,4062205.206407,9
2023-04-12 00:00:00,16,4062385.791981,9
2023-04-11 12:00:00,16,4062336.05346,9
2023-04-11 08:00:00,16,4056910.734672,9
2023-04-11 07:00:00,16,4056910.734672,9
2023-04-11 06:00:00,16,4056698.734672,9
2023-04-11 05:00:00,16,4056698.549415,9
2023-04-11 04:00:00,16,4056698.471969,9
2023-04-11 03:00:00,16,4056698.471969,9
2023-04-11 02:00:00,16,4056694.476216,9
2023-04-11 01:00:00,16,4056694.476216,9
2023-04-11 00:00:00,16,4056643.908576,9
2023-04-10 23:00:00,16,4056643.908576,9
2023-04-10 22:00:00,16,4056643.908576,9
2023-04-10 21:00:00,16,4056643.89692,9
2023-04-10 20:00:00,16,4056643.605862,9
2023-04-10 19:00:00,16,4056643.605862,9
2023-04-10 18:00:00,16,4056643.58953,9
2023-04-10 17:00:00,16,4056643.510731,9
2023-04-10 16:00:00,16,4056617.210676,9
2023-04-10 15:00:00,16,4056583.614392,9
2023-04-10 14:00:00,16,4056583.121794,9
2023-04-10 13:00:00,16,4056582.976119,9
2023-04-10 12:00:00,16,4056573.488689,9
2023-04-10 11:00:00,16,4056570.095352,9
2023-04-10 10:00:00,16,4056565.677176,9
2023-04-10 09:00:00,16,4056565.677176,9
2023-04-10 08:00:00,16,4056474.037162,9
2023-04-10 07:00:00,16,4056474.034683,9
2023-04-10 06:00:00,16,4056474.034683,9
2023-04-10 05:00:00,16,4056474.034683,9
2023-04-10 04:00:00,16,4056474.034683,9
2023-04-10 03:00:00,16,4056481.861139,9
2023-04-10 02:00:00,16,4056481.714851,9
2023-04-10 01:00:00,16,4056481.414851,9
2023-04-10 00:00:00,16,4056481.414851,9
2023-04-09 23:00:00,16,4056481.398516,9
2023-04-09 22:00:00,16,4056481.38464,9
2023-04-09 21:00:00,16,4056483.114882,9
2023-04-09 20:00:00,16,4056534.114882,9
2023-04-09 19:00:00,16,4056527.871379,9
2023-04-09 18:00:00,16,4056521.654728,9
2023-04-09 17:00:00,16,4056521.561883,9
2023-04-09 16:00:00,16,4056521.561883,9
2023-04-09 15:00:00,16,4056510.843882,9
2023-04-09 14:00:00,16,4056510.843877,9
2023-04-09 13:00:00,16,4056510.843877,9
2023-04-09 12:00:00,16,4056489.256946,9
2023-04-09 11:00:00,16,4056496.53238,9
2023-04-09 10:00:00,16,4056496.506991,9
2023-04-09 09:00:00,16,4056496.140915,9
2023-04-09 08:00:00,16,4056496.140915,9
2023-04-09 07:00:00,16,4056496.137103,9
