timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,171,113966.658413,4
2023-04-13 12:00:00,169,113971.874382,4
2023-04-13 00:00:00,169,113988.007469,4
2023-04-12 12:00:00,169,113841.195473,4
2023-04-12 00:00:00,169,113840.47508,3
2023-04-11 12:00:00,169,113836.291982,3
2023-04-11 08:00:00,169,113835.268364,2
2023-04-11 07:00:00,169,113835.268364,2
2023-04-11 06:00:00,169,113834.365007,2
2023-04-11 05:00:00,169,113834.214006,2
2023-04-11 04:00:00,169,113834.210835,2
2023-04-11 03:00:00,170,113834.067315,2
2023-04-11 02:00:00,170,113833.950477,2
2023-04-11 01:00:00,170,113833.950477,2
2023-04-11 00:00:00,170,113833.950477,2
2023-04-10 23:00:00,170,113833.950477,2
2023-04-10 22:00:00,170,113833.865562,2
2023-04-10 21:00:00,170,113833.853906,2
2023-04-10 20:00:00,170,113833.576383,2
2023-04-10 19:00:00,170,113833.576383,2
2023-04-10 18:00:00,170,113833.576383,2
2023-04-10 17:00:00,170,113841.164883,2
2023-04-10 16:00:00,170,113841.164828,2
2023-04-10 15:00:00,170,113841.164277,2
2023-04-10 14:00:00,170,113841.164277,2
2023-04-10 13:00:00,170,113840.277747,2
2023-04-10 12:00:00,169,113840.277747,2
2023-04-10 11:00:00,169,113840.232229,2
2023-04-10 10:00:00,169,113840.232229,2
2023-04-10 09:00:00,169,113840.232229,1
2023-04-10 08:00:00,169,113839.82133,1
2023-04-10 07:00:00,169,113839.518406,1
2023-04-10 06:00:00,169,113839.518406,1
2023-04-10 05:00:00,169,113839.518406,1
2023-04-10 04:00:00,169,113839.518406,1
2023-04-10 03:00:00,169,113839.518406,1
2023-04-10 02:00:00,169,113839.518406,1
2023-04-10 01:00:00,169,113839.518406,1
2023-04-10 00:00:00,169,113839.518406,1
2023-04-09 23:00:00,169,113839.518406,1
2023-04-09 22:00:00,169,113839.462484,1
2023-04-09 21:00:00,169,113838.662079,1
2023-04-09 20:00:00,169,113838.660198,1
2023-04-09 19:00:00,169,113783.10688,1
2023-04-09 18:00:00,169,113783.090229,1
2023-04-09 17:00:00,169,113781.964073,1
2023-04-09 16:00:00,169,113781.964073,1
2023-04-09 15:00:00,169,113712.623963,1
2023-04-09 14:00:00,169,113725.308667,1
2023-04-09 13:00:00,169,113725.219047,1
2023-04-09 12:00:00,169,113725.219047,1
2023-04-09 11:00:00,169,113725.194481,1
2023-04-09 10:00:00,169,113724.480057,1
2023-04-09 09:00:00,169,113724.477857,1
2023-04-09 08:00:00,169,113724.477857,1
2023-04-09 07:00:00,169,113723.755958,1
2023-04-09 06:00:00,169,113723.755958,1
2023-04-09 05:00:00,169,113723.743534,1
2023-04-09 04:00:00,169,113723.687733,1
2023-04-09 03:00:00,169,113723.24824,1
2023-04-09 02:00:00,169,113723.23708,1
2023-04-09 01:00:00,169,113723.23708,1
2023-04-09 00:00:00,169,113723.23708,1
2023-04-08 23:00:00,169,113723.23429,1
2023-04-08 22:00:00,169,113723.110718,1
2023-04-08 21:00:00,169,113723.101211,1
2023-04-08 20:00:00,169,113723.101211,1
2023-04-08 19:00:00,169,113723.067685,1
2023-04-08 18:00:00,169,113703.067339,1
2023-04-08 17:00:00,169,113703.061759,1
2023-04-08 16:00:00,169,113701.184673,1
2023-04-08 15:00:00,169,113700.799669,1
2023-04-08 14:00:00,169,113700.257073,1
2023-04-08 13:00:00,169,113699.311214,1
2023-04-08 12:00:00,169,113698.268477,1
2023-04-08 11:00:00,169,113663.25174,1
2023-04-08 10:00:00,169,113663.247597,1
2023-04-08 09:00:00,169,113662.923076,1
2023-04-08 08:00:00,169,113662.693145,1
2023-04-08 07:00:00,169,113661.579297,1
2023-04-08 06:00:00,169,113680.556974,1
2023-04-08 05:00:00,168,113680.517416,1
2023-04-08 04:00:00,168,113680.517416,1
2023-04-08 03:00:00,168,113680.517416,1
2023-04-08 02:00:00,168,113680.517416,1
2023-04-08 01:00:00,168,113703.800801,1
2023-04-08 00:00:00,168,113703.800801,1
2023-04-07 23:00:00,168,113703.800801,1
2023-04-07 22:00:00,168,113703.629429,1
2023-04-07 21:00:00,168,113703.629429,1
2023-04-07 20:00:00,168,113703.624003,1
2023-04-07 19:00:00,168,113703.624003,1
2023-04-07 18:00:00,168,113703.624003,1
2023-04-07 17:00:00,168,113703.624003,1
2023-04-07 16:00:00,168,113701.586897,1
2023-04-07 15:00:00,168,113701.442626,1
2023-04-07 14:00:00,168,113701.442626,1
2023-04-07 13:00:00,168,113701.442626,1
2023-04-07 12:00:00,168,113701.442626,1
2023-04-07 11:00:00,168,113701.442626,1
2023-04-07 10:00:00,168,113701.376817,1
2023-04-07 09:00:00,168,113701.376817,1
2023-04-07 08:00:00,168,113701.376817,1
2023-04-07 07:00:00,168,113701.265133,1
2023-04-07 06:00:00,168,113701.265133,1
2023-04-07 05:00:00,168,113701.244285,1
