timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,172,111626.119836,5
2023-04-13 12:00:00,172,111623.452084,5
2023-04-13 00:00:00,172,111622.192595,5
2023-04-12 12:00:00,172,111522.132664,5
2023-04-12 00:00:00,172,111432.180102,5
2023-04-11 12:00:00,172,111431.225369,5
2023-04-11 08:00:00,172,111343.489947,5
2023-04-11 07:00:00,172,111343.489947,5
2023-04-11 06:00:00,172,111343.489947,5
2023-04-11 05:00:00,172,111343.33894,5
2023-04-11 04:00:00,172,111343.33894,5
2023-04-11 03:00:00,173,111343.33894,5
2023-04-11 02:00:00,173,111343.33894,5
2023-04-11 01:00:00,172,111343.33894,5
2023-04-11 00:00:00,172,111343.33894,5
2023-04-10 23:00:00,172,111343.33894,5
2023-04-10 22:00:00,172,111338.286825,5
2023-04-10 21:00:00,172,111338.275169,5
2023-04-10 20:00:00,172,111337.947635,5
2023-04-10 19:00:00,172,111307.947635,5
2023-04-10 18:00:00,172,111537.842848,5
2023-04-10 17:00:00,172,111537.842848,5
2023-04-10 16:00:00,172,111533.842793,5
2023-04-10 15:00:00,172,111533.481828,5
2023-04-10 14:00:00,172,111533.481828,5
2023-04-10 13:00:00,172,111533.471361,5
2023-04-10 12:00:00,171,111533.471361,5
2023-04-10 11:00:00,171,112033.369092,5
2023-04-10 10:00:00,171,112033.369092,5
2023-04-10 09:00:00,171,112033.369092,5
2023-04-10 08:00:00,171,111807.752384,5
2023-04-10 07:00:00,171,111807.749905,5
2023-04-10 06:00:00,171,111807.749905,5
2023-04-10 05:00:00,171,111807.749905,5
2023-04-10 04:00:00,171,111807.749905,5
2023-04-10 03:00:00,171,111807.749905,5
2023-04-10 02:00:00,171,111807.749905,5
2023-04-10 01:00:00,171,111806.519534,5
2023-04-10 00:00:00,171,111806.519534,5
2023-04-09 23:00:00,171,111806.519534,5
2023-04-09 22:00:00,171,111806.505658,5
2023-04-09 21:00:00,171,111805.705222,5
2023-04-09 20:00:00,171,111805.705222,5
2023-04-09 19:00:00,171,111801.693853,5
2023-04-09 18:00:00,171,111850.137319,5
2023-04-09 17:00:00,171,111850.137319,5
2023-04-09 16:00:00,171,111817.987319,5
2023-04-09 15:00:00,171,111817.637209,5
2023-04-09 14:00:00,171,111817.637204,5
2023-04-09 13:00:00,171,111817.634391,5
2023-04-09 12:00:00,171,111260.034292,5
2023-04-09 11:00:00,171,111259.706827,5
2023-04-09 10:00:00,171,111259.681437,5
2023-04-09 09:00:00,171,111259.679237,5
2023-04-09 08:00:00,171,111259.679237,5
2023-04-09 07:00:00,171,111258.675425,5
2023-04-09 06:00:00,171,111258.675425,5
2023-04-09 05:00:00,171,111258.573175,5
2023-04-09 04:00:00,174,109538.017372,5
2023-04-09 03:00:00,174,109538.017372,5
2023-04-09 02:00:00,174,109537.646212,5
2023-04-09 01:00:00,174,109446.146212,5
2023-04-09 00:00:00,173,109446.146212,5
2023-04-08 23:00:00,173,109446.143422,5
2023-04-08 22:00:00,173,109446.143422,5
2023-04-08 21:00:00,173,109446.133914,5
2023-04-08 20:00:00,171,109446.073719,5
2023-04-08 19:00:00,171,109446.040192,5
2023-04-08 18:00:00,171,109446.039846,5
2023-04-08 17:00:00,171,109446.034266,5
2023-04-08 16:00:00,172,109120.173559,5
2023-04-08 15:00:00,172,109119.78854,5
2023-04-08 14:00:00,172,109119.78854,5
2023-04-08 13:00:00,172,109118.951631,5
2023-04-08 12:00:00,172,109118.946052,5
2023-04-08 11:00:00,172,109118.929314,5
2023-04-08 10:00:00,172,109118.925171,5
2023-04-08 09:00:00,172,109118.925171,5
2023-04-08 08:00:00,172,109118.774965,5
2023-04-08 07:00:00,172,109118.415265,5
2023-04-08 06:00:00,172,109118.392941,5
