timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,17,3533460.345833,7.5
2023-04-13 12:00:00,17,3533363.139732,7.5
2023-04-13 00:00:00,18,3532941.495621,7.5
2023-04-12 12:00:00,18,3532719.273019,7.5
2023-04-12 00:00:00,18,3542708.734231,7.5
2023-04-11 12:00:00,18,3542466.359685,7.5
2023-04-11 08:00:00,18,3542456.512384,7.5
2023-04-11 07:00:00,18,3542456.512384,7.5
2023-04-11 06:00:00,18,3542455.925339,7.5
2023-04-11 05:00:00,18,3542455.774338,7.5
2023-04-11 04:00:00,18,3542455.774338,7.5
2023-04-11 03:00:00,18,3542455.774338,7.5
2023-04-11 02:00:00,18,3542450.860361,7.5
2023-04-11 01:00:00,18,3542393.853441,7.5
2023-04-11 00:00:00,18,3542393.853441,7.5
2023-04-10 23:00:00,18,3542393.853441,7.5
2023-04-10 22:00:00,18,3542393.853441,7.5
2023-04-10 21:00:00,18,3542393.591785,7.5
2023-04-10 20:00:00,18,3542393.314262,7.5
2023-04-10 19:00:00,18,3542390.714262,7.5
2023-04-10 18:00:00,18,3542390.430198,7.5
2023-04-10 17:00:00,18,3542390.40914,7.5
2023-04-10 16:00:00,18,3542390.408975,7.5
2023-04-10 15:00:00,18,3542390.373348,7.5
2023-04-10 14:00:00,18,3542390.373348,7.5
2023-04-10 13:00:00,18,3545345.574132,7.5
2023-04-10 12:00:00,18,3545336.125135,7.5
2023-04-10 11:00:00,18,3545336.125135,7.5
2023-04-10 10:00:00,18,3545336.125135,7.5
2023-04-10 09:00:00,18,3545335.992089,7.5
2023-04-10 08:00:00,18,3545335.988608,7.5
2023-04-10 07:00:00,18,3545335.986129,7.5
2023-04-10 06:00:00,18,3545335.986129,7.5
2023-04-10 05:00:00,18,3545284.769682,7.5
2023-04-10 04:00:00,18,3545344.769682,7.5
2023-04-10 03:00:00,18,3545344.769682,7.5
2023-04-10 02:00:00,18,3545339.769682,7.5
2023-04-10 01:00:00,18,3545315.420628,7.5
2023-04-10 00:00:00,18,3545315.362534,7.5
2023-04-09 23:00:00,18,3545315.362534,7.5
2023-04-09 22:00:00,18,3545315.348658,7.5
2023-04-09 21:00:00,18,3545313.998253,7.5
2023-04-09 20:00:00,18,3545305.998253,7.5
2023-04-09 19:00:00,18,3545304.986884,7.5
2023-04-09 18:00:00,18,3545304.970233,7.5
2023-04-09 17:00:00,18,3545304.949029,7.5
2023-04-09 16:00:00,18,3545304.949029,7.5
2023-04-09 15:00:00,18,3545304.836948,7.5
2023-04-09 14:00:00,18,3545304.836943,7.5
2023-04-09 13:00:00,18,3545304.804432,7.5
2023-04-09 12:00:00,18,3545182.467501,7.5
2023-04-09 11:00:00,18,3545179.460286,7.5
2023-04-09 10:00:00,18,3545179.434897,7.5
2023-04-09 09:00:00,18,3545179.406127,7.5
2023-04-09 08:00:00,18,3545179.406127,7.5
2023-04-09 07:00:00,18,3545169.302315,7.5
2023-04-09 06:00:00,18,3545169.302315,7.5
2023-04-09 05:00:00,18,3545169.285791,7.5
2023-04-09 04:00:00,18,3545050.311244,7.5
2023-04-09 03:00:00,18,3545071.011244,7.5
2023-04-09 02:00:00,18,3545071.000084,7.5
2023-04-09 01:00:00,18,3545071.000084,7.5
2023-04-09 00:00:00,18,3545071.000084,7.5
2023-04-08 23:00:00,18,3545070.847294,7.5
2023-04-08 22:00:00,18,3545019.203998,7.5
2023-04-08 21:00:00,18,3545019.194491,7.5
2023-04-08 20:00:00,18,3545019.194491,7.5
2023-04-08 19:00:00,18,3545019.160965,7.5
2023-04-08 18:00:00,18,3545019.160619,7.5
2023-04-08 17:00:00,18,3545019.13362,7.5
2023-04-08 16:00:00,18,3545019.060457,7.5
2023-04-08 15:00:00,18,3545018.675453,7.5
2023-04-08 14:00:00,18,3545017.164484,7.5
2023-04-08 13:00:00,18,3545016.327606,7.5
2023-04-08 12:00:00,18,3544997.774158,7.5
2023-04-08 11:00:00,18,3544997.757421,7.5
2023-04-08 10:00:00,18,3545232.753278,7.5
2023-04-08 09:00:00,18,3545232.744438,7.5
2023-04-08 08:00:00,18,3545232.294236,7.5
2023-04-08 07:00:00,18,3545231.404547,7.5
2023-04-08 06:00:00,18,3545231.334252,7.5
2023-04-08 05:00:00,18,3545230.694694,7.5
2023-04-08 04:00:00,18,3545230.694694,7.5
2023-04-08 03:00:00,18,3545230.689629,7.5
2023-04-08 02:00:00,18,3545169.735726,7.5
2023-04-08 01:00:00,18,3545169.735726,7.5
2023-04-08 00:00:00,18,3545170.235726,7.5
2023-04-07 23:00:00,18,3545165.476339,7.5
2023-04-07 22:00:00,18,3545165.304967,7.5
2023-04-07 21:00:00,18,3545165.304967,7.5
2023-04-07 20:00:00,18,3545120.304967,7.5
2023-04-07 19:00:00,18,3545118.304967,7.5
2023-04-07 18:00:00,18,3545118.304967,7.5
2023-04-07 17:00:00,18,3545117.056572,7.5
2023-04-07 16:00:00,18,3545056.833182,7.5
2023-04-07 15:00:00,18,3545055.310721,7.5
2023-04-07 14:00:00,18,3545065.410721,7.5
2023-04-07 13:00:00,18,3545064.310721,7.5
2023-04-07 12:00:00,18,3545120.234624,7.5
2023-04-07 11:00:00,18,3545120.234624,7.5
2023-04-07 10:00:00,18,3545120.234624,7.5
2023-04-07 09:00:00,18,3545119.654624,7.5
2023-04-07 08:00:00,18,3545119.654624,7.5
2023-04-07 07:00:00,18,3545119.461102,7.5
2023-04-07 06:00:00,18,3545160.424266,7.5
2023-04-07 05:00:00,18,3545159.951322,7.5
2023-04-07 04:00:00,18,3545159.951322,7.5
2023-04-07 03:00:00,18,3545181.689255,7.5
2023-04-07 02:00:00,18,3545192.282025,7.5
2023-04-07 01:00:00,18,3545192.044025,7.5
2023-04-07 00:00:00,18,3545192.044025,7.5
2023-04-06 23:00:00,18,3545192.044025,7.5
2023-04-06 22:00:00,18,3545192.038448,7.5
2023-04-06 21:00:00,18,3545196.469553,7.5
2023-04-06 20:00:00,18,3545196.289245,7.5
2023-04-06 19:00:00,18,3545196.289245,7.5
2023-04-06 18:00:00,18,3545195.420419,7.5
2023-04-06 17:00:00,18,3545194.385605,7.5
2023-04-06 16:00:00,18,3545194.135494,7.5
2023-04-06 15:00:00,18,3545194.107292,7.5
2023-04-06 14:00:00,18,3545194.088573,7.5
2023-04-06 13:00:00,18,3545194.088573,7.5
2023-04-06 12:00:00,18,3545190.757029,7.5
2023-04-06 11:00:00,18,3545190.757029,7.5
2023-04-06 10:00:00,18,3545183.419741,7.5
2023-04-06 09:00:00,18,3543027.168369,7.5
2023-04-06 08:00:00,18,3543027.155961,7.5
2023-04-06 07:00:00,18,3543052.155961,7.5
2023-04-06 06:00:00,18,3543052.014952,7.5
2023-04-06 05:00:00,18,3543051.608171,7.5
2023-04-06 04:00:00,18,3543051.388171,7.5
2023-04-06 03:00:00,18,3543051.388171,7.5
2023-04-06 02:00:00,18,3543016.526161,7.5
2023-04-06 01:00:00,18,3543016.526161,7.5
2023-04-06 00:00:00,18,3543016.510568,7.5
2023-04-05 23:00:00,18,3543020.678238,7.5
2023-04-05 22:00:00,18,3543020.678238,7.5
2023-04-05 21:00:00,18,3542958.578238,7.5
2023-04-05 20:00:00,18,3542958.578238,7.5
2023-04-05 19:00:00,18,3543046.88685,7.5
2023-04-05 18:00:00,18,3543046.140085,7.5
2023-04-05 17:00:00,18,3542991.066257,7.5
2023-04-05 16:00:00,18,3542991.066257,7.5
