timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,183,61043.457318,2
2023-04-13 12:00:00,183,61965.075176,2
2023-04-13 00:00:00,183,63022.642662,2
2023-04-12 12:00:00,183,64235.574406,2
2023-04-12 00:00:00,183,66219.082175,2
2023-04-11 12:00:00,184,67885.933663,2
2023-04-11 08:00:00,184,68282.969633,2
2023-04-11 07:00:00,184,68282.969633,2
2023-04-11 06:00:00,184,68252.824716,2
2023-04-11 05:00:00,184,68252.824716,2
2023-04-11 04:00:00,184,68252.824716,2
2023-04-11 03:00:00,184,69745.828013,2
2023-04-11 02:00:00,184,69745.828013,2
2023-04-11 01:00:00,184,69745.828013,2
2023-04-11 00:00:00,184,69843.316286,2
2023-04-10 23:00:00,184,69843.146312,2
2023-04-10 22:00:00,184,70529.776725,2
2023-04-10 21:00:00,184,70942.755657,2
2023-04-10 20:00:00,184,70937.755657,2
2023-04-10 19:00:00,184,70948.398435,2
2023-04-10 18:00:00,184,70948.398435,2
2023-04-10 17:00:00,184,70948.382639,2
2023-04-10 16:00:00,184,70947.573259,2
2023-04-10 15:00:00,184,70947.573259,2
2023-04-10 14:00:00,184,70946.553542,2
2023-04-10 13:00:00,184,70946.553542,2
2023-04-10 12:00:00,184,70946.553542,2
2023-04-10 11:00:00,184,70998.939188,2
2023-04-10 10:00:00,184,70998.939188,2
2023-04-10 09:00:00,184,71107.484163,2
2023-04-10 08:00:00,184,71107.484163,2
2023-04-10 07:00:00,184,71109.467651,2
2023-04-10 06:00:00,184,71109.467651,2
2023-04-10 05:00:00,184,71109.467651,2
2023-04-10 04:00:00,184,71109.467651,2
2023-04-10 03:00:00,184,71109.467651,2
2023-04-10 02:00:00,184,71259.812693,2
2023-04-10 01:00:00,184,71259.812693,2
2023-04-10 00:00:00,184,71259.812693,2
2023-04-09 23:00:00,184,71259.812693,2
2023-04-09 22:00:00,184,71258.312693,2
2023-04-09 21:00:00,184,71258.312693,2
2023-04-09 20:00:00,184,71258.312693,2
2023-04-09 19:00:00,184,72522.920731,2
2023-04-09 18:00:00,184,72522.920731,2
2023-04-09 17:00:00,184,72795.436067,2
2023-04-09 16:00:00,184,72795.436067,2
2023-04-09 15:00:00,184,72795.436067,2
2023-04-09 14:00:00,184,72795.436067,2
2023-04-09 13:00:00,184,72795.436067,2
2023-04-09 12:00:00,184,72795.436067,2
2023-04-09 11:00:00,184,72795.436067,2
2023-04-09 10:00:00,184,72791.536067,2
2023-04-09 09:00:00,184,72791.536067,2
2023-04-09 08:00:00,184,72791.536067,2
2023-04-09 07:00:00,184,72791.536067,2
2023-04-09 06:00:00,184,73216.599886,2
2023-04-09 05:00:00,184,73214.401542,2
2023-04-09 04:00:00,184,73214.401542,2
2023-04-09 03:00:00,184,73214.401542,2
2023-04-09 02:00:00,184,73213.901542,2
2023-04-09 01:00:00,184,73213.901542,2
2023-04-09 00:00:00,184,73213.901542,2
2023-04-08 23:00:00,184,73213.901542,2
2023-04-08 22:00:00,184,73313.903877,2
2023-04-08 21:00:00,184,73313.903877,2
2023-04-08 20:00:00,184,73310.483485,2
2023-04-08 19:00:00,184,73310.483485,2
2023-04-08 18:00:00,184,73552.565325,2
2023-04-08 17:00:00,184,73552.56136,2
2023-04-08 16:00:00,184,73552.56136,2
2023-04-08 15:00:00,184,73552.56136,2
2023-04-08 14:00:00,184,73552.56136,2
2023-04-08 13:00:00,184,73552.56136,2
2023-04-08 12:00:00,184,73556.862165,2
2023-04-08 11:00:00,184,73556.862165,2
2023-04-08 10:00:00,184,73556.862165,2
2023-04-08 09:00:00,184,73556.522581,2
2023-04-08 08:00:00,183,74572.599265,2
2023-04-08 07:00:00,183,74572.493787,2
2023-04-08 06:00:00,183,74707.982399,2
2023-04-08 05:00:00,183,74733.956574,2
