timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,186,45624.87772,5
2023-04-13 12:00:00,186,45624.860634,5
2023-04-13 00:00:00,186,45624.856801,5
2023-04-12 12:00:00,186,45615.881097,5
2023-04-12 00:00:00,186,45615.833145,5
2023-04-11 12:00:00,187,45615.82519,5
2023-04-11 08:00:00,187,45615.777801,5
2023-04-11 07:00:00,187,45615.777801,5
2023-04-11 06:00:00,187,45615.777801,5
2023-04-11 05:00:00,187,45615.768062,5
2023-04-11 04:00:00,187,45615.768062,5
2023-04-11 03:00:00,187,45615.768062,5
2023-04-11 02:00:00,187,45615.768062,5
2023-04-11 01:00:00,187,45615.768062,5
2023-04-11 00:00:00,187,45615.768062,5
2023-04-10 23:00:00,187,45615.768062,5
2023-04-10 22:00:00,187,45615.768062,5
2023-04-10 21:00:00,187,45615.76731,5
2023-04-10 20:00:00,187,45615.749393,5
2023-04-10 19:00:00,187,45615.749393,5
2023-04-10 18:00:00,187,45615.749393,5
2023-04-10 17:00:00,187,45615.749393,5
2023-04-10 16:00:00,187,45615.74939,5
2023-04-10 15:00:00,187,45615.749355,5
2023-04-10 14:00:00,187,45615.749355,5
2023-04-10 13:00:00,187,45615.748818,5
2023-04-10 12:00:00,187,45615.748818,5
2023-04-10 11:00:00,187,45615.748818,5
2023-04-10 10:00:00,187,45615.748818,5
2023-04-10 09:00:00,187,45615.748818,5
2023-04-10 08:00:00,187,45615.748639,5
2023-04-10 07:00:00,187,45615.748479,5
2023-04-10 06:00:00,187,45615.748479,5
2023-04-10 05:00:00,187,45615.748479,5
2023-04-10 04:00:00,187,45615.748479,5
2023-04-10 03:00:00,187,45615.748479,5
2023-04-10 02:00:00,187,45615.748479,5
2023-04-10 01:00:00,187,45615.748479,5
2023-04-10 00:00:00,187,45615.748479,5
2023-04-09 23:00:00,187,45615.748479,5
2023-04-09 22:00:00,187,45615.747584,5
2023-04-09 21:00:00,187,45615.69591,5
