timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,18,3517038.453799,1
2023-04-13 12:00:00,19,3515487.008006,1
2023-04-13 00:00:00,19,3510628.145752,1
2023-04-12 12:00:00,19,3509724.04288,1
2023-04-12 00:00:00,19,3495985.346257,1
2023-04-11 12:00:00,19,3494527.046587,1
2023-04-11 08:00:00,19,3493433.480886,1
2023-04-11 07:00:00,19,3493416.838167,1
2023-04-11 06:00:00,19,3493580.007893,1
2023-04-11 05:00:00,19,3493276.768021,1
2023-04-11 04:00:00,19,3495516.127176,1
2023-04-11 03:00:00,19,3495477.53189,1
2023-04-11 02:00:00,19,3495197.25385,1
2023-04-11 01:00:00,19,3494792.720888,1
2023-04-11 00:00:00,19,3494045.587432,1
2023-04-10 23:00:00,19,3492937.954965,1
2023-04-10 22:00:00,19,3492385.05779,1
2023-04-10 21:00:00,19,3491757.378965,1
2023-04-10 20:00:00,19,3491713.868952,1
2023-04-10 19:00:00,19,3491661.969826,1
2023-04-10 18:00:00,19,3491418.281353,1
2023-04-10 17:00:00,19,3491352.651474,1
2023-04-10 16:00:00,19,3491337.979833,1
2023-04-10 15:00:00,19,3491005.144738,1
2023-04-10 14:00:00,19,3490994.624886,1
2023-04-10 13:00:00,19,3495680.096963,1
2023-04-10 12:00:00,19,3495634.236028,1
2023-04-10 11:00:00,19,3495555.254009,1
2023-04-10 10:00:00,19,3495309.751981,1
2023-04-10 09:00:00,19,3495187.452091,1
2023-04-10 08:00:00,19,3494876.458035,1
2023-04-10 07:00:00,19,3494787.385803,1
2023-04-10 06:00:00,19,3494511.885803,1
2023-04-10 05:00:00,19,3494233.700753,1
2023-04-10 04:00:00,19,3494224.662818,1
2023-04-10 03:00:00,19,3494157.330613,1
2023-04-10 02:00:00,19,3494134.654835,1
2023-04-10 01:00:00,19,3494117.223725,1
2023-04-10 00:00:00,19,3493875.648162,1
2023-04-09 23:00:00,19,3493486.958171,1
2023-04-09 22:00:00,19,3493476.453578,1
2023-04-09 21:00:00,19,3493435.736844,1
2023-04-09 20:00:00,19,3493309.608504,1
2023-04-09 19:00:00,19,3493258.293761,1
2023-04-09 18:00:00,19,3493178.660027,1
2023-04-09 17:00:00,19,3492663.249479,1
2023-04-09 16:00:00,19,3492633.540657,1
2023-04-09 15:00:00,19,3492564.934977,1
2023-04-09 14:00:00,19,3492483.111223,1
2023-04-09 13:00:00,19,3492350.273266,1
2023-04-09 12:00:00,19,3492308.638501,1
2023-04-09 11:00:00,19,3492301.120951,1
2023-04-09 10:00:00,19,3492248.546242,1
2023-04-09 09:00:00,19,3489300.444178,1
2023-04-09 08:00:00,19,3489283.174197,1
2023-04-09 07:00:00,19,3489094.504089,1
2023-04-09 06:00:00,19,3488481.879826,1
2023-04-09 05:00:00,19,3488480.688871,1
2023-04-09 04:00:00,19,3488043.347281,1
2023-04-09 03:00:00,19,3488041.61973,1
2023-04-09 02:00:00,19,3488039.571881,1
2023-04-09 01:00:00,19,3488015.604471,1
2023-04-09 00:00:00,19,3487018.9628,1
2023-04-08 23:00:00,19,3486899.987108,1
2023-04-08 22:00:00,19,3486876.035216,1
2023-04-08 21:00:00,19,3486817.120377,1
2023-04-08 20:00:00,19,3487059.744042,1
2023-04-08 19:00:00,19,3487032.998174,1
2023-04-08 18:00:00,19,3487032.148939,1
2023-04-08 17:00:00,19,3487008.735636,1
2023-04-08 16:00:00,19,3486975.244938,1
2023-04-08 15:00:00,19,3486966.971066,1
2023-04-08 14:00:00,19,3486944.94699,1
2023-04-08 13:00:00,19,3486542.541868,1
2023-04-08 12:00:00,19,3486485.454338,1
2023-04-08 11:00:00,19,3486219.749932,1
2023-04-08 10:00:00,19,3486118.727736,1
2023-04-08 09:00:00,19,3486024.112716,1
2023-04-08 08:00:00,19,3486021.908547,1
2023-04-08 07:00:00,19,3485982.259688,1
2023-04-08 06:00:00,19,3485923.891243,1
2023-04-08 05:00:00,19,3485903.530641,1
2023-04-08 04:00:00,19,3485841.54526,1
2023-04-08 03:00:00,19,3485838.350162,1
2023-04-08 02:00:00,19,3485266.070135,1
2023-04-08 01:00:00,19,3485208.067715,1
2023-04-08 00:00:00,19,3484352.168823,1
2023-04-07 23:00:00,19,3484139.614928,1
2023-04-07 22:00:00,19,3484068.289929,1
2023-04-07 21:00:00,19,3484066.097965,1
2023-04-07 20:00:00,19,3484054.971188,1
2023-04-07 19:00:00,19,3484134.8102,1
2023-04-07 18:00:00,19,3484709.05141,1
2023-04-07 17:00:00,19,3484653.619067,1
2023-04-07 16:00:00,19,3484538.243153,1
2023-04-07 15:00:00,19,3484504.12721,1
2023-04-07 14:00:00,19,3484500.039577,1
2023-04-07 13:00:00,19,3484250.728789,1
2023-04-07 12:00:00,19,3483904.224397,1
2023-04-07 11:00:00,19,3483876.51282,1
2023-04-07 10:00:00,19,3484755.529672,1
2023-04-07 09:00:00,19,3484447.573469,1
2023-04-07 08:00:00,19,3484095.933054,1
2023-04-07 07:00:00,19,3484052.731601,1
2023-04-07 06:00:00,19,3483871.298529,1
2023-04-07 05:00:00,19,3483846.04375,1
2023-04-07 04:00:00,19,3483831.621626,1
2023-04-07 03:00:00,19,3483114.596978,1
2023-04-07 02:00:00,19,3490218.451415,1
2023-04-07 01:00:00,19,3490098.273869,1
2023-04-07 00:00:00,19,3489573.789809,1
2023-04-06 23:00:00,19,3489569.762863,1
2023-04-06 22:00:00,19,3489567.499407,1
2023-04-06 21:00:00,19,3489596.292966,1
2023-04-06 20:00:00,19,3489562.826702,1
2023-04-06 19:00:00,19,3489566.510422,1
2023-04-06 18:00:00,19,3488903.64974,1
2023-04-06 17:00:00,19,3488850.631268,1
2023-04-06 16:00:00,19,3488828.171998,1
2023-04-06 15:00:00,19,3488481.286056,1
2023-04-06 14:00:00,19,3488380.191264,1
2023-04-06 13:00:00,19,3487937.988647,1
2023-04-06 12:00:00,19,3487402.359238,1
2023-04-06 11:00:00,19,3486569.752752,1
2023-04-06 10:00:00,19,3486546.270888,1
2023-04-06 09:00:00,19,3486555.259055,1
2023-04-06 08:00:00,19,3486028.545122,1
2023-04-06 07:00:00,19,3490896.095097,1
2023-04-06 06:00:00,19,3490881.653782,1
2023-04-06 05:00:00,19,3489806.03314,1
2023-04-06 04:00:00,19,3489403.416157,1
2023-04-06 03:00:00,19,3487333.671039,1
2023-04-06 02:00:00,19,3487330.239827,1
2023-04-06 01:00:00,19,3487280.52499,1
2023-04-06 00:00:00,19,3487039.128285,1
2023-04-05 23:00:00,19,3487076.593954,1
2023-04-05 22:00:00,19,3483144.515914,1
2023-04-05 21:00:00,19,3483086.461074,1
2023-04-05 20:00:00,19,3483056.286807,1
2023-04-05 19:00:00,19,3483271.045222,1
2023-04-05 18:00:00,19,3483022.651824,1
2023-04-05 17:00:00,19,3482997.63485,1
2023-04-05 16:00:00,19,3482988.308955,1
2023-04-05 15:00:00,19,3482916.788864,1
2023-04-05 14:00:00,19,3482824.627512,1
2023-04-05 13:00:00,19,3482627.374811,1
2023-04-05 12:00:00,19,3482598.13275,1
2023-04-05 11:00:00,19,3482398.540256,1
2023-04-05 10:00:00,19,3482883.586765,1
2023-04-05 09:00:00,19,3482700.229211,1
2023-04-05 08:00:00,19,3482781.37578,1
2023-04-05 07:00:00,19,3482451.730704,1
2023-04-05 06:00:00,19,3482484.195746,1
2023-04-05 05:00:00,19,3482427.933674,1
2023-04-05 04:00:00,19,3482399.568731,1
2023-04-05 03:00:00,19,3482354.776794,1
2023-04-05 02:00:00,19,3483984.097884,1
2023-04-05 01:00:00,19,3483841.316162,1
2023-04-05 00:00:00,19,3483828.435235,1
2023-04-04 23:00:00,19,3482649.344793,1
2023-04-04 22:00:00,19,3482211.59417,1
2023-04-04 21:00:00,19,3482174.485698,1
2023-04-04 20:00:00,19,3482077.824226,1
2023-04-04 19:00:00,19,3481972.595285,1
2023-04-04 18:00:00,19,3481887.916563,1
2023-04-04 17:00:00,19,3489300.895198,1
2023-04-04 16:00:00,19,3489251.012076,1
2023-04-04 15:00:00,19,3489244.20442,1
2023-04-04 14:00:00,19,3489389.30034,1
2023-04-04 13:00:00,19,3489363.90034,1
2023-04-04 12:00:00,19,3488267.663824,1
2023-04-04 11:00:00,19,3487390.279613,1
2023-04-04 10:00:00,19,3487369.323661,1
2023-04-04 09:00:00,19,3487371.81638,1
2023-04-04 08:00:00,19,3487345.510332,1
2023-04-04 07:00:00,19,3487344.459871,1
2023-04-04 06:00:00,19,3489886.889744,1
2023-04-04 05:00:00,19,3489883.799005,1
