timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,19,3496357.194328,2.5
2023-04-13 12:00:00,18,3524920.310694,2.5
2023-04-13 00:00:00,17,3558418.501016,2.5
2023-04-12 12:00:00,17,3559432.87591,2.5
2023-04-12 00:00:00,17,3562316.621678,2.5
2023-04-11 12:00:00,17,3556058.528631,2.5
2023-04-11 08:00:00,17,3554283.956726,2.5
2023-04-11 07:00:00,17,3554283.956726,2.5
2023-04-11 06:00:00,17,3554221.199305,2.5
2023-04-11 05:00:00,17,3554196.244798,2.5
2023-04-11 04:00:00,17,3554157.517363,2.5
2023-04-11 03:00:00,17,3554115.403632,2.5
2023-04-11 02:00:00,17,3554196.063931,2.5
2023-04-11 01:00:00,17,3552781.479595,2.5
2023-04-11 00:00:00,17,3552765.845017,2.5
2023-04-10 23:00:00,17,3552773.395083,2.5
2023-04-10 22:00:00,17,3552126.909784,2.5
2023-04-10 21:00:00,17,3552232.520993,2.5
2023-04-10 20:00:00,17,3552224.898095,2.5
2023-04-10 19:00:00,17,3552169.658346,2.5
2023-04-10 18:00:00,17,3551291.260289,2.5
2023-04-10 17:00:00,17,3551638.019036,2.5
2023-04-10 16:00:00,17,3551649.294863,2.5
2023-04-10 15:00:00,17,3552201.122058,2.5
2023-04-10 14:00:00,17,3552049.172058,2.5
2023-04-10 13:00:00,17,3547211.081187,2.5
2023-04-10 12:00:00,17,3547202.422494,2.5
2023-04-10 11:00:00,17,3547108.974734,2.5
2023-04-10 10:00:00,17,3546920.814799,2.5
2023-04-10 09:00:00,17,3546635.001885,2.5
2023-04-10 08:00:00,17,3546602.654599,2.5
2023-04-10 07:00:00,17,3546560.546352,2.5
2023-04-10 06:00:00,17,3546553.997052,2.5
2023-04-10 05:00:00,17,3549301.011072,2.5
2023-04-10 04:00:00,17,3549303.973395,2.5
2023-04-10 03:00:00,17,3551008.083707,2.5
2023-04-10 02:00:00,17,3551005.653327,2.5
2023-04-10 01:00:00,17,3551573.891479,2.5
2023-04-10 00:00:00,17,3551275.159067,2.5
2023-04-09 23:00:00,17,3551126.305225,2.5
2023-04-09 22:00:00,17,3551106.646859,2.5
2023-04-09 21:00:00,17,3551045.884116,2.5
2023-04-09 20:00:00,17,3551003.361985,2.5
2023-04-09 19:00:00,17,3550913.162826,2.5
2023-04-09 18:00:00,17,3550894.521642,2.5
2023-04-09 17:00:00,17,3550534.210478,2.5
2023-04-09 16:00:00,17,3550516.777906,2.5
2023-04-09 15:00:00,17,3550699.141029,2.5
2023-04-09 14:00:00,17,3550811.10757,2.5
2023-04-09 13:00:00,17,3553380.875137,2.5
2023-04-09 12:00:00,17,3553426.054739,2.5
2023-04-09 11:00:00,17,3553420.392754,2.5
2023-04-09 10:00:00,17,3553425.6772,2.5
2023-04-09 09:00:00,17,3553449.807273,2.5
2023-04-09 08:00:00,17,3553462.316155,2.5
2023-04-09 07:00:00,17,3552321.830056,2.5
2023-04-09 06:00:00,17,3552237.313048,2.5
2023-04-09 05:00:00,17,3552229.446989,2.5
2023-04-09 04:00:00,17,3552226.729399,2.5
2023-04-09 03:00:00,17,3552223.556019,2.5
2023-04-09 02:00:00,17,3552220.561334,2.5
2023-04-09 01:00:00,17,3552156.122761,2.5
2023-04-09 00:00:00,17,3552105.533352,2.5
2023-04-08 23:00:00,17,3552134.309734,2.5
2023-04-08 22:00:00,17,3552157.77281,2.5
2023-04-08 21:00:00,17,3552407.390659,2.5
2023-04-08 20:00:00,17,3552444.661315,2.5
2023-04-08 19:00:00,17,3552443.133377,2.5
2023-04-08 18:00:00,17,3552441.92029,2.5
2023-04-08 17:00:00,17,3551950.021313,2.5
2023-04-08 16:00:00,17,3551958.419647,2.5
2023-04-08 15:00:00,17,3551893.673541,2.5
2023-04-08 14:00:00,17,3556984.269412,2.5
2023-04-08 13:00:00,17,3556964.868615,2.5
2023-04-08 12:00:00,17,3557661.817803,2.5
2023-04-08 11:00:00,17,3557042.016881,2.5
2023-04-08 10:00:00,17,3561864.199136,2.5
2023-04-08 09:00:00,17,3561973.805375,2.5
2023-04-08 08:00:00,17,3561704.518379,2.5
2023-04-08 07:00:00,17,3561651.963171,2.5
2023-04-08 06:00:00,17,3561554.586349,2.5
2023-04-08 05:00:00,17,3561507.738023,2.5
2023-04-08 04:00:00,17,3561494.9178,2.5
2023-04-08 03:00:00,17,3561441.720236,2.5
2023-04-08 02:00:00,17,3561345.950236,2.5
2023-04-08 01:00:00,17,3565649.311896,2.5
2023-04-08 00:00:00,17,3565544.835452,2.5
2023-04-07 23:00:00,17,3565542.568029,2.5
2023-04-07 22:00:00,17,3565423.375457,2.5
2023-04-07 21:00:00,17,3565420.87585,2.5
2023-04-07 20:00:00,17,3565292.860968,2.5
2023-04-07 19:00:00,17,3564584.273298,2.5
2023-04-07 18:00:00,17,3564577.260669,2.5
2023-04-07 17:00:00,17,3564151.485247,2.5
2023-04-07 16:00:00,17,3564284.833041,2.5
2023-04-07 15:00:00,17,3564419.903997,2.5
2023-04-07 14:00:00,17,3563330.196083,2.5
2023-04-07 13:00:00,17,3562785.592459,2.5
2023-04-07 12:00:00,17,3562801.407729,2.5
2023-04-07 11:00:00,17,3562818.131633,2.5
2023-04-07 10:00:00,17,3562394.765549,2.5
2023-04-07 09:00:00,17,3561974.599628,2.5
2023-04-07 08:00:00,17,3561041.654966,2.5
2023-04-07 07:00:00,17,3560384.532837,2.5
2023-04-07 06:00:00,17,3560380.367059,2.5
2023-04-07 05:00:00,17,3560326.599255,2.5
2023-04-07 04:00:00,17,3560315.426799,2.5
2023-04-07 03:00:00,17,3560272.598607,2.5
2023-04-07 02:00:00,17,3560288.549739,2.5
2023-04-07 01:00:00,17,3560287.130742,2.5
2023-04-07 00:00:00,17,3560273.487241,2.5
2023-04-06 23:00:00,17,3560219.435808,2.5
2023-04-06 22:00:00,17,3560188.234758,2.5
2023-04-06 21:00:00,17,3560186.613897,2.5
2023-04-06 20:00:00,17,3560206.44034,2.5
2023-04-06 19:00:00,17,3560191.187661,2.5
2023-04-06 18:00:00,17,3560169.067155,2.5
2023-04-06 17:00:00,17,3560294.374231,2.5
2023-04-06 16:00:00,17,3560001.058298,2.5
2023-04-06 15:00:00,17,3559795.822054,2.5
2023-04-06 14:00:00,17,3559534.823032,2.5
2023-04-06 13:00:00,17,3559642.17554,2.5
2023-04-06 12:00:00,17,3559637.298428,2.5
2023-04-06 11:00:00,17,3559148.713802,2.5
2023-04-06 10:00:00,17,3559145.477159,2.5
2023-04-06 09:00:00,17,3559059.907387,2.5
2023-04-06 08:00:00,17,3559036.176737,2.5
2023-04-06 07:00:00,17,3558997.727599,2.5
2023-04-06 06:00:00,17,3558754.044676,2.5
2023-04-06 05:00:00,17,3558637.548167,2.5
2023-04-06 04:00:00,17,3559009.73286,2.5
2023-04-06 03:00:00,17,3558675.636089,2.5
2023-04-06 02:00:00,17,3558674.291923,2.5
2023-04-06 01:00:00,17,3559527.808476,2.5
2023-04-06 00:00:00,17,3559431.377068,2.5
2023-04-05 23:00:00,17,3559388.891183,2.5
2023-04-05 22:00:00,17,3559372.78495,2.5
2023-04-05 21:00:00,17,3559400.948165,2.5
2023-04-05 20:00:00,17,3559392.314305,2.5
2023-04-05 19:00:00,17,3559392.314305,2.5
2023-04-05 18:00:00,17,3559898.014723,2.5
2023-04-05 17:00:00,17,3559952.578305,2.5
2023-04-05 16:00:00,17,3559343.911155,2.5
2023-04-05 15:00:00,17,3559327.809788,2.5
2023-04-05 14:00:00,17,3562103.092781,2.5
2023-04-05 13:00:00,17,3563115.064842,2.5
2023-04-05 12:00:00,17,3562796.039473,2.5
2023-04-05 11:00:00,17,3562591.075551,2.5
2023-04-05 10:00:00,17,3562628.853229,2.5
2023-04-05 09:00:00,17,3561935.707913,2.5
2023-04-05 08:00:00,17,3562166.83655,2.5
2023-04-05 07:00:00,17,3562149.917172,2.5
2023-04-05 06:00:00,17,3562277.653014,2.5
2023-04-05 05:00:00,17,3562234.260867,2.5
2023-04-05 04:00:00,17,3562274.313119,2.5
2023-04-05 03:00:00,17,3563371.445441,2.5
2023-04-05 02:00:00,17,3562850.974111,2.5
2023-04-05 01:00:00,17,3562761.306506,2.5
2023-04-05 00:00:00,17,3562679.085256,2.5
