timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,22,3054319.639544,1
2023-04-13 12:00:00,22,2983606.286671,1
2023-04-13 00:00:00,22,2988322.330364,1
2023-04-12 12:00:00,22,2991967.711605,1
2023-04-12 00:00:00,22,2985089.182826,1
2023-04-11 12:00:00,22,2983854.088971,1
2023-04-11 08:00:00,22,2982375.694962,1
2023-04-11 07:00:00,22,2982363.552243,1
2023-04-11 06:00:00,22,2982880.240267,1
2023-04-11 05:00:00,22,2982928.130545,1
2023-04-11 04:00:00,22,2982921.38005,1
2023-04-11 03:00:00,22,2982916.934885,1
2023-04-11 02:00:00,22,2982886.941036,1
2023-04-11 01:00:00,22,2982736.341512,1
2023-04-11 00:00:00,22,2982711.465225,1
2023-04-10 23:00:00,22,2982699.518048,1
2023-04-10 22:00:00,22,2982687.77995,1
2023-04-10 21:00:00,22,2982554.73948,1
2023-04-10 20:00:00,22,2982515.445347,1
2023-04-10 19:00:00,22,2982459.303715,1
2023-04-10 18:00:00,22,2982327.678386,1
2023-04-10 17:00:00,22,2982189.41225,1
2023-04-10 16:00:00,22,2982180.664649,1
2023-04-10 15:00:00,22,2981205.024919,1
2023-04-10 14:00:00,22,2981148.432064,1
2023-04-10 13:00:00,22,2981055.791452,1
2023-04-10 12:00:00,22,2981029.259533,1
2023-04-10 11:00:00,22,2981026.079806,1
2023-04-10 10:00:00,22,2980919.058247,1
2023-04-10 09:00:00,22,2980985.145014,1
2023-04-10 08:00:00,22,2980909.238547,1
2023-04-10 07:00:00,22,2980877.837181,1
2023-04-10 06:00:00,22,2980873.460683,1
2023-04-10 05:00:00,22,2981678.541629,1
2023-04-10 04:00:00,22,2981410.106055,1
2023-04-10 03:00:00,22,2981406.500487,1
2023-04-10 02:00:00,22,2981377.456095,1
2023-04-10 01:00:00,22,2981368.360422,1
2023-04-10 00:00:00,22,2981297.915884,1
2023-04-09 23:00:00,22,2981282.240668,1
2023-04-09 22:00:00,22,2981253.40647,1
2023-04-09 21:00:00,22,2981111.005036,1
2023-04-09 20:00:00,22,2979558.780053,1
2023-04-09 19:00:00,22,2979566.392405,1
2023-04-09 18:00:00,22,2979203.132987,1
2023-04-09 17:00:00,22,2978655.988985,1
2023-04-09 16:00:00,22,2978657.68798,1
2023-04-09 15:00:00,22,2978636.175175,1
2023-04-09 14:00:00,22,2978633.087463,1
2023-04-09 13:00:00,22,2978258.569745,1
2023-04-09 12:00:00,22,2978174.632859,1
2023-04-09 11:00:00,22,2978240.294383,1
2023-04-09 10:00:00,22,2985896.419395,1
2023-04-09 09:00:00,22,2985815.072584,1
2023-04-09 08:00:00,22,2985696.869348,1
2023-04-09 07:00:00,22,2985557.447209,1
2023-04-09 06:00:00,22,2983732.672142,1
2023-04-09 05:00:00,22,2983724.209887,1
2023-04-09 04:00:00,22,2983408.238619,1
2023-04-09 03:00:00,22,2983404.067636,1
2023-04-09 02:00:00,22,2983353.923444,1
2023-04-09 01:00:00,22,2983344.093686,1
