timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,23,2729712.656669,3
2023-04-13 12:00:00,23,2729131.746648,3
2023-04-13 00:00:00,23,2729380.352764,3
2023-04-12 12:00:00,23,2732098.135076,3
2023-04-12 00:00:00,23,2731907.659402,3
2023-04-11 12:00:00,23,2731878.322906,3
2023-04-11 08:00:00,23,2725347.023505,3
2023-04-11 07:00:00,23,2725347.023505,3
2023-04-11 06:00:00,23,2653667.028001,3
2023-04-11 05:00:00,23,2653676.106994,3
2023-04-11 04:00:00,23,2653676.051283,3
2023-04-11 03:00:00,23,2653654.138326,3
2023-04-11 02:00:00,23,2653635.778326,3
2023-04-11 01:00:00,23,2653672.828325,3
2023-04-11 00:00:00,23,2653716.796416,3
2023-04-10 23:00:00,23,2653716.38851,3
2023-04-10 22:00:00,23,2653704.266661,3
2023-04-10 21:00:00,23,2653698.878063,3
2023-04-10 20:00:00,23,2653694.998055,3
2023-04-10 19:00:00,23,2653694.998055,3
2023-04-10 18:00:00,23,2653683.159469,3
2023-04-10 17:00:00,23,2653674.748028,3
2023-04-10 16:00:00,23,2653677.31101,3
2023-04-10 15:00:00,23,2653684.183014,3
2023-04-10 14:00:00,23,2653705.703013,3
2023-04-10 13:00:00,23,2654716.148576,3
2023-04-10 12:00:00,23,2654699.294764,3
2023-04-10 11:00:00,23,2654688.294764,3
2023-04-10 10:00:00,23,2654675.698917,3
2023-04-10 09:00:00,23,2654672.179675,3
2023-04-10 08:00:00,23,2654662.898164,3
2023-04-10 07:00:00,23,2654581.753381,3
2023-04-10 06:00:00,23,2654581.753381,3
2023-04-10 05:00:00,23,2654565.058454,3
2023-04-10 04:00:00,23,2654565.024116,3
2023-04-10 03:00:00,23,2654587.754116,3
2023-04-10 02:00:00,23,2654575.979988,3
2023-04-10 01:00:00,23,2654575.733348,3
2023-04-10 00:00:00,23,2654565.833348,3
2023-04-09 23:00:00,23,2654564.287584,3
2023-04-09 22:00:00,23,2654560.517423,3
2023-04-09 21:00:00,23,2654459.531946,3
2023-04-09 20:00:00,23,2654459.417205,3
2023-04-09 19:00:00,23,2654427.197008,3
2023-04-09 18:00:00,23,2654427.180357,3
2023-04-09 17:00:00,23,2653909.299536,3
2023-04-09 16:00:00,23,2653908.590572,3
2023-04-09 15:00:00,23,2653898.081336,3
2023-04-09 14:00:00,23,2653897.408807,3
2023-04-09 13:00:00,23,2653897.164652,3
2023-04-09 12:00:00,23,2653876.827721,3
2023-04-09 11:00:00,23,2653874.780931,3
2023-04-09 10:00:00,23,2653874.755541,3
2023-04-09 09:00:00,23,2653866.637893,3
2023-04-09 08:00:00,23,2653866.637893,3
2023-04-09 07:00:00,23,2653866.134081,3
2023-04-09 06:00:00,23,2653864.134081,3
2023-04-09 05:00:00,23,2653863.121657,3
2023-04-09 04:00:00,23,2653858.606782,3
2023-04-09 03:00:00,23,2653858.606782,3
2023-04-09 02:00:00,23,2653826.544441,3
2023-04-09 01:00:00,23,2653816.209853,3
2023-04-09 00:00:00,23,2653813.829853,3
2023-04-08 23:00:00,23,2653834.633622,3
2023-04-08 22:00:00,23,2653834.146481,3
2023-04-08 21:00:00,23,2653828.810516,3
2023-04-08 20:00:00,23,2653828.905516,3
2023-04-08 19:00:00,23,2653828.274376,3
2023-04-08 18:00:00,23,2653823.53794,3
2023-04-08 17:00:00,23,2653822.834361,3
2023-04-08 16:00:00,23,2653788.647598,3
2023-04-08 15:00:00,23,2653787.586522,3
2023-04-08 14:00:00,23,2653746.060378,3
2023-04-08 13:00:00,23,2653745.223469,3
2023-04-08 12:00:00,23,2653731.515446,3
2023-04-08 11:00:00,23,2653731.498708,3
2023-04-08 10:00:00,23,2653731.264565,3
2023-04-08 09:00:00,23,2653730.864565,3
2023-04-08 08:00:00,23,2653746.904449,3
2023-04-08 07:00:00,23,2653734.601037,3
2023-04-08 06:00:00,23,2653607.028713,3
2023-04-08 05:00:00,23,2653597.809074,3
2023-04-08 04:00:00,23,2653597.557356,3
2023-04-08 03:00:00,23,2653597.468633,3
2023-04-08 02:00:00,23,2653597.468633,3
2023-04-08 01:00:00,23,2653597.468633,3
2023-04-08 00:00:00,23,2653595.929181,3
2023-04-07 23:00:00,23,2653607.684757,3
2023-04-07 22:00:00,23,2653607.226761,3
2023-04-07 21:00:00,23,2653607.226761,3
2023-04-07 20:00:00,23,2653703.576323,3
2023-04-07 19:00:00,23,2653675.133775,3
2023-04-07 18:00:00,23,2653675.133775,3
2023-04-07 17:00:00,23,2653671.05526,3
2023-04-07 16:00:00,23,2653668.517436,3
2023-04-07 15:00:00,23,2653667.673714,3
2023-04-07 14:00:00,23,2653679.554899,3
2023-04-07 13:00:00,23,2653625.312756,3
2023-04-07 12:00:00,23,2653666.236659,3
2023-04-07 11:00:00,23,2653663.236659,3
2023-04-07 10:00:00,23,2653772.920084,3
2023-04-07 09:00:00,23,2653772.920084,3
2023-04-07 08:00:00,23,2652837.360084,3
2023-04-07 07:00:00,23,2652738.956969,3
2023-04-07 06:00:00,23,2652738.816969,3
2023-04-07 05:00:00,23,2652738.816969,3
2023-04-07 04:00:00,23,2652735.509102,3
2023-04-07 03:00:00,23,2652735.491632,3
2023-04-07 02:00:00,23,2652757.906924,3
2023-04-07 01:00:00,23,2653311.724283,3
2023-04-07 00:00:00,23,2653310.056972,3
