timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,26,2361227.673357,12.5
2023-04-13 12:00:00,26,2361387.106928,12.5
2023-04-13 00:00:00,26,2361344.590608,12.5
2023-04-12 12:00:00,26,2361328.649374,12.5
2023-04-12 00:00:00,26,2361335.41039,12.5
2023-04-11 12:00:00,26,2361962.655158,12.5
2023-04-11 08:00:00,26,2361945.713765,12.5
2023-04-11 07:00:00,26,2361945.713765,12.5
2023-04-11 06:00:00,26,2361945.713765,12.5
2023-04-11 05:00:00,26,2361945.562758,12.5
2023-04-11 04:00:00,26,2361945.562758,12.5
2023-04-11 03:00:00,26,2361942.481776,12.5
2023-04-11 02:00:00,26,2361942.481776,12.5
2023-04-11 01:00:00,26,2362011.481776,12.5
2023-04-11 00:00:00,26,2362011.481776,12.5
2023-04-10 23:00:00,26,2362011.481776,12.5
2023-04-10 22:00:00,26,2362011.481776,12.5
2023-04-10 21:00:00,26,2362011.47012,12.5
2023-04-10 20:00:00,26,2362012.283485,12.5
2023-04-10 19:00:00,26,2362012.283485,12.5
2023-04-10 18:00:00,26,2362012.279903,12.5
2023-04-10 17:00:00,26,2362012.279903,12.5
2023-04-10 16:00:00,26,2362011.830839,12.5
2023-04-10 15:00:00,26,2362011.830288,12.5
2023-04-10 14:00:00,26,2362011.830288,12.5
2023-04-10 13:00:00,26,2361981.71831,12.5
2023-04-10 12:00:00,26,2361981.632104,12.5
2023-04-10 11:00:00,26,2361981.702104,12.5
2023-04-10 10:00:00,26,2361981.129528,12.5
2023-04-10 09:00:00,26,2361981.129528,12.5
2023-04-10 08:00:00,26,2361981.126753,12.5
2023-04-10 07:00:00,26,2361981.124274,12.5
2023-04-10 06:00:00,26,2361981.124274,12.5
2023-04-10 05:00:00,26,2361981.124274,12.5
2023-04-10 04:00:00,26,2361981.124274,12.5
2023-04-10 03:00:00,26,2361979.882212,12.5
2023-04-10 02:00:00,26,2361979.882212,12.5
