timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,27,2273190.587482,3
2023-04-13 12:00:00,27,2273061.604441,3
2023-04-13 00:00:00,27,2272062.212567,3
2023-04-12 12:00:00,27,2271867.094617,3
2023-04-12 00:00:00,27,2271829.716257,3
2023-04-11 12:00:00,27,2271519.844596,3
2023-04-11 08:00:00,27,2271501.410623,3
2023-04-11 07:00:00,27,2271501.410623,3
2023-04-11 06:00:00,27,2271531.524467,3
2023-04-11 05:00:00,27,2271531.133466,3
2023-04-11 04:00:00,27,2271531.133466,3
2023-04-11 03:00:00,27,2271529.660447,3
2023-04-11 02:00:00,27,2271524.160447,3
2023-04-11 01:00:00,27,2271524.160447,3
2023-04-11 00:00:00,27,2271524.061962,3
2023-04-10 23:00:00,27,2271524.061962,3
2023-04-10 22:00:00,27,2271519.989854,3
2023-04-10 21:00:00,27,2271519.565627,3
2023-04-10 20:00:00,27,2271514.288104,3
2023-04-10 19:00:00,27,2271514.288104,3
2023-04-10 18:00:00,27,2271513.882344,3
2023-04-10 17:00:00,27,2271513.479657,3
2023-04-10 16:00:00,27,2271499.020003,3
2023-04-10 15:00:00,27,2271499.019452,3
2023-04-10 14:00:00,27,2271499.019452,3
2023-04-10 13:00:00,27,2271455.769092,3
2023-04-10 12:00:00,27,2271455.769092,3
2023-04-10 11:00:00,27,2271474.868551,3
2023-04-10 10:00:00,27,2271474.868551,3
2023-04-10 09:00:00,27,2271474.846285,3
2023-04-10 08:00:00,27,2271473.389701,3
2023-04-10 07:00:00,27,2271473.037222,3
2023-04-10 06:00:00,27,2271473.037222,3
2023-04-10 05:00:00,27,2271473.037222,3
2023-04-10 04:00:00,27,2271472.037222,3
2023-04-10 03:00:00,27,2271472.037222,3
2023-04-10 02:00:00,27,2271471.037222,3
2023-04-10 01:00:00,27,2271469.037222,3
2023-04-10 00:00:00,27,2271468.901548,3
2023-04-09 23:00:00,27,2271468.820357,3
2023-04-09 22:00:00,27,2271457.4057,3
2023-04-09 21:00:00,27,2271467.723972,3
2023-04-09 20:00:00,27,2271467.723972,3
2023-04-09 19:00:00,27,2271467.712603,3
2023-04-09 18:00:00,27,2271467.317852,3
2023-04-09 17:00:00,27,2271467.033394,3
2023-04-09 16:00:00,27,2271473.963393,3
2023-04-09 15:00:00,27,2271473.787691,3
2023-04-09 14:00:00,27,2271473.542268,3
2023-04-09 13:00:00,27,2271473.542268,3
2023-04-09 12:00:00,27,2271472.205578,3
2023-04-09 11:00:00,27,2271470.281012,3
2023-04-09 10:00:00,27,2271470.255623,3
2023-04-09 09:00:00,27,2271470.10306,3
2023-04-09 08:00:00,27,2271457.977917,3
2023-04-09 07:00:00,27,2271457.064105,3
2023-04-09 06:00:00,27,2271457.064105,3
2023-04-09 05:00:00,27,2271457.051681,3
2023-04-09 04:00:00,27,2271455.99588,3
2023-04-09 03:00:00,27,2271455.165225,3
2023-04-09 02:00:00,27,2271455.132443,3
2023-04-09 01:00:00,27,2271447.022309,3
2023-04-09 00:00:00,27,2271445.592037,3
2023-04-08 23:00:00,27,2271445.589247,3
2023-04-08 22:00:00,27,2271440.589247,3
2023-04-08 21:00:00,27,2271440.37974,3
2023-04-08 20:00:00,27,2271440.46974,3
2023-04-08 19:00:00,27,2271340.636214,3
2023-04-08 18:00:00,27,2271340.621456,3
2023-04-08 17:00:00,27,2271338.274116,3
2023-04-08 16:00:00,27,2271337.961141,3
2023-04-08 15:00:00,27,2271334.626137,3
2023-04-08 14:00:00,27,2271331.226137,3
2023-04-08 13:00:00,27,2271329.389259,3
2023-04-08 12:00:00,27,2271326.88368,3
2023-04-08 11:00:00,27,2271326.866943,3
2023-04-08 10:00:00,27,2271319.210158,3
2023-04-08 09:00:00,27,2271318.871045,3
2023-04-08 08:00:00,27,2271318.720843,3
2023-04-08 07:00:00,27,2271316.701672,3
2023-04-08 06:00:00,27,2271588.679348,3
2023-04-08 05:00:00,27,2271575.63979,3
2023-04-08 04:00:00,27,2271575.63979,3
2023-04-08 03:00:00,27,2271574.939789,3
2023-04-08 02:00:00,27,2271569.939789,3
2023-04-08 01:00:00,27,2271569.939789,3
2023-04-08 00:00:00,27,2271569.939789,3
2023-04-07 23:00:00,27,2271569.865644,3
2023-04-07 22:00:00,27,2271563.740488,3
2023-04-07 21:00:00,27,2271562.040488,3
2023-04-07 20:00:00,27,2271562.040488,3
2023-04-07 19:00:00,27,2271562.040488,3
2023-04-07 18:00:00,27,2271561.772588,3
2023-04-07 17:00:00,27,2271567.270129,3
2023-04-07 16:00:00,27,2271549.238704,3
2023-04-07 15:00:00,27,2271546.917813,3
2023-04-07 14:00:00,27,2271544.634425,3
2023-04-07 13:00:00,27,2271544.634425,3
2023-04-07 12:00:00,27,2271544.634425,3
2023-04-07 11:00:00,27,2271544.634425,3
2023-04-07 10:00:00,27,2271544.634425,3
2023-04-07 09:00:00,27,2271538.004759,3
2023-04-07 08:00:00,27,2271534.714759,3
2023-04-07 07:00:00,27,2271504.714759,3
2023-04-07 06:00:00,27,2271503.914759,3
2023-04-07 05:00:00,27,2271503.914759,3
2023-04-07 04:00:00,27,2271503.914759,3
2023-04-07 03:00:00,27,2271503.897295,3
