timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,28,2134591.176454,1
2023-04-13 12:00:00,28,2123335.02903,1
2023-04-13 00:00:00,28,2112537.587438,1
2023-04-12 12:00:00,28,2100827.730654,1
2023-04-12 00:00:00,28,2094362.597532,1
2023-04-11 12:00:00,28,2093352.692245,1
2023-04-11 08:00:00,28,2092542.22299,1
2023-04-11 07:00:00,28,2092530.080271,1
2023-04-11 06:00:00,28,2092564.153534,1
2023-04-11 05:00:00,28,2092520.36308,1
2023-04-11 04:00:00,28,2092460.870333,1
2023-04-11 03:00:00,28,2092401.336147,1
2023-04-11 02:00:00,28,2092345.160565,1
2023-04-11 01:00:00,28,2092274.899871,1
2023-04-11 00:00:00,28,2092235.318578,1
2023-04-10 23:00:00,28,2092222.871232,1
2023-04-10 22:00:00,28,2092204.205014,1
2023-04-10 21:00:00,28,2092052.719758,1
2023-04-10 20:00:00,28,2091981.114085,1
2023-04-10 19:00:00,28,2093254.236419,1
2023-04-10 18:00:00,28,2086776.922336,1
2023-04-10 17:00:00,28,2085665.376016,1
2023-04-10 16:00:00,28,2085504.53104,1
2023-04-10 15:00:00,28,2085171.119831,1
2023-04-10 14:00:00,28,2085134.304793,1
2023-04-10 13:00:00,28,2084999.054989,1
2023-04-10 12:00:00,28,2084890.96352,1
2023-04-10 11:00:00,28,2084746.062931,1
2023-04-10 10:00:00,28,2084737.078401,1
2023-04-10 09:00:00,28,2084667.118005,1
2023-04-10 08:00:00,28,2084287.833177,1
2023-04-10 07:00:00,28,2084188.220718,1
2023-04-10 06:00:00,28,2084187.836942,1
2023-04-10 05:00:00,28,2083327.740628,1
2023-04-10 04:00:00,28,2082904.173392,1
2023-04-10 03:00:00,28,2082849.806928,1
2023-04-10 02:00:00,28,2082837.678416,1
2023-04-10 01:00:00,28,2082611.178646,1
2023-04-10 00:00:00,28,2082288.54099,1
2023-04-09 23:00:00,28,2082231.181977,1
2023-04-09 22:00:00,28,2082045.141523,1
2023-04-09 21:00:00,28,2082032.415311,1
2023-04-09 20:00:00,28,2082052.418668,1
2023-04-09 19:00:00,28,2081952.617364,1
2023-04-09 18:00:00,28,2082966.993342,1
2023-04-09 17:00:00,28,2082305.370054,1
2023-04-09 16:00:00,28,2081630.231152,1
2023-04-09 15:00:00,28,2081576.54044,1
2023-04-09 14:00:00,28,2081594.217593,1
2023-04-09 13:00:00,28,2081551.430914,1
2023-04-09 12:00:00,28,2081516.051546,1
2023-04-09 11:00:00,28,2081386.109436,1
2023-04-09 10:00:00,28,2081247.741527,1
2023-04-09 09:00:00,28,2081235.711469,1
2023-04-09 08:00:00,28,2081218.630032,1
2023-04-09 07:00:00,28,2081105.919959,1
2023-04-09 06:00:00,28,2080988.885043,1
2023-04-09 05:00:00,28,2080890.433048,1
2023-04-09 04:00:00,28,2080838.1039,1
2023-04-09 03:00:00,28,2080834.779931,1
2023-04-09 02:00:00,28,2080886.865063,1
2023-04-09 01:00:00,28,2080881.396902,1
2023-04-09 00:00:00,28,2081057.611536,1
2023-04-08 23:00:00,28,2081294.438406,1
2023-04-08 22:00:00,28,2080151.765645,1
2023-04-08 21:00:00,28,2080333.65312,1
2023-04-08 20:00:00,28,2080039.273498,1
2023-04-08 19:00:00,28,2080026.292267,1
2023-04-08 18:00:00,28,2080118.380647,1
2023-04-08 17:00:00,28,2080032.527765,1
2023-04-08 16:00:00,28,2080006.489064,1
2023-04-08 15:00:00,28,2079974.717423,1
2023-04-08 14:00:00,28,2080018.893786,1
2023-04-08 13:00:00,28,2079521.586253,1
2023-04-08 12:00:00,28,2079385.958566,1
2023-04-08 11:00:00,28,2081379.960122,1
2023-04-08 10:00:00,28,2081212.848952,1
2023-04-08 09:00:00,28,2080984.377037,1
2023-04-08 08:00:00,28,2080102.90427,1
2023-04-08 07:00:00,28,2080131.846425,1
2023-04-08 06:00:00,28,2079003.053769,1
2023-04-08 05:00:00,28,2078999.7989,1
2023-04-08 04:00:00,28,2078977.026869,1
2023-04-08 03:00:00,28,2078974.115168,1
2023-04-08 02:00:00,28,2078450.706131,1
2023-04-08 01:00:00,28,2077550.032867,1
2023-04-08 00:00:00,28,2077479.584533,1
2023-04-07 23:00:00,28,2077426.570025,1
2023-04-07 22:00:00,28,2077408.66798,1
2023-04-07 21:00:00,28,2077363.957912,1
2023-04-07 20:00:00,28,2077375.129707,1
2023-04-07 19:00:00,28,2077076.909143,1
2023-04-07 18:00:00,28,2077041.861731,1
2023-04-07 17:00:00,28,2077035.080871,1
2023-04-07 16:00:00,28,2076903.645355,1
2023-04-07 15:00:00,28,2076893.33299,1
2023-04-07 14:00:00,28,2076838.268674,1
2023-04-07 13:00:00,28,2076755.820208,1
2023-04-07 12:00:00,28,2076927.311719,1
2023-04-07 11:00:00,28,2076926.420239,1
2023-04-07 10:00:00,28,2076729.520726,1
2023-04-07 09:00:00,28,2076712.375472,1
2023-04-07 08:00:00,28,2076688.202053,1
2023-04-07 07:00:00,28,2076468.17874,1
2023-04-07 06:00:00,28,2076460.307932,1
2023-04-07 05:00:00,28,2076449.7373,1
2023-04-07 04:00:00,28,2076417.482475,1
2023-04-07 03:00:00,28,2076255.312135,1
2023-04-07 02:00:00,28,2076265.035857,1
2023-04-07 01:00:00,28,2075505.566471,1
2023-04-07 00:00:00,28,2075335.381949,1
2023-04-06 23:00:00,28,2075202.73658,1
2023-04-06 22:00:00,28,2075153.539532,1
2023-04-06 21:00:00,28,2075559.258376,1
2023-04-06 20:00:00,28,2075572.654103,1
2023-04-06 19:00:00,28,2075467.649656,1
2023-04-06 18:00:00,28,2073875.478097,1
2023-04-06 17:00:00,28,2073814.93056,1
2023-04-06 16:00:00,28,2074964.815584,1
2023-04-06 15:00:00,28,2069909.244842,1
2023-04-06 14:00:00,28,2069752.272276,1
2023-04-06 13:00:00,28,2069741.783087,1
2023-04-06 12:00:00,28,2069424.38872,1
2023-04-06 11:00:00,28,2069346.618199,1
2023-04-06 10:00:00,28,2069294.626148,1
2023-04-06 09:00:00,28,2069282.394775,1
2023-04-06 08:00:00,28,2069253.650273,1
2023-04-06 07:00:00,28,2069245.170318,1
2023-04-06 06:00:00,28,2069339.395215,1
2023-04-06 05:00:00,28,2069292.946269,1
2023-04-06 04:00:00,28,2069127.60055,1
2023-04-06 03:00:00,28,2069680.90366,1
2023-04-06 02:00:00,28,2069625.276553,1
2023-04-06 01:00:00,28,2069578.18104,1
2023-04-06 00:00:00,28,2069557.455471,1
2023-04-05 23:00:00,28,2069562.237425,1
2023-04-05 22:00:00,28,2069555.787364,1
2023-04-05 21:00:00,28,2069370.403687,1
2023-04-05 20:00:00,28,2069238.317526,1
2023-04-05 19:00:00,28,2069234.971402,1
2023-04-05 18:00:00,28,2069108.009028,1
2023-04-05 17:00:00,28,2068715.054514,1
2023-04-05 16:00:00,28,2068684.282088,1
2023-04-05 15:00:00,28,2068668.985518,1
2023-04-05 14:00:00,28,2070008.357435,1
2023-04-05 13:00:00,28,2069341.625085,1
2023-04-05 12:00:00,28,2069304.364561,1
2023-04-05 11:00:00,28,2069282.638783,1
2023-04-05 10:00:00,28,2069273.160369,1
2023-04-05 09:00:00,28,2069255.09327,1
2023-04-05 08:00:00,28,2069010.707101,1
2023-04-05 07:00:00,28,2068948.064589,1
2023-04-05 06:00:00,28,2068861.966991,1
2023-04-05 05:00:00,28,2067958.623086,1
2023-04-05 04:00:00,28,2067892.233667,1
2023-04-05 03:00:00,28,2067883.190805,1
2023-04-05 02:00:00,28,2067878.449892,1
2023-04-05 01:00:00,28,2067768.820307,1
2023-04-05 00:00:00,28,2067722.853795,1
2023-04-04 23:00:00,28,2067729.085276,1
2023-04-04 22:00:00,28,2067909.842113,1
2023-04-04 21:00:00,28,2067729.148057,1
2023-04-04 20:00:00,28,2067724.492578,1
2023-04-04 19:00:00,28,2067590.067459,1
2023-04-04 18:00:00,28,2067409.850942,1
2023-04-04 17:00:00,28,2067392.621165,1
2023-04-04 16:00:00,28,2067107.171175,1
2023-04-04 15:00:00,28,2067038.318159,1
2023-04-04 14:00:00,28,2066874.596385,1
2023-04-04 13:00:00,28,2066868.867354,1
2023-04-04 12:00:00,28,2066625.607324,1
2023-04-04 11:00:00,28,2066607.891661,1
2023-04-04 10:00:00,28,2066951.723078,1
2023-04-04 09:00:00,28,2066941.284257,1
2023-04-04 08:00:00,28,2066945.910304,1
2023-04-04 07:00:00,28,2070542.132177,1
2023-04-04 06:00:00,28,2074594.233831,1
2023-04-04 05:00:00,28,2074478.166218,1
2023-04-04 04:00:00,28,2074437.566742,1
2023-04-04 03:00:00,28,2074317.066637,1
2023-04-04 02:00:00,28,2074298.507321,1
2023-04-04 01:00:00,28,2074293.249724,1
