timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,2,14978884.882835,1.9
2023-04-13 12:00:00,2,14989806.222651,1.9
2023-04-13 00:00:00,2,14985479.178767,1.9
2023-04-12 12:00:00,2,14985791.469381,1.9
2023-04-12 00:00:00,2,14976537.606989,1.9
2023-04-11 12:00:00,2,14964460.399831,1.9
2023-04-11 08:00:00,2,14938098.634134,1.9
2023-04-11 07:00:00,2,14938028.611445,1.9
2023-04-11 06:00:00,2,14938172.716597,1.9
2023-04-11 05:00:00,2,14938198.60379,1.9
2023-04-11 04:00:00,2,14937232.641394,1.9
2023-04-11 03:00:00,2,14936283.006043,1.9
2023-04-11 02:00:00,2,14936036.759437,1.9
2023-04-11 01:00:00,2,14935974.622981,1.9
2023-04-11 00:00:00,2,14935056.104197,1.9
2023-04-10 23:00:00,2,14934998.11718,1.9
2023-04-10 22:00:00,2,14934684.06805,1.9
2023-04-10 21:00:00,2,14933959.177657,1.9
2023-04-10 20:00:00,2,14937196.308289,1.9
2023-04-10 19:00:00,2,14937096.715274,1.9
2023-04-10 18:00:00,2,14938831.150736,1.9
2023-04-10 17:00:00,2,14939064.84544,1.9
2023-04-10 16:00:00,2,14938043.08986,1.9
2023-04-10 15:00:00,2,14936241.285235,1.9
2023-04-10 14:00:00,2,14936215.0558,1.9
2023-04-10 13:00:00,2,14936144.272992,1.9
2023-04-10 12:00:00,2,14935935.287715,1.9
2023-04-10 11:00:00,2,14936014.786927,1.9
2023-04-10 10:00:00,2,14934178.590897,1.9
2023-04-10 09:00:00,2,14933803.557419,1.9
2023-04-10 08:00:00,2,14933494.343444,1.9
2023-04-10 07:00:00,2,14938470.998984,1.9
2023-04-10 06:00:00,2,14938507.113507,1.9
2023-04-10 05:00:00,2,14938241.717643,1.9
2023-04-10 04:00:00,2,14938025.330486,1.9
2023-04-10 03:00:00,2,14937456.757009,1.9
2023-04-10 02:00:00,2,14936556.339705,1.9
2023-04-10 01:00:00,2,14936493.555576,1.9
2023-04-10 00:00:00,2,14936429.07123,1.9
2023-04-09 23:00:00,2,14936246.750892,1.9
2023-04-09 22:00:00,2,14936187.621079,1.9
2023-04-09 21:00:00,2,14936174.792728,1.9
2023-04-09 20:00:00,2,14935963.228561,1.9
2023-04-09 19:00:00,2,14935250.098104,1.9
2023-04-09 18:00:00,2,14935320.084731,1.9
2023-04-09 17:00:00,2,14933405.456161,1.9
2023-04-09 16:00:00,2,14931742.82757,1.9
2023-04-09 15:00:00,2,14931558.171357,1.9
2023-04-09 14:00:00,2,14931029.46667,1.9
2023-04-09 13:00:00,2,14930583.328585,1.9
2023-04-09 12:00:00,2,14929497.574848,1.9
2023-04-09 11:00:00,2,14929303.799174,1.9
2023-04-09 10:00:00,2,14929159.36421,1.9
2023-04-09 09:00:00,2,14929546.412235,1.9
2023-04-09 08:00:00,2,14929302.215369,1.9
2023-04-09 07:00:00,2,14928969.779633,1.9
2023-04-09 06:00:00,2,14928888.440417,1.9
2023-04-09 05:00:00,2,14929124.978515,1.9
2023-04-09 04:00:00,2,14928744.718343,1.9
