timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,30,1983555.810089,6.1
2023-04-13 12:00:00,30,1983555.012516,6.1
2023-04-13 00:00:00,30,1983653.810375,6.1
2023-04-12 12:00:00,30,1983513.79973,6.1
2023-04-12 00:00:00,30,1983511.959373,6.1
2023-04-11 12:00:00,29,1983282.504374,6.1
2023-04-11 08:00:00,29,1983281.754756,6.1
2023-04-11 07:00:00,29,1983281.754756,6.1
2023-04-11 06:00:00,29,1983281.754756,6.1
2023-04-11 05:00:00,29,1983281.603755,6.1
2023-04-11 04:00:00,29,1983281.603755,6.1
2023-04-11 03:00:00,29,1983281.603755,6.1
2023-04-11 02:00:00,29,1983281.603755,6.1
2023-04-11 01:00:00,29,1983281.603755,6.1
2023-04-11 00:00:00,29,1983281.603755,6.1
2023-04-10 23:00:00,29,1983281.603755,6.1
2023-04-10 22:00:00,29,1983281.603755,6.1
2023-04-10 21:00:00,29,1983281.592099,6.1
2023-04-10 20:00:00,29,1983281.314576,6.1
2023-04-10 19:00:00,29,1983331.010425,6.1
2023-04-10 18:00:00,29,1983331.010425,6.1
2023-04-10 17:00:00,29,1983331.008971,6.1
2023-04-10 16:00:00,29,1983331.008916,6.1
2023-04-10 15:00:00,29,1983331.008365,6.1
2023-04-10 14:00:00,29,1983331.008365,6.1
2023-04-10 13:00:00,29,1983330.400042,6.1
2023-04-10 12:00:00,29,1983330.400042,6.1
2023-04-10 11:00:00,29,1983330.400042,6.1
2023-04-10 10:00:00,29,1983330.400042,6.1
2023-04-10 09:00:00,29,1983330.400042,6.1
2023-04-10 08:00:00,29,1983330.397267,6.1
2023-04-10 07:00:00,29,1983330.394788,6.1
2023-04-10 06:00:00,29,1983330.394788,6.1
2023-04-10 05:00:00,29,1983330.394788,6.1
2023-04-10 04:00:00,29,1983330.394788,6.1
2023-04-10 03:00:00,29,1983330.394788,6.1
2023-04-10 02:00:00,29,1983330.394788,6.1
2023-04-10 01:00:00,29,1983330.394788,6.1
2023-04-10 00:00:00,29,1983330.394788,6.1
2023-04-09 23:00:00,29,1983330.394788,6.1
2023-04-09 22:00:00,29,1983330.380912,6.1
2023-04-09 21:00:00,29,1983329.580507,6.1
2023-04-09 20:00:00,29,1983329.580507,6.1
2023-04-09 19:00:00,29,1983328.569138,6.1
2023-04-09 18:00:00,29,1983328.322487,6.1
2023-04-09 17:00:00,29,1983328.321072,6.1
2023-04-09 16:00:00,29,1983328.321072,6.1
2023-04-09 15:00:00,29,1983328.320962,6.1
2023-04-09 14:00:00,29,1983328.320957,6.1
2023-04-09 13:00:00,29,1983328.320957,6.1
2023-04-09 12:00:00,29,1983328.320957,6.1
