timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,31,1856394.641999,7.5
2023-04-13 12:00:00,31,1854359.559068,7.5
2023-04-13 00:00:00,31,1852354.018134,7.5
2023-04-12 12:00:00,31,1846558.908191,7.5
2023-04-12 00:00:00,31,1846318.954955,7.5
2023-04-11 12:00:00,31,1849636.779013,7.5
2023-04-11 08:00:00,31,1846828.561707,7.5
2023-04-11 07:00:00,31,1846828.561707,7.5
2023-04-11 06:00:00,31,1846566.079143,7.5
2023-04-11 05:00:00,31,1846498.933366,7.5
2023-04-11 04:00:00,31,1851563.403123,7.5
2023-04-11 03:00:00,31,1851443.399753,7.5
2023-04-11 02:00:00,31,1851328.770211,7.5
2023-04-11 01:00:00,31,1851301.336361,7.5
2023-04-11 00:00:00,31,1850638.335147,7.5
2023-04-10 23:00:00,31,1850607.685636,7.5
2023-04-10 22:00:00,31,1850134.948002,7.5
2023-04-10 21:00:00,31,1849992.157255,7.5
2023-04-10 20:00:00,31,1853829.042452,7.5
2023-04-10 19:00:00,31,1854429.149464,7.5
2023-04-10 18:00:00,31,1853550.579822,7.5
2023-04-10 17:00:00,31,1853113.575814,7.5
2023-04-10 16:00:00,31,1851540.913267,7.5
2023-04-10 15:00:00,31,1850918.165293,7.5
2023-04-10 14:00:00,31,1850917.165293,7.5
2023-04-10 13:00:00,31,1850004.988094,7.5
2023-04-10 12:00:00,31,1849787.52146,7.5
2023-04-10 11:00:00,31,1849619.416342,7.5
2023-04-10 10:00:00,31,1849599.205234,7.5
2023-04-10 09:00:00,31,1849532.654879,7.5
2023-04-10 08:00:00,31,1849461.345346,7.5
2023-04-10 07:00:00,31,1849435.916438,7.5
2023-04-10 06:00:00,31,1849423.666274,7.5
2023-04-10 05:00:00,31,1849741.444471,7.5
2023-04-10 04:00:00,31,1849568.179233,7.5
2023-04-10 03:00:00,31,1849534.872327,7.5
2023-04-10 02:00:00,31,1849793.210479,7.5
2023-04-10 01:00:00,31,1849598.133432,7.5
2023-04-10 00:00:00,31,1849139.144818,7.5
2023-04-09 23:00:00,31,1848332.290232,7.5
2023-04-09 22:00:00,31,1847000.030506,7.5
2023-04-09 21:00:00,31,1846888.746772,7.5
2023-04-09 20:00:00,31,1846352.521147,7.5
2023-04-09 19:00:00,31,1846286.108446,7.5
2023-04-09 18:00:00,31,1846270.946218,7.5
2023-04-09 17:00:00,31,1845946.24169,7.5
2023-04-09 16:00:00,31,1845751.840881,7.5
2023-04-09 15:00:00,31,1845396.626291,7.5
2023-04-09 14:00:00,31,1845763.797277,7.5
2023-04-09 13:00:00,31,1845507.062571,7.5
2023-04-09 12:00:00,31,1845349.824055,7.5
2023-04-09 11:00:00,31,1845060.034809,7.5
2023-04-09 10:00:00,31,1844865.071442,7.5
2023-04-09 09:00:00,31,1844284.988384,7.5
2023-04-09 08:00:00,31,1844268.601115,7.5
2023-04-09 07:00:00,31,1844035.720402,7.5
2023-04-09 06:00:00,31,1843897.231586,7.5
2023-04-09 05:00:00,31,1843941.126809,7.5
2023-04-09 04:00:00,31,1843929.267433,7.5
2023-04-09 03:00:00,31,1843944.823913,7.5
2023-04-09 02:00:00,31,1843888.410727,7.5
2023-04-09 01:00:00,31,1843854.050947,7.5
2023-04-09 00:00:00,31,1843548.05375,7.5
2023-04-08 23:00:00,31,1843371.204578,7.5
2023-04-08 22:00:00,31,1843102.098495,7.5
2023-04-08 21:00:00,31,1842850.301898,7.5
2023-04-08 20:00:00,31,1842583.451156,7.5
2023-04-08 19:00:00,31,1842599.142323,7.5
2023-04-08 18:00:00,31,1841923.199289,7.5
2023-04-08 17:00:00,31,1841831.064639,7.5
2023-04-08 16:00:00,31,1841767.772413,7.5
2023-04-08 15:00:00,31,1841553.327467,7.5
2023-04-08 14:00:00,31,1841670.178915,7.5
2023-04-08 13:00:00,31,1841687.055725,7.5
2023-04-08 12:00:00,31,1841361.458848,7.5
2023-04-08 11:00:00,31,1841109.336691,7.5
2023-04-08 10:00:00,31,1840800.877459,7.5
2023-04-08 09:00:00,31,1840070.102241,7.5
2023-04-08 08:00:00,31,1840010.516701,7.5
2023-04-08 07:00:00,31,1839720.779131,7.5
2023-04-08 06:00:00,31,1839578.306264,7.5
2023-04-08 05:00:00,31,1839557.495226,7.5
2023-04-08 04:00:00,31,1839062.616081,7.5
2023-04-08 03:00:00,31,1839046.2362,7.5
2023-04-08 02:00:00,31,1838723.897394,7.5
2023-04-08 01:00:00,31,1838569.172312,7.5
2023-04-08 00:00:00,31,1838380.847628,7.5
2023-04-07 23:00:00,31,1838176.942313,7.5
2023-04-07 22:00:00,31,1838100.365883,7.5
2023-04-07 21:00:00,31,1837941.417013,7.5
2023-04-07 20:00:00,31,1837645.129323,7.5
2023-04-07 19:00:00,31,1837414.082573,7.5
2023-04-07 18:00:00,31,1837340.662189,7.5
2023-04-07 17:00:00,31,1837162.989274,7.5
2023-04-07 16:00:00,31,1837036.007523,7.5
2023-04-07 15:00:00,31,1836972.299914,7.5
2023-04-07 14:00:00,31,1836588.818192,7.5
2023-04-07 13:00:00,31,1836493.400062,7.5
2023-04-07 12:00:00,31,1836328.730567,7.5
2023-04-07 11:00:00,31,1836320.701604,7.5
2023-04-07 10:00:00,31,1836127.289692,7.5
2023-04-07 09:00:00,31,1835602.678803,7.5
2023-04-07 08:00:00,31,1835522.231803,7.5
2023-04-07 07:00:00,31,1834648.771239,7.5
2023-04-07 06:00:00,31,1834754.233686,7.5
2023-04-07 05:00:00,31,1834685.79637,7.5
2023-04-07 04:00:00,31,1832688.111549,7.5
2023-04-07 03:00:00,31,1832490.58877,7.5
2023-04-07 02:00:00,31,1832488.873929,7.5
2023-04-07 01:00:00,31,1832388.229102,7.5
2023-04-07 00:00:00,31,1832192.034386,7.5
2023-04-06 23:00:00,31,1832171.989057,7.5
2023-04-06 22:00:00,31,1832057.322311,7.5
2023-04-06 21:00:00,31,1831373.255613,7.5
2023-04-06 20:00:00,31,1830930.812742,7.5
2023-04-06 19:00:00,31,1830402.70962,7.5
2023-04-06 18:00:00,31,1829953.206932,7.5
2023-04-06 17:00:00,31,1829106.551423,7.5
2023-04-06 16:00:00,31,1829010.803754,7.5
2023-04-06 15:00:00,31,1828813.850391,7.5
2023-04-06 14:00:00,31,1827706.103587,7.5
2023-04-06 13:00:00,31,1827513.005005,7.5
2023-04-06 12:00:00,31,1827260.401174,7.5
2023-04-06 11:00:00,31,1816676.552371,7.5
2023-04-06 10:00:00,31,1816711.986084,7.5
2023-04-06 09:00:00,31,1816619.115008,7.5
2023-04-06 08:00:00,31,1816149.967056,7.5
2023-04-06 07:00:00,31,1816203.670289,7.5
2023-04-06 06:00:00,31,1816025.765799,7.5
2023-04-06 05:00:00,31,1815919.489527,7.5
2023-04-06 04:00:00,31,1815864.075913,7.5
2023-04-06 03:00:00,31,1815853.375682,7.5
2023-04-06 02:00:00,31,1815798.370971,7.5
2023-04-06 01:00:00,31,1815698.315456,7.5
2023-04-06 00:00:00,31,1816229.755589,7.5
2023-04-05 23:00:00,31,1816068.934241,7.5
2023-04-05 22:00:00,31,1815967.611247,7.5
2023-04-05 21:00:00,31,1815810.75545,7.5
2023-04-05 20:00:00,31,1815357.387875,7.5
2023-04-05 19:00:00,31,1815218.643237,7.5
2023-04-05 18:00:00,31,1814267.607788,7.5
2023-04-05 17:00:00,31,1813506.599444,7.5
2023-04-05 16:00:00,31,1813341.746791,7.5
2023-04-05 15:00:00,31,1812294.592542,7.5
2023-04-05 14:00:00,31,1811941.827855,7.5
2023-04-05 13:00:00,31,1811303.493586,7.5
2023-04-05 12:00:00,31,1810943.275438,7.5
2023-04-05 11:00:00,31,1810333.442755,7.5
2023-04-05 10:00:00,31,1811181.3229,7.5
2023-04-05 09:00:00,31,1811467.743865,7.5
2023-04-05 08:00:00,31,1810829.767301,7.5
2023-04-05 07:00:00,31,1810102.747786,7.5
2023-04-05 06:00:00,31,1809954.058064,7.5
2023-04-05 05:00:00,31,1809885.078569,7.5
2023-04-05 04:00:00,31,1809659.527126,7.5
2023-04-05 03:00:00,31,1808820.931419,7.5
2023-04-05 02:00:00,31,1808705.236214,7.5
2023-04-05 01:00:00,31,1808641.770458,7.5
2023-04-05 00:00:00,30,1808358.89512,7.5
2023-04-04 23:00:00,30,1808236.542927,7.5
2023-04-04 22:00:00,30,1808128.852896,7.5
2023-04-04 21:00:00,30,1808039.452695,7.5
2023-04-04 20:00:00,30,1807932.705262,7.5
2023-04-04 19:00:00,30,1807655.829831,7.5
2023-04-04 18:00:00,30,1807401.665197,7.5
2023-04-04 17:00:00,30,1807172.882837,7.5
2023-04-04 16:00:00,30,1806959.377862,7.5
2023-04-04 15:00:00,30,1806801.031531,7.5
