timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,32,1803457.379803,10
2023-04-13 12:00:00,32,1803456.613801,10
2023-04-13 00:00:00,32,1803453.320798,10
2023-04-12 12:00:00,32,1803315.37275,10
2023-04-12 00:00:00,32,1803296.547726,10
2023-04-11 12:00:00,32,1803294.143204,10
2023-04-11 08:00:00,32,1803195.517956,10
2023-04-11 07:00:00,32,1803195.517956,10
2023-04-11 06:00:00,32,1803203.897073,10
2023-04-11 05:00:00,32,1803203.746072,10
2023-04-11 04:00:00,32,1803203.674194,10
2023-04-11 03:00:00,32,1803203.674194,10
2023-04-11 02:00:00,32,1803203.674194,10
2023-04-11 01:00:00,32,1803203.674194,10
2023-04-11 00:00:00,32,1803202.863312,10
2023-04-10 23:00:00,32,1803202.863312,10
2023-04-10 22:00:00,32,1803202.863312,10
2023-04-10 21:00:00,32,1803202.851656,10
2023-04-10 20:00:00,32,1803202.571604,10
2023-04-10 19:00:00,32,1803201.171604,10
2023-04-10 18:00:00,32,1803201.171604,10
2023-04-10 17:00:00,32,1803201.052355,10
2023-04-10 16:00:00,32,1803308.076207,10
2023-04-10 15:00:00,32,1803306.875656,10
2023-04-10 14:00:00,32,1803306.875656,10
2023-04-10 13:00:00,32,1803384.004354,10
2023-04-10 12:00:00,32,1803374.594744,10
2023-04-10 11:00:00,32,1803374.594744,10
2023-04-10 10:00:00,32,1803374.594744,10
2023-04-10 09:00:00,32,1803374.594744,10
2023-04-10 08:00:00,32,1803374.591969,10
2023-04-10 07:00:00,32,1803374.58949,10
2023-04-10 06:00:00,32,1803374.58949,10
2023-04-10 05:00:00,32,1803324.58949,10
2023-04-10 04:00:00,32,1803324.41949,10
2023-04-10 03:00:00,32,1803324.348495,10
2023-04-10 02:00:00,32,1803254.148495,10
2023-04-10 01:00:00,32,1803254.148495,10
2023-04-10 00:00:00,32,1803246.291858,10
2023-04-09 23:00:00,32,1803245.591858,10
2023-04-09 22:00:00,32,1803245.577982,10
2023-04-09 21:00:00,32,1803244.777577,10
2023-04-09 20:00:00,32,1803244.777577,10
2023-04-09 19:00:00,32,1803244.766208,10
2023-04-09 18:00:00,32,1803244.749557,10
2023-04-09 17:00:00,32,1803244.633356,10
2023-04-09 16:00:00,32,1803244.633356,10
2023-04-09 15:00:00,32,1803244.633246,10
2023-04-09 14:00:00,32,1803244.633241,10
2023-04-09 13:00:00,32,1803244.633241,10
2023-04-09 12:00:00,32,1803224.29631,10
2023-04-09 11:00:00,32,1803224.271744,10
2023-04-09 10:00:00,32,1803224.246355,10
2023-04-09 09:00:00,32,1803224.244155,10
2023-04-09 08:00:00,32,1803224.244155,10
2023-04-09 07:00:00,32,1803224.240343,10
2023-04-09 06:00:00,32,1803224.240343,10
2023-04-09 05:00:00,32,1803224.227919,10
2023-04-09 04:00:00,32,1803224.172118,10
2023-04-09 03:00:00,32,1803224.103368,10
2023-04-09 02:00:00,32,1803224.092208,10
2023-04-09 01:00:00,32,1803224.092208,10
2023-04-09 00:00:00,32,1803224.092208,10
2023-04-08 23:00:00,32,1803224.089418,10
2023-04-08 22:00:00,32,1803224.089418,10
