timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,33,1736700.263582,9.5
2023-04-13 12:00:00,33,1735744.916113,9.5
2023-04-13 00:00:00,33,1733461.076709,9.5
2023-04-12 12:00:00,33,1732529.174393,9.5
2023-04-12 00:00:00,33,1732493.248718,9.5
2023-04-11 12:00:00,33,1732157.677355,9.5
2023-04-11 08:00:00,33,1732124.855609,9.5
2023-04-11 07:00:00,33,1732124.855609,9.5
2023-04-11 06:00:00,33,1732086.088297,9.5
2023-04-11 05:00:00,33,1732085.937296,9.5
2023-04-11 04:00:00,33,1732085.720899,9.5
2023-04-11 03:00:00,33,1732085.209071,9.5
2023-04-11 02:00:00,33,1732085.209071,9.5
2023-04-11 01:00:00,33,1732039.423804,9.5
2023-04-11 00:00:00,33,1732039.423804,9.5
2023-04-10 23:00:00,33,1732039.423804,9.5
2023-04-10 22:00:00,33,1732039.423804,9.5
2023-04-10 21:00:00,33,1732039.412148,9.5
2023-04-10 20:00:00,33,1732039.129708,9.5
2023-04-10 19:00:00,33,1732039.129708,9.5
2023-04-10 18:00:00,33,1731974.339343,9.5
2023-04-10 17:00:00,33,1731973.023913,9.5
2023-04-10 16:00:00,33,1731973.023858,9.5
2023-04-10 15:00:00,33,1731972.998569,9.5
2023-04-10 14:00:00,33,1731989.998569,9.5
2023-04-10 13:00:00,33,1731959.65095,9.5
2023-04-10 12:00:00,33,1731950.108826,9.5
2023-04-10 11:00:00,33,1731938.686334,9.5
2023-04-10 10:00:00,33,1731938.686334,9.5
2023-04-10 09:00:00,33,1731938.686334,9.5
2023-04-10 08:00:00,33,1731937.683559,9.5
2023-04-10 07:00:00,33,1732029.144319,9.5
2023-04-10 06:00:00,33,1732029.144319,9.5
2023-04-10 05:00:00,33,1732729.144319,9.5
2023-04-10 04:00:00,33,1732729.144319,9.5
2023-04-10 03:00:00,33,1732728.072777,9.5
2023-04-10 02:00:00,33,1732719.247233,9.5
2023-04-10 01:00:00,33,1732714.434257,9.5
2023-04-10 00:00:00,33,1732652.14694,9.5
2023-04-09 23:00:00,33,1732652.14694,9.5
2023-04-09 22:00:00,33,1732652.133064,9.5
2023-04-09 21:00:00,33,1732650.489962,9.5
2023-04-09 20:00:00,33,1732650.479894,9.5
2023-04-09 19:00:00,33,1732636.719747,9.5
2023-04-09 18:00:00,33,1732632.703096,9.5
2023-04-09 17:00:00,33,1732632.676855,9.5
2023-04-09 16:00:00,33,1732632.676855,9.5
2023-04-09 15:00:00,33,1732632.676745,9.5
2023-04-09 14:00:00,33,1732632.326116,9.5
2023-04-09 13:00:00,33,1732628.863258,9.5
2023-04-09 12:00:00,33,1732598.458305,9.5
2023-04-09 11:00:00,33,1732598.433739,9.5
2023-04-09 10:00:00,33,1732598.40835,9.5
2023-04-09 09:00:00,33,1732598.40615,9.5
2023-04-09 08:00:00,33,1732598.395783,9.5
2023-04-09 07:00:00,33,1732598.122455,9.5
2023-04-09 06:00:00,33,1732499.746607,9.5
2023-04-09 05:00:00,33,1732499.734183,9.5
2023-04-09 04:00:00,33,1732382.948382,9.5
2023-04-09 03:00:00,33,1732381.599195,9.5
2023-04-09 02:00:00,33,1732378.589266,9.5
2023-04-09 01:00:00,33,1732378.589266,9.5
2023-04-09 00:00:00,33,1732148.109372,9.5
2023-04-08 23:00:00,33,1732148.007518,9.5
2023-04-08 22:00:00,33,1732147.896637,9.5
2023-04-08 21:00:00,33,1732147.88713,9.5
2023-04-08 20:00:00,33,1732147.88713,9.5
2023-04-08 19:00:00,33,1732137.740825,9.5
2023-04-08 18:00:00,33,1732137.740479,9.5
2023-04-08 17:00:00,33,1732135.904646,9.5
2023-04-08 16:00:00,33,1732175.549316,9.5
2023-04-08 15:00:00,33,1732175.164312,9.5
2023-04-08 14:00:00,33,1732166.794458,9.5
2023-04-08 13:00:00,33,1732165.95758,9.5
2023-04-08 12:00:00,33,1732128.019805,9.5
2023-04-08 11:00:00,33,1732128.003068,9.5
2023-04-08 10:00:00,33,1732127.998925,9.5
2023-04-08 09:00:00,33,1732127.998925,9.5
2023-04-08 08:00:00,33,1732127.848723,9.5
2023-04-08 07:00:00,33,1732117.618507,9.5
2023-04-08 06:00:00,33,1732117.596184,9.5
2023-04-08 05:00:00,33,1732117.556626,9.5
2023-04-08 04:00:00,33,1732117.483204,9.5
2023-04-08 03:00:00,33,1732117.483204,9.5
2023-04-08 02:00:00,33,1732117.039936,9.5
2023-04-08 01:00:00,33,1732116.86679,9.5
2023-04-08 00:00:00,33,1731315.335525,9.5
2023-04-07 23:00:00,33,1731315.335525,9.5
2023-04-07 22:00:00,33,1731315.099416,9.5
2023-04-07 21:00:00,33,1731315.026099,9.5
2023-04-07 20:00:00,33,1731315.026099,9.5
2023-04-07 19:00:00,33,1731315.026099,9.5
2023-04-07 18:00:00,33,1731958.586601,9.5
2023-04-07 17:00:00,33,1731958.586601,9.5
2023-04-07 16:00:00,33,1731957.548366,9.5
2023-04-07 15:00:00,33,1731957.548366,9.5
2023-04-07 14:00:00,33,1732564.878903,9.5
2023-04-07 13:00:00,33,1732555.938996,9.5
2023-04-07 12:00:00,33,1732611.862899,9.5
2023-04-07 11:00:00,33,1732611.862899,9.5
2023-04-07 10:00:00,33,1732616.591995,9.5
2023-04-07 09:00:00,33,1732616.591995,9.5
2023-04-07 08:00:00,33,1732616.583431,9.5
2023-04-07 07:00:00,33,1732606.908625,9.5
2023-04-07 06:00:00,33,1732606.908625,9.5
2023-04-07 05:00:00,33,1732606.908625,9.5
2023-04-07 04:00:00,33,1732606.908625,9.5
2023-04-07 03:00:00,33,1732606.76669,9.5
2023-04-07 02:00:00,33,1732606.109577,9.5
2023-04-07 01:00:00,33,1732521.94014,9.5
2023-04-07 00:00:00,33,1732521.94014,9.5
2023-04-06 23:00:00,33,1732519.174629,9.5
2023-04-06 22:00:00,33,1732519.113677,9.5
2023-04-06 21:00:00,33,1732515.544782,9.5
2023-04-06 20:00:00,33,1732515.364474,9.5
2023-04-06 19:00:00,33,1732508.374369,9.5
2023-04-06 18:00:00,33,1732508.348311,9.5
2023-04-06 17:00:00,33,1732502.268325,9.5
2023-04-06 16:00:00,33,1732451.934855,9.5
2023-04-06 15:00:00,33,1732460.85614,9.5
2023-04-06 14:00:00,33,1732416.703655,9.5
2023-04-06 13:00:00,33,1732147.054471,9.5
2023-04-06 12:00:00,33,1732138.912927,9.5
2023-04-06 11:00:00,33,1732138.912927,9.5
2023-04-06 10:00:00,33,1732138.907137,9.5
2023-04-06 09:00:00,33,1732135.890665,9.5
2023-04-06 08:00:00,33,1732133.856602,9.5
2023-04-06 07:00:00,33,1732020.481927,9.5
2023-04-06 06:00:00,33,1732020.36912,9.5
2023-04-06 05:00:00,33,1732020.258135,9.5
2023-04-06 04:00:00,33,1732020.258135,9.5
2023-04-06 03:00:00,33,1732020.258135,9.5
2023-04-06 02:00:00,33,1732020.258135,9.5
2023-04-06 01:00:00,33,1732020.258135,9.5
2023-04-06 00:00:00,33,1731857.385072,9.5
2023-04-05 23:00:00,33,1731857.142073,9.5
2023-04-05 22:00:00,33,1731857.039073,9.5
2023-04-05 21:00:00,33,1731857.039073,9.5
2023-04-05 20:00:00,33,1731857.039073,9.5
2023-04-05 19:00:00,33,1731857.039073,9.5
2023-04-05 18:00:00,33,1731817.636173,9.5
2023-04-05 17:00:00,33,1731816.353539,9.5
2023-04-05 16:00:00,33,1731816.031368,9.5
2023-04-05 15:00:00,33,1731811.607832,9.5
2023-04-05 14:00:00,33,1731810.663849,9.5
2023-04-05 13:00:00,33,1731630.973795,9.5
2023-04-05 12:00:00,33,1731627.308588,9.5
2023-04-05 11:00:00,33,1731556.171435,9.5
2023-04-05 10:00:00,33,1731556.15903,9.5
2023-04-05 09:00:00,33,1731556.00903,9.5
2023-04-05 08:00:00,33,1731556.00903,9.5
2023-04-05 07:00:00,33,1731375.828295,9.5
2023-04-05 06:00:00,33,1731375.828295,9.5
2023-04-05 05:00:00,33,1731375.828295,9.5
2023-04-05 04:00:00,33,1731375.828295,9.5
2023-04-05 03:00:00,33,1731370.753376,9.5
2023-04-05 02:00:00,33,1731370.753376,9.5
2023-04-05 01:00:00,33,1731216.564358,9.5
2023-04-05 00:00:00,33,1731214.100806,9.5
2023-04-04 23:00:00,33,1731214.100806,9.5
2023-04-04 22:00:00,33,1731199.083885,9.5
2023-04-04 21:00:00,33,1731195.183885,9.5
2023-04-04 20:00:00,33,1731169.183885,9.5
2023-04-04 19:00:00,33,1731130.888231,9.5
2023-04-04 18:00:00,33,1731130.765231,9.5
2023-04-04 17:00:00,33,1731128.987332,9.5
2023-04-04 16:00:00,33,1731126.453482,9.5
2023-04-04 15:00:00,33,1731121.453482,9.5
2023-04-04 14:00:00,33,1731028.431206,9.5
2023-04-04 13:00:00,33,1731028.431206,9.5
2023-04-04 12:00:00,33,1731006.720906,9.5
