timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,34,1681354.481655,10
2023-04-13 12:00:00,34,1687624.779218,10
2023-04-13 00:00:00,34,1688297.545342,10
2023-04-12 12:00:00,34,1688887.909754,10
2023-04-12 00:00:00,34,1688828.764671,10
2023-04-11 12:00:00,34,1688785.4336,10
2023-04-11 08:00:00,34,1690501.252087,10
2023-04-11 07:00:00,34,1690501.252087,10
2023-04-11 06:00:00,34,1690499.184913,10
2023-04-11 05:00:00,34,1690496.10792,10
2023-04-11 04:00:00,34,1690451.679762,10
2023-04-11 03:00:00,34,1690451.679762,10
2023-04-11 02:00:00,34,1690379.877046,10
2023-04-11 01:00:00,34,1690336.741191,10
2023-04-11 00:00:00,34,1690336.741191,10
2023-04-10 23:00:00,34,1690317.017899,10
2023-04-10 22:00:00,34,1690368.73122,10
2023-04-10 21:00:00,34,1690367.648864,10
2023-04-10 20:00:00,34,1690372.933677,10
2023-04-10 19:00:00,34,1690372.933677,10
2023-04-10 18:00:00,34,1690372.807316,10
2023-04-10 17:00:00,34,1690324.051852,10
2023-04-10 16:00:00,34,1690324.051797,10
2023-04-10 15:00:00,34,1690320.999399,10
2023-04-10 14:00:00,34,1690320.999399,10
2023-04-10 13:00:00,34,1690320.991076,10
2023-04-10 12:00:00,34,1690293.335009,10
2023-04-10 11:00:00,34,1690283.010909,10
2023-04-10 10:00:00,34,1690283.010909,10
2023-04-10 09:00:00,34,1690283.010909,10
2023-04-10 08:00:00,34,1690498.254677,10
2023-04-10 07:00:00,34,1690447.105232,10
2023-04-10 06:00:00,34,1690447.105232,10
2023-04-10 05:00:00,34,1690434.22218,10
2023-04-10 04:00:00,34,1690431.581821,10
2023-04-10 03:00:00,34,1690431.581821,10
2023-04-10 02:00:00,34,1690430.499821,10
2023-04-10 01:00:00,34,1690430.499821,10
2023-04-10 00:00:00,34,1690689.069072,10
2023-04-09 23:00:00,34,1690684.748872,10
2023-04-09 22:00:00,34,1690656.583944,10
2023-04-09 21:00:00,34,1690650.447637,10
2023-04-09 20:00:00,34,1690650.447637,10
2023-04-09 19:00:00,34,1690650.436268,10
2023-04-09 18:00:00,34,1690650.419617,10
2023-04-09 17:00:00,34,1690650.376561,10
2023-04-09 16:00:00,34,1690650.376561,10
2023-04-09 15:00:00,34,1690650.376451,10
2023-04-09 14:00:00,34,1690650.376446,10
2023-04-09 13:00:00,34,1690634.10861,10
2023-04-09 12:00:00,34,1690631.61491,10
2023-04-09 11:00:00,34,1690631.590344,10
2023-04-09 10:00:00,34,1690630.503765,10
2023-04-09 09:00:00,34,1690630.501565,10
2023-04-09 08:00:00,34,1690629.470389,10
2023-04-09 07:00:00,34,1690626.299417,10
2023-04-09 06:00:00,34,1690625.285479,10
2023-04-09 05:00:00,34,1690721.561333,10
2023-04-09 04:00:00,34,1690720.485429,10
2023-04-09 03:00:00,34,1690705.505429,10
2023-04-09 02:00:00,34,1690704.514269,10
2023-04-09 01:00:00,34,1690702.527053,10
2023-04-09 00:00:00,34,1704703.098553,10
2023-04-08 23:00:00,34,1704700.96048,10
2023-04-08 22:00:00,34,1704699.943112,10
2023-04-08 21:00:00,34,1704699.933604,10
2023-04-08 20:00:00,34,1704695.185289,10
2023-04-08 19:00:00,34,1704695.151762,10
2023-04-08 18:00:00,34,1704695.151416,10
2023-04-08 17:00:00,34,1704695.102485,10
2023-04-08 16:00:00,34,1704695.029319,10
2023-04-08 15:00:00,34,1704687.6643,10
2023-04-08 14:00:00,34,1704675.5374,10
2023-04-08 13:00:00,34,1704608.755427,10
2023-04-08 12:00:00,34,1704608.749848,10
2023-04-08 11:00:00,34,1704608.73311,10
2023-04-08 10:00:00,34,1704608.728967,10
2023-04-08 09:00:00,34,1704608.728967,10
2023-04-08 08:00:00,34,1704601.71774,10
2023-04-08 07:00:00,34,1704597.340491,10
2023-04-08 06:00:00,34,1704597.318167,10
2023-04-08 05:00:00,34,1704148.015267,10
2023-04-08 04:00:00,34,1704148.015267,10
2023-04-08 03:00:00,34,1704147.881234,10
2023-04-08 02:00:00,34,1704147.881234,10
2023-04-08 01:00:00,34,1704147.881234,10
2023-04-08 00:00:00,34,1704128.880104,10
2023-04-07 23:00:00,34,1704135.165986,10
2023-04-07 22:00:00,34,1704134.012072,10
2023-04-07 21:00:00,34,1704127.978429,10
2023-04-07 20:00:00,34,1704127.978429,10
2023-04-07 19:00:00,34,1704125.794669,10
2023-04-07 18:00:00,34,1704125.794669,10
2023-04-07 17:00:00,34,1704125.794669,10
2023-04-07 16:00:00,34,1704119.845577,10
2023-04-07 15:00:00,34,1704119.845577,10
2023-04-07 14:00:00,34,1704118.79507,10
2023-04-07 13:00:00,34,1704115.278313,10
2023-04-07 12:00:00,34,1704115.278313,10
2023-04-07 11:00:00,34,1704115.278313,10
2023-04-07 10:00:00,34,1704109.505791,10
2023-04-07 09:00:00,34,1704106.209054,10
2023-04-07 08:00:00,34,1704071.461435,10
2023-04-07 07:00:00,34,1704071.461435,10
2023-04-07 06:00:00,34,1704071.461435,10
2023-04-07 05:00:00,34,1704067.479427,10
2023-04-07 04:00:00,34,1704067.479427,10
2023-04-07 03:00:00,34,1704067.479427,10
2023-04-07 02:00:00,34,1704067.479427,10
2023-04-07 01:00:00,34,1704065.363327,10
2023-04-07 00:00:00,34,1704067.088827,10
2023-04-06 23:00:00,34,1704065.664427,10
2023-04-06 22:00:00,34,1704064.67885,10
2023-04-06 21:00:00,34,1704064.109933,10
2023-04-06 20:00:00,34,1704063.929617,10
2023-04-06 19:00:00,34,1704063.929617,10
2023-04-06 18:00:00,34,1704063.884337,10
2023-04-06 17:00:00,34,1704061.938336,10
2023-04-06 16:00:00,34,1704089.113716,10
2023-04-06 15:00:00,34,1704239.127942,10
2023-04-06 14:00:00,34,1704239.127942,10
2023-04-06 13:00:00,34,1704239.127942,10
2023-04-06 12:00:00,34,1704301.334265,10
2023-04-06 11:00:00,34,1704319.036168,10
2023-04-06 10:00:00,34,1704319.030378,10
2023-04-06 09:00:00,34,1704319.013906,10
2023-04-06 08:00:00,34,1704299.47208,10
2023-04-06 07:00:00,34,1704285.087489,10
2023-04-06 06:00:00,34,1704284.94648,10
2023-04-06 05:00:00,34,1704281.84991,10
2023-04-06 04:00:00,34,1704281.84991,10
2023-04-06 03:00:00,34,1704278.367102,10
2023-04-06 02:00:00,34,1704278.367102,10
2023-04-06 01:00:00,34,1704266.239577,10
2023-04-06 00:00:00,34,1704112.787808,10
2023-04-05 23:00:00,34,1704112.787808,10
2023-04-05 22:00:00,34,1704110.502208,10
2023-04-05 21:00:00,34,1704110.502208,10
2023-04-05 20:00:00,34,1704110.502208,10
2023-04-05 19:00:00,34,1704109.289593,10
2023-04-05 18:00:00,34,1704103.092819,10
2023-04-05 17:00:00,34,1704103.049507,10
2023-04-05 16:00:00,34,1704158.957578,10
2023-04-05 15:00:00,34,1704157.745612,10
2023-04-05 14:00:00,34,1704165.245612,10
2023-04-05 13:00:00,34,1704161.516635,10
2023-04-05 12:00:00,34,1704154.400646,10
2023-04-05 11:00:00,34,1704150.740312,10
2023-04-05 10:00:00,34,1704141.843692,10
2023-04-05 09:00:00,34,1704141.843692,10
2023-04-05 08:00:00,34,1704139.847194,10
2023-04-05 07:00:00,34,1704139.770147,10
2023-04-05 06:00:00,34,1704137.588121,10
2023-04-05 05:00:00,34,1704133.412776,10
2023-04-05 04:00:00,34,1704128.068169,10
2023-04-05 03:00:00,34,1704128.068169,10
2023-04-05 02:00:00,34,1704099.130012,10
2023-04-05 01:00:00,34,1703821.76582,10
2023-04-05 00:00:00,34,1704318.25502,10
2023-04-04 23:00:00,34,1704316.45572,10
2023-04-04 22:00:00,34,1704314.326408,10
2023-04-04 21:00:00,34,1704314.326408,10
2023-04-04 20:00:00,34,1704314.326408,10
2023-04-04 19:00:00,34,1704314.326408,10
2023-04-04 18:00:00,34,1704298.346408,10
2023-04-04 17:00:00,34,1704298.30329,10
2023-04-04 16:00:00,34,1704298.26944,10
2023-04-04 15:00:00,34,1704286.451976,10
2023-04-04 14:00:00,34,1704283.393589,10
2023-04-04 13:00:00,34,1704283.393589,10
2023-04-04 12:00:00,34,1704255.451919,10
2023-04-04 11:00:00,34,1704255.450462,10
2023-04-04 10:00:00,34,1704253.770006,10
2023-04-04 09:00:00,34,1704242.241614,10
2023-04-04 08:00:00,34,1704206.07026,10
2023-04-04 07:00:00,34,1704206.07026,10
2023-04-04 06:00:00,34,1704164.61834,10
2023-04-04 05:00:00,34,1704164.56549,10
2023-04-04 04:00:00,34,1704096.429081,10
2023-04-04 03:00:00,34,1704082.095971,10
2023-04-04 02:00:00,34,1704080.874933,10
2023-04-04 01:00:00,34,1704069.873799,10
2023-04-04 00:00:00,34,1703989.00001,10
2023-04-03 23:00:00,34,1703939.02001,10
2023-04-03 22:00:00,34,1703927.770699,10
2023-04-03 21:00:00,34,1703927.770699,10
2023-04-03 20:00:00,34,1703856.44559,10
2023-04-03 19:00:00,34,1703856.44559,10
2023-04-03 18:00:00,34,1703856.357398,10
2023-04-03 17:00:00,34,1703856.357398,10
2023-04-03 16:00:00,34,1703856.335547,10
2023-04-03 15:00:00,34,1703854.026016,10
2023-04-03 14:00:00,34,1703853.997479,10
2023-04-03 13:00:00,34,1703828.965254,10
2023-04-03 12:00:00,34,1696746.349368,10
2023-04-03 11:00:00,34,1696746.343661,10
2023-04-03 10:00:00,34,1696730.155938,10
2023-04-03 09:00:00,34,1696802.328612,10
2023-04-03 08:00:00,34,1696800.948212,10
2023-04-03 07:00:00,34,1696800.936798,10
2023-04-03 06:00:00,34,1696799.906587,10
2023-04-03 05:00:00,34,1696795.888917,10
2023-04-03 04:00:00,34,1696793.168861,10
2023-04-03 03:00:00,34,1696790.04845,10
2023-04-03 02:00:00,34,1696789.06845,10
2023-04-03 01:00:00,34,1696780.178257,10
2023-04-03 00:00:00,34,1696776.901613,10
2023-04-02 23:00:00,34,1696764.195256,10
2023-04-02 22:00:00,34,1696761.787551,10
2023-04-02 21:00:00,34,1696755.765008,10
2023-04-02 20:00:00,34,1696805.113486,10
2023-04-02 19:00:00,34,1696724.032564,10
2023-04-02 18:00:00,34,1696724.027884,10
2023-04-02 17:00:00,34,1696723.872247,10
2023-04-02 16:00:00,34,1696712.739343,10
2023-04-02 15:00:00,34,1696712.739343,10
2023-04-02 14:00:00,34,1696679.250676,10
2023-04-02 13:00:00,34,1696685.843908,10
2023-04-02 12:00:00,34,1696655.823908,10
2023-04-02 11:00:00,34,1696604.425069,10
2023-04-02 10:00:00,34,1696604.425069,10
2023-04-02 09:00:00,34,1696593.879177,10
2023-04-02 08:00:00,34,1696592.392893,10
2023-04-02 07:00:00,34,1696592.354734,10
2023-04-02 06:00:00,34,1696591.356484,10
2023-04-02 05:00:00,34,1696536.052503,10
2023-04-02 04:00:00,34,1696529.088227,10
2023-04-02 03:00:00,34,1695902.56493,10
2023-04-02 02:00:00,34,1695775.956456,10
2023-04-02 01:00:00,34,1695775.951036,10
2023-04-02 00:00:00,34,1695773.906633,10
2023-04-01 23:00:00,34,1695768.751616,10
2023-04-01 22:00:00,34,1695700.925153,10
2023-04-01 21:00:00,34,1695700.893666,10
2023-04-01 20:00:00,34,1695698.903778,10
2023-04-01 19:00:00,34,1695698.879528,10
2023-04-01 18:00:00,34,1695698.819634,10
2023-04-01 17:00:00,34,1695698.819634,10
2023-04-01 16:00:00,33,1695698.590113,10
2023-04-01 15:00:00,33,1695690.950021,10
2023-04-01 14:00:00,33,1695692.652413,10
2023-04-01 13:00:00,33,1695692.652413,10
2023-04-01 12:00:00,33,1695683.277418,10
2023-04-01 11:00:00,33,1695679.771709,10
2023-04-01 10:00:00,33,1695679.598985,10
2023-04-01 09:00:00,33,1695679.581869,10
2023-04-01 08:00:00,33,1695716.687127,10
2023-04-01 07:00:00,33,1695716.687127,10
2023-04-01 06:00:00,33,1695756.506585,10
