timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,35,1633823.072529,3
2023-04-13 12:00:00,35,1633812.734589,3
2023-04-13 00:00:00,35,1633874.672636,3
2023-04-12 12:00:00,35,1636680.109302,3
2023-04-12 00:00:00,35,1635895.493786,3
2023-04-11 12:00:00,35,1635834.709574,3
2023-04-11 08:00:00,35,1635517.495361,3
2023-04-11 07:00:00,35,1635515.495361,3
2023-04-11 06:00:00,35,1635769.411194,3
2023-04-11 05:00:00,35,1635767.916045,3
2023-04-11 04:00:00,35,1635764.716045,3
2023-04-11 03:00:00,35,1635764.716045,3
2023-04-11 02:00:00,35,1635599.816045,3
2023-04-11 01:00:00,35,1635597.816045,3
2023-04-11 00:00:00,35,1635597.816045,3
2023-04-10 23:00:00,35,1635597.74429,3
2023-04-10 22:00:00,35,1635592.74429,3
2023-04-10 21:00:00,35,1635592.732634,3
2023-04-10 20:00:00,35,1635691.940305,3
2023-04-10 19:00:00,35,1635634.070373,3
2023-04-10 18:00:00,35,1635630.451406,3
2023-04-10 17:00:00,35,1635659.276575,3
2023-04-10 16:00:00,35,1635658.54176,3
2023-04-10 15:00:00,35,1635626.858199,3
2023-04-10 14:00:00,35,1635626.858199,3
2023-04-10 13:00:00,35,1635607.895917,3
2023-04-10 12:00:00,35,1635600.386617,3
2023-04-10 11:00:00,35,1635737.663528,3
2023-04-10 10:00:00,35,1635732.39174,3
2023-04-10 09:00:00,35,1635732.270917,3
2023-04-10 08:00:00,35,1635716.808065,3
2023-04-10 07:00:00,35,1635705.28387,3
2023-04-10 06:00:00,35,1635705.28387,3
2023-04-10 05:00:00,35,1635990.576056,3
2023-04-10 04:00:00,35,1635990.576056,3
2023-04-10 03:00:00,35,1635990.576056,3
2023-04-10 02:00:00,35,1635990.386056,3
2023-04-10 01:00:00,35,1635990.386056,3
2023-04-10 00:00:00,35,1635988.363065,3
2023-04-09 23:00:00,35,1636002.363064,3
2023-04-09 22:00:00,35,1636002.107808,3
2023-04-09 21:00:00,35,1636006.427586,3
2023-04-09 20:00:00,35,1636006.427586,3
2023-04-09 19:00:00,35,1636006.219032,3
2023-04-09 18:00:00,35,1635944.046822,3
2023-04-09 17:00:00,35,1635943.918903,3
2023-04-09 16:00:00,35,1635943.918903,3
2023-04-09 15:00:00,35,1635942.118793,3
2023-04-09 14:00:00,35,1635940.553959,3
2023-04-09 13:00:00,35,1638348.187005,3
2023-04-09 12:00:00,35,1638326.350074,3
2023-04-09 11:00:00,35,1638325.88749,3
2023-04-09 10:00:00,35,1638324.154499,3
2023-04-09 09:00:00,35,1638324.097461,3
2023-04-09 08:00:00,35,1638324.018699,3
2023-04-09 07:00:00,35,1638324.514887,3
2023-04-09 06:00:00,35,1638324.514887,3
2023-04-09 05:00:00,35,1638324.502463,3
2023-04-09 04:00:00,35,1638320.255563,3
2023-04-09 03:00:00,35,1638320.255563,3
2023-04-09 02:00:00,35,1638320.244403,3
2023-04-09 01:00:00,35,1638320.244403,3
2023-04-09 00:00:00,35,1638320.012369,3
2023-04-08 23:00:00,35,1638317.009579,3
2023-04-08 22:00:00,35,1638302.010111,3
2023-04-08 21:00:00,35,1638301.770603,3
2023-04-08 20:00:00,35,1638301.67226,3
2023-04-08 19:00:00,35,1638301.531132,3
2023-04-08 18:00:00,35,1638294.757108,3
2023-04-08 17:00:00,35,1638294.548912,3
2023-04-08 16:00:00,35,1638294.225867,3
2023-04-08 15:00:00,35,1638293.840848,3
2023-04-08 14:00:00,35,1638293.710097,3
2023-04-08 13:00:00,35,1638292.873187,3
2023-04-08 12:00:00,35,1638184.32174,3
2023-04-08 11:00:00,35,1637810.749745,3
2023-04-08 10:00:00,35,1637810.031844,3
2023-04-08 09:00:00,35,1637810.022554,3
2023-04-08 08:00:00,35,1637809.872348,3
2023-04-08 07:00:00,35,1637808.252417,3
