timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,37,1493841.521665,8
2023-04-13 12:00:00,37,1493841.22149,8
2023-04-13 00:00:00,37,1493848.217813,8
2023-04-12 12:00:00,37,1494708.20717,8
2023-04-12 00:00:00,37,1494707.486777,8
2023-04-11 12:00:00,37,1494670.092478,8
2023-04-11 08:00:00,37,1494669.329842,8
2023-04-11 07:00:00,37,1494669.329842,8
2023-04-11 06:00:00,37,1494669.329842,8
2023-04-11 05:00:00,37,1494669.178841,8
2023-04-11 04:00:00,37,1494669.178841,8
2023-04-11 03:00:00,37,1494669.178841,8
2023-04-11 02:00:00,37,1494668.778841,8
2023-04-11 01:00:00,37,1494668.778841,8
2023-04-11 00:00:00,37,1494668.778841,8
2023-04-10 23:00:00,37,1494668.778841,8
2023-04-10 22:00:00,37,1494668.778841,8
2023-04-10 21:00:00,37,1494668.767185,8
2023-04-10 20:00:00,37,1494668.489662,8
2023-04-10 19:00:00,37,1494668.468069,8
2023-04-10 18:00:00,37,1494668.468069,8
2023-04-10 17:00:00,37,1494668.467364,8
2023-04-10 16:00:00,37,1494668.467309,8
2023-04-10 15:00:00,37,1494668.466758,8
2023-04-10 14:00:00,37,1494718.858205,8
2023-04-10 13:00:00,37,1494718.849882,8
2023-04-10 12:00:00,37,1494718.849882,8
2023-04-10 11:00:00,37,1494718.849882,8
2023-04-10 10:00:00,37,1494718.849882,8
2023-04-10 09:00:00,37,1494718.849882,8
2023-04-10 08:00:00,37,1494718.847107,8
2023-04-10 07:00:00,37,1494718.844628,8
2023-04-10 06:00:00,37,1494718.844628,8
2023-04-10 05:00:00,37,1494718.844628,8
2023-04-10 04:00:00,37,1494718.844628,8
2023-04-10 03:00:00,37,1494718.844628,8
2023-04-10 02:00:00,37,1494718.844628,8
2023-04-10 01:00:00,37,1494713.629974,8
2023-04-10 00:00:00,37,1494713.629974,8
2023-04-09 23:00:00,37,1494713.629974,8
2023-04-09 22:00:00,37,1494710.616098,8
2023-04-09 21:00:00,37,1494709.815693,8
2023-04-09 20:00:00,37,1494709.815693,8
2023-04-09 19:00:00,37,1494709.804324,8
2023-04-09 18:00:00,37,1494709.787673,8
2023-04-09 17:00:00,37,1494709.786987,8
2023-04-09 16:00:00,37,1494709.786987,8
2023-04-09 15:00:00,37,1494709.786877,8
2023-04-09 14:00:00,37,1494709.786872,8
2023-04-09 13:00:00,37,1494709.786872,8
2023-04-09 12:00:00,37,1494709.786872,8
2023-04-09 11:00:00,37,1494709.762306,8
2023-04-09 10:00:00,37,1494709.736917,8
2023-04-09 09:00:00,37,1494709.734717,8
2023-04-09 08:00:00,37,1494709.734717,8
2023-04-09 07:00:00,37,1494709.730905,8
2023-04-09 06:00:00,37,1494709.730905,8
2023-04-09 05:00:00,37,1494709.718481,8
2023-04-09 04:00:00,37,1494709.66268,8
2023-04-09 03:00:00,37,1494709.66268,8
2023-04-09 02:00:00,37,1494709.65152,8
2023-04-09 01:00:00,37,1494709.65152,8
2023-04-09 00:00:00,37,1494709.65152,8
2023-04-08 23:00:00,37,1494709.64873,8
2023-04-08 22:00:00,37,1494709.64873,8
2023-04-08 21:00:00,37,1494709.639223,8
2023-04-08 20:00:00,37,1494709.639223,8
2023-04-08 19:00:00,37,1494709.605697,8
2023-04-08 18:00:00,37,1494709.605351,8
2023-04-08 17:00:00,37,1494709.599079,8
2023-04-08 16:00:00,37,1494743.522515,8
2023-04-08 15:00:00,37,1494743.137511,8
2023-04-08 14:00:00,37,1494743.137511,8
2023-04-08 13:00:00,37,1494742.300633,8
2023-04-08 12:00:00,37,1494742.295054,8
2023-04-08 11:00:00,37,1494742.278317,8
2023-04-08 10:00:00,37,1494742.274174,8
2023-04-08 09:00:00,37,1494742.274174,8
2023-04-08 08:00:00,37,1494742.123972,8
2023-04-08 07:00:00,37,1494741.764283,8
2023-04-08 06:00:00,37,1494741.74196,8
2023-04-08 05:00:00,37,1494741.702402,8
2023-04-08 04:00:00,37,1494741.702402,8
2023-04-08 03:00:00,37,1494741.702402,8
2023-04-08 02:00:00,37,1494741.702402,8
2023-04-08 01:00:00,37,1494741.702402,8
2023-04-08 00:00:00,37,1494741.702402,8
2023-04-07 23:00:00,37,1494741.702402,8
2023-04-07 22:00:00,37,1494741.53103,8
2023-04-07 21:00:00,37,1494741.53103,8
2023-04-07 20:00:00,37,1494741.53103,8
2023-04-07 19:00:00,37,1494741.53103,8
2023-04-07 18:00:00,37,1494741.53103,8
2023-04-07 17:00:00,37,1494741.53103,8
2023-04-07 16:00:00,37,1494741.45854,8
2023-04-07 15:00:00,37,1494741.057498,8
2023-04-07 14:00:00,37,1494741.057498,8
2023-04-07 13:00:00,37,1494741.057498,8
2023-04-07 12:00:00,37,1494741.057498,8
2023-04-07 11:00:00,37,1494741.057498,8
2023-04-07 10:00:00,37,1494736.057498,8
2023-04-07 09:00:00,37,1494736.057498,8
2023-04-07 08:00:00,37,1494736.057498,8
2023-04-07 07:00:00,37,1494735.059998,8
2023-04-07 06:00:00,37,1494735.059998,8
2023-04-07 05:00:00,37,1494735.059998,8
2023-04-07 04:00:00,37,1494748.059998,8
2023-04-07 03:00:00,37,1494748.059998,8
2023-04-07 02:00:00,37,1494748.459998,8
2023-04-07 01:00:00,37,1494748.459998,8
2023-04-07 00:00:00,37,1494478.709238,8
2023-04-06 23:00:00,37,1494478.709238,8
2023-04-06 22:00:00,37,1494478.703661,8
2023-04-06 21:00:00,37,1494478.134766,8
2023-04-06 20:00:00,37,1494477.954458,8
2023-04-06 19:00:00,36,1494477.954458,8
2023-04-06 18:00:00,36,1494477.953737,8
