timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,38,1384009.195206,5
2023-04-13 12:00:00,38,1380308.40296,5
2023-04-13 00:00:00,38,1380189.071852,5
2023-04-12 12:00:00,38,1379896.309523,5
2023-04-12 00:00:00,38,1379902.008939,5
2023-04-11 12:00:00,38,1379581.208201,5
2023-04-11 08:00:00,38,1379693.315734,5
2023-04-11 07:00:00,38,1379690.04049,5
2023-04-11 06:00:00,38,1379780.54049,5
2023-04-11 05:00:00,38,1379774.847753,5
2023-04-11 04:00:00,38,1379774.780927,5
2023-04-11 03:00:00,38,1379774.780927,5
2023-04-11 02:00:00,38,1379774.780927,5
2023-04-11 01:00:00,38,1379774.780927,5
2023-04-11 00:00:00,38,1379774.780927,5
2023-04-10 23:00:00,38,1379774.780927,5
2023-04-10 22:00:00,38,1379774.618598,5
2023-04-10 21:00:00,38,1379677.221942,5
2023-04-10 20:00:00,38,1379692.763667,5
2023-04-10 19:00:00,38,1379512.163353,5
2023-04-10 18:00:00,38,1379510.786032,5
2023-04-10 17:00:00,38,1379455.696366,5
2023-04-10 16:00:00,38,1379449.056501,5
2023-04-10 15:00:00,38,1379425.897148,5
2023-04-10 14:00:00,38,1379425.897148,5
2023-04-10 13:00:00,38,1379397.357962,5
2023-04-10 12:00:00,38,1379402.412511,5
2023-04-10 11:00:00,38,1379276.869049,5
2023-04-10 10:00:00,38,1379234.711443,5
2023-04-10 09:00:00,38,1379230.411443,5
2023-04-10 08:00:00,38,1379165.156323,5
2023-04-10 07:00:00,38,1379163.855436,5
2023-04-10 06:00:00,38,1379146.405436,5
2023-04-10 05:00:00,38,1379129.763636,5
2023-04-10 04:00:00,38,1379129.763636,5
2023-04-10 03:00:00,38,1379129.763636,5
2023-04-10 02:00:00,38,1379129.763636,5
2023-04-10 01:00:00,38,1379089.763636,5
2023-04-10 00:00:00,38,1379064.699838,5
2023-04-09 23:00:00,38,1379033.665859,5
2023-04-09 22:00:00,38,1379022.151983,5
2023-04-09 21:00:00,38,1379006.082773,5
2023-04-09 20:00:00,38,1379046.082773,5
2023-04-09 19:00:00,38,1379036.76514,5
2023-04-09 18:00:00,38,1379019.197517,5
2023-04-09 17:00:00,38,1378982.985103,5
2023-04-09 16:00:00,38,1378976.161736,5
2023-04-09 15:00:00,38,1378973.467446,5
2023-04-09 14:00:00,38,1378973.103803,5
2023-04-09 13:00:00,38,1378972.853803,5
2023-04-09 12:00:00,38,1379472.853803,5
2023-04-09 11:00:00,38,1379472.660534,5
2023-04-09 10:00:00,38,1379472.193485,5
2023-04-09 09:00:00,38,1379390.4647,5
2023-04-09 08:00:00,38,1379390.3147,5
2023-04-09 07:00:00,38,1379282.854587,5
2023-04-09 06:00:00,38,1379275.254587,5
2023-04-09 05:00:00,38,1379275.242163,5
2023-04-09 04:00:00,38,1379275.120489,5
2023-04-09 03:00:00,38,1379275.120489,5
2023-04-09 02:00:00,38,1379275.109329,5
2023-04-09 01:00:00,38,1379275.109329,5
2023-04-09 00:00:00,38,1379275.109329,5
2023-04-08 23:00:00,38,1379275.106539,5
2023-04-08 22:00:00,38,1379273.806539,5
2023-04-08 21:00:00,38,1379706.517032,5
2023-04-08 20:00:00,38,1379706.517032,5
2023-04-08 19:00:00,38,1379700.483506,5
2023-04-08 18:00:00,38,1379775.233064,5
2023-04-08 17:00:00,38,1379766.139267,5
2023-04-08 16:00:00,38,1379757.270747,5
2023-04-08 15:00:00,38,1379767.406591,5
2023-04-08 14:00:00,38,1379755.406591,5
2023-04-08 13:00:00,38,1379754.399714,5
2023-04-08 12:00:00,38,1379746.942442,5
2023-04-08 11:00:00,38,1379744.627522,5
2023-04-08 10:00:00,38,1379743.624477,5
2023-04-08 09:00:00,38,1379740.133769,5
2023-04-08 08:00:00,38,1378748.783567,5
2023-04-08 07:00:00,38,1378746.883909,5
2023-04-08 06:00:00,38,1378741.405084,5
2023-04-08 05:00:00,38,1378741.365526,5
2023-04-08 04:00:00,38,1378741.365526,5
2023-04-08 03:00:00,38,1378741.365526,5
2023-04-08 02:00:00,38,1378741.122441,5
2023-04-08 01:00:00,38,1378741.122441,5
2023-04-08 00:00:00,38,1378740.960999,5
2023-04-07 23:00:00,38,1378740.897757,5
2023-04-07 22:00:00,38,1378715.524098,5
2023-04-07 21:00:00,38,1378715.184428,5
2023-04-07 20:00:00,38,1378715.184428,5
2023-04-07 19:00:00,38,1378710.680035,5
2023-04-07 18:00:00,38,1378710.06386,5
2023-04-07 17:00:00,38,1378667.545547,5
2023-04-07 16:00:00,38,1378659.502024,5
2023-04-07 15:00:00,38,1378658.408567,5
2023-04-07 14:00:00,38,1378653.148411,5
2023-04-07 13:00:00,38,1378632.794884,5
2023-04-07 12:00:00,38,1378628.960766,5
2023-04-07 11:00:00,38,1378628.960766,5
2023-04-07 10:00:00,38,1378578.582079,5
2023-04-07 09:00:00,38,1378505.602079,5
2023-04-07 08:00:00,38,1378504.880997,5
2023-04-07 07:00:00,38,1378032.380997,5
2023-04-07 06:00:00,38,1378032.061066,5
2023-04-07 05:00:00,38,1378031.641066,5
2023-04-07 04:00:00,38,1378031.641066,5
2023-04-07 03:00:00,38,1378031.641066,5
