timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,39,1373320.187341,10
2023-04-13 12:00:00,39,1373316.872718,10
2023-04-13 00:00:00,39,1373316.812859,10
2023-04-12 12:00:00,39,1373176.797021,10
2023-04-12 00:00:00,39,1373223.109808,10
2023-04-11 12:00:00,39,1373222.620233,10
2023-04-11 08:00:00,39,1373221.884811,10
2023-04-11 07:00:00,39,1373221.884811,10
2023-04-11 06:00:00,39,1373233.703829,10
2023-04-11 05:00:00,39,1373240.109234,10
2023-04-11 04:00:00,39,1373240.109234,10
2023-04-11 03:00:00,39,1373240.109234,10
2023-04-11 02:00:00,39,1373240.109234,10
2023-04-11 01:00:00,39,1373240.109234,10
2023-04-11 00:00:00,39,1373240.109234,10
2023-04-10 23:00:00,39,1373240.109234,10
2023-04-10 22:00:00,39,1373240.109234,10
2023-04-10 21:00:00,39,1373240.097578,10
2023-04-10 20:00:00,39,1373239.820044,10
2023-04-10 19:00:00,39,1373239.820044,10
2023-04-10 18:00:00,39,1373239.820044,10
2023-04-10 17:00:00,39,1373239.806913,10
2023-04-10 16:00:00,39,1373239.806858,10
2023-04-10 15:00:00,39,1373239.806307,10
2023-04-10 14:00:00,39,1373234.806307,10
2023-04-10 13:00:00,39,1373232.477984,10
2023-04-10 12:00:00,39,1373232.477984,10
2023-04-10 11:00:00,39,1373232.477984,10
2023-04-10 10:00:00,39,1373229.060631,10
2023-04-10 09:00:00,39,1373229.060631,10
2023-04-10 08:00:00,39,1373228.957856,10
2023-04-10 07:00:00,39,1373228.955377,10
2023-04-10 06:00:00,39,1373228.955377,10
2023-04-10 05:00:00,39,1373228.955377,10
2023-04-10 04:00:00,39,1373228.955377,10
2023-04-10 03:00:00,39,1373228.955377,10
2023-04-10 02:00:00,39,1373228.955377,10
2023-04-10 01:00:00,39,1373228.955377,10
2023-04-10 00:00:00,39,1373228.955377,10
2023-04-09 23:00:00,39,1373228.955377,10
2023-04-09 22:00:00,39,1373227.341501,10
2023-04-09 21:00:00,39,1373226.537204,10
2023-04-09 20:00:00,39,1373226.537204,10
