timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,3,10598612.960409,15
2023-04-13 12:00:00,3,10598662.121568,15
2023-04-13 00:00:00,3,10598868.285378,15
2023-04-12 12:00:00,3,10598774.113624,15
2023-04-12 00:00:00,3,10598600.828322,15
2023-04-11 12:00:00,3,10598548.273726,15
2023-04-11 08:00:00,3,10598494.997036,15
2023-04-11 07:00:00,3,10598494.997036,15
2023-04-11 06:00:00,3,10598494.997036,15
2023-04-11 05:00:00,3,10598494.846035,15
2023-04-11 04:00:00,3,10598494.715561,15
2023-04-11 03:00:00,3,10598494.715561,15
2023-04-11 02:00:00,3,10598494.715561,15
2023-04-11 01:00:00,3,10598494.715561,15
2023-04-11 00:00:00,3,10598494.715561,15
2023-04-10 23:00:00,3,10598494.715561,15
2023-04-10 22:00:00,3,10598493.395561,15
2023-04-10 21:00:00,3,10598452.986493,15
2023-04-10 20:00:00,3,10598452.70897,15
2023-04-10 19:00:00,3,10598452.50897,15
2023-04-10 18:00:00,3,10598457.401307,15
2023-04-10 17:00:00,3,10598477.237678,15
2023-04-10 16:00:00,3,10598477.237623,15
2023-04-10 15:00:00,3,10598477.237072,15
2023-04-10 14:00:00,3,10598477.077072,15
2023-04-10 13:00:00,3,10598476.374382,15
2023-04-10 12:00:00,3,10598476.374382,15
2023-04-10 11:00:00,3,10598475.484382,15
2023-04-10 10:00:00,3,10598475.484382,15
2023-04-10 09:00:00,3,10598475.484382,15
2023-04-10 08:00:00,3,10598470.429771,15
2023-04-10 07:00:00,3,10598473.427292,15
2023-04-10 06:00:00,3,10598473.427292,15
2023-04-10 05:00:00,3,10598473.427292,15
2023-04-10 04:00:00,3,10598455.527292,15
2023-04-10 03:00:00,3,10598455.527292,15
2023-04-10 02:00:00,3,10598455.527292,15
2023-04-10 01:00:00,3,10598455.527292,15
2023-04-10 00:00:00,3,10598455.527292,15
2023-04-09 23:00:00,3,10598455.527292,15
2023-04-09 22:00:00,3,10598455.513416,15
2023-04-09 21:00:00,3,10598454.713011,15
2023-04-09 20:00:00,3,10598454.713011,15
2023-04-09 19:00:00,3,10598454.701642,15
2023-04-09 18:00:00,3,10598518.225901,15
2023-04-09 17:00:00,3,10598517.766444,15
2023-04-09 16:00:00,3,10598517.766444,15
2023-04-09 15:00:00,3,10598517.766334,15
2023-04-09 14:00:00,3,10598517.766329,15
2023-04-09 13:00:00,3,10598517.766329,15
2023-04-09 12:00:00,3,10598516.741447,15
2023-04-09 11:00:00,3,10598523.066881,15
2023-04-09 10:00:00,3,10598543.041492,15
2023-04-09 09:00:00,3,10598543.079292,15
2023-04-09 08:00:00,3,10598543.079292,15
2023-04-09 07:00:00,3,10598543.07548,15
2023-04-09 06:00:00,3,10598542.952866,15
2023-04-09 05:00:00,3,10598542.940442,15
2023-04-09 04:00:00,3,10598542.884641,15
2023-04-09 03:00:00,3,10598542.884641,15
2023-04-09 02:00:00,3,10597942.873481,15
2023-04-09 01:00:00,3,10597942.873481,15
2023-04-09 00:00:00,3,10597941.681974,15
2023-04-08 23:00:00,3,10597941.679184,15
2023-04-08 22:00:00,3,10597968.419895,15
2023-04-08 21:00:00,3,10597968.368985,15
2023-04-08 20:00:00,3,10597967.939982,15
2023-04-08 19:00:00,3,10597967.906456,15
2023-04-08 18:00:00,3,10597967.90611,15
2023-04-08 17:00:00,3,10597981.34489,15
2023-04-08 16:00:00,3,10597981.271727,15
2023-04-08 15:00:00,3,10597980.886723,15
2023-04-08 14:00:00,3,10597985.268242,15
2023-04-08 13:00:00,3,10597984.431364,15
2023-04-08 12:00:00,3,10597996.425785,15
2023-04-08 11:00:00,3,10597996.409048,15
2023-04-08 10:00:00,3,10597994.446507,15
2023-04-08 09:00:00,3,10597994.446507,15
2023-04-08 08:00:00,3,10597962.030002,15
2023-04-08 07:00:00,3,10597970.031248,15
2023-04-08 06:00:00,3,10597965.008925,15
2023-04-08 05:00:00,3,10597955.920335,15
2023-04-08 04:00:00,3,10597955.913526,15
2023-04-08 03:00:00,3,10597955.913526,15
2023-04-08 02:00:00,3,10597955.913526,15
2023-04-08 01:00:00,3,10597955.913526,15
2023-04-08 00:00:00,3,10597955.913526,15
2023-04-07 23:00:00,3,10597954.913526,15
2023-04-07 22:00:00,3,10597954.742154,15
2023-04-07 21:00:00,3,10597953.569903,15
2023-04-07 20:00:00,3,10597953.44095,15
2023-04-07 19:00:00,3,10597954.44095,15
2023-04-07 18:00:00,3,10597954.44095,15
2023-04-07 17:00:00,3,10597984.44095,15
2023-04-07 16:00:00,3,10597970.959728,15
2023-04-07 15:00:00,3,10597975.109728,15
2023-04-07 14:00:00,3,10597973.709728,15
2023-04-07 13:00:00,3,10597982.709728,15
2023-04-07 12:00:00,3,10597982.709728,15
2023-04-07 11:00:00,3,10597982.709728,15
2023-04-07 10:00:00,3,10597976.452436,15
2023-04-07 09:00:00,3,10597974.32428,15
2023-04-07 08:00:00,3,10597983.353336,15
2023-04-07 07:00:00,3,10597983.353336,15
2023-04-07 06:00:00,3,10597983.353336,15
2023-04-07 05:00:00,3,10597970.303336,15
2023-04-07 04:00:00,3,10597967.722223,15
2023-04-07 03:00:00,3,10597967.722223,15
2023-04-07 02:00:00,3,10597964.822223,15
2023-04-07 01:00:00,3,10597964.822223,15
2023-04-07 00:00:00,3,10597964.822223,15
2023-04-06 23:00:00,3,10597964.822223,15
2023-04-06 22:00:00,3,10597949.776494,15
2023-04-06 21:00:00,3,10597949.207599,15
2023-04-06 20:00:00,3,10597937.824602,15
2023-04-06 19:00:00,3,10597937.71821,15
2023-04-06 18:00:00,3,10597952.544159,15
2023-04-06 17:00:00,3,10598001.608173,15
2023-04-06 16:00:00,3,10598001.395827,15
2023-04-06 15:00:00,3,10598001.367625,15
2023-04-06 14:00:00,3,10598001.367625,15
2023-04-06 13:00:00,3,10598001.367625,15
2023-04-06 12:00:00,3,10598001.367625,15
2023-04-06 11:00:00,3,10598001.427095,15
2023-04-06 10:00:00,3,10598001.421305,15
2023-04-06 09:00:00,3,10598001.404833,15
2023-04-06 08:00:00,3,10598001.392425,15
2023-04-06 07:00:00,3,10598001.392425,15
2023-04-06 06:00:00,3,10598001.179618,15
2023-04-06 05:00:00,3,10597993.068633,15
2023-04-06 04:00:00,3,10597993.068633,15
2023-04-06 03:00:00,3,10597993.068633,15
2023-04-06 02:00:00,3,10597993.068633,15
2023-04-06 01:00:00,3,10597993.068633,15
2023-04-06 00:00:00,3,10597993.068633,15
2023-04-05 23:00:00,3,10597993.068633,15
2023-04-05 22:00:00,3,10597993.068633,15
2023-04-05 21:00:00,3,10597992.958633,15
2023-04-05 20:00:00,3,10597988.958633,15
2023-04-05 19:00:00,3,10597988.958633,15
2023-04-05 18:00:00,3,10597991.936133,15
2023-04-05 17:00:00,3,10597991.775707,15
2023-04-05 16:00:00,3,10597991.775707,15
2023-04-05 15:00:00,3,10598039.37141,15
2023-04-05 14:00:00,3,10598043.020609,15
2023-04-05 13:00:00,3,10598043.020609,15
2023-04-05 12:00:00,3,10598079.624227,15
2023-04-05 11:00:00,3,10598079.487074,15
2023-04-05 10:00:00,3,10598079.487074,15
2023-04-05 09:00:00,3,10598079.487074,15
