timestamp,ranks,tokens(ATOM),commissions(%)
2023-04-14 00:00:00,42,1239935.719933,10
2023-04-13 12:00:00,42,1238536.24639,10
2023-04-13 00:00:00,42,1237389.143093,10
2023-04-12 12:00:00,42,1236452.400512,10
2023-04-12 00:00:00,42,1236778.976473,10
2023-04-11 12:00:00,42,1236409.3221,10
2023-04-11 08:00:00,42,1236323.047886,10
2023-04-11 07:00:00,42,1236323.047886,10
2023-04-11 06:00:00,42,1236272.497534,10
2023-04-11 05:00:00,42,1236272.346533,10
2023-04-11 04:00:00,42,1236272.346533,10
2023-04-11 03:00:00,42,1236272.346533,10
2023-04-11 02:00:00,42,1236272.346533,10
2023-04-11 01:00:00,42,1236212.413275,10
2023-04-11 00:00:00,42,1236209.085102,10
2023-04-10 23:00:00,42,1236209.085102,10
2023-04-10 22:00:00,42,1236324.265829,10
2023-04-10 21:00:00,42,1236324.254173,10
2023-04-10 20:00:00,42,1236321.37665,10
2023-04-10 19:00:00,42,1236321.37665,10
2023-04-10 18:00:00,42,1236236.684964,10
2023-04-10 17:00:00,42,1236214.670253,10
2023-04-10 16:00:00,42,1236214.670198,10
2023-04-10 15:00:00,42,1236214.669647,10
2023-04-10 14:00:00,42,1236214.669647,10
2023-04-10 13:00:00,42,1236175.122252,10
2023-04-10 12:00:00,42,1236165.674359,10
2023-04-10 11:00:00,42,1236165.254359,10
2023-04-10 10:00:00,42,1236165.254359,10
2023-04-10 09:00:00,42,1236165.254359,10
2023-04-10 08:00:00,42,1236165.251584,10
2023-04-10 07:00:00,42,1236154.074421,10
2023-04-10 06:00:00,42,1236154.074421,10
2023-04-10 05:00:00,42,1236152.574421,10
2023-04-10 04:00:00,42,1236152.574421,10
2023-04-10 03:00:00,42,1236152.568705,10
2023-04-10 02:00:00,42,1236152.244885,10
2023-04-10 01:00:00,42,1236145.944663,10
2023-04-10 00:00:00,42,1236061.210012,10
2023-04-09 23:00:00,42,1236061.210012,10
2023-04-09 22:00:00,42,1236061.196136,10
2023-04-09 21:00:00,42,1236059.70573,10
2023-04-09 20:00:00,42,1236059.70573,10
2023-04-09 19:00:00,42,1236042.348415,10
2023-04-09 18:00:00,42,1236042.331764,10
2023-04-09 17:00:00,42,1236042.239075,10
2023-04-09 16:00:00,42,1236042.139075,10
2023-04-09 15:00:00,42,1236042.138965,10
2023-04-09 14:00:00,42,1236042.13896,10
2023-04-09 13:00:00,42,1236042.13896,10
2023-04-09 12:00:00,42,1236008.622912,10
2023-04-09 11:00:00,42,1236008.598346,10
2023-04-09 10:00:00,42,1236008.572957,10
2023-04-09 09:00:00,42,1236006.370757,10
2023-04-09 08:00:00,42,1236006.370757,10
2023-04-09 07:00:00,42,1236006.366945,10
2023-04-09 06:00:00,42,1235941.810528,10
2023-04-09 05:00:00,42,1235941.798104,10
2023-04-09 04:00:00,42,1235941.742303,10
2023-04-09 03:00:00,42,1235941.742303,10
2023-04-09 02:00:00,42,1235941.731143,10
2023-04-09 01:00:00,42,1235941.731143,10
2023-04-09 00:00:00,42,1235626.711668,10
2023-04-08 23:00:00,42,1235626.708878,10
2023-04-08 22:00:00,42,1235626.708878,10
2023-04-08 21:00:00,42,1235626.699371,10
2023-04-08 20:00:00,42,1235626.699371,10
2023-04-08 19:00:00,42,1235611.808322,10
2023-04-08 18:00:00,42,1235611.807976,10
2023-04-08 17:00:00,42,1235611.713822,10
2023-04-08 16:00:00,42,1235611.640659,10
2023-04-08 15:00:00,42,1235611.255655,10
2023-04-08 14:00:00,42,1235611.255655,10
2023-04-08 13:00:00,42,1235570.418777,10
2023-04-08 12:00:00,42,1235526.491099,10
2023-04-08 11:00:00,42,1235527.625681,10
